D' L2 R F2 B R'
D' L2 R B R' F2
D' L2 R B F2 R'
D' L2 F2 R B R'
D' R L2 F2 B R'
D' R L2 F2 B R'
D' R L2 B R' F2
D' R L2 B F2 R'
D' R F2 L2 B R'
D' R F2 B L2 R'
D' R F2 B R' L2
D' R B L2 R' F2
D' R B L2 F2 R'
D' R B R' L2 F2
D' R B R' F2 L2
D' R B F2 L2 R'
D' R B F2 R' L2
D' F2 L2 R B R'
D' F2 R L2 B R'
D' F2 R B L2 R'
D' F2 R B R' L2
D' B R' F2 L2 B'
D' B' L2 F2 R B
D' L R F2 L B R'
F2 L R B' R U B2
F2 L R2 D B' L U
R2 L F2 D B' L U
L R B' R F2 U B2
R L B' R F2 U B2
D' L F2 L R B R'
D' L F2 R L B R'
U2 L F2 R2 B' U B2
U2 L F2 B' R2 U B
U' L B' R2 F2 L' U
U2 L B' F2 R2 U B
D' L' R B L' R' F2
D' L' R B L' F2 R'
D' L' R B R' L' F2
U' L' F2 R2 B L U
U2 L' F2 R2 B U B2
D' L2 R F B R' F
D2 L2 R F' B2 U' B'
D' L2 R F2 B R' D
D' L2 R F2 B R' D'
D' L2 R F2 B R' D2
D' L2 R F2 B D R'
D' L2 R F2 B D' R'
D' L2 R F2 B D2 R'
D' L2 R B R F2 R2
D' L2 R B R' F2 D
D' L2 R B R' F2 D'
D' L2 R B R' F2 D2
D' L2 R B F R' F
D' L2 R B F2 R' D
D' L2 R B F2 R' D'
D' L2 R B F2 R' D2
D' L2 R B F2 D R'
D' L2 R B F2 D' R'
D' L2 R B F2 D2 R'
D2 L2 R B2 F' U' B'
F2 L2 R2 U B' R' B
D' L2 R2 F2 R' B R'
D' L2 R2 F2 B R' B
D' L2 R2 B R' F2 B
D' L2 R2 B R' B F2
D' L2 R2 B F2 R' B
L2 R2 F2 U B' R' B
R2 L2 F2 U B' R' B
L R2 F2 D B' L U
D' L2 F R F B R'
D' L2 F R B R' F
D' L2 F R B F R'
D' L2 F' R B R' F'
D' L2 F' D2 F' R B
D' L2 F2 R B R' D
D' L2 F2 R B R' D'
D' L2 F2 R B R' D2
D' L2 F2 R B D R'
D' L2 F2 R B D' R'
D' L2 F2 R B D2 R'
D' L2 F2 R2 B R' B
D' L2 F2 B R B R2
D' L2 B R F2 B R2
D' L2 B R B R2 F2
D' L2 B R B F2 R2
R2 U R' D' L2 B R'
R2 U R' D' B L2 R'
R2 U R' D' B R' L2
D' L2 B F2 R B R2
D2 L2 B2 R F' U' B
D' R L F2 L B R'
F2 R L B' R U B2
D' R L' B L' R' F2
D' R L' B L' F2 R'
D' R L' B R' L' F2
D2 R L2 F' B2 U' B'
D' R L2 F B R' F
D' R L2 F2 B R' D
D' R L2 F2 B R' D'
D' R L2 F2 B R' D2
D' R L2 F2 B D R'
D' R L2 F2 B D' R'
D' R L2 F2 B D2 R'
D' R L2 B R F2 R2
D' R L2 B R' F2 D
D' R L2 B R' F2 D'
D' R L2 B R' F2 D2
D' R L2 B F R' F
D' R L2 B F2 R' D
D' R L2 B F2 R' D'
D' R L2 B F2 R' D2
D' R L2 B F2 D R'
D' R L2 B F2 D' R'
D' R L2 B F2 D2 R'
D2 R L2 B2 F' U' B'
D' R U L2 F2 B R'
D' R U L2 B R' F2
D' R U L2 B F2 R'
D' R U F2 L2 B R'
D' R U F2 B L2 R'
D' R U F2 B R' L2
D' R U B L2 R' F2
D' R U B L2 F2 R'
D' R U B R' L2 F2
D' R U B R' F2 L2
D' R U B F2 L2 R'
D' R U B F2 R' L2
D' R U' L2 F2 B R'
D' R U' L2 B R' F2
D' R U' L2 B F2 R'
D' R U' F2 L2 B R'
D' R U' F2 B L2 R'
D' R U' F2 B R' L2
D' R U' B L2 R' F2
D' R U' B L2 F2 R'
D' R U' B R' L2 F2
D' R U' B R' F2 L2
D' R U' B F2 L2 R'
D' R U' B F2 R' L2
D' R U2 L2 F2 B R'
D' R U2 L2 B R' F2
D' R U2 L2 B F2 R'
D' R U2 F2 L2 B R'
D' R U2 F2 B L2 R'
D' R U2 F2 B R' L2
D' R U2 B L2 R' F2
D' R U2 B L2 F2 R'
D' R U2 B R' L2 F2
D' R U2 B R' F2 L2
D' R U2 B F2 L2 R'
D' R U2 B F2 R' L2
D R D2 F2 L' B R'
D R D2 F2 B L' R'
D R D2 F2 B R' L'
D R D2 B F2 L' R'
D R D2 B F2 R' L'
D' R F B R' F L2
D2 R F' L2 B2 U' B'
D' R F' L2 F' B R'
D' R F' L2 B F' R'
D' R F' B L2 F' R'
D' R F2 L' B L' R'
D' R F2 L' B R' L'
D' R F2 L2 B R' D
D' R F2 L2 B R' D'
D' R F2 L2 B R' D2
D' R F2 L2 B D R'
D' R F2 L2 B D' R'
D' R F2 L2 B D2 R'
D' R F2 B L2 R' D
D' R F2 B L2 R' D'
D' R F2 B L2 R' D2
D' R F2 B L2 D R'
D' R F2 B L2 D' R'
D' R F2 B L2 D2 R'
D' R F2 B R' L2 D
D' R F2 B R' L2 D'
D' R F2 B R' L2 D2
D' R B L R' F2 L
D' R B L F2 L R'
D' R B L F2 R' L
D' R B L2 R F2 R2
D' R B L2 R' F2 D
D' R B L2 R' F2 D'
D' R B L2 R' F2 D2
D' R B L2 F R' F
D' R B L2 F2 R' D
D' R B L2 F2 R' D'
D' R B L2 F2 R' D2
D' R B L2 F2 D R'
D' R B L2 F2 D' R'
D' R B L2 F2 D2 R'
D' R B R L2 F2 R2
D' R B R F2 L2 R2
D' R B R F2 R2 L2
D' R B R' L F2 L
D' R B R' L2 F2 D
D' R B R' L2 F2 D'
D' R B R' L2 F2 D2
D' R B R' F' L2 F'
D' R B R' F2 L2 D
D' R B R' F2 L2 D'
D' R B R' F2 L2 D2
D' R B F R' F L2
D' R B F' L2 F' R'
D' R B F2 L2 R' D
D' R B F2 L2 R' D'
D' R B F2 L2 R' D2
D' R B F2 L2 D R'
D' R B F2 L2 D' R'
D' R B F2 L2 D2 R'
D' R B F2 R' L2 D
D' R B F2 R' L2 D'
D' R B F2 R' L2 D2
D' R B' L2 F2 R B2
D' R B' L2 F2 B2 R
D' R B' L2 B2 F2 R
L' U' F2 R2 B L U
L U' B' R2 F2 L' U
D R' F' R' B2 U2 R2
D' R' F2 L2 B R' B2
D R' F' B2 U2 L R
D R' F' B2 U2 R L
D' R' F2 B L2 R' B'
D' R' F2 B R' L2 B'
D' R' F2 B2 L2 B' R'
D' R' B F2 L2 R' B'
D' R' B F2 R' L2 B'
D' R' B2 F2 L2 B' R'
D R' B2 F' U2 L R
D R' B2 F' U2 R L
F2 R2 L D B' L U
F2 R2 L2 U B' R' B
D' R2 L2 F2 R' B R'
D' R2 L2 F2 B R' B
D' R2 L2 B R' F2 B
D' R2 L2 B R' B F2
D' R2 L2 B F2 R' B
F2 R2 U R' D' B R'
D' R2 F2 L2 R' B R'
D' R2 F2 L2 B R' B
D' R2 F2 R' L2 B R'
D' R2 F2 R' B L2 R'
D' R2 F2 R' B R' L2
D' R2 F2 B L2 R' B
D' R2 F2 B R' L2 B
D' R2 F2 B R' B L2
U' R2 F2 B L B' U
D' R2 B L2 R' F2 B
D' R2 B L2 R' B F2
U' R2 B L F2 B' U
U' R2 B L B' F2 U
D' R2 B L2 F2 R' B
D' R2 B R' L2 F2 B
D' R2 B R' L2 B F2
D' R2 B R' F2 L2 B
D' R2 B R' F2 B L2
D' R2 B R' B L2 F2
D' R2 B R' B F2 L2
D' R2 B F2 L2 R' B
D' R2 B F2 R' L2 B
D' R2 B F2 R' B L2
U' R2 B F2 L B' U
R D' L2 B R' D' F2
R D' B L2 R' D' F2
R D' B R' L2 D' F2
D' F R F L2 B R'
D' F R F B L2 R'
D' F R F B R' L2
D' F R B R' F L2
D' F R B F L2 R'
D' F R B F R' L2
D F D2 F2 L2 R B
D F D2 F2 R L2 B
D F D2 F2 R B L2
D' F' L2 R B R' F'
D' F' L2 D2 F' R B
D' F' L2 F' R B R'
D' F' R L2 B R' F'
D' F' R B L2 R' F'
D' F' R B R' L2 F'
D' F' R B R' F' L2
D F' R D2 F2 L' B
D F' R D2 F2 B L'
D F' R D2 B F2 L'
B' D' L2 R F2 B R'
B' D' L2 R B R' F2
B' D' L2 R B F2 R'
B2 D' L2 R F2 B R'
