F' R B U L U R'
B R' F L' F2 D' B2
B U2 L U R' F L'
B U2 L U F L' R'
B U2 L U F R' L'
U F R U L' B R'
U F R U B L' R'
U F R U B R' L'
B F L' R' D' F' B2
B F L' R' D' B2 F'
B F L' R' F' D' B2
B F L' D' R' F' B2
B F L' D' R' B2 F'
F B L' R' D' F' B2
F B L' R' D' B2 F'
F B L' R' F' D' B2
F B L' D' R' F' B2
F B L' D' R' B2 F'
F2 B R' F' L' D' B2
B F R' L' D' F' B2
B F R' L' D' B2 F'
B F R' L' F' D' B2
F B R' L' D' F' B2
F B R' L' D' B2 F'
F B R' L' F' D' B2
D2 B' R' U' L F' R
D2 B' R' U' F' L R
D2 B' R' U' F' R L
B F2 R' F' L' D' B2
