U' L' U2 D L2 B'
U' L' D U2 L2 B'
U' L' D F U2 L2
U' L' D' R2 F U2
U' L' D' F R2 U2
U' L' F U' B2 U'
U' L' F U2 D L2
U' L' F D U2 L2
U' L' F D' R2 U2
B2 U L' F U2 F'
B2 U' L' F U2 L
L D2 F2 U R2 B'
L D2 F2 U B' R2
D2 F2 U R' B R2
U2 B2 U L' F U2
B2 L U L2 F U2 F'
F2 L U R D B' L2
F2 L U D R B' L2
F2 L U D B' L2 R
F2 L U D B' R L2
B' L U B L B2 R'
B' L U' L2 F R U2
B2 L U' L2 U2 L2 B'
B2 L U' L2 F U2 L2
B2 L U' D2 B' R2 F'
B2 L U' B' D2 R2 F'
F2 L U2 B2 U' B R
F L U2 B2 U' B R'
F2 L D U R B' L2
F2 L D U B' L2 R
F2 L D U B' R L2
L' R F U' B2 L U'
U L D B' L2 D R2
B' L D' B2 U B L
B2 L D2 U' B' R2 F'
U L D2 R2 D' B' L2
U L D2 R2 B' D' L2
U L D2 B' R2 D' L2
U' L' R U2 D L2 B'
U' L' R D U2 L2 B'
U' L' R D F U2 L2
U' L' R D' R2 F U2
U' L' R D' F R2 U2
U' L' R F U' B2 U'
U' L' R F U2 D L2
U' L' R F D U2 L2
U' L' R F D' R2 U2
U' L' R' U2 D L2 B'
U' L' R' D U2 L2 B'
U' L' R' D F U2 L2
U' L' R' D' R2 F U2
U' L' R' D' F R2 U2
R2 L' D F B2 U2 L2
U' L' R' F U' B2 U'
U' L' R' F U2 D L2
U' L' R' F D U2 L2
U' L' R' F D' R2 U2
R2 L' D B2 U2 L2 B'
R2 L' D B2 F U2 L2
U' L' R2 U2 D L2 B'
U' L' R2 D U2 L2 B'
R2 L' D' R2 F U2 F
U' L' R2 D F U2 L2
U' L' R2 D' R2 F U2
U' L' R2 D' F R2 U2
U' L' R2 F U' B2 U'
U' L' R2 F U2 D L2
U' L' R2 F D U2 L2
U' L' R2 F D' R2 U2
R2 L' D' F R2 U2 F
F2 L' U R D L2 B'
F2 L' U D L2 R B'
F2 L' U D L2 B' R
F2 L' U D R L2 B'
R L' F U' B2 L U'
R2 L' F D B2 U2 L2
R2 L' F D' R2 U2 F2
U' L' U' B2 U F U2
U' L' U2 L2 D B' L2
U' L' U2 D L2 D B'
U' L' U2 D L2 D' B'
U' L' U2 D L2 D2 B'
U' L' U2 D L2 B' D
U' L' U2 D L2 B' D'
U' L' U2 D L2 B' D2
U' L' U2 D B L2 B'
U' L' U2 D B' L2 B'
U' L' U2 D B2 L2 B'
U' L' D R U2 L2 B'
U' L' D R F U2 L2
U' L' D R' U2 L2 B'
U' L' D R' F U2 L2
U' L' D R2 U2 L2 B'
U' L' D R2 F U2 L2
F2 L' D U L2 R B'
F2 L' D U L2 B' R
F2 L' D U R L2 B'
U L' D L2 D2 R2 B'
U L' D L2 D2 B' R2
U' L' D U2 L2 D B'
U' L' D U2 L2 D' B'
U' L' D U2 L2 D2 B'
U' L' D U2 L2 B' D
U' L' D U2 L2 B' D'
U' L' D U2 L2 B' D2
U L' D L2 B' D2 R2
U' L' D U2 B L2 B'
U' L' D U2 B' L2 B'
U' L' D U2 B2 L2 B'
U' L' D F R U2 L2
U' L' D F R' U2 L2
U' L' D F R2 U2 L2
U' L' D F U2 L2 D
U' L' D F U2 L2 D'
U' L' D F U2 L2 D2
U' L' D F D2 R2 U2
U L' D F U2 L2 F'
U L' D F U2 F' L2
U' L' D' R' F R' U2
U' L' D' R2 D F U2
U' L' D' R2 D' F U2
U' L' D' R2 D2 F U2
U' L' D' R2 F U2 D
U' L' D' R2 F U2 D'
U' L' D' R2 F U2 D2
U' L' D' R2 F D U2
U' L' D' R2 F D' U2
U' L' D' R2 F D2 U2
U' L' D' F R2 U2 D
U' L' D' F R2 U2 D'
U' L' D' F R2 U2 D2
U' L' D' F R2 D U2
U' L' D' F R2 D' U2
U' L' D' F R2 D2 U2
U' L' D' F U2 D2 L2
U' L' D' F D2 U2 L2
U' L' D' F' R2 F2 U2
U' L' D' F2 R2 U2 B
U L' D' R2 F U2 F'
U L' D' F R2 B U2
U' L' D2 F U F U
U' L' F R U' B2 U'
U' L' F R U2 D L2
U' L' F R D U2 L2
U' L' F R D' R2 U2
U' L' F R' U' B2 U'
U' L' F R' U2 D L2
U' L' F R' D U2 L2
U' L' F R' D' R2 U2
U' L' F R2 U' B2 U'
U' L' F R2 U2 D L2
U' L' F R2 D U2 L2
U' L' F R2 D' R2 U2
U' L' F U D2 F2 U
U' L' F U' B2 U' D
U' L' F U' B2 U' D'
U' L' F U' B2 U' D2
U' L' F U' B2 D U'
U' L' F U' B2 D' U'
U' L' F U' B2 D2 U'
U' L' F U2 L D L2
U' L' F U2 L' D L2
U' L' F U2 L2 D L2
U' L' F U2 D L2 D
U' L' F U2 D L2 D'
U' L' F U2 D L2 D2
U2 L' F U' L B2 U'
U' L' F D R U2 L2
U' L' F D R' U2 L2
U' L' F D R2 U2 L2
U' L' F D U2 L2 D
U' L' F D U2 L2 D'
U' L' F D U2 L2 D2
U' L' F D' R2 U2 D
U' L' F D' R2 U2 D'
U' L' F D' R2 U2 D2
U' L' F D' R2 D U2
U' L' F D' R2 D' U2
U' L' F D' R2 D2 U2
U' L' F D2 U F2 U
U L' F U' B2 U' F'
U L' F U2 D L2 F'
U L' F U2 D F' L2
U L' F U2 F' D L2
U L' F D U2 L2 F'
U L' F D U2 F' L2
U L' F D' R2 B U2
U' L' F2 D F' U2 L2
U' L' F2 D' R2 U2 B
U' L' F2 D' F' R2 U2
L' R2 D F B2 U2 L2
L' R2 D B2 U2 L2 B'
L' R2 D B2 F U2 L2
L' R2 D' R2 F U2 F
L' R2 D' F R2 U2 F
L' R2 F D B2 U2 L2
L' R2 F D' R2 U2 F2
U' L2 D L F U2 L
U' L2 D' L R2 F U2
U' L2 D' L F R2 U2
U' L2 D' R2 L F U2
D2 L2 F2 U B2 R' B
D2 L2 F2 B2 U R' B
L U D B' L2 D R2
D2 L2 B2 F2 U R' B
U' R L' U2 D L2 B'
U' R L' D U2 L2 B'
U' R L' D F U2 L2
L U D2 R2 D' B' L2
U' R L' D' R2 F U2
L U D2 R2 B' D' L2
U' R L' D' F R2 U2
U' R L' F U' B2 U'
U' R L' F U2 D L2
U' R L' F D U2 L2
U' R L' F D' R2 U2
L U D2 B' R2 D' L2
F2 R U B2 L U' B'
L U' L2 U2 D L2 B'
L U' L2 D U2 L2 B'
L U' L2 D F U2 L2
L U' L2 D' R2 F U2
L U' L2 D' F R2 U2
L U' L2 F U' B2 U'
L U' L2 F U2 D L2
L U' L2 F D U2 L2
L U' L2 F D' R2 U2
U2 R B2 U L' F U2
U' R' L' U2 D L2 B'
U' R' L' D U2 L2 B'
U' R' L' D F U2 L2
U' R' L' D' R2 F U2
U' R' L' D' F R2 U2
U' R' L' F U' B2 U'
U' R' L' F U2 D L2
U' R' L' F D U2 L2
U' R' L' F D' R2 U2
L' U' F U' F' B2 U'
L' U' F U' B2 F' U'
L' U' B2 U F B2 U2
L' U' B2 U B2 F U2
L' U' B2 D L2 U' B'
L' U2 L2 D F2 B' L2
L' U2 L2 D B' L2 F2
L' U2 L2 D B' F2 L2
L2 U2 R B2 U' R' B'
L' U2 D L2 D F2 B'
L' U2 D L2 D B' F2
L' U2 D L2 B' D F2
L2 U2 R2 B2 U' R' B
U2 R' B2 U L' F U2
L U2 D F2 U' B' L2
U' R2 L' U2 D L2 B'
U' R2 L' D U2 L2 B'
U' R2 L' D F U2 L2
U' R2 L' D' R2 F U2
U' R2 L' D' F R2 U2
U' R2 L' F U' B2 U'
U' R2 L' F U2 D L2
U' R2 L' F D U2 L2
U' R2 L' F D' R2 U2
D' R2 D L' F B2 U2
D' R2 D L' B2 F U2
D' R2 D B2 L' F U2
L2 U2 B2 R U' B R2
D2 R2 D' F2 L2 R B
D2 R2 D' F2 R L2 B
D2 R2 D' F2 R B L2
L U2 B2 U L2 U2 B
L U2 B2 U' D2 B R2
L U2 B2 U' B D2 R2
L U2 B2 D F2 U' B
L U2 B2 D2 U' B R2
D2 R2 F2 R2 U R' B
U2 R2 B2 U L' F U2
F2 U L R D B' L2
L' D U2 L2 D F2 B'
L' D U2 L2 D B' F2
L' D U2 L2 B' D F2
L D U B' L2 D R2
F2 U L D R B' L2
F2 U L D B' L2 R
F2 U L D B' R L2
F2 U L' R D L2 B'
L' D F U2 L2 D F2
B2 U L' D F U2 F'
F2 U L' D L2 R B'
F2 U L' D L2 B' R
F2 U L' D R L2 B'
B2 U L' D' F U2 F'
B2 U L' D2 F U2 F'
B2 U L' F U2 D F'
B2 U L' F U2 D' F'
B2 U L' F U2 D2 F'
B2 U L' F U2 F' D
B2 U L' F U2 F' D'
B2 U L' F U2 F' D2
B2 U L' F D U2 F'
B2 U L' F D' U2 F'
B2 U L' F D2 U2 F'
B2 U L' F B U2 F'
B2 U L' F B' U2 F'
B2 U L' F B2 U2 F'
L D U2 F2 U' B' L2
B2 U L' B F U2 F'
B2 U L' B' F U2 F'
B2 U L' B2 F U2 F'
D U L2 D B2 R' B
F2 U R L D B' L2
F2 U R L' D L2 B'
U D L2 D B2 R' B
D U L2 B2 D R' B
U D L2 B2 D R' B
U2 D F2 U' L2 R B
U2 D F2 U' R L2 B
U2 D F2 U' R B L2
B2 U B L' F U2 F'
L' D' R2 D F B2 U2
L' D' R2 D B2 F U2
L' D' R2 D' F U2 F
L' D' R2 F U R2 U
L' D' R2 F U2 D' F2
L' D' R2 F D B2 U2
L' D' R2 F D' U2 F2
B2 U B' L' F U2 F'
B2 U B2 L' F U2 F'
B2 U' L' R F U2 L
L' D' F R2 U R2 U
L' D' F R2 U2 D' F2
L' D' F R2 D B2 U2
B2 U' L' R' F U2 L
L' D' F R2 D' U2 F2
B' U' L' D F U2 L'
B2 U' L' R2 F U2 L
B2 U' L' U2 L2 B' L'
B2 U' L' D F U2 L
B2 U' L' D' F U2 L
B2 U' L' D2 F U2 L
B2 U' L' F R U2 L
B2 U' L' F R' U2 L
B2 U' L' F R2 U2 L
B2 U' L' F U2 L D
B2 U' L' F U2 L D'
B2 U' L' F U2 L D2
B2 U' L' F U2 D L
B2 U' L' F U2 D' L
B2 U' L' F U2 D2 L
B2 U' L' F D U2 L
B2 U' L' F D' U2 L
B2 U' L' F D2 U2 L
U' D' R2 D L' F U2
D' U' R2 D L' F U2
B U' L' F U' B U'
B2 U' R L' F U2 L
B2 U' R' L' F U2 L
B2 U' R2 L' F U2 L
L D' B2 U D2 L2 B
L D' B2 U D2 B L2
L D' B2 U B D2 L2
L D' B2 U' R2 F' U2
L D' B2 D' F2 U B
L D' B2 D2 U L2 B
L D' B2 D2 U B L2
L D2 L2 F2 U R2 B
R D2 R' F2 U B R
L D2 R2 D' F2 B' L2
L D2 R2 D' B' L2 F2
L D2 R2 D' B' F2 L2
L D2 R2 B' D' L2 F2
L D2 R2 B' D' F2 L2
L D2 U R2 D' B' L2
L D2 U R2 B' D' L2
L D2 U B' R2 D' L2
L' D2 F U F U F'
D U2 F2 U' L2 R B
D U2 F2 U' R L2 B
D U2 F2 U' R B L2
R D2 F2 R' U B R2
L D2 F2 U R B' R
L D2 F2 U R2 D B'
L D2 F2 U R2 D' B'
L D2 F2 U R2 D2 B'
L D2 F2 U R2 B' D
L D2 F2 U R2 B' D'
L D2 F2 U R2 B' D2
L D2 F2 U B R2 B2
L D2 F2 U B' R2 D
L D2 F2 U B' R2 D'
L D2 F2 U B' R2 D2
L D2 F2 D B2 U B
L D2 F2 B U R2 B2
L D2 F2 B U B2 R2
L D2 F2 B2 U B R2
L D2 B F2 U R2 B2
L D2 B F2 U B2 R2
L D2 B' R2 D' L2 F2
L D2 B' R2 D' F2 L2
L D2 B2 F2 U B R2
L' F R U' B2 L U'
L' F R2 D B2 U2 L2
L' F R2 D' R2 U2 F2
B' U2 B' U L' F U2
B U2 B U L' F U2
L' F U D2 F2 U F2
L' F U' B2 U B2 U2
L' F U' B2 U' D2 F2
L' F U' B2 D L2 U'
L' F U' B2 D2 U' F2
L' F U2 L2 D L2 F2
L' F U2 L2 D F2 L2
L' F U2 D L2 D F2
L' F D U2 L2 D F2
L' F D' R2 U R2 U
L' F D' R2 U2 D' F2
L' F D' R2 D B2 U2
L' F D' R2 D' U2 F2
D2 F D' F L' U R
L' F D2 U F2 U F2
L F D2 F2 U R2 B'
L F D2 F2 U B' R2
F D F L' U L' R
F D F L' U R L'
L F' D2 F2 U R2 B'
L F' D2 F2 U B' R2
D2 F2 L U R' B R2
D2 F2 L' U R' B R2
D2 F2 L2 U R' B R2
D F2 L' U L' R B'
D F2 L' U L' B' R
D F2 L' U R L' B'
D2 F2 U R U2 F' U2
D2 F2 U R' B R2 D
D2 F2 U R' B R2 D'
D2 F2 U R' B R2 D2
D2 F2 U R' B' R2 B2
D2 F2 U R' B2 R2 B'
D2 F2 U B R' B R2
D2 F2 U B' R' B R2
D2 F2 U B2 R' B R2
D F2 U L' R B' L'
D F2 U L' B' L' R
D F2 U L' B' R L'
D F2 U R L' B' L'
D2 F2 U2 R' U' B R2
D F2 U' R B L2 F
D2 F2 D B' L U R
D2 F2 D B2 U R B
D2 F2 D2 L U R B'
D2 F2 D2 L U B' R
D2 F2 B U R' B R2
D2 F2 B' U R' B R2
L F2 D2 F2 U R2 B'
L F2 D2 F2 U B' R2
D2 F2 B2 U R' B R2
R F2 B2 L U' R B'
R F2 B2 L U' B' R
F' D2 F2 U R' B R'
F' D2 F2 U B R' B
F' D2 F2 B U R' B
F' D2 B F2 U R' B
D2 B F2 U R' B R2
D' B' L U D2 L2 R2
D' B' L U D2 R2 L2
D' B' L U' L2 R2 U2
D' B' L U' R2 L2 U2
D' B' L D' F2 B2 U
D' B' L D' B2 F2 U
D' B' L D2 U L2 R2
D' B' L D2 U R2 L2
D' B' D' F2 L U R
D2 B' F2 U R' B R2
R B2 L U L2 F U2
R B2 L U' D2 R2 B'
R B2 L U' D2 B' R2
R B2 L U' B' D2 R2
R B2 L D F2 U' B'
R B2 L D2 U' R2 B'
R B2 L D2 U' B' R2
U2 B2 R U L' F U2
U2 B2 R' U L' F U2
U' B2 U L' F B2 U2
U' B2 U L' B2 F U2
U2 B2 R2 U L' F U2
U' B2 U B2 L' F U2
U2 B2 U L' D F U2
U2 B2 U L' D' F U2
U2 B2 U L' D2 F U2
U2 B2 U L' F U2 D
U2 B2 U L' F U2 D'
U2 B2 U L' F U2 D2
U2 B2 U L' F D U2
U2 B2 U L' F D' U2
U2 B2 U L' F D2 U2
D' B2 U' L' R2 U2 B'
D' B2 U' R2 L' U2 B'
B2 F2 U R B2 L B'
F2 B2 U R B2 L B'
L B2 U' L2 U2 L2 B
L B2 U' L2 U2 B L2
U2 B2 D F2 U' R B
D' B2 D' F2 U R B
D2 B2 F2 U R' B R2
R B2 F2 L U' R B'
R B2 F2 L U' B' R
