D2 F L2 B' U L
B' D2 B' L2 U L'
B2 F U L' D B2
B2 F U D L' B2
B2 F U D B2 L'
B2 F U2 R2 U' L'
B2 F D U L' B2
B2 F D U B2 L'
B2 F D2 L2 U L
F B2 U L' D B2
F B2 U D L' B2
F B2 U D B2 L'
F B2 U2 R2 U' L'
F B2 U2 R2 U' L'
F B2 D U L' B2
F B2 D U B2 L'
F B2 D2 L2 U L
B2 L F U L' D B2
B2 L F U D L' B2
B2 L F U D B2 L'
B2 L F U2 R2 U' L'
B2 L F D U L' B2
B2 L F D U B2 L'
B2 L F D2 L2 U L
F L B2 U L2 D B2
F L B2 U2 R2 U' L2
F L B2 D F2 U B2
D2 L' D L' F U R2
D' L' D' F L2 B' U
D' L' F L2 U R2 B'
D' L' F L2 U B' R2
D' L' F U' F U2 R2
B2 L' F U L' D B2
B2 L' F U D L' B2
B2 L' F U D B2 L'
B2 L' F U2 R2 U' L'
B2 L' F D U L' B2
B2 L' F D U B2 L'
B2 L' F D2 L2 U L
F L' B2 D2 L2 U L2
F L2 U D L B2 R'
B' L2 U2 R2 F U' L'
B' L2 U2 F R2 U' L'
D2 L2 U2 F2 B' U' L
D2 L2 U2 B' F2 U' L
F L2 D U L B2 R'
B' L2 D2 L2 B' U L
D2 L2 D2 F B2 U L'
D2 L2 D2 B2 F U L'
B2 L2 F U L' D B2
B2 L2 F U D L' B2
B2 L2 F U D B2 L'
B2 L2 F U2 R2 U' L'
B2 L2 F D U L' B2
B2 L2 F D U B2 L'
B2 L2 F D2 L2 U L
D' L2 F' U R2 B L
D2 L2 B D2 B2 U L
D2 L2 B' U L D R2
D2 L2 B' U D L R2
D2 L2 B' U D R2 L
D2 L2 B' U2 F2 U' L
D2 L2 B' D U L R2
D2 L2 B' D U R2 L
F L2 B2 U D B2 L
F L2 B2 D U B2 L
R2 U' F L' D' R2 F2
R2 U' F L' D' F2 R2
R2 U' F D' L' R2 F2
R2 U' F D' L' F2 R2
R2 U' F D' R2 L' F2
R2 U' F' D' F2 L' R2
R2 U' F' D' F2 R2 L'
R2 U2 R2 F B2 U L'
R2 U2 R2 B2 F U L'
F R' B2 L R U L2
F R' B2 R L U L2
R2 U2 F R2 B2 U L'
R2 U2 F B2 R2 U L'
R2 U2 F' R2 B2 U L
F' R2 U' D' R2 F2 L'
F R2 U' L' D' R2 F2
F R2 U' L' D' F2 R2
F R2 U' D' L' R2 F2
F R2 U' D' L' F2 R2
F R2 U' D' R2 L' F2
F' R2 U2 B2 R2 U L
U2 R2 U2 F B2 U L'
U2 R2 U2 B2 F U L'
F R2 U2 R2 B2 U L'
F R2 U2 B2 R2 U L'
R2 U2 B2 R2 F U L'
F' R2 D' U' R2 F2 L'
R2 U2 B2 F R2 U L'
F R2 D' U' L' R2 F2
F R2 D' U' L' F2 R2
F R2 D' U' R2 L' F2
U2 R2 D2 F2 B' U' L
F R2 D2 L2 F2 U' L
U2 R2 D2 B' F2 U' L
U2 R2 F U' L' D' R2
U2 R2 F U' D' L' R2
U2 R2 F U' D' R2 L'
U2 R2 F U2 B2 U L'
U2 R2 F D' U' L' R2
U2 R2 F D' U' R2 L'
U2 R2 F' D2 F2 U' L'
B R2 F' U' D' F2 L'
B R2 F' D' U' F2 L'
F U L' D B2 D2 R2
F U L' D' R2 D2 B2
F U L2 D L B2 R'
B2 U D B' D B' L
F' U D' R2 D2 B2 L
F U D L B2 L2 R'
F U D L B2 R' L2
F U D B2 D2 L' R2
F U D B2 D2 R2 L'
F U D' L' R2 D2 B2
F U D' R2 L' D2 B2
F U D' R2 D2 L' B2
F U D' R2 D2 B2 L'
B2 U D2 B D' B2 L
B2 U D2 B' D' L B2
R2 D' L B' U' R2 F2
R2 D' L B' U' F2 R2
B2 U F L' D F' B2
B2 U F L' D B2 F'
B2 U F L' F' D B2
B2 U F D L' F' B2
B2 U F D L' B2 F'
B2 U F D B2 L' F'
D2 U B' D' L B2 R'
F' U' D L2 R U2 B2
F' U' D R L2 U2 B2
F' U' D' R F2 L' U2
F' U' D' F2 U2 L' R2
F' U' D' F2 U2 R2 L'
F U' D L2 U2 L B2
F U' D' F2 R U2 R
B2 U' F U' R2 U' L'
B2 U' F U2 L' D B2
B2 U' F U2 D L' B2
B2 U' F U2 D B2 L'
B2 U' F D U2 L' B2
B2 U' F D U2 B2 L'
B2 U' F D' F2 R U2
B2 U' F' R U' R U'
