B L B2 R2 F' U' L'
R2 L' F U R B U2
L' R2 F U R B U2
F' L2 R2 U' L F R
F' R2 L2 U' L F R
B' R2 F2 L' F U' L'
L' F R2 U R' U2 F'
B2 D F' L' R F B2
B2 D F' L' R B2 F
B2 D F' L' B2 R F
B2 D F' R L' F B2
B2 D F' R L' B2 F
B2 D F' R B2 L' F
D F' L' B2 D' R F'
R2 F' L2 U' L F R
B2 D F' B2 L' R F
B2 D F' B2 R L' F
D F' R B2 D L' F
B2 D B2 F' L' R F
B2 D B2 F' R L' F
D F' B2 L' D' R F'
D F' B2 R D L' F
D F' B2 D L' R F
D F' B2 D R L' F
D F' B2 D' L' R F'
D F' B2 D' R L' F'
D B2 F' L' D' R F'
D B2 F' R D L' F
D B2 F' D L' R F
D B2 F' D R L' F
D B2 F' D' L' R F'
D B2 F' D' R L' F'
