L2 U F' L' B' R'
U' D F' R B L
U D F' L' R B'
D U F' L' R B'
U D F' L' B' R
D U F' L' B' R
U D F' R L' B'
D U F' R L' B'
D U' F' R B L
L' F R B U' F2
L B' U F' L' B'
D L U F' L' R B'
D L U F' L' B' R
D L U F' R L' B'
D L U' F' R B L
B' L B' U F' L' B'
B2 L B' U F' L' B'
B L B' U F' L' B'
F L' R F B U' F
F L' R B F U' F
D L' U F' L' R B'
D L' U F' L' B' R
D L' U F' R L' B'
D L' U' F' R B L
B' L' F R B U' F2
B2 L' F R B U' F2
B L' F R B U' F2
U L' F U' F2 B' L'
U L' F U' B' F2 L'
U2 L' F B' R' U' F2
U L' F' D R2 B' L'
U L' F' D B' L' R2
U L' F' D B' R2 L'
U L' F' B' L' D R2
U L' F' B' D L' R2
U L' F' B' D R2 L'
U2 L' B' F R' U' F2
U L' B' F' L' D R2
U L' B' F' D L' R2
U L' B' F' D R2 L'
B' L2 U F' L' B' R'
B' L2 U F' L' B' R'
B2 L2 U F' L' B' R'
B2 L2 U F' L' B' R'
D L2 U F' L' R B'
D L2 U F' L' B' R
D L2 U F' L' B' R
D L2 U F' R L' B'
B L2 U F' L' B' R'
B L2 U F' L' B' R'
D L2 U' F' R B L
L2 U L' F' B' L' R'
L2 U L' F' B' R' L'
L2 U L' B' F' L' R'
L2 U L' B' F' R' L'
L2 U D F' L' B' R'
L2 U D' F' L' B' R'
L2 U D2 F' L' B' R'
F R L' F B U' F
L' U F' L' D R2 B'
L' U F' L' D B' R2
L' U F' L' B' D R2
F R L' B F U' F
L2 U F' L' R B' R'
L2 U F' L' R' B' R'
L2 U F' L' R2 B' R'
L2 U F' L' D B' R'
L2 U F' L' D' B' R'
L2 U F' L' D2 B' R'
L2 U F' L' B' R' D
L2 U F' L' B' R' D'
L2 U F' L' B' R' D2
L2 U F' L' B' D R'
L2 U F' L' B' D' R'
L2 U F' L' B' D2 R'
L2 U F' R L' B' R'
L' U F' D L' R2 B'
L' U F' D L' B' R2
L' U F' D R2 L' B'
L2 U F' R' L' B' R'
L2 U F' R2 L' B' R'
L2 U F' D L' B' R'
L2 U F' D' L' B' R'
L2 U F' D2 L' B' R'
L2 U F' B' L' R' B'
L2 U F' B' R' L' B'
L2 U B' F' L' R' B'
L2 U B' F' R' L' B'
U' R D' B L R' F'
U' R D' B R' L F'
U' R D' B R' F' L
F R D' L2 B U' R'
F R D' B L2 U' R'
F R B L' F U' F
L2 U' F R F2 B L
L2 U' F R B L F2
L2 U' F R B F2 L
D R' F' L' U R F'
L2 D U F' L' B' R'
U' D L F' R B L
L' D F R B U' F2
U' D L' F' R B L
D U L' F' R B' L'
D U L' F' B' L' R
D U L' F' B' R L'
U' D L2 F' R B L
D U L' B' F' L' R
D U L' B' F' R L'
U D L' F' R B' L'
U D L' F' B' L' R
U D L' F' B' R L'
U D L' B' F' L' R
U D L' B' F' R L'
B' U D F' L' R B'
B' U D F' L' B' R
B' U D F' R L' B'
B2 U D F' L' R B'
B2 U D F' L' B' R
B2 U D F' R L' B'
L D B' U F' L' B'
U' D F' L R B L
U' D F' L' R B L
D' U F' L' B R' B2
U' D F' L2 R B L
U' D F' R L B L
U' D F' R L' B L
U' D F' R L2 B L
U' D F' R D B L
U' D F' R D' B L
U' D F' R D2 B L
U' D F' R B L D
U' D F' R B L D'
U' D F' R B L D2
U' D F' R B D L
U' D F' R B D' L
U' D F' R B D2 L
B U D F' L' R B'
B U D F' L' B' R
B U D F' R L' B'
U' D F' D R B L
U' D F' D' R B L
U' D F' D2 R B L
D' U F' B L' R' B'
D' U F' B R' L' B'
U' D F' B L R B
U' D F' B R L B
D' U F' B2 L' B' R'
D U F' L' R D B'
D U F' L' R D' B'
D U F' L' R D2 B'
D U F' L' R B' D
D U F' L' R B' D'
D U F' L' R B' D2
D U F' L' R' B' R2
D U F' L' D R B'
D U F' L' D B' R
D U F' L' D' R B'
D U F' L' D' B' R
D U F' L' D2 R B'
D U F' L' D2 B' R
D U F' L' B R B2
D U F' L' B' R D
D U F' L' B' R D'
D U F' L' B' R D2
D U F' L' B' D R
D U F' L' B' D' R
D U F' L' B' D2 R
D U F' R L' D B'
D U F' R L' D' B'
D U F' R L' D2 B'
D U F' R L' B' D
D U F' R L' B' D'
D U F' R L' B' D2
D U F' R D L' B'
D U F' R D' L' B'
D U F' R D2 L' B'
D U F' R B L' B'
D U F' R B' L' B'
D U F' R B2 L' B'
D U F' R' L' B' R2
U D F' L' R D B'
U D F' L' R D' B'
U D F' L' R D2 B'
U D F' L' R B' D
U D F' L' R B' D'
U D F' L' R B' D2
U D F' L' R' B' R2
U D F' L' D R B'
U D F' L' D B' R
U D F' L' D' R B'
U D F' L' D' B' R
U D F' L' D2 R B'
U D F' L' D2 B' R
U D F' L' B R B2
U D F' L' B' R D
U D F' L' B' R D'
U D F' L' B' R D2
U D F' L' B' D R
U D F' L' B' D' R
U D F' L' B' D2 R
D U F' D L' R B'
D U F' D L' B' R
D U F' D R L' B'
U D F' R L' D B'
U D F' R L' D' B'
U D F' R L' D2 B'
U D F' R L' B' D
U D F' R L' B' D'
U D F' R L' B' D2
U D F' R D L' B'
U D F' R D' L' B'
U D F' R D2 L' B'
D U F' D' L' R B'
U D F' R B L' B'
D U F' D' L' B' R
U D F' R B' L' B'
D U F' D' R L' B'
U D F' R B2 L' B'
U D F' R' L' B' R2
D U F' D2 L' R B'
D U F' D2 L' B' R
D U F' D2 R L' B'
D U F' B L' R B'
D U F' B L' B' R
D U F' B R L' B'
D U F' B' L' R B'
D U F' B' L' B' R
D U F' B' R L' B'
D U F' B2 L' R B'
D U F' B2 L' B' R
D U F' B2 R L' B'
U' D B L F' R B
U D F' D L' R B'
U D F' D L' B' R
U D F' D R L' B'
U D F' D' L' R B'
U D F' D' L' B' R
U D F' D' R L' B'
U D F' D2 L' R B'
U D F' D2 L' B' R
U D F' D2 R L' B'
U D F' B L' R B'
U D F' B L' B' R
U D F' B R L' B'
U D F' B' L' R B'
U D F' B' L' B' R
U D F' B' R L' B'
U D F' B2 L' R B'
U D F' B2 L' B' R
U D F' B2 R L' B'
D' U B F' L' R' B'
U' D B F' L R B
D' U B F' R' L' B'
U' D B F' R L B
D U B F' L' R B'
D U B F' L' B' R
D U B F' R L' B'
U D B F' L' R B'
U D B F' L' B' R
U D B F' R L' B'
D' U B2 F' L' B' R'
D U B' F' L' R B'
D U B' F' L' B' R
D U B' F' R L' B'
U D B' F' L' R B'
U D B' F' L' B' R
U D B' F' R L' B'
D U B2 F' L' R B'
D U B2 F' L' B' R
D U B2 F' R L' B'
U D B2 F' L' R B'
U D B2 F' L' B' R
U D B2 F' R L' B'
D U' L F' R B L
L2 D' U F' L' B' R'
D U' L' F' R B L
U' D' R B L R' F'
D' U' R B L R' F'
U' D' R B R' L F'
D' U' R B R' L F'
U' D' R B R' F' L
D' U' R B R' F' L
D U' L2 F' R B L
L' D' F R B U' F2
D' U' F' R B L R'
U' D' F' R B L R'
D' U' F' R B R' L
U' D' F' R B R' L
D U' F' L R B L
D U' F' L' R B L
D U' F' L2 R B L
D U' F' R L B L
D U' F' R L' B L
D U' F' R L2 B L
D U' F' R D B L
D U' F' R D' B L
D U' F' R D2 B L
D U' F' R B L D
D U' F' R B L D'
D U' F' R B L D2
D U' F' R B D L
D U' F' R B D' L
D U' F' R B D2 L
U D' F' L' B R' B2
D U' F' D R B L
D U' F' D' R B L
D U' F' D2 R B L
D U' F' B L R B
D U' F' B R L B
B' U' D F' R B L
U D' F' B L' R' B'
B2 U' D F' R B L
U D' F' B R' L' B'
U D' F' B2 L' B' R'
L D' B' U F' L' B'
D U' B L F' R B
B U' D F' R B L
D U' B F' L R B
D U' B F' R L B
U D' B F' L' R' B'
U D' B F' R' L' B'
U D' B2 F' L' B' R'
L2 D2 U F' L' B' R'
L' D2 F R B U' F2
L' F L R B U' F2
L D2 B' U F' L' B'
L' F L' R B U' F2
L' F L2 R B U' F2
L' F R L B U' F2
L' F R L' B U' F2
L' F R L2 B U' F2
L' F R D' L2 B U'
L' F R D' B L2 U'
D2 F R F' B U' F'
D' F R B U' R' F2
D' F R B U' F2 R'
D2 F R B F' U' F'
L' F R B L U' F2
L' F R B L' U' F2
L' F R B L2 U' F2
L' F R B U' F2 D
L' F R B U' F2 D'
L' F R B U' F2 D2
L' F R B D' L2 U'
D F R B U' F2 R
L' F D' L2 R B U'
L' F D' R L2 B U'
L' F D' R B L2 U'
L' F B R B U' F2
L' F B' R B U' F2
B' D U F' L' R B'
B' D U F' L' B' R
B' D U F' R L' B'
L' F B2 R B U' F2
B2 D U F' L' R B'
B2 D U F' L' B' R
B2 D U F' R L' B'
B' D U' F' R B L
B2 D U' F' R B L
B D U F' L' R B'
B D U F' L' B' R
B D U F' R L' B'
B D U' F' R B L
U F' L' U F U' B'
U' F' R D' B L R'
U' F' R D' B R' L
U F' L' B' U F U'
U' F' D' R B L R'
U' F' D' R B R' L
F D' L2 R B U' R'
U F' D' L' B R' B2
F D' R L2 B U' R'
U F' D' B L' R' B'
U F' D' B R' L' B'
U F' D' B2 L' B' R'
F D' R B L2 U' R'
U2 B L F B' U F2
U2 B L B' F U F2
D' B U F' L' R' B'
D' B U F' R' L' B'
L2 B U F' L' B' R'
D B U F' L' R B'
D B U F' L' B' R
D B U F' R L' B'
U' B D L F' R B
D B U' F' R B L
U' B D F' L R B
U' B D F' R L B
U B D F' L' R B'
U B D F' L' B' R
U B D F' R L' B'
L' B F R B U' F2
L B' L U F' L' B'
L B' L' U F' L' B'
L B' L2 U F' L' B'
L2 B' U F' L' B' R'
D B' U F' L' R B'
D B' U F' L' B' R
D B' U F' R L' B'
L B' U L' F' B' L'
L B' U L' B' F' L'
L B' U D F' L' B'
L B' U D' F' L' B'
L B' U D2 F' L' B'
L B' U F' L' D B'
L B' U F' L' D' B'
L B' U F' L' D2 B'
L B' U F' L' B' D
L B' U F' L' B' D'
L B' U F' L' B' D2
L B' U F' D L' B'
L B' U F' D' L' B'
L B' U F' D2 L' B'
L B' U F' B L' B'
L B' U F' B' L' B'
L B' U F' B2 L' B'
L B' U B F' L' B'
L B' U B' F' L' B'
L B' U B2 F' L' B'
D B' U' F' R B L
L B' D U F' L' B'
U B' D F' L' R B'
U B' D F' L' B' R
U B' D F' R L' B'
L' B' F R B U' F2
L B' D' U F' L' B'
L B' D2 U F' L' B'
L2 B2 U F' L' B' R'
D B2 U F' L' R B'
D B2 U F' L' B' R
D B2 U F' R L' B'
D B2 U' F' R B L
U B2 D F' L' R B'
U B2 D F' L' B' R
U B2 D F' R L' B'
L' B2 F R B U' F2
