L' U' R' B L
L' R B U' R2 B
R L' B U' R2 B
L' U' L R' B L
L' U' L' R' B L
L' U' L2 R' B L
L' U' R' L B L
L' U' R' L' B L
L' U' R' L2 B L
L' U' R' D B L
L' U' R' D' B L
L' U' R' D2 B L
L' U' R' B L D
L' U' R' B L D'
L' U' R' B L D2
L' U' R' B D L
L' U' R' B D' L
L' U' R' B D2 L
U' R' B L D F2
F U' R' F' B L
F U' R' B L F'
F U' R' B F' L
L' F U' R' B L
L' F' U' R' B L
L' F2 U' R' B L
R B L' U' R2 B
U' L R' D F2 B L
U' L R' D B L F2
U' L R' D B F2 L
U' L R' B D L F2
U' L R' B D F2 L
F L U' R' F' B L
F L U' R' B L F'
F L U' R' B F' L
L' R B R' U' R' B
L R B L2 U' R2 B
R L B L2 U' R2 B
L' R B U F' U2 R2
L' R B U' R2 D B
L' R B U' R2 D' B
L' R B U' R2 D2 B
L' R B U' R2 B D
L' R B U' R2 B D'
L' R B U' R2 B D2
L' R B U' B R2 B
L' R B U' B' R2 B
L' R B U' B2 R2 B
R' L' U' F' U F B
R' L' U' F' U B F
L' R' U' F' U F B
L' R' U' F' U B F
D L' R B R' U' R'
U2 L' R B' U' R2 B
D2 L' U F R U2 R2
B' L' U' R' B L R'
D' L' U' D R' B L
B' L' U' R' B R' L
U2 L' U' R' B D L2
F L' U' R' F' B L
F L' U' R' B L F'
F L' U' R' B F' L
D L' U' D' R' B L
B' L' U' B L R' B
B' L' U' B R' L B
D' L' D U' R' B L
R' L' B U' F' U F
L' R' B U' F' U F
R L' B R' U' R' B
D L' D' U' R' B L
R L' B U F' U2 R2
R L' B U' R2 D B
R L' B U' R2 D' B
R L' B U' R2 D2 B
R L' B U' R2 B D
R L' B U' R2 B D'
R L' B U' R2 B D2
R L' B U' B R2 B
R L' B U' B' R2 B
R L' B U' B2 R2 B
D' L' F' R B U' R2
U L' F' U' L' R' B
U L' F' U' R' L' B
U L' F' U' R' B L'
B' L' B U' R' B L
U2 L' B' R' U' B R'
U2 L' B' U' R' B R'
U2 L' B' U' B R' B
B L' B' U' R' B L
F L2 U' R' F' B L
F L2 U' R' B L F'
F L2 U' R' B F' L
L' U L U2 R' B L
R' U L' U2 F' U B
L' U L' U2 R' B L
L' U L2 U2 R' B L
R U L' B U' R2 B
L' U R U2 R2 B L
L' U R F' U2 L' R2
L' U R F' U2 R2 L'
L' U F R U2 R2 B
L' U F R F' U2 R2
U2 R L' B' U' R2 B
D R L' B R' U' R'
L' U F' U2 L' R' B
L' U F' U2 R' L' B
L' U F' U2 R' B L'
R U B L' U' R2 B
F2 R U2 B U' R2 B
L' U' L R' D B L
L' U' L R' D' B L
L' U' L R' D2 B L
L' U' L R' B L D
L' U' L R' B L D'
L' U' L R' B L D2
L' U' L R' B D L
L' U' L R' B D' L
L' U' L R' B D2 L
L' U' L' R' D B L
L' U' L' R' D' B L
L' U' L' R' D2 B L
L' U' L' R' B L D
L' U' L' R' B L D'
L' U' L' R' B L D2
L' U' L' R' B D L
L' U' L' R' B D' L
L' U' L' R' B D2 L
L' U' L2 R' D B L
L' U' L2 R' D' B L
L' U' L2 R' D2 B L
L' U' L2 R' B L D
L' U' L2 R' B L D'
L' U' L2 R' B L D2
L' U' L2 R' B D L
L' U' L2 R' B D' L
L' U' L2 R' B D2 L
R U' L' B U' R2 B
L' U' R B L R2 B
L' U' R B R2 L B
L' U' R' L D B L
L' U' R' L D' B L
L' U' R' L D2 B L
L' U' R' L B L D
L' U' R' L B L D'
L' U' R' L B L D2
L' U' R' L B D L
L' U' R' L B D' L
L' U' R' L B D2 L
L' U' R' L' D B L
L' U' R' L' D' B L
L' U' R' L' D2 B L
L' U' R' L' B L D
L' U' R' L' B L D'
L' U' R' L' B L D2
L' U' R' L' B D L
L' U' R' L' B D' L
L' U' R' L' B D2 L
L' U' R' L2 D B L
L' U' R' L2 D' B L
L' U' R' L2 D2 B L
L' U' R' L2 B L D
L' U' R' L2 B L D'
L' U' R' L2 B L D2
L' U' R' L2 B D L
L' U' R' L2 B D' L
L' U' R' L2 B D2 L
L' U' R' D L B L
L' U' R' D L' B L
L' U' R' D L2 B L
L' U' R' D B L D
L' U' R' D B L D'
L' U' R' D B L D2
L' U' R' D B D L
L' U' R' D B D' L
L' U' R' D B D2 L
L' U' R' D' L B L
L' U' R' D' L' B L
L' U' R' D' L2 B L
L' U' R' D' B L D
L' U' R' D' B L D'
L' U' R' D' B L D2
L' U' R' D' B D L
L' U' R' D' B D' L
L' U' R' D' B D2 L
L' U' R' D2 L B L
L' U' R' D2 L' B L
L' U' R' D2 L2 B L
