B' L F U' B2
B' L R F U' B2
B' L R' F U' B2
B' L R2 F U' B2
B' L D' R2 F U'
B' L D' F R2 U'
B' L F R U' B2
B' L F R' U' B2
B' L F R2 U' B2
B' L F U' B2 D
B' L F U' B2 D'
B' L F U' B2 D2
B' L F D' R2 U'
B' R L F U' B2
B' R' L F U' B2
B' R2 L F U' B2
B' D' L R2 F U'
B' D' L F R2 U'
B' D' R2 L F U'
B' F L F U' B2
U B' L U' R' B2
F' B' L F U' B2
B' F' L F U' B2
F2 B' L F U' B2
F B' L F U' B2
B' F2 L F U' B2
B' L R D' R2 F U'
B' L R D' F R2 U'
B' L R F R U' B2
B' L R F R' U' B2
B' L R F R2 U' B2
B' L R F U' B2 D
B' L R F U' B2 D'
B' L R F U' B2 D2
B' L R F D' R2 U'
B' L R' D' R2 F U'
B' L R' D' F R2 U'
B' L R' F R U' B2
B' L R' F R' U' B2
B' L R' F R2 U' B2
B' L R' F U' B2 D
B' L R' F U' B2 D'
B' L R' F U' B2 D2
B' L R' F D' R2 U'
B' L R2 D' R2 F U'
B' L R2 D' F R2 U'
B' L R2 F R U' B2
B' L R2 F R' U' B2
B' L R2 F R2 U' B2
B' L R2 F U' B2 D
B' L R2 F U' B2 D'
B' L R2 F U' B2 D2
B' L R2 F D' R2 U'
B L U F B2 L U'
B L U B2 F L U'
B' L U' B2 U F U'
B' L U2 L2 B' U B'
B' L U2 D L2 B' U
B' L D U2 L2 B' U
B' L D F U' D' B2
B' L D F U2 L2 U
B' L D F D' U' B2
B' L D F D2 R2 U'
B' L D' R' F R' U'
B' L D' R2 D F U'
B' L D' R2 D' F U'
B' L D' R2 D2 F U'
B' L D' R2 F U' D
B' L D' R2 F U' D'
B' L D' R2 F U' D2
B' L D' R2 F D U'
B' L D' R2 F D' U'
B' L D' R2 F D2 U'
B' L D' F R2 U' D
B' L D' F R2 U' D'
B' L D' F R2 U' D2
B' L D' F R2 D U'
B' L D' F R2 D' U'
B' L D' F R2 D2 U'
B' L D' F U' D B2
B' L D' F D U' B2
B' L D' F' R2 F2 U'
B' L D2 F U F U2
D2 L F L' B' U' B2
B' L F R U' B2 D
B' L F R U' B2 D'
B' L F R U' B2 D2
B' L F R D' R2 U'
B' L F R' U' B2 D
B' L F R' U' B2 D'
B' L F R' U' B2 D2
B' L F R' D' R2 U'
B' L F R2 U' B2 D
B' L F R2 U' B2 D'
B' L F R2 U' B2 D2
B' L F R2 D' R2 U'
B' L F U D2 F2 U2
B' L F U F U2 B2
B' L F U F' U2 B2
