B2 L U' R' B U F'
R' U L B U F B
R' U L B U B F
R2 U R2 B2 L F R
R' U B L U F B
R' U B L U B F
R2 U' R B L U2 B
U' R' U B U F' B
U' R' U B U B F'
D' R' U' R' U' F' R
B' R' B U B2 L F
B2 R' B U B' L F
B' R2 U B' L F R
B' R2 U' B' L R' F'
B' R2 U' B' R' L F'
B' R2 U' B' R' F' L
R D' F' L' R2 B U'
R D' F' R2 L' B U'
R D' F' R2 B L' U'
R F' L' R' U' B2 L
R F' L' U R2 U2 B2
R F' L' U' B2 D2 L2
R F' R' L' U' B2 L
B2 D' F' L R D F2
B2 D' F' L D R F2
B2 D' F' R L D F2
U' B D B L R' F'
U' B D B R' L F'
U' B D B R' F' L
U B D B L R' F
U B D B L F R'
U B D B R' L F
U2 B' R' B U B2 L
U' B2 L D' R' F' R
U2 B2 L D' R F' R
U2 B2 L D' F' R F'
U B2 L R F D R2
U B2 L D' F' R F2
U B2 L F2 D' F' R
U B2 R L F D R2
U' B2 D' L R' F' R
U' B2 D' R' L F' R
U' B2 D' R' F' L R
U' B2 D' R' F' R L
U2 B2 D' L R F' R
U2 B2 D' L F' R F'
U2 B2 D' R L F' R
U2 B2 D' R F' L R
U2 B2 D' R F' R L
U2 B2 D' F' L R F'
U2 B2 D' F' R L F'
U2 B2 D' F' R F' L
U B2 D' L F' R F2
U B2 D' F' L R F
U B2 D' F' R L F
U B2 D' F2 L F R
