D' L2 U2 L' B' L
L U' F2 B' R' U'
L U' B' R' F2 U'
L U' B' F2 R' U'
D R' F' R U2 R2
R' D F' R U2 R
D F U2 L' R2 B'
D F U2 L' B' R2
D F U2 R2 L' B'
D F' R U2 B R
D L R' F' R U2 R2
L R U' F2 B' U' B2
L R U' B' F2 U' B2
R L U' F2 B' U' B2
R L U' B' F2 U' B2
L R U2 B D L2 R2
L R U2 B D R2 L2
R L U2 B D L2 R2
R L U2 B D R2 L2
F' L U' F' B' R' U'
F' L U' B' F' R' U'
F2 L U' B' R' U' R
U L U2 F2 B' R' U'
U L U2 B' R' F2 U'
U L U2 B' F2 R' U'
R' L F' U' F' B' U'
R' L F' U' B' F' U'
D L F U2 L' R2 B'
D L F U2 L' B' R2
D L F U2 R2 L' B'
L R B D L2 R2 F
L R B D L2 F R2
L R B D R2 L2 F
R L B D L2 R2 F
R L B D L2 F R2
R L B D R2 L2 F
D L F' R U2 B R
U2 L B D L2 R2 B'
U2 L B D L2 B' R2
U2 L B D R2 L2 B'
U' L B' L' R' F2 U'
U' L B' L' F2 R' U'
U' L B' R' L' F2 U'
D L' R' F' R U2 R2
L2 R' F' U' F' U' L'
L R' F' U' F' B' U'
L R' F' U' B' F' U'
D L' F U2 L' R2 B'
D L' F U2 L' B' R2
D L' F U2 R2 L' B'
U L' F U2 R F U'
D L' F' R U2 B R
D' L2 R U2 B' L B2
D' L2 R' D2 F' R U2
D L2 R' F' R U2 R2
R' L2 F' U' F' U' L'
F' L2 U' F' U' L' B'
D' L2 U' B' R' U' L
D' L2 U2 L' B' L D
D' L2 U2 L' B' L D'
D' L2 U2 L' B' L D2
D' L2 U2 L' B' D L
D' L2 U2 L' B' D' L
D' L2 U2 L' B' D2 L
D' L2 U2 L2 B' L B'
D' L2 U2 B' L' B' L2
D' L2 D2 R' F' R U2
D' L2 D2 F U2 L' B'
D' L2 D2 F' R U2 B
D' L2 F U2 L' B' L
D L2 F U2 L' R2 B'
D L2 F U2 L' B' R2
D L2 F U2 R2 L' B'
D' L2 F' U2 L' B' L
D L2 F' R U2 B R
D' L2 F2 U2 L' B' L
D' L2 B R' F' B' U2
D' L2 B R' B' F' U2
L' U F U2 R F U'
D' R L2 U2 B' L B2
D2 R U F' B2 U B'
D2 R U B2 F' U B'
D' R U2 B' L B2 R'
D R F2 L' U2 B L
L U' R F2 B' R' U'
L U' R B' R' F2 U'
L U' R B' F2 R' U'
D R B L2 R F L'
D R B R L2 F L'
L U' R' F2 B' R' U'
L U' R' B' R' F2 U'
L U' R' B' F2 R' U'
L U' R2 F2 B' R' U'
L U' R2 B' R' F2 U'
L U' R2 B' F2 R' U'
L U' D B' R' U' R'
D R' L F' R U2 R2
D R' L' F' R U2 R2
D' R' L2 D2 F' R U2
L U' F B' R' F U'
D R' L2 F' R U2 R2
L' U' F2 U2 F' L' U
L U' F2 R B' R' U'
L U' F2 R' B' R' U'
L U' F2 R2 B' R' U'
L U' F2 D B' R' U'
L U' F2 D' B' R' U'
L U' F2 D2 B' R' U'
L U' F2 B' R' U' D
L U' F2 B' R' U' D'
L U' F2 B' R' U' D2
L U' F2 B' R' D U'
L U' F2 B' R' D' U'
L U' F2 B' R' D2 U'
L U' F2 B' D R' U'
L U' F2 B' D' R' U'
L U' F2 B' D2 R' U'
L U' B' R F2 R2 U'
L U' B' R' U' D R2
L U' B' R' D U' R2
L U' B' R' F2 U' D
L U' B' R' F2 U' D'
L U' B' R' F2 U' D2
L U' B' R' F2 D U'
L U' B' R' F2 D' U'
L U' B' R' F2 D2 U'
L U' B' D R' U' R'
L U' B' F R' F U'
L U' B' F2 R' U' D
L U' B' F2 R' U' D'
L U' B' F2 R' U' D2
L U' B' F2 R' D U'
L U' B' F2 R' D' U'
L U' B' F2 R' D2 U'
L U' B' F2 D R' U'
L U' B' F2 D' R' U'
L U' B' F2 D2 R' U'
D' R' D2 F' R U2 R
R U2 L B D L2 R2
R U2 L B D R2 L2
D R' F' L R U2 R2
D R' F' L' R U2 R2
D R' F' L2 R U2 R2
D R' F' R L U2 R2
D R' F' R L' U2 R2
D R' F' R L2 U2 R2
D R' F' R U2 R2 D
D R' F' R U2 R2 D'
D R' F' R U2 R2 D2
D R' F' R D2 L2 U2
D' R' F2 L2 U2 B' L
D R' F' U2 R' D2 L2
D R' F' D R U2 R2
D R' F' D' R U2 R2
D R' F' D2 R U2 R2
R U2 D' B' L B2 R'
R' D L F' R U2 R
R' D L' F' R U2 R
R' D L2 F' R U2 R
D R2 F' R F' U2 R'
R' D R2 B L2 F L'
R D R2 F' R U2 R'
L D U' B' R' U' R'
U2 D L' R2 D2 B' L
R' D F' L R U2 R
R' D F' L' R U2 R
R' D F' L2 R U2 R
R' D F' R L U2 R
R' D F' R L' U2 R
R' D F' R L2 U2 R
R' D F' R U2 R D
R' D F' R U2 R D'
R' D F' R U2 R D2
R' D F' R U2 D R
R' D F' R U2 D' R
R' D F' R U2 D2 R
R' D F' R D U2 R
R' D F' R D' U2 R
R' D F' R D2 U2 R
R' D F' D2 L2 R U2
R' D F' D2 R L2 U2
R D F U2 L' B R2
R D F U2 B L' R2
R D F U2 B R2 L'
R D F2 U2 B L R2
R D F2 U2 B R2 L
U2 D R2 L' D2 B' L
R D B L2 R2 F L'
R D B L2 F L' R2
R D B L2 F R2 L'
R D B R2 L2 F L'
U2 D R2 D2 L' B' L
U2 D R2 F L' F' B'
U2 D R2 F L' B' F'
U' D F U' L' R2 B'
U' D F U' L' B' R2
U' D F U' R2 L' B'
U2 D F L' F' R2 B'
U2 D F L' F' B' R2
U2 D F L' B' F' R2
L' D' L2 U' B' R' U'
R' D' L2 D2 F' R U2
R D' L2 U2 B' L B2
U2 D' L' B' L D2 R2
R D' U2 B' L B2 R'
R' D' F2 L2 U2 B' L
D U' F U' L' R2 B'
D U' F U' L' B' R2
D U' F U' R2 L' B'
F U' D F U' L' B'
D' U2 L' B' L D2 R2
D U2 L' R2 D2 B' L
D U2 R2 L' D2 B' L
D U2 R2 D2 L' B' L
D U2 R2 F L' F' B'
D U2 R2 F L' B' F'
F2 U2 L' F U F' B'
F2 U2 L' F U B' F'
D U2 F L' F' R2 B'
D U2 F L' F' B' R2
D U2 F L' B' F' R2
D' F L2 U2 L' B' L
D F R U2 L' B R
D F R U2 B L' R
D F R U2 B R L'
D F U2 L' R B' R
D F U2 L' R2 D B'
D F U2 L' R2 D' B'
D F U2 L' R2 D2 B'
D F U2 L' R2 B' D
D F U2 L' R2 B' D'
D F U2 L' R2 B' D2
U' F D F U' L' B'
D F U2 L' B R2 B2
D F U2 L' B' R2 D
D F U2 L' B' R2 D'
