U2 R2 B' U' R' F'
B L R2 F B2 U' R
B L R2 B2 F U' R
B L F B2 R2 U' R'
B L B2 R2 F U' R
B L B2 F R2 U' R'
D2 L2 F R2 U R' F'
D2 L2 F U R' F' R2
D2 L2 F B' R' U R2
D2 L2 B' R' F U R
D2 L2 B' F R' U R2
R' U2 R' B' U' R' F'
R U2 R B' U' R' F'
B R2 L F B2 U' R
B R2 L B2 F U' R
B' R2 U2 R B' U R'
B' R2 U2 B' R U R2
U2 R2 D B' U' R' F'
U R2 D B' L F U'
U2 R2 D' B' U' R' F'
U2 R2 D2 B' U' R' F'
B' R2 F U' D R F'
B' R2 F D U' R F'
B R2 F L B2 U' R
B' R2 F' U L' B' U2
B' R2 F2 L' F' U' R
U2 R2 F' B' L' U' R'
B' R2 F2 D' L' F U'
U2 R2 B' L U' R' F'
U2 R2 B' L' U' R' F'
U2 R2 B' L2 U' R' F'
U2 R2 B' U' R' D F'
U2 R2 B' U' R' D' F'
U2 R2 B' U' R' D2 F'
U2 R2 B' U' R' F' D
U2 R2 B' U' R' F' D'
U2 R2 B' U' R' F' D2
U2 R2 B' U' D R' F'
U2 R2 B' U' D' R' F'
U2 R2 B' U' D2 R' F'
U2 R2 B' U' F R' F'
U2 R2 B' U' F' R' F'
U2 R2 B' U' F2 R' F'
U2 R2 B' D U' R' F'
U2 R2 B' D' U' R' F'
U2 R2 B' D2 U' R' F'
U2 R2 B' F' L' U' R'
U R2 B' U' F R F'
B U L R2 F B2 U'
B U L R2 B2 F U'
B U L F R2 B2 U'
B U L F B2 R2 U'
B U L B2 R2 F U'
B U L B2 F R2 U'
B U R2 L F B2 U'
B U R2 L B2 F U'
U2 D B' U' R' F' B'
U2 D B' U' R' B' F'
D U2 B' U' R' F' B'
D U2 B' U' R' B' F'
F U2 B' R2 U' R' F'
L2 F U2 R2 U' R' F'
R2 F B L B2 U' R
R2 F B' U' R D' F2
R2 F B' U2 R' U R2
U2 F' R2 B' L' U' R'
U2 F' B' L' R2 U' R
U2 F' B' R2 L' U' R
R2 B L F B2 U' R
R2 B L B2 F U' R
U2 B R2 B2 U' R' F'
B F L B2 R2 U' R'
F B L B2 R2 U' R'
B' F R2 U' R' D' F2
B' F R2 U2 R U R2
B' F R2 F' U' R' F'
B' F R2 F2 L' U' R'
R2 B F L B2 U' R
U2 B' R2 U' R' F' R2
U B' R2 U' F R F'
U2 B' U' D R' F' B2
U2 B' U' D R' B2 F'
R2 B' U2 R' B' U R'
U2 B' D U' R' F' B2
U2 B' D U' R' B2 F'
B' F' R2 F2 L' U' R
F' B' R2 F2 L' U' R
F B' R2 U' R' D' F2
F B' R2 U2 R U R2
F B' R2 F' U' R' F'
F B' R2 F2 L' U' R'
U2 B' F' L' R2 U' R
R2 B' F U' R D' F2
R2 B' F U2 R' U R2
U2 B' F' R2 L' U' R
