F2 R U B U F2
F2 L R U B U F2
L' R U D R2 F' U'
L' R U' D' L2 B U
L' R U' D' B L2 U
L' R U' D2 B U B
L' R U' B U D2 B2
L' R U' B U' F2 U2
L' R U' B D' L2 U
L' R U' B D2 U B2
L' R U2 F2 U B U
L' R D U R2 F' U'
U2 L U' F U' L2 B'
L' R D' U' L2 B U
L' R D' U' B L2 U
L' R D' B' D' R2 B2
L' R D' B' D' B2 R2
L' R D2 U' B U B
L' R D2 B' D' R2 B'
L' R D2 B' D' B' R2
L' R D2 B2 U' B' U
L' R B D2 B2 D' R2
L' R B' D' R2 D' B2
L' R B' D2 B2 D R2
U2 L F2 U' F' U' L2
L' R' U D F' R2 U'
R' L' U D F' R2 U'
L' R' U D2 F' U' B2
R' L' U D2 F' U' B2
L' R' U F' R2 U' B
R' L' U F' R2 U' B
L' R' U F' U F' U2
R' L' U F' U F' U2
R L' U D R2 F' U'
R L' U' D' L2 B U
R L' U' D' B L2 U
R L' U' D2 B U B
R L' U' B U D2 B2
R L' U' B U' F2 U2
R L' U' B D' L2 U
R L' U' B D2 U B2
D' L' R U' L' B U
D2 L' R U' B U B
D' L' R U' B L' U
R' L' U2 F2 U' F U'
L' R' U2 F2 U' F U'
F2 L' R U B U F2
R L' U2 F2 U B U
D2 L' R B' D' R2 B'
D2 L' R B' D' B' R2
D2 L' R B2 U' B' U
R' L' D U F' R2 U'
L' R' D U F' R2 U'
D2 L' R' U F' U' B2
D L' R' U F' R' U'
R L' D U R2 F' U'
R2 L' D B D R' B2
R2 L' D B' D B2 R'
D2 L' R' B2 U F' U'
R L' D' U' L2 B U
R L' D' U' B L2 U
D2 L' R2 B D B R'
R L' D' B' D' R2 B2
R L' D' B' D' B2 R2
R' L' D2 U F' U' B2
L' R' D2 U F' U' B2
D2 L' U F U' R B2
D2 L' U F U' B2 R
D L' U R2 F U' R
D' L' U F U' R B
R L' D2 U' B U B
R' L' D2 B2 U F' U'
D L' U F R2 U' R'
L' R' D2 B2 U F' U'
R2 L' D2 B D' B R'
D' L' U' L' B' U R'
R L' D2 B' D' R2 B'
R L' D2 B' D' B' R2
R L' D2 B2 U' B' U
D2 L' U' B' U R' B'
D' L' U' B' L' U R'
R L' B D2 B2 D' R2
R L' B' D' R2 D' B2
R L' B' D2 B2 D R2
D2 L' B' R B' D' R2
L' R2 D B D R' B2
L' R2 D B' D B2 R'
D2 L' B2 R U' B U
D2 L' B2 R' U F' U'
D2 L' B2 U F U' R
D2 L' B2 U' B' U R'
F2 L2 R U B U F2
L' R2 D2 B D' B R'
D' L2 F' U F L R
D' L2 F' U F R L
L' U D R2 F U' R
L' U D F R2 U' R'
F2 R L U B U F2
L' U D2 F U' R B2
L' U D2 F U' B2 R
D2 R L' U' B U B
D' R L' U' L' B U
