B' L U F B' U
B' L U B' F U
B' L' U' F B' U'
B' L' U' B' F U'
L U F B' R' U
L U B' R' F U
L U B' F R' U
D' B' L U F U
B' L R U F B' U
B' L R U B' F U
R' L U F B' R' U
R2 L U F B' R' U
L R U F B' R' U
R' L U B' R' F U
B' L R' U F B' U
R' L U B' F R' U
B' L R' U B' F U
R L U F B' R' U
R2 L U B' R' F U
L R U B' R' F U
R2 L U B' F R' U
L R U B' F R' U
R L U B' R' F U
R L U B' F R' U
B' L R2 U F B' U
B' L R2 U B' F U
B' L U D F B' U
B' L U D B' F U
B' L U D' F B' U
B' L U D' B' F U
B' L U D2 F B' U
B' L U D2 B' F U
B' L U F D B' U
B' L U F D' B' U
B' L U F D2 B' U
B' L U F B' U D
B' L U F B' U D'
B' L U F B' U D2
B' L U F B' D U
B' L U F B' D' U
B' L U F B' D2 U
B' L U B' D F U
B' L U B' D' F U
B' L U B' D2 F U
B' L U B' F U D
B' L U B' F U D'
B' L U B' F U D2
B' L U B' F D U
B' L U B' F D' U
B' L U B' F D2 U
B' L D U F B' U
B' L D U B' F U
B' L D' U F B' U
B' L D' U B' F U
B' L D2 U F B' U
B' L D2 U B' F U
B2 L B U F B2 U
B2 L B U B2 F U
L R' U F B' R' U
L R' U B' R' F U
L R' U B' F R' U
B L B2 U F B U
B L B2 U B F U
B' L' R U' F B' U'
B' L' R U' B' F U'
B' L' R' U' F B' U'
B' L' R' U' B' F U'
B' L' R2 U' F B' U'
B' L' R2 U' B' F U'
B' L' U' D F B' U'
B' L' U' D B' F U'
B' L' U' D' F B' U'
B' L' U' D' B' F U'
B' L' U' D2 F B' U'
B' L' U' D2 B' F U'
B' L' U' F D B' U'
B' L' U' F D' B' U'
B' L' U' F D2 B' U'
B' L' U' F B' U' D
B' L' U' F B' U' D'
B' L' U' F B' U' D2
B' L' U' F B' D U'
B' L' U' F B' D' U'
B' L' U' F B' D2 U'
B' L' U' B' D F U'
B' L' U' B' D' F U'
B' L' U' B' D2 F U'
B' L' U' B' F U' D
B' L' U' B' F U' D'
B' L' U' B' F U' D2
B' L' U' B' F D U'
B' L' U' B' F D' U'
B' L' U' B' F D2 U'
B' L' D U' F B' U'
B' L' D U' B' F U'
B' L' D' U' F B' U'
B' L' D' U' B' F U'
B' L' D2 U' F B' U'
B' L' D2 U' B' F U'
U' L' F U' F2 L' F
L R2 U F B' R' U
L R2 U B' R' F U
L R2 U B' F R' U
B2 L' B U' F B2 U'
B2 L' B U' B2 F U'
B L' B2 U' F B U'
B L' B2 U' B F U'
L U R F B' R' U
L U R B' R' F U
L U R B' F R' U
L U R' F B' R' U
L U R' B' R' F U
L U R' B' F R' U
L U R2 F B' R' U
L U R2 B' R' F U
L U R2 B' F R' U
L U D F B' R' U
L U D B' R' F U
L U D B' F R' U
B' R L U F B' U
B' R L U B' F U
L U D' F B' R' U
L U D' B' R' F U
L U D' B' F R' U
B' R L' U' F B' U'
B' R L' U' B' F U'
L U D2 F B' R' U
L U D2 B' R' F U
L U D2 B' F R' U
L U F R B' R' U
L U F R' B' R' U
L U F R2 B' R' U
L U F D B' R' U
L U F D' B' R' U
L U F D2 B' R' U
L U F B' R' U D
L U F B' R' U D'
L U F B' R' U D2
L U F B' R' D U
L U F B' R' D' U
L U F B' R' D2 U
L U F B' D R' U
L U F B' D' R' U
L U F B' D2 R' U
L U F' B' R' F2 U
L U B' R F R2 U
L U B' R' D F U
L U B' R' D' F U
L U B' R' D2 F U
L U B' R' F U D
L U B' R' F U D'
L U B' R' F U D2
L U B' R' F D U
L U B' R' F D' U
L U B' R' F D2 U
L U B' D R' F U
L U B' D F R' U
L U B' D' R' F U
L U B' D' F R' U
L U B' D2 R' F U
L U B' D2 F R' U
L U B' F R' U D
L U B' F R' U D'
L U B' F R' U D2
L U B' F R' D U
L U B' F R' D' U
L U B' F R' D2 U
L U B' F D R' U
L U B' F D' R' U
L U B' F D2 R' U
L U B' F' R' F2 U
D' R B' L U F U
D2 R B' U' F' U' L'
L' U' D F B' L' U'
L' U' D B' F L' U'
L' U' D' F B' L U'
L' U' D' B' F L U'
B' R' L U F B' U
B' R' L U B' F U
B' R' L' U' F B' U'
B' R' L' U' B' F U'
L' U' F D' B' L U'
L' U' F B' L' U' F
L' U' B' L' U' F R
L' U' B' D F L' U'
L' U' B' F L' U' F
D' R' B' L U F U
B' R2 L U F B' U
B' R2 L U B' F U
B' R2 L' U' F B' U'
B' R2 L' U' B' F U'
D' R2 B' L U F U
L' D U' F B' L' U'
L' D U' B' F L' U'
