R' U2 B R U B
D' L U F L' U2 F'
D' L U' F L' U2 L
R2 L D2 L2 U' B' R'
L' R F' U2 R' U B'
R2 L' U' D' F2 B' R'
R2 L' U' D' B' R' F2
R2 L' U' D' B' F2 R'
R2 L' U' B' D' R' F2
R2 L' U' B' D' F2 R'
R2 L' U2 R2 U B' R'
R' L' U2 B R U B2
L' R' U2 B R U B2
R2 L' D' U' F2 B' R'
R2 L' D' U' B' R' F2
R2 L' D' U' B' F2 R'
D' L' U' B' R2 F' R
R L' F' U2 R' U B'
L' R2 U' D' F2 B' R'
L' R2 U' D' B' R' F2
L' R2 U' D' B' F2 R'
L' R2 U' B' D' R' F2
L' R2 U' B' D' F2 R'
L' R2 U2 R2 U B' R'
L' R2 D' U' F2 B' R'
L' R2 D' U' B' R' F2
L' R2 D' U' B' F2 R'
L R2 D2 L2 U' B' R'
L U D' F L' U2 F'
L U F U2 D' F' R
L U F D' U2 F' R
U2 R F' U2 F U B
L' U' R' B' D' R2 F'
L' U' D' B' R2 F' R
L U' D' F L' U2 L
D R' U2 R U B R'
F' R' U2 B R U B
F2 R' U2 B R U B
L' U' B' D' R2 F' R
F R' U2 B R U B
R' U2 L B R U B
R' U2 L' B R U B
R' U2 L2 B R U B
R' U2 R U D B R'
R' U2 R D U B R'
D2 R' F2 L' F U' B'
U2 R' B U' F' U2 F
R2 U2 R2 U B' R' B
R' U2 D B R U B
R' U2 D' B R U B
R' U2 D2 B R U B
R' U2 B L R U B
R' U2 B L' R U B
R' U2 B L2 R U B
R' U2 B R L U B
R' U2 B R L' U B
R' U2 B R L2 U B
R' U2 B R U D B
R' U2 B R U D' B
R' U2 B R U D2 B
R' U2 B R U B D
R' U2 B R U B D'
R' U2 B R U B D2
R' U2 B R D U B
R' U2 B R D' U B
R' U2 B R D2 U B
R' U2 B D R U B
R' U2 B D' R U B
R' U2 B D2 R U B
R' U2 B' R B2 U B'
R' U2 B2 R B' U B2
R' D U2 B R U B
R2 D' L' U' F2 B' R'
R2 D' L' U' B' R' F2
R2 D' L' U' B' F2 R'
L' D' U' B' R2 F' R
L D' U F L' U2 F'
R' D' U2 B R U B
L D' U' F L' U2 L
R' D2 U2 B R U B
B2 U2 R F' B2 U' B'
B2 U2 R B2 F' U' B'
B U2 R F' B' U' B2
B U2 R B' F' U' B2
U2 F R F' U' B L
B' U2 B R F' U' B
B U2 B' R F' U' B
B2 U2 B2 R F' U' B
R F R2 F2 L' U' B'
R F' L' U2 R' U B'
R' F' R2 F' L' U' B'
R F' R2 U2 R U B
R F' U2 R' U' F' U2
R' F2 L' R' U' B' R'
R' F2 L' R2 F' U' B'
R' F2 L' U' B' D' R2
R' F2 L' U2 B U B2
R' F2 R' L' U' B' R'
R' F2 R2 L' F' U' B'
L' B2 U D L2 B R'
L' B2 U D B L2 R'
L' B2 U D B R' L2
L' B2 D U L2 B R'
L' B2 D U B L2 R'
L' B2 D U B R' L2
