U2 B2 R U B L
U2 L R F B2 U B'
U2 L R B2 F U B'
L' R B2 L U B L
L' R B2 L2 F U B
L R B2 L2 F U B'
R L B2 L2 F U B'
L' R B2 U B D L2
L' R B2 U2 B' U' B2
U2 L B2 R F U B
B2 L' R U B' D L2
B2 L' R U2 B U' B2
B2 L' R' F' R2 U B'
R' L' F' R2 B2 U B
L' R' F' R2 B2 U B
F2 L' U2 B2 U B L
R L' B2 L U B L
R L' B2 L2 F U B
R L' B2 U B D L2
R L' B2 U2 B' U' B2
U2 R L F B2 U B'
U2 R L B2 F U B'
B2 R L' U B' D L2
B2 R L' U2 B U' B2
U2 R U D' B L R2
U2 R U D' B R2 L
B2 R U2 B R U' B
U2 R D' U B L R2
U2 R D' U B R2 L
U' R B2 U L' B' L
U2 R B2 U B L B2
B2 R' L' F' R2 U B'
R' U' F' L' R2 B2 U
R' U' F' L' B2 R2 U
R' U' F' R2 L' B2 U
R' U' F' R2 B2 L' U
R' U' F' B2 L' R2 U
R' U' F' B2 R2 L' U
R' U' B2 F' L' R2 U
R' U' B2 F' R2 L' U
B2 R' F' L' R2 U B'
B2 R' F' R2 L' U B'
L' U2 R B2 U B L
U2 R' B2 R2 U B L
U2 D' R U B L R
U2 D' R U B R L
D' U2 R U B L R
D' U2 R U B R L
B' U2 B' R U B L
B U2 B R U B L
R' F' L' R2 B2 U B
R' F' R2 L' B2 U B
R' F' R2 B2 L' U B'
R' F' B2 L' R2 U B'
R' F' B2 R2 L' U B'
D2 F2 L' R B U' B2
D2 F2 L' U' B L B2
D2 F2 L' B2 U' B L
D2 F2 R L' B U' B2
D2 F2 R B L' U' B'
U2 B2 L R F U B
R' B2 L' F' R2 U B'
U' B2 R U L' B' L
R B2 L U' F R U2
U2 B2 R L F U B
R B2 L' U D' B' L
U2 B2 R U L B L
U2 B2 R U L' B L
U2 B2 R U L2 B L
U2 B2 R U D B L
U2 B2 R U D' B L
U2 B2 R U D2 B L
U2 B2 R U B L D
U2 B2 R U B L D'
U2 B2 R U B L D2
U2 B2 R U B D L
U2 B2 R U B D' L
U2 B2 R U B D2 L
R B2 L' D' U B' L
U2 B2 R D U B L
U2 B2 R D' U B L
U2 B2 R D2 U B L
U2 B2 R F U B L
U2 B2 R F' U B L
U2 B2 R F2 U B L
R B2 L2 D F L' U
R B2 L2 F L U B'
U' B2 D' R F' L' U
U2 B2 D R U B L
U2 B2 D' R U B L
R B2 U2 R B' U' B2
R B2 U2 B' R U' B
U2 B2 D2 R U B L
R' B2 F' L' R2 U B'
R' B2 F' R2 L' U B'
