U L' U B' L2 F
B2 R' U L' U B'
B2 R' U' R U' B
B2 R' F U' R U'
B2 R' F' U L' U
B2 U2 B2 D L B'
B2 F R' U' R2 U'
B2 F R' U2 D B2
B2 F R' D U2 B2
B2 F R' D' F2 U2
B2 F' R' U L' U
F' B2 R' U L' U
F B2 R' U' R2 U'
F B2 R' U2 D B2
F B2 R' D U2 B2
F B2 R' D' F2 U2
B2 F2 D R' U2 B
F2 B2 D R' U2 B
F' L D' B2 D' F2 R
F' L D2 F2 D R B2
F' L D2 F2 D B2 R
D2 L F2 R2 D R' B
D2 L F2 D R' B R2
U L' R U B' L2 F
U L' R' U B' L2 F
U L' R2 U B' L2 F
F' L' U L2 D2 F2 R
F' L' U' L B2 R' U2
U L' U F B' L2 F
D2 L' U' L2 F2 R B
U L' U F' B' L2 F
U L' U F2 B' L2 F
U L' U B' L2 D F
U L' U B' L2 D' F
U L' U B' L2 D2 F
U L' U B' L2 F D
U L' U B' L2 F D'
U L' U B' L2 F D2
U L' U B' F L2 F
U L' U B' F' L2 F
U L' U B' F2 L2 F
F' L' U' B2 U2 L2 R'
F' L' U' B2 U2 R' L2
U L' U' B2 U2 L2 B
U L' U' B2 U2 B L2
U L' F U B' L2 F
U L' F' U B' L2 F
U L' F2 U B' L2 F
D2 L2 U L' F2 R B'
D2 L2 U L' F2 B' R
D2 L2 U L' B' F2 R
D L2 U L2 U2 L B'
U L2 U L B' L2 F
D2 L2 U' L' F2 R B
L' U L F B2 R' U2
L' U L B2 R' F U2
L' U L B2 F R' U2
R' U L' U B' L2 F
R2 U L' U B' L2 F
L2 U L' D2 F2 R B'
L2 U L' D2 F2 B' R
R U L' U B' L2 F
L2 U L' D2 B' F2 R
L2 U D2 L' R2 F2 B'
L2 U D2 L' R2 B' F2
L2 U D2 L' F2 R2 B'
L2 U D2 L' F2 B' R2
L2 U D2 L' B' R2 F2
L2 U D2 L' B' F2 R2
L2 U D2 R2 L' F2 B'
L2 U D2 R2 L' B' F2
U R L' U B' L2 F
U' R U B2 R' U2 B'
U' R U' L D2 F2 B
U' R U' L D2 B F2
U' R U' D2 L F2 B
U' R U' D2 L B F2
U' R U' D2 F2 L B
U' R D L2 U' L' B
U' R D L2 U' B L'
L2 U B2 L2 U2 L B'
L' U' L B2 R' F' U2
U' R D2 U' L F2 B
U' R D2 U' L B F2
U' R D2 U' F2 L B
L2 U' L' D2 F2 R B
B2 R F R2 U' R' U'
L' U' L2 D2 F2 R B
B2 R F' R2 U L' U
L2 U' L2 B2 R' F' U2
F' R B2 R' U L' U
F2 R B2 D R' U2 B
F R B2 R' U' R U'
U R' L' U B' L2 F
B2 R' U L U' F U2
B2 R' U L' U D B'
B2 R' U L' U D' B'
B2 R' U L' U D2 B'
B2 R' U L' U B' D
B2 R' U L' U B' D'
B2 R' U L' U B' D2
B2 R' U L' D U B'
B2 R' U L' D' U B'
B2 R' U L' D2 U B'
B2 R' U D L' U B'
B2 R' U D' L' U B'
U' R' U F' B2 R' U2
B2 R' U D2 L' U B'
U' R' U B2 F' R' U2
B2 R' U' R U' D B
B2 R' U' R U' D' B
B2 R' U' R U' D2 B
B2 R' U' R U' B D
B2 R' U' R U' B D'
B2 R' U' R U' B D2
B2 R' U' R D U' B
B2 R' U' R D' U' B
B2 R' U' R D2 U' B
B2 R' U' R' U F' U2
B2 R' U' D R U' B
B2 R' U' D' R U' B
B2 R' U' D2 R U' B
B2 R' U2 B U' L U
B2 R' U2 B' U R' U'
B2 R' D U L' U B'
B2 R' D U' R U' B
B2 R' D F U' R U'
B2 R' D F' U L' U
B2 R' D' U L' U B'
B2 R' D' U' R U' B
B2 R' D' F U' R U'
B2 R' D' F' U L' U
B2 R' D2 U L' U B'
B2 R' D2 U' R U' B
B2 R' D2 F U' R U'
B2 R' D2 F' U L' U
B2 R' F U' R U' D
B2 R' F U' R U' D'
B2 R' F U' R U' D2
B2 R' F U' R D U'
B2 R' F U' R D' U'
B2 R' F U' R D2 U'
B2 R' F U' D R U'
B2 R' F U' D' R U'
B2 R' F U' D2 R U'
B2 R' F D U' R U'
B2 R' F D' U' R U'
B2 R' F D2 U' R U'
B2 R' F' U L' U D
B2 R' F' U L' U D'
B2 R' F' U L' U D2
B2 R' F' U L' D U
B2 R' F' U L' D' U
B2 R' F' U L' D2 U
B2 R' F' U D L' U
B2 R' F' U D' L' U
B2 R' F' U D2 L' U
B2 R' F' D U L' U
B2 R' F' D' U L' U
B2 R' F' D2 U L' U
F' R' B2 R' U L' U
F2 R' B2 D R' U2 B
F R' B2 R' U' R' U'
F R' B2 U2 D B2 L
F R' B2 D R' U2 B2
F R' B2 D U2 B2 L
F R' B2 D' R' F2 U2
F R' B2 D' F2 R' U2
U R2 L' U B' L2 F
U' R2 U B2 R' U2 B
U' R2 U' D2 L F2 B'
U' R2 U' D2 L B' F2
U' R2 U' D2 F2 L B'
L U2 B2 D L' F U2
U' R2 D2 U' L F2 B'
U' R2 D2 U' L B' F2
U' R2 D2 U' F2 L B'
F' R2 B2 R' U L' U
F2 R2 B2 D R' U2 B
F R2 B2 R' U L U
B2 U L U' R' F U2
B2 U L U' F R' U2
D' U L' R2 U B' L2
D2 U L' U F2 B' L2
D2 U L' U B' L2 F2
D2 U L' U B' F2 L2
F' U L' U L2 D2 F2
F' U L' U' B2 U2 L2
B2 U L' U B2 L B
B2 U L' U' R' U2 B'
U' D L2 R U' L' B
U' D L2 R U' B L'
B2 U L2 U B2 L B'
U' D R L2 U' L' B
U' D R L2 U' B L'
D' U R2 L' U B' L2
F' U D' L' R2 U L2
