D L B2 U' B R
D L R' B2 U' B R2
L' R D L F2 B' L'
L' R D L B' F2 L'
L' R D L2 F2 L' B'
L' R D F2 L B' L2
D2 L U' R D' L B'
B' L U' R2 U2 R' F'
D L U' R D B' L2
D2 L U' D' L R B'
D2 L U' D' L B' R
D2 L U' D' R L B'
D L U' D R B' L2
D L U' D B' L2 R
D L U' D B' R L2
D L D U' R B' L2
D L D U' B' L2 R
D L D U' B' R L2
D2 L D' U' L R B'
D2 L D' U' L B' R
D2 L D' U' R L B'
D L B2 U' D B R
D L B2 U' D' B R
D L B2 U' D2 B R
D L B2 U' B R D
D L B2 U' B R D'
D L B2 U' B R D2
D L B2 U' B D R
D L B2 U' B D' R
D L B2 U' B D2 R
D L B2 U' B' R B2
D L B2 U' B2 R B'
D L B2 D U' B R
D L B2 D' U' B R
D L B2 D2 U' B R
D L' R D L2 F2 B'
D L' R D L2 B' F2
R L' D L F2 B' L'
R L' D L B' F2 L'
R L' D L2 F2 L' B'
R L' D F2 L B' L2
D L' D L2 R F2 B'
D L' D L2 R B' F2
D L' D L2 B' R F2
D L' D R L2 F2 B'
D L' D R L2 B' F2
D L' B2 L2 U' R B'
D L' B2 L2 U' B' R
L U R2 U2 D' R' B
L U R2 D' U2 R' B
D L2 B2 L' U' R B'
D L2 B2 L' U' B' R
D R L' D L2 F2 B'
D R L' D L2 B' F2
D R U L B2 U' B
B R D F2 L' F B2
B R D F2 L' B2 F
B R D F2 B2 L' F
B R D B2 F2 L' F
R2 U' L U' D' R' B
R2 U' L D' U' R' B
B R F2 D L' F B2
B R F2 D L' B2 F
B R F2 D B2 L' F
R2 U' D L U' R' B'
R2 U' D' L U' R' B
D R' L B2 U' B R2
B R' B2 U' L R2 F
B R' B2 U' L F R2
B R' B2 U' R2 L F
B2 R2 U R U B R2
R2 D U' L U' R' B'
U' D L B2 U' B R
U2 D L B2 U' B R
D U L B2 U' B R
U D L B2 U' B R
B2 U R D' F2 L' B
B2 U R D' F2 B L'
B2 U R D' B F2 L'
B2 U R B D' F2 L'
R' D B2 R' U L B'
D U' L B2 U' B R
R2 D' U' L U' R' B
B2 U' R D' F2 L' B'
D U2 L B2 U' B R
L' B R D F2 L' B2
L' B R D F2 B2 L'
L' B R D B2 F2 L'
L B R' U R' U2 R'
L B R' B2 U' L R2
L B R' B2 U' R2 L
L B D R' B2 U' R2
L B D2 R' U' L2 R2
L B D2 R' U' R2 L2
L B' D B2 R' U' R2
D' B2 R D' F2 L2 B'
D' B2 R' F2 U B R2
L B2 U R2 U2 R' B
