F R' U F' D R2
F R' U2 F U' F2
D2 R' F B2 U F2
D R' F U R' F2
D R' F U F2 R'
D2 R' B2 F U F2
R' D F U R2 F2
R' D F U F2 R2
R D F U R2 F'
R' D2 F B2 U F2
R' D2 B2 F U F2
F U2 F L U' F
D2 F R' B2 U F'
D F R' U F' R'
R' F U2 F U' F
D2 F B2 R' U F'
D2 B2 R' F U F2
D2 B2 F R' U F'
U2 L U' D R2 F L'
U2 L U' D F L' R2
U2 L U' D F R2 L'
U2 L D U' R2 F L'
U2 L D U' F L' R2
U2 L D U' F R2 L'
U2 L F2 L B' U' F'
U2 L F2 L2 U' F' L'
F2 L' U2 L F' U F2
F2 L' U2 F' L U F
U2 L' F2 U B' R' U2
F L2 R' B' L2 U F'
D' L2 U L2 F R U
U2 L2 F2 D' B' L U'
U2 L2 F2 B' L' U' F
U2 L2 B' L' F2 U' F'
F L2 B' L2 R' U F'
F L2 B' R' L2 U F'
R' U D F' R2 D' L2
U2 L2 B' F2 L' U' F
R U D R2 F' D' L2
R' U D2 F' D' L2 R2
R' U D2 F' D' R2 L2
F R U R2 F' D R2
F R U F' D R2 F'
F R U' B U' F U'
F R U2 F U B U2
B' R D F U R2 F'
B2 R D F U R2 F'
B R D F U R2 F'
D2 R D' F U R2 F'
D' R D2 F U R2 F'
D2 R F R2 B2 U F'
D2 R F U D' R2 F'
D' R F U D2 R2 F'
D' R F U' L2 B U2
D' R F U' B L2 U2
D2 R F D' U R2 F'
D' R F D2 U R2 F'
D R F R2 U F' R
D R F U R2 F' R
D2 R F B2 U' B' U2
F' R F2 U' B L U2
F R B U2 F U' F'
D2 R B2 F U' B' U2
F' R' U D' L2 F' R
F' R' U D' F' L2 R
F' R' U D' F' R L2
D2 R' U F' D' L2 R2
D2 R' U F' D' R2 L2
F R' L2 B' L2 U F'
D R' U F' R' D' L2
D R' U F' D' L2 R'
D R' U F' D' R' L2
F R' U D F' D R2
F R' U D' F' D R2
F R' U D2 F' D R2
F R' U F' R D R2
F R' U F' R' D R2
F R' U F' R2 D R2
F R' U F' U F2 U'
F R' U F' D R2 D
F R' U F' D R2 D'
F R' U F' D R2 D2
F R' U2 D F U' F2
F R' U2 D' F U' F2
F R' U2 D2 F U' F2
F R' U2 F L U' F2
F R' U2 F L' U' F2
F R' U2 F L2 U' F2
F R' U2 F U' F2 D
F R' U2 F U' F2 D'
F R' U2 F U' F2 D2
F R' U2 F D' L2 U'
B' R' D F U R2 F2
B' R' D F U F2 R2
B2 R' D F U R2 F2
B2 R' D F U F2 R2
D R' D F U R' F2
D R' D F U F2 R'
B R' D F U R2 F2
B R' D F U F2 R2
F R' D U F' D R2
F R' D U2 F U' F2
F' R' D' U L2 F' R
F' R' D' U F' L2 R
F' R' D' U F' R L2
D2 R' D' F U R2 F2
D2 R' D' F U F2 R2
D' R' D' F B2 U F2
D' R' D' B2 F U F2
D R' D' F U R' F2
D R' D' F U F2 R'
F R' D' U F' D R2
F R' D' U2 F U' F2
D' R' D2 F U R2 F2
D' R' D2 F U F2 R2
B' R' D2 F B2 U F2
B2 R' D2 F B2 U F2
B' R' D2 B2 F U F2
D2 R' F R B2 U F2
D R' D2 F U R' F2
D R' D2 F U F2 R'
D2 R' F R' B2 U F2
B2 R' D2 B2 F U F2
B R' D2 F B2 U F2
D2 R' F R2 B2 U F2
F R' D2 U F' D R2
D2 R' F U F2 D' R2
D' R' F U F2 D2 R2
D' R' F U' L2 U2 F2
F R' D2 U2 F U' F2
B R' D2 B2 F U F2
B' R' F U2 F U' F
D R' F R U R2 F2
D R' F R U F2 R2
D2 R' F B2 R U F2
D2 R' F B2 R' U F2
D2 R' F B2 R2 U F2
B2 R' F U2 F U' F
D2 R' F B2 U F2 D
D2 R' F B2 U F2 D'
D2 R' F B2 U F2 D2
D2 R' F B2 D R2 U
D R' F R2 U R F2
D R' F U R F2 R2
D R' F U R' F2 D
D R' F U R' F2 D'
D R' F U R' F2 D2
D R' F U F R' F
D R' F U F2 R' D
D R' F U F2 R' D'
D R' F U F2 R' D2
D R' F U F2 D R'
D R' F U F2 D' R'
D R' F U F2 D2 R'
R' U2 L2 F2 B' U' F
R' U2 L2 B' F2 U' F
B R' F U2 F U' F
D R' F D R2 U R
F' R' F2 R' B U F
F' R' F2 R2 U F R
F R' B U F' D R2
F R' B U2 F U' F2
D2 R' B2 U F' D' L2
F R' B' U F' D R2
F R' B' U2 F U' F2
D2 R' B2 D F U F2
D2 R' B2 D' F U F2
D2 R' B2 D2 F U F2
D2 R' B2 F R U F2
D2 R' B2 F R' U F2
D2 R' B2 F R2 U F2
D2 R' B2 F U F2 D
D2 R' B2 F U F2 D'
D2 R' B2 F U F2 D2
D2 R' B2 F D R2 U
F R' B2 U F' D R2
F R' B2 U2 F U' F2
R' U2 F2 U' F D' L2
R' U2 F2 U2 F' U F2
F R2 U R F' D R2
F R2 U2 D' F L' U'
F R2 D' U2 F L' U'
D2 R2 F R B2 U F'
D2 R2 F B2 R U F'
D R2 F R U F' R'
F' R2 F2 D B R' U
F' R2 F2 B R U F'
F' R2 B R F2 U F
F' R2 B F2 R U F'
R' D U F' R2 D' L2
D2 R2 B2 R F U F2
D2 R2 B2 F R U F'
R D U R2 F' D' L2
R' D F R U R F2
R' D F R' U R' F2
R' D F R' U F2 R'
R' D F U R' F2 R'
R' D F U R2 F2 D
R' D F U R2 F2 D'
R' D F U R2 F2 D2
R' D F U F R2 F
R' D F U F2 R2 D
R' D F U F2 R2 D'
R' D F U F2 R2 D2
R' D F D R2 B2 U
R' D F D B2 R2 U
R' D F B U R2 F2
R' D F B U F2 R2
R' D F B' U R2 F2
R' D F B' U F2 R2
R' D F B2 U R2 F2
R' D F B2 U F2 R2
R2 D F B R' U R'
R D F R U R F'
R D F U R2 D F'
R D F U R2 D' F'
R D F U R2 D2 F'
R D F U R2 F' D
R D F U R2 F' D'
R D F U R2 F' D2
R D F U F R2 F'
R D F U F' R2 F'
R D F U F2 R2 F'
R D F U' B U2 R2
R' D B F U R2 F2
R' D B F U F2 R2
R2 D B R' F U R'
R2 D B F R' U R'
R' D B' F U R2 F2
R' D B' F U F2 R2
D2 U F R B2 U B2
R' D B2 F U R2 F2
R' D B2 F U F2 R2
D2 U F B2 R U B2
F U F U' R U R'
F U F' U L' F2 U'
D2 U B2 F R U B2
R' D' F U F2 D2 R2
R' D' F U' L2 U2 F2
R D' F U D2 R2 F'
R D' F U' L2 B U2
R D' F U' B L2 U2
R D' F D2 U R2 F'
R' D2 U F' D' L2 R2
R' D2 U F' D' R2 L2
F U' B U' F L U'
R D2 R2 F B2 U F2
R D2 R2 B2 F U F2
R' D2 F R B2 U F2
R' D2 F R' B2 U F2
R' D2 F R2 B2 U F2
R' D2 F U F2 D' R2
R' D2 F B2 R U F2
R' D2 F B2 R' U F2
R' D2 F B2 R2 U F2
