U L F2 U' B' L' F'
F' L' F' U F2 R U2
F' L' F' U' L' D2 B2
F' L' F' U' D2 L' B2
F' L' F' U' D2 B2 L'
F' L' F' D R2 U' L'
F' L' F' D2 U' L' B2
F' L' F' D2 U' B2 L'
F' L2 F' L U' L2 B'
F' D L' F' R U' L'
L2 F' L' F' U' B' L'
U F2 L U' F B' L2
U F2 L U' B' F L2
F2 D' B R' U' L' F
F2 D' B2 U' L' F B'
F2 D' B2 U' L' B' F
U2 F2 U' L F B' L2
U2 F2 U' L B' F L2
L F2 U' D' B' L' F
L F2 U' B' D' L' F
L F2 D' U' B' L' F
U2 F2 B L U' B' L2
U2 B L F2 U' B' L'
U2 B F2 L U' B' L2
D2 B2 U' R F' B U2
D2 B2 U' R B F' U2
