F2 R2 D' B L R'
F2 R2 D' B R' L
F2 D' R2 B L R'
F2 D' R2 B R' L
F2 L R2 B L D' R2
F2 L R2 B D' L R2
F2 L R2 B D' R2 L
F2 L B L D' R2 B
F2 L B D' L R2 B
F2 L B D' R2 L B
B2 L B' U L F2 B'
B2 L B' U L B' F2
B2 L B' U F2 L B'
F' L' F' D R2 B L
B2 L2 U F2 B' L R'
B2 L2 U F2 B' R' L
B2 L2 U B' L R' F2
B2 L2 U B' L F2 R'
B2 L2 U B' R' L F2
B2 L2 U B' R' F2 L
B2 L2 U B' F2 L R'
B2 L2 U B' F2 R' L
B L2 U B' L' R' F2
B L2 U B' L' F2 R'
B L2 U B' R' L' F2
D' L2 B U' L R' B2
D' L2 B U' R' L B2
F2 R D' R B L R'
F2 R D' R B R' L
F2 R2 L B L D' R2
F2 R2 L B D' L R2
F2 R2 L B D' R2 L
F2 R2 D' L B L R'
F2 R2 D' L B R' L
F2 R2 D' L' B L R'
F2 R2 D' L' B R' L
F2 R2 D' L2 B L R'
F2 R2 D' L2 B R' L
F2 R2 D' B L R' D
F2 R2 D' B L R' D'
F2 R2 D' B L R' D2
F2 R2 D' B L D R'
F2 R2 D' B L D' R'
F2 R2 D' B L D2 R'
F2 R2 D' B R' L D
F2 R2 D' B R' L D'
F2 R2 D' B R' L D2
F2 R2 D' B R' D L
F2 R2 D' B R' D' L
F2 R2 D' B R' D2 L
F2 R2 D' B D L R'
F2 R2 D' B D R' L
F2 R2 D' B D' L R'
F2 R2 D' B D' R' L
F2 R2 D' B D2 L R'
F2 R2 D' B D2 R' L
F2 R2 B L U' B' U
F2 U2 D F' U2 L' R
F2 U2 D F' U2 R L'
F U2 D F' L' R F2
F U2 D F' R L' F2
F2 D R2 D2 B L R'
F2 D R2 D2 B R' L
F2 D U2 F' U2 L' R
F2 D U2 F' U2 R L'
U2 F' L' F' D R2 B
F D U2 F' L' R F2
F D U2 F' R L' F2
F2 D' L R2 B L R'
F2 D' L R2 B R' L
F2 D' L' R2 B L R'
F2 D' L' R2 B R' L
F2 D' L2 R2 B L R'
F2 D' L2 R2 B R' L
F D' L2 B' L R' U2
F D' L2 B' R' L U2
F2 D' R' B L R' B
F2 D' R' B R' L B
F2 D' R2 L B L R'
F2 D' R2 L B R' L
F2 D' R2 L' B L R'
F2 D' R2 L' B R' L
F2 D' R2 L2 B L R'
F2 D' R2 L2 B R' L
F2 D' R2 B L R' D
F2 D' R2 B L R' D'
F2 D' R2 B L R' D2
F2 D' R2 B L D R'
F2 D' R2 B L D' R'
F2 D' R2 B L D2 R'
F2 D' R2 B R' L D
F2 D' R2 B R' L D'
F2 D' R2 B R' L D2
F2 D' R2 B R' D L
F2 D' R2 B R' D' L
F2 D' R2 B R' D2 L
F2 D' R2 B D L R'
F2 D' R2 B D R' L
F2 D' R2 B D' L R'
F2 D' R2 B D' R' L
F2 D' R2 B D2 L R'
F2 D' R2 B D2 R' L
F D' F R2 B L R'
F D' F R2 B R' L
F2 D' B L R2 B R
F2 D' B R' D2 L B'
R' F2 R2 D' B L R'
R' F2 R2 D' B R' L
F2 D' B R2 L B R
R2 F2 R2 D' B L R'
R2 F2 R2 D' B R' L
F D' B U2 R' F L
F D' B U2 F L R'
F D' B U2 F R' L
R F2 R2 D' B L R'
R F2 R2 D' B R' L
R' F2 D' R2 B L R'
R' F2 D' R2 B R' L
R2 F2 D' R2 B L R'
R2 F2 D' R2 B R' L
R F2 D' R2 B L R'
R F2 D' R2 B R' L
L F2 B L D' R2 B'
L F2 B L D' B' R2
D' B L2 U' R' B' L'
L B L F2 D' R2 B'
L B L F2 D' B' R2
F2 B L R2 B D' R2
F2 B L B D' R2 B
F2 B R2 L B D' R2
F2 B R2 D' L B R'
L B F2 L D' R2 B'
L B F2 L D' B' R2
F2 B D' L R2 B R'
F2 B D' R2 L B R'
L B' U F2 B2 L B'
L B' U B2 L F2 B'
L B' U B2 L B' F2
L B' U B2 F2 L B'
B F2 L R2 B D' R2
B F2 L B D' R2 B
B F2 R2 L B D' R2
B F2 R2 D' L B R'
B F2 D' L R2 B R'
B F2 D' R2 L B R'
