L' U R2 F2 B' U
L' U R2 B' F2 U
L' U F2 R2 B' U
L' U F2 B' R2 U
L U F2 R2 B U
L' U B' R2 F2 U
L' U B' F2 R2 U
U R2 F2 B' U R'
U R2 B' F2 U R'
U F2 R2 B' U R'
U F2 B' R2 U R
U B' F2 R2 U R
L' R U R F2 B' U
L' R U R B' F2 U
L' R U B' R F2 U
F2 L R2 D' L2 B' U
D L R2 B2 U' F U'
B' L U F2 R2 B U
B2 L U F2 R2 B U
B L U F2 R2 B U
D2 L U' F L B2 U'
D' L U' F U' F L
F2 L D' L2 B' U F2
L' R' U R' F2 B' U
R' L' U R' F2 B' U
L' R' U R' B' F2 U
R' L' U R' B' F2 U
R L' U R F2 B' U
R L' U R B' F2 U
L' R' U F2 R' B' U
R' L' U F2 R' B' U
R2 L' U F2 B' U F2
R2 L' U B' F2 U F2
R L' U B' R F2 U
D L B2 R2 U' F U'
F2 L' R2 D' B' L2 U
F2 L' R2 D2 B' U B'
F2 L' R2 B' U D2 B2
F2 L' R2 B' U' F2 U2
F2 L' R2 B' D' L2 U
F2 L' R2 B' D2 U B2
D L' R2 B2 U B U
B' L' U R2 F2 B' U
B' L' U R2 B' F2 U
B2 L' U R2 F2 B' U
B2 L' U R2 B' F2 U
B L' U R2 F2 B' U
B L' U R2 B' F2 U
B' L' U F2 R2 B' U
B' L' U F2 B' R2 U
D' L' U B' U L' F2
B2 L' U F2 R2 B' U
B' L' U B' R2 F2 U
B2 L' U F2 B' R2 U
B' L' U B' F2 R2 U
B L' U F2 R2 B' U
B2 L' U B' R2 F2 U
B L' U F2 B' R2 U
B2 L' U B' F2 R2 U
B L' U B' R2 F2 U
B L' U B' F2 R2 U
R2 L' F2 D' B' L2 U
R2 L' F2 D2 B' U B'
R2 L' F2 B' U D2 B2
R2 L' F2 B' U' F2 U2
R2 L' F2 B' D' L2 U
R2 L' F2 B' D2 U B2
F2 L' D' B' L2 U F2
R2 L' B' F2 U D2 B2
R2 L' B' F2 U' F2 U2
R2 L' B' F2 D' L2 U
R2 L' B' F2 D2 U B2
L' R2 U F2 B' U F2
L' R2 U B' F2 U F2
F2 L' B' R2 U D2 B2
F2 L' B' R2 U' F2 U2
F2 L' B' R2 D' L2 U
F2 L' B' R2 D2 U B2
F L' B' R2 U B L
F2 L' B' D' L2 U F2
D L' B2 R2 U' F' U'
L' R2 F2 D' B' L2 U
L' R2 F2 D2 B' U B'
L' R2 F2 B' U D2 B2
L' R2 F2 B' U' F2 U2
L' R2 F2 B' D' L2 U
L' R2 F2 B' D2 U B2
L' R2 B' F2 U D2 B2
L' R2 B' F2 U' F2 U2
L' R2 B' F2 D' L2 U
L' R2 B' F2 D2 U B2
L' U R B' R F2 U
R U R F2 B' U R'
R U R B' F2 U R'
R' U R' F2 B' U R'
L' U R' F2 R' B' U
R' U R' B' F2 U R'
L' U R2 D' B' U L2
L' U R2 F2 D B' U
L' U R2 F2 D' B' U
L' U R2 F2 D2 B' U
L' U R2 F2 B' U D
L' U R2 F2 B' U D'
L' U R2 F2 B' U D2
L' U R2 F2 B' D U
L' U R2 F2 B' D' U
L' U R2 F2 B' D2 U
L' U R2 B' U D' L2
L' U R2 B' D' U L2
L' U R2 B' F2 U D
L' U R2 B' F2 U D'
L' U R2 B' F2 U D2
L' U R2 B' F2 D U
L' U R2 B' F2 D' U
L' U R2 B' F2 D2 U
L U R2 F2 U2 F' U'
L' U D' B' U L2 F2
L' U D' B' U F2 L2
L' U F R2 F B' U
L' U F R2 B' F U
L' U F B' R2 F U
R' U F2 R' B' U R'
L' U F2 R B' R U
L' U F2 R2 D B' U
L' U F2 R2 D' B' U
L' U F2 R2 D2 B' U
L' U F2 R2 B' U D
L' U F2 R2 B' U D'
L' U F2 R2 B' U D2
L' U F2 R2 B' D U
L' U F2 R2 B' D' U
L' U F2 R2 B' D2 U
L' U F2 D' B' U F2
L' U F2 B R2 B2 U
L' U F2 B' R2 U D
L' U F2 B' R2 U D'
L' U F2 B' R2 U D2
L' U F2 B' R2 D U
L' U F2 B' R2 D' U
L' U F2 B' R2 D2 U
L' U F2 B' U D' F2
L' U F2 B' D' U F2
L U F2 R2 D B U
L U F2 R2 D' B U
L U F2 R2 D2 B U
L U F2 R2 B U D
L U F2 R2 B U D'
L U F2 R2 B U D2
L U F2 R2 B D U
L U F2 R2 B D' U
L U F2 R2 B D2 U
R2 U F2 B' U R' F2
L' U B R2 F2 B2 U
R2 U F2 B' U F2 R'
L' U B R2 B2 F2 U
L U F2 B R2 B U
L U F2 B' R2 B U
U2 R U' B R F2 U
L U F2 B2 R2 B U
L' U B F2 R2 B2 U
L' U B' R' F2 R' U
L' U B' R2 U D' L2
L' U B' R2 D' U L2
L' U B' R2 F2 U D
L' U B' R2 F2 U D'
L' U B' R2 F2 U D2
L' U B' R2 F2 D U
L' U B' R2 F2 D' U
L' U B' R2 F2 D2 U
L' U B' U D' L2 F2
L' U B' U D' F2 L2
L U B F2 R2 B U
L' U B' D' U L2 F2
L' U B' D' U F2 L2
L' U B' F R2 F U
L' U B' F2 R2 U D
L' U B' F2 R2 U D'
L' U B' F2 R2 U D2
L' U B' F2 R2 D U
L' U B' F2 R2 D' U
L' U B' F2 R2 D2 U
L' U B' F2 U D' F2
L' U B' F2 D' U F2
R U B' R F2 U R2
R2 U B' F2 U R' F2
R2 U B' F2 U F2 R'
L U B' F2 R2 B U
L U B2 F2 R2 B U
U2 R B R F2 U B'
U R B' R F2 U R2
L' U' D2 L2 F B2 U'
L' U' D2 L2 B2 F U'
L U' D' F U' F L2
L U' D2 F L2 B2 U'
L U' D2 F B2 L2 U'
L U' D2 B2 F L2 U'
L U' F U2 R2 F U
L U' F U2 F R2 U
L U' F D2 L2 B' U'
R U2 R F2 B U B'
U R' F2 R' B' U R'
R U2 R B F2 U B'
L' U2 R2 F2 B' U B
L' U2 R2 B' F2 U B
F2 R2 L D' L2 B' U
D R2 L B2 U' F U'
F2 R2 L' D' B' L2 U
F2 R2 L' D2 B' U B'
F2 R2 L' B' U D2 B2
F2 R2 L' B' U' F2 U2
F2 R2 L' B' D' L2 U
F2 R2 L' B' D2 U B2
D R2 L' B2 U B U
F2 R2 U D2 B' R' B'
L' U2 F2 R2 B' U B
F2 R2 U B D2 B2 R'
F2 R2 U B' R' D2 B2
F2 R2 U B' D2 R' B2
L U2 F2 R2 B U B'
F2 R2 U' F' L' F' U2
F2 R2 D' L' B' L' U
F2 R2 D2 L' B' U B'
F2 R2 D2 U B' R' B'
U R2 D' B' U L2 R'
U R2 D' B' U R' L2
F2 R2 D2 B' U B' R'
F R2 F L' B' U B2
F R2 F U B' R' B2
F R2 F B2 U B' R'
U R2 F2 U2 F U' R
U R2 F2 D B' U R'
U R2 F2 D' B' U R'
U R2 F2 D2 B' U R'
U R2 F2 B U' L U2
U R2 F2 B' U R' D
U R2 F2 B' U R' D'
U R2 F2 B' U R' D2
U R2 F2 B' U D R'
U R2 F2 B' U D' R'
U R2 F2 B' U D2 R'
U R2 F2 B' D U R'
U R2 F2 B' D' U R'
U R2 F2 B' D2 U R'
L' D R2 B2 U B U
U R2 B F2 U' L U2
U R2 B' U R' D' L2
U R2 B' U D' L2 R'
U R2 B' U D' R' L2
L D R2 B2 U' F U'
D R2 B2 L U' F U'
D R2 B2 L' U B' U
U R2 B' D' U L2 R'
U R2 B' D' U R' L2
U R2 B' F2 U R' D
U R2 B' F2 U R' D'
U R2 B' F2 U R' D2
U R2 B' F2 U D R'
U R2 B' F2 U D' R'
U R2 B' F2 U D2 R'
U R2 B' F2 D U R'
U R2 B' F2 D' U R'
U R2 B' F2 D2 U R'
D R2 B2 U B' U R'
D R2 B2 U' F U' R
F R2 B2 F U B' R'
L2 D B R2 U2 F' R
B' U R2 F2 B' U R'
B' U R2 B' F2 U R'
B2 U R2 F2 B' U R'
B2 U R2 B' F2 U R'
L' D B2 R2 U' F' U'
B U R2 F2 B' U R'
B U R2 B' F2 U R'
L D B2 R2 U' F U'
D' U B U L2 F2 R
D' U B' U L2 R' F2
D' U B' U L2 F2 R'
D' U B' U R' L2 F2
D' U B' U R' F2 L2
D' U B' U F2 L2 R'
D' U B' U F2 R' L2
B' U F2 R2 B' U R'
B2 U F2 R2 B' U R'
B' U F2 B' R2 U R
B2 U F2 B' R2 U R
B U F2 R2 B' U R'
B U F2 B' R2 U R
B' U B' F2 R2 U R
L' D' U B' U L2 F2
L' D' U B' U F2 L2
B2 U B' F2 R2 U R
B U B' F2 R2 U R
D2 U' L2 F B2 U' R
D2 U' L2 B2 F U' R
L D' U' F U' F L2
R2 D' F' U L2 B' R'
D2 U' F L2 B2 U' R
D' U' F U' R F L2
U' D' F U' R F L2
D2 U' F B2 L2 U' R
D2 U' F' L2 B2 U' R'
L2 D' B U2 L2 R' F2
L2 D' B U2 L2 F2 R'
L2 D' B U2 R' L2 F2
L2 D' B U2 R' F2 L2
L2 D' B U2 F2 L2 R'
L2 D' B U2 F2 R' L2
L2 D' B' L U2 L F2
L2 D' B' L U2 F2 L
L2 D' B' U2 L2 F2 R
F U' R2 F U B R
U D' B U L2 F2 R
D2 U' B2 L2 F U' R
D2 U' B2 F L2 U' R
U D' B' U L2 R' F2
U D' B' U L2 F2 R'
U D' B' U R' L2 F2
U D' B' U R' F2 L2
U D' B' U F2 L2 R'
U D' B' U F2 R' L2
U' D2 L2 F B2 U' R
U' D2 L2 B2 F U' R
L' D2 U' L2 F B2 U'
L' D2 U' L2 B2 F U'
U' D2 F L2 B2 U' R
L D2 U' F L2 B2 U'
L D2 U' F B2 L2 U'
U' D2 F B2 L2 U' R
L D2 U' B2 F L2 U'
U' D2 F' L2 B2 U' R'
U' D2 B2 L2 F U' R
U' D2 B2 F L2 U' R
L' F R2 F B' U B2
L' F R2 B' F U B2
U F R2 F B' U R'
U F R2 B' F U R'
U' F U2 R2 F U R'
L F U2 R2 F U B
U' F D2 L2 B' U' R
L' F B' R2 F U B
D' F' L2 D F' R B'
D' F' L2 D F' B' R
D' F' L2 D B' F' R
D' F' L2 B' D F' R
D' F' U L2 F' B' R'
D' F' U L2 B' F' R'
F2 D' L' B' L' U F2
R2 F2 L D' L2 B' U
R2 F2 L' D' B' L2 U
R2 F2 L' D2 B' U B'
R2 F2 L' B' U D2 B2
R2 F2 L' B' U' F2 U2
R2 F2 L' B' D' L2 U
R2 F2 L' B' D2 U B2
U2 F2 R B R U B'
L' F2 R2 D' B' L2 U
L' F2 R2 D2 B' U B'
U F2 R B' R U R2
U F2 R B' R U R2
L' F2 R2 B' U D2 B2
L' F2 R2 B' U' F2 U2
L' F2 R2 B' D' L2 U
L' F2 R2 B' D2 U B2
U F2 R2 U2 F U' R
U F2 R2 D B' U R'
L F2 R2 D' L2 B U
U F2 R2 D' B' U R'
L F2 R2 D' B L2 U
U F2 R2 D2 B' U R'
L F2 R2 D2 B U B
R2 F2 U D2 B' R' B'
U F2 R2 B U' L U2
L F2 R2 B U D2 B2
L F2 R2 B U' F2 U2
L F2 R2 B D' L2 U
L F2 R2 B D2 U B2
U F2 R2 B' U R' D
U F2 R2 B' U R' D'
U F2 R2 B' U R' D2
U F2 R2 B' U D R'
U F2 R2 B' U D' R'
U F2 R2 B' U D2 R'
U F2 R2 B' D U R'
U F2 R2 B' D' U R'
U F2 R2 B' D2 U R'
R2 F2 U B D2 B2 R'
R2 F2 U B' R' D2 B2
R2 F2 U B' D2 R' B2
R2 F2 U' F' L' F' U2
L' F2 D' B' L2 U F2
R2 F2 D' L' B' L' U
R2 F2 D2 L' B' U B'
R2 F2 D2 U B' R' B'
U F2 D' B' U R' F2
U F2 D' B' U F2 R'
R2 F2 D2 B' U B' R'
L' F2 B' R2 U D2 B2
L' F2 B' R2 U' F2 U2
L' F2 B' R2 D' L2 U
L' F2 B' R2 D2 U B2
L' F2 B' D' L2 U F2
U F2 B R2 U' L U2
U F2 B R2 B2 U R'
U F2 B' R2 U R D
U F2 B' R2 U R D'
U F2 B' R2 U R D2
U F2 B' R2 U D R
U F2 B' R2 U D' R
U F2 B' R2 U D2 R
U F2 B' R2 D U R
U F2 B' R2 D' U R
U F2 B' R2 D2 U R
U F2 B' R2 B U R
U F2 B' R2 B' U R
U F2 B' R2 B2 U R
U F2 B' U D' R' F2
U F2 B' U D' F2 R'
U F2 B' D' U R' F2
U F2 B' D' U F2 R'
U F2 B2 R2 B U R'
L' B U R2 F2 B2 U
L' B U R2 B2 F2 U
L' B U F2 R2 B2 U
L' B U F2 B2 R2 U
L' B U B2 R2 F2 U
L' B U B2 F2 R2 U
U B R2 F2 U' L U2
U B R2 F2 B2 U R'
U B R2 B2 F2 U R'
U B U D' L2 F2 R
L' B U2 D' L2 R2 F2
L' B U2 D' L2 F2 R2
L' B U2 D' R2 L2 F2
L' B U2 D' R2 F2 L2
L' B U2 D' F2 L2 R2
L' B U2 D' F2 R2 L2
L B U F2 R2 B U
L' B D L2 R2 B2 U2
L' B D L2 B2 R2 U2
L' B D R2 L2 B2 U2
L' B D R2 B2 L2 U2
L' B D B2 L2 R2 U2
L' B D B2 R2 L2 U2
L' B D' U2 L2 R2 F2
L' B D' U2 L2 F2 R2
L' B D' U2 R2 L2 F2
L' B D' U2 R2 F2 L2
L' B D' U2 F2 L2 R2
L' B D' U2 F2 R2 L2
U B D' U L2 F2 R
U B F2 R2 U' L U2
U B F2 R2 B2 U R'
L' B' R2 F2 U D2 B2
L' B' R2 F2 U' F2 U2
L' B' R2 F2 D' L2 U
L' B' R2 F2 D2 U B2
L' B' U R2 F2 U R2
L' B' U F2 R2 U R2
U B' R' F2 R' U R
U B' R2 U R D' L2
U B' R2 U D' L2 R
U B' R2 U D' R L2
U B' R2 D' U L2 R
U B' R2 D' U R L2
U B' R2 F2 U' L' U2
U B' U D' L2 R' F2
U B' U D' L2 F2 R'
U B' U D' R' L2 F2
U B' U D' R' F2 L2
U B' U D' F2 L2 R'
U B' U D' F2 R' L2
L B' U F2 R2 B U
L' B' F R2 F U B
U B' D' U L2 R' F2
U B' D' U L2 F2 R'
U B' D' U R' L2 F2
U B' D' U R' F2 L2
U B' D' U F2 L2 R'
U B' D' U F2 R' L2
L' B' F2 R2 U D2 B2
L' B' F2 R2 U' F2 U2
L' B' F2 R2 D' L2 U
L' B' F2 R2 D2 U B2
L' B' F2 D' L2 U F2
D B2 L R2 U' F U'
U B' F2 R2 U R D
U B' F2 R2 U R D'
U B' F2 R2 U R D2
U B' F2 R2 U D R
U B' F2 R2 U D' R
U B' F2 R2 U D2 R
U B' F2 R2 D U R
U B' F2 R2 D' U R
U B' F2 R2 D2 U R
U B' F2 R2 B U R
U B' F2 R2 B' U R
U B' F2 R2 B2 U R
U B' F2 U D' R' F2
U B' F2 U D' F2 R'
U B' F2 D' U R' F2
U B' F2 D' U F2 R'
D B2 L' R2 U B' U
D B2 R2 L U' F U'
D B2 R2 L' U B' U
D B2 R2 U B' U R'
D B2 R2 U' F U' R
L' B2 U F2 B R2 U
L' B2 U B R2 F2 U
L' B2 U B F2 R2 U
U B2 R2 F2 B U R'
U B2 R2 B F2 U R'
L B2 U F2 R2 B U
U B2 F2 R2 B U R'
