L2 U2 F' L' U R
F' U R D F2 B
F' U R D B F2
F' U R B D F2
F' U D R F2 B
F' U D R B F2
F' U2 L2 U' R B
F' D U R F2 B
F' D U R B F2
F' L U2 L U' R B
B L F' U2 L U' R
B L F' B2 R' U R2
B L B2 F' R' U R2
F L' U F2 R U B
F' L' U2 L' U' R B
B L2 U2 L' F' U R
U2 L2 U2 F' U R B
F2 L2 F B' R' U' R2
F2 L2 B' R' F U' R
F2 L2 B' F R' U' R2
L2 U2 L F' L' U R
L2 U2 L' F' L' U R
L2 U2 L2 F' L' U R
L2 U2 F' L' U R D
L2 U2 F' L' U R D'
L2 U2 F' L' U R D2
L2 U2 F' L' U D R
L2 U2 F' L' U D' R
L2 U2 F' L' U D2 R
L2 U2 F' L' D U R
L2 U2 F' L' D' U R
L2 U2 F' L' D2 U R
L2 U2 F' L' B U R
L2 U2 F' L' B' U R
L2 U2 F' L' B2 U R
L2 U2 F' D L' U R
L2 U2 F' D' L' U R
L2 U2 F' D2 L' U R
L2 U2 F' B L' U R
L2 U2 F' B' L' U R
L2 U2 F' B2 L' U R
L2 U2 B F' L' U R
L2 U2 B' F' L' U R
L2 U2 B2 F' L' U R
F' R2 D2 R2 U R B
F' U R U L2 U' B
F' U R D F2 D B
F' U R D F2 D' B
F' U R D F2 D2 B
F' U R D F2 B D
F' U R D F2 B D'
F' U R D F2 B D2
F' U R D B F2 D
F' U R D B F2 D'
F' U R D B F2 D2
F' U R D2 B D' F2
F' U R F D F2 B
F' U R F D B F2
F' U R F B D F2
F' U R F' D F2 B
F' U R F' D B F2
F' U R F' B D F2
F' U R F2 D F2 B
F' U R F2 D B F2
F' U R F2 B D F2
F' U R B U L2 U'
F' U R B D F2 D
F' U R B D F2 D'
F' U R B D F2 D2
F' U R B F D F2
F' U R B F' D F2
F' U R B F2 D F2
F' U R B2 D F2 B'
F' U R B2 D B' F2
F' U D R F2 D B
F' U D R F2 D' B
F' U D R F2 D2 B
F' U D R F2 B D
F' U D R F2 B D'
F' U D R F2 B D2
F' U D R B F2 D
F' U D R B F2 D'
F' U D R B F2 D2
F' U D R2 F2 R' B
F' U D B R F2 B
F' U D B R B F2
F' U D B' R F2 B
F' U D B' R B F2
F' U D B2 R F2 B
F' U D B2 R B F2
F' U D' R D2 F2 B
F' U D' R D2 B F2
F' U F2 D F2 R B
F' U B R D F2 B
F' U B R D B F2
F' U B R B D F2
F' U B D R F2 B
F' U B D R B F2
F' U B' R D F2 B
F' U B' R D B F2
F' U B' R B D F2
F' U B' D R F2 B
F' U B' D R B F2
F' U B2 R D F2 B
F' U B2 R D B F2
F' U B2 R B D F2
F' U B2 D R F2 B
F' U B2 D R B F2
F' U' D' B2 U2 R B
F' U2 L2 U' R D B
F' U2 L2 U' R D' B
F' U2 L2 U' R D2 B
F' U2 L2 U' R B D
F' U2 L2 U' R B D'
F' U2 L2 U' R B D2
F' U2 L2 U' D R B
F' U2 L2 U' D' R B
F' U2 L2 U' D2 R B
F' U2 L2 U' B R B
F' U2 L2 U' B' R B
F' U2 L2 U' B2 R B
F' U2 L2 D U' R B
F' U2 L2 D' U' R B
F' U2 L2 D2 U' R B
F' D L U R F2 B
F' D L U R B F2
F' D L' U R F2 B
F' D L' U R B F2
F' D L2 U R F2 B
F' D L2 U R B F2
F' D U R F2 D B
F' D U R F2 D' B
F' D U R F2 D2 B
F' D U R F2 B D
F' D U R F2 B D'
F' D U R F2 B D2
F' D U R B F2 D
F' D U R B F2 D'
F' D U R B F2 D2
F' D U R2 F2 R' B
F' D U B R F2 B
F' D U B R B F2
F' D U B' R F2 B
F' D U B' R B F2
F' D U B2 R F2 B
F' D U B2 R B F2
U2 F' L' U2 L' U' R
F2 D F U R F B
F2 D F U R B F
F' D B L U R F2
D2 F' R2 U R B R'
D2 F' R2 B L U R'
L' F' U D R F' B
L' F' U D R B F'
D F' U D' F' R B
L' F' D U R F' B
L' F' D U R B F'
U2 F' D L' U R F2
L F' U2 L U' R B
D F' D' U F' R B
U2 F' D2 L' R2 U R'
D2 F' B L R2 U R
U2 F' D2 R2 L' U R'
D2 F' B R2 L U R
U F' D2 R2 U R' B
F' D' U R D2 F2 B
F' D' U R D2 B F2
F' D' U' B2 U2 R B
L' F2 R F U R B
F' D2 R2 U R B R2
F2 D2 R2 F U R B
D2 B L F' R2 U R
F' D2 B L R2 U R'
F' D2 B R2 L U R'
F' B L U2 L U' R
F' B L B2 R' U R2
L2 B U2 L F' U R
L2 B U2 F' L U R
D2 B F' L R2 U R
D2 B F' R2 L U R
F' B D L U R F2
F' B D2 L R2 U R'
F' B D2 R2 L U R'
B F' L U2 L U' R
B F' L B2 R' U R2
B' F' U R D F2 B2
B' F' U R D B2 F2
F' B' U R D F2 B2
F' B' U R D B2 F2
B' F' U2 L2 R' U' R2
B' F' U2 R' L2 U' R2
F' B' U2 L2 R' U' R2
F' B' U2 R' L2 U' R2
B F' D L U R F2
B F' D2 L R2 U R'
B F' D2 R2 L U R'
