F2 U' L' F R
U L R B' U2 R'
F2 L F U' L2 F
U L B' R U2 R2
U L' R U2 F R
U' L' F2 L' F' R
U R L B' U2 R'
U R L' U2 F R
U R B L B' U2
F2 U' L' R F R
F2 U' L' R' F R
F2 U' L' R2 F R
F2 U' L' D F R
F2 U' L' D' F R
F2 U' L' D2 F R
F2 U' L' F R D
F2 U' L' F R D'
F2 U' L' F R D2
F2 U' L' F D R
F2 U' L' F D' R
F2 U' L' F D2 R
F U' L' F L' R
F U' L' F R L'
F2 U' R L' F R
F2 U' R' L' F R
F2 U' R2 L' F R
F U' F L' R F
F U' F R L' F
U' F L' R F L'
U' F R L' F L'
U' F R F L' F
L F L2 U' F L'
L F U' L2 F L'
U' F2 L' F' R F2
U2 F2 U L' F R
U B L R B' U2
U B L B' R U2
U B R L B' U2
F2 B U' L' F R
F2 B' U' L' F R
B' F2 U' L' F R
B2 F2 U' L' F R
F2 B2 U' L' F R
B F2 U' L' F R
U L R D B' U2 R'
U L R D' B' U2 R'
U L R D2 B' U2 R'
U L R B L B2 U2
U L R B' L U2 R'
U L R B' L' U2 R'
U L R B' L2 U2 R'
U L R B' U2 R' D
U L R B' U2 R' D'
U L R B' U2 R' D2
U L R B' U2 D R'
U L R B' U2 D' R'
U L R B' U2 D2 R'
U L R B' D U2 R'
U L R B' D' U2 R'
U L R B' D2 U2 R'
U' L R' D2 L2 F R
U L R' B' R2 U2 R
U' L U2 R B' U2 R'
U' L U2 B' R U2 R2
U L D R B' U2 R'
U L D B' R U2 R2
U L D' R B' U2 R'
U L D' B' R U2 R2
U L D2 R B' U2 R'
F2 L F L' U' L' F
U L D2 B' R U2 R2
B' L F L2 U' F L'
U' L F L2 R F L'
B2 L F L2 U' F L'
U' L F R L2 F L'
F L F L2 U' F L
B L F L2 U' F L'
F' L F U R B' U2
F' L F U B' R U2
F2 L F U B' U2 L2
B' L F U' L2 F L'
F2 L F U' L2 D F
F2 L F U' L2 D' F
F2 L F U' L2 D2 F
F2 L F U' L2 F D
F2 L F U' L2 F D'
F2 L F U' L2 F D2
B2 L F U' L2 F L'
F2 L F U' F L2 F
F2 L F U' F' L2 F
F2 L F U' F2 L2 F
F L F U B' U2 L'
F L F U' L2 F L
B L F U' L2 F L'
U L B L R B2 U2
U L B L B2 R U2
U L B R L B2 U2
U L B R B2 U2 R'
U L B' L R U2 R2
U L B' L' R U2 R2
U L B' L2 R U2 R2
U L B' R L U2 R2
U L B' R L' U2 R2
U L B' R L2 U2 R2
U L B' R U2 R2 D
U L B' R U2 R2 D'
U L B' R U2 R2 D2
U L B' R D2 L2 U2
U L B' U2 R' D2 L2
U L B' D R U2 R2
U L B' D' R U2 R2
U L B' D2 R U2 R2
U L' R U2 R F R
U L' R U2 R' F R
U L' R U2 R2 F R
U L' R U2 D F R
U L' R U2 D' F R
U L' R U2 D2 F R
U L' R U2 F R D
U L' R U2 F R D'
U L' R U2 F R D2
U L' R U2 F D R
U L' R U2 F D' R
U L' R U2 F D2 R
U L' R D U2 F R
U L' R D' U2 F R
U L' R D2 U2 F R
U L' R B' U2 R' F
U L' R B' U2 F R'
U' L' R' D2 F L2 R
U' L' R' D2 F R L2
U' L' R' F D2 L2 R
U' L' R' F D2 R L2
U' L' R2 F R D2 L2
F2 L' U' B' U F B
F2 L' U' B' U B F
U' L' U2 R U2 F R
U L' U2 F2 L' F' R
F L' U2 B' U F L'
U L' D R U2 F R
U' L' D F2 L' F' R
U L' D' R U2 F R
U' L' D' F2 L' F' R
U L' D2 R U2 F R
U' L' D2 F2 L' F' R
U' L' F R F L' F'
F2 L' F U' B' U B
U' L' F2 L F' L2 R
U' L' F2 L F' R L2
U' L' F2 L' F' R D
U' L' F2 L' F' R D'
U' L' F2 L' F' R D2
U' L' F2 L' F' D R
U' L' F2 L' F' D' R
U' L' F2 L' F' D2 R
U' L' F2 L2 F' L R
U' L' F2 L2 F' R L
U L' B' R U2 R2 F
U L' B' R U2 F R2
U L2 R B L U2 F
U L2 R B' U2 R' F'
U' L2 U2 R B L U2
U' L2 F L R F L'
U' L2 F R L F L'
D L2 F L' F U' L'
L' U R U B' U F
L U R B' U' F U'
U L2 B L R U2 F
U L2 B R L U2 F
U R L D B' U2 R'
U R L D' B' U2 R'
U R L D2 B' U2 R'
U R L B L B2 U2
U R L B' L U2 R'
U R L B' L' U2 R'
U R L B' L2 U2 R'
U R L B' U2 R' D
U R L B' U2 R' D'
U R L B' U2 R' D2
U R L B' U2 D R'
U R L B' U2 D' R'
U R L B' U2 D2 R'
U R L B' D U2 R'
U R L B' D' U2 R'
U R L B' D2 U2 R'
U R L' U2 R F R
U R L' U2 R' F R
U R L' U2 R2 F R
U R L' U2 D F R
U R L' U2 D' F R
U R L' U2 D2 F R
U R L' U2 F R D
U R L' U2 F R D'
U R L' U2 F R D2
U R L' U2 F D R
U R L' U2 F D' R
U R L' U2 F D2 R
U R L' D U2 F R
U R L' D' U2 F R
U R L' D2 U2 F R
U R L' B' U2 R' F
U R L' B' U2 F R'
U R L2 B L U2 F
U R L2 B' U2 R' F'
U R U2 L' F L R
U R U2 L' F R L
U R U2 D2 F R F'
L U B' R U' F U'
U R U2 F D2 R F'
U R D2 U2 F R F'
U R B L D B' U2
U R B L D' B' U2
U R B L D2 B' U2
U R B L B' U2 D
U R B L B' U2 D'
U R B L B' U2 D2
U R B L B' D U2
U R B L B' D' U2
U R B L B' D2 U2
U R B' L' U2 R' F
U R B' L' U2 F R'
U R B' L2 U2 R' F'
U R B2 L B' L U2
U' R' L D2 L2 F R
U' R' L' D2 F L2 R
U' R' L' D2 F R L2
U' R' L' F D2 L2 R
U' R' L' F D2 R L2
U R' L B' R2 U2 R
L' U' F2 L' D F' R
U' R' D2 L2 F R F'
U' R' D2 F L2 R F'
U' R' D2 F R L2 F'
U' R' D2 F R F' L2
U' R' F R F2 L' F
U' R' F D2 L2 R F'
U' R' F D2 R L2 F'
U' R' F D2 R F' L2
U R' B L R2 B' U2
U R' B L B' R2 U2
U R' B R2 L B' U2
U' R2 L' F R D2 L2
L' U2 F2 B' U L' F'
L' U2 B' U F2 L' F'
L' U2 B' U' R U2 F
L' U2 B' F2 U L' F'
U R2 D2 R' B L U2
U R2 B L B' R' U2
B' U L R B' U2 R'
B2 U L R B' U2 R'
F2 U L U2 L2 F R
B U L R B' U2 R'
B' U L B' R U2 R2
B' U L' R U2 F R
B2 U L B' R U2 R2
F2 U L B' U2 L2 R'
F2 U L B' U2 R' L2
B2 U L' R U2 F R
B U L B' R U2 R2
B U L' R U2 F R
L D F L2 U' F L'
F U L' U2 F L' R
F U L' U2 F R L'
L D F U' L2 F L'
B' U R L B' U2 R'
B' U R L' U2 F R
B2 U R L B' U2 R'
D2 U R U2 F R F2
B2 U R L' U2 F R
F2 U R U2 L' F R
D2 U R B L U2 F'
B' U R B L B' U2
D2 U R B' U2 F' R'
B U R L B' U2 R'
B U R L' U2 F R
B2 U R B L B' U2
F2 U R' U2 L' F R
B U R B L B' U2
D2 U R' B L R2 U2
D2 U R' B R2 L U2
F2 U R2 U2 L' F R
D2 U B L R U2 F'
D2 U B R L U2 F'
D2 U B' R U2 F' R2
B' U B L R B' U2
B' U B L B' R U2
B' U B R L B' U2
B2 U B L R B' U2
B2 U B L B' R U2
F2 U B L U2 L2 F
F2 U B L B' U2 L2
B2 U B R L B' U2
B U B L R B' U2
B U B L B' R U2
B U B R L B' U2
F2 U B' U2 L' R' F
F2 U B' U2 L' F R'
F2 U B' U2 R' L' F
F2 U' L F L2 R F
F2 U' L F R L2 F
F2 U' L' R D F R
F2 U' L' R D' F R
F2 U' L' R D2 F R
F2 U' L' R F R D
F2 U' L' R F R D'
F2 U' L' R F R D2
F2 U' L' R F D R
F2 U' L' R F D' R
F2 U' L' R F D2 R
F2 U' L' R' D F R
F2 U' L' R' D' F R
F2 U' L' R' D2 F R
F2 U' L' R' F R D
F2 U' L' R' F R D'
F2 U' L' R' F R D2
F2 U' L' R' F D R
F2 U' L' R' F D' R
F2 U' L' R' F D2 R
F2 U' L' R2 D F R
F2 U' L' R2 D' F R
F2 U' L' R2 D2 F R
F2 U' L' R2 F R D
F2 U' L' R2 F R D'
F2 U' L' R2 F R D2
F2 U' L' R2 F D R
F2 U' L' R2 F D' R
F2 U' L' R2 F D2 R
B' U' L' F2 L' F' R
F2 U' L' D R F R
F2 U' L' D R' F R
F2 U' L' D R2 F R
F2 U' L' D F R D
F2 U' L' D F R D'
F2 U' L' D F R D2
F2 U' L' D F D R
F2 U' L' D F D' R
F2 U' L' D F D2 R
F2 U' L' D' R F R
F2 U' L' D' R' F R
F2 U' L' D' R2 F R
F2 U' L' D' F R D
F2 U' L' D' F R D'
F2 U' L' D' F R D2
F2 U' L' D' F D R
F2 U' L' D' F D' R
F2 U' L' D' F D2 R
F2 U' L' D2 R F R
F2 U' L' D2 R' F R
F2 U' L' D2 R2 F R
F2 U' L' D2 F R D
F2 U' L' D2 F R D'
F2 U' L' D2 F R D2
F2 U' L' D2 F D R
F2 U' L' D2 F D' R
F2 U' L' D2 F D2 R
B2 U' L' F2 L' F' R
F2 U' L' F R2 D R'
F2 U' L' F R2 D' R'
F2 U' L' F R2 D2 R'
F2 U' L' F D R D
F2 U' L' F D R D'
F2 U' L' F D R D2
F2 U' L' F D' R D
F2 U' L' F D' R D'
F2 U' L' F D' R D2
F2 U' L' F D2 R D
F2 U' L' F D2 R D'
F2 U' L' F D2 R D2
F2 U' L' F B R B'
F2 U' L' F B2 R B2
F2 U' L' F' R F2 R
F2 U' L' F' R' F2 R
F2 U' L' F' R2 F2 R
F2 U' L' B F R B'
F2 U' L' B2 F R B2
F U' L' R F L' R
F U' L' R F R L'
F U' L' R' F L' R
F U' L' R' F R L'
F U' L' R2 F L' R
F U' L' R2 F R L'
L D' F L2 U' F L'
F2 U' L2 D L F R
B U' L' F2 L' F' R
F2 U' L2 D' L F R
F2 U' L2 D2 L F R
L D' F U' L2 F L'
F2 U' L2 F L R F
F2 U' L2 F R L F
F U' L' F L' R D
F U' L' F L' R D'
F U' L' F L' R D2
F U' L' F L' D R
F U' L' F L' D' R
F U' L' F L' D2 R
F U' L' F R L' D
F U' L' F R L' D'
F U' L' F R L' D2
F U' L' F R D L'
F U' L' F R D' L'
F U' L' F R D2 L'
F U' L' F D L' R
F U' L' F D R L'
F U' L' F D' L' R
F U' L' F D' R L'
F U' L' F D2 L' R
F U' L' F D2 R L'
F2 U' R L' D F R
F2 U' R L' D' F R
F2 U' R L' D2 F R
F2 U' R L' F R D
F2 U' R L' F R D'
F2 U' R L' F R D2
F2 U' R L' F D R
F2 U' R L' F D' R
F2 U' R L' F D2 R
D2 U' F R F L' F2
F2 U' R' L' D F R
F2 U' R' L' D' F R
F2 U' R' L' D2 F R
F2 U' R' L' F R D
F2 U' R' L' F R D'
F2 U' R' L' F R D2
F2 U' R' L' F D R
F2 U' R' L' F D' R
F2 U' R' L' F D2 R
F U' R L' F L' R
F U' R L' F R L'
F U' R F L' R F
F U' R F R L' F
F2 U' R2 L' D F R
F2 U' R2 L' D' F R
F2 U' R2 L' D2 F R
F2 U' R2 L' F R D
F2 U' R2 L' F R D'
F2 U' R2 L' F R D2
F2 U' R2 L' F D R
F2 U' R2 L' F D' R
F2 U' R2 L' F D2 R
D2 U' F2 L' R F' R
D2 U' F2 L' F' R F'
F U' R' L' F L' R
F U' R' L' F R L'
D2 U' F2 R L' F' R
F U' R' F L' R F
F U' R' F R L' F
F U' R2 L' F L' R
F U' R2 L' F R L'
F U' R2 F L' R F
F U' R2 F R L' F
F2 U' D2 L' F R F'
F2 U' D2 F R F' L'
B' U' F L' R F L'
B' U' F R L' F L'
B' U' F R F L' F
B2 U' F L' R F L'
B2 U' F R L' F L'
B2 U' F R F L' F
F2 U' F R F' L' F
F2 U' F D2 R F' L'
B U' F L' R F L'
B U' F R L' F L'
B U' F R F L' F
F U' F L' R D F
F U' F L' R D' F
F U' F L' R D2 F
F U' F L' R F D
F U' F L' R F D'
F U' F L' R F D2
F U' F L' R' F R2
F U' F L' R2 F R'
F U' F L' D R F
F U' F L' D' R F
F U' F L' D2 R F
F U' F R L' D F
F U' F R L' D' F
F U' F R L' D2 F
F U' F R L' F D
F U' F R L' F D'
F U' F R L' F D2
F U' F R' L' F R2
F U' F R2 L' F R'
B' U' F2 L' F' R F2
F U' F D2 L' R F'
F U' F D2 R L' F'
B2 U' F2 L' F' R F2
B U' F2 L' F' R F2
F2 U' B' L' F B R
F2 U' B' L' B F R
F2 U' B2 L' F R B2
F2 U' B2 L' F B2 R
F2 U' B2 L' B2 F R
U D2 R U2 F R F2
U D2 R B L U2 F'
U D2 R B' U2 F' R'
U' D2 F R F L' F2
U D2 R' B L R2 U2
U D2 R' B R2 L U2
U' D2 F2 L' R F' R
L D2 F L2 U' F L'
U' D2 F2 L' F' R F'
U' D2 F2 R L' F' R
L D2 F U' L2 F L'
F2 U2 R B U L' F
U D2 B L R U2 F'
U D2 B R L U2 F'
U D2 B' R U2 F' R2
U' F L' R F L' D
U' F L' R F L' D'
U' F L' R F L' D2
U' F L' R F D L'
U' F L' R F D' L'
U' F L' R F D2 L'
U' F L' R' F L' R2
U' F L' R' F R2 L'
U' F L' R2 F L' R'
U' F L' R2 F R' L'
D F L F L2 U' L
L' F L2 F U' L' F'
U' F R L' F L' D
U' F R L' F L' D'
U' F R L' F L' D2
U' F R L' F D L'
U' F R L' F D' L'
U' F R L' F D2 L'
L F L' U' L' F L'
L F L' U' F L' F
U' F R F L' D F
U' F R F L' D' F
U' F R F L' D2 F
U' F R F L' F D
U' F R F L' F D'
U' F R F L' F D2
F U2 F U L' F R
U' F R' L' F L' R2
U' F R' L' F R2 L'
