R2 D L2 B R'
R2 D B L2 R'
R2 D B R' L2
R2 L D L2 B R'
R2 L D B L2 R'
R2 L D B R' L2
R2 L' D L2 B R'
R2 L' D B L2 R'
R2 L' D B R' L2
L' R2 D L2 B R'
L' R2 D B L2 R'
L' R2 D B R' L2
L2 R2 D L2 B R'
R2 L2 D L2 B R'
L R2 D L2 B R'
L2 R2 D B L2 R'
L2 R2 D B R' L2
R2 L2 D B L2 R'
R2 L2 D B R' L2
L R2 D B L2 R'
L R2 D B R' L2
D L2 R2 D B R'
D R2 L2 D B R'
R2 D L' B L' R'
R2 D L' B R' L'
R2 D L2 B R' D
R2 D L2 B R' D'
R2 D L2 B R' D2
R2 D L2 B D R'
R2 D L2 B D' R'
R2 D L2 B D2 R'
R2 D B L2 R' D
R2 D B L2 R' D'
R2 D B L2 R' D2
R2 D B L2 D R'
R2 D B L2 D' R'
R2 D B L2 D2 R'
R2 D B R' L2 D
R2 D B R' L2 D'
R2 D B R' L2 D2
D L R2 D L B R'
R2 L D L' B L' R'
R2 L D L' B R' L'
R2 L D L2 B R' D
R2 L D L2 B R' D'
R2 L D L2 B R' D2
R2 L D L2 B D R'
R2 L D L2 B D' R'
R2 L D L2 B D2 R'
R2 L D B L2 R' D
R2 L D B L2 R' D'
R2 L D B L2 R' D2
R2 L D B L2 D R'
R2 L D B L2 D' R'
R2 L D B L2 D2 R'
R2 L D B R' L2 D
R2 L D B R' L2 D'
R2 L D B R' L2 D2
U2 L F' U' F2 B2 U'
U2 L F' U' B2 F2 U'
U2 L F' U2 D L2 R2
U2 L F' U2 D R2 L2
U2 L F' D U2 L2 R2
U2 L F' D U2 R2 L2
U2 L F' D' L2 R2 U2
U2 L F' D' R2 L2 U2
R2 L' D L' B L' R'
R2 L' D L' B R' L'
R2 L' D L2 B R' D
R2 L' D L2 B R' D'
R2 L' D L2 B R' D2
R2 L' D L2 B D R'
R2 L' D L2 B D' R'
R2 L' D L2 B D2 R'
R2 L' D B L2 R' D
R2 L' D B L2 R' D'
R2 L' D B L2 R' D2
R2 L' D B L2 D R'
R2 L' D B L2 D' R'
R2 L' D B L2 D2 R'
R2 L' D B R' L2 D
R2 L' D B R' L2 D'
R2 L' D B R' L2 D2
D L' R2 D L' B R'
D L' R2 D B L' R'
D L' R2 D B R' L'
L' R2 D L' B L' R'
L' R2 D L' B R' L'
L' R2 D L2 B R' D
L' R2 D L2 B R' D'
L' R2 D L2 B R' D2
L' R2 D L2 B D R'
L' R2 D L2 B D' R'
L' R2 D L2 B D2 R'
L2 R2 D L' B L' R'
L2 R2 D L' B R' L'
R2 L2 D L' B L' R'
R2 L2 D L' B R' L'
L2 R2 D L2 B R' D
L2 R2 D L2 B R' D'
L2 R2 D L2 B R' D2
L2 R2 D L2 B D R'
L2 R2 D L2 B D' R'
L2 R2 D L2 B D2 R'
L R2 D L' B L' R'
L R2 D L' B R' L'
R2 L2 D L2 B R' D
R2 L2 D L2 B R' D'
R2 L2 D L2 B R' D2
R2 L2 D L2 B D R'
R2 L2 D L2 B D' R'
R2 L2 D L2 B D2 R'
L R2 D L2 B R' D
L R2 D L2 B R' D'
L R2 D L2 B R' D2
L R2 D L2 B D R'
L R2 D L2 B D' R'
L R2 D L2 B D2 R'
L' R2 D B L2 R' D
L' R2 D B L2 R' D'
L' R2 D B L2 R' D2
L' R2 D B L2 D R'
L' R2 D B L2 D' R'
L' R2 D B L2 D2 R'
L' R2 D B R' L2 D
L' R2 D B R' L2 D'
L' R2 D B R' L2 D2
L2 R2 D B L2 R' D
L2 R2 D B L2 R' D'
L2 R2 D B L2 R' D2
L2 R2 D B L2 D R'
L2 R2 D B L2 D' R'
L2 R2 D B L2 D2 R'
L2 R2 D B R' L2 D
L2 R2 D B R' L2 D'
L2 R2 D B R' L2 D2
R2 L2 D B L2 R' D
R2 L2 D B L2 R' D'
R2 L2 D B L2 R' D2
R2 L2 D B L2 D R'
R2 L2 D B L2 D' R'
R2 L2 D B L2 D2 R'
R2 L2 D B R' L2 D
R2 L2 D B R' L2 D'
R2 L2 D B R' L2 D2
L R2 D B L2 R' D
L R2 D B L2 R' D'
L R2 D B L2 R' D2
L R2 D B L2 D R'
L R2 D B L2 D' R'
L R2 D B L2 D2 R'
L R2 D B R' L2 D
L R2 D B R' L2 D'
L R2 D B R' L2 D2
D L2 R U' B L U
D L2 R2 D B R' D
D L2 R2 D B R' D'
D L2 R2 D B R' D2
D L2 R2 D B D R'
D L2 R2 D B D' R'
D L2 R2 D B D2 R'
D L2 D R2 D B R'
U2 L2 D F' U2 L2 R
U2 L2 D F' U2 R L2
U2 L2 D' R2 U2 B R'
D L2 D' R2 D B R'
D L2 D2 R2 D B R'
D L2 B R2 D B R'
F' L2 B' U' B' U' R'
D L2 B' R2 D B R'
D L2 B2 R2 D B R'
D R L2 U' B L U
R' U F' R' B2 U' B'
R' U F' B2 R' U' B
D2 R U' F2 B L U
D2 R U' B L F2 U
D2 R U' B F2 L U
B2 R U' B L U L'
D R U' B L U L
R' U B2 D' F' R U'
R2 U B2 R F' U' B'
R' U B2 F' R' U' B
R2 U B2 R2 U' B' R'
R U' D B L U L
R U' D2 F2 B L U
R U' D2 B L F2 U
R U' D2 B F2 L U
F' R' U' F' B2 U' F2
F' R' U' B2 F' U' F2
R U' B L U2 B U'
F' R' U2 F D L2 R2
F' R' U2 F D R2 L2
B2 R' D' F' R U' F
F' R' F D L2 R2 B
F' R' F D R2 L2 B
F' R' F D R2 B L2
B2 R' F' R' U' F B
B2 R' F' R' U' B F
R2 U2 D B L2 R' F
R2 U2 D B L2 F R'
R2 U2 D B R' L2 F
R2 U2 D' R2 F' U2 R
D R2 L D L B R'
D R2 L' D L' B R'
D R2 L' D B L' R'
D R2 L' D B R' L'
D R2 L2 D B R' D
D R2 L2 D B R' D'
D R2 L2 D B R' D2
D R2 L2 D B D R'
D R2 L2 D B D' R'
D R2 L2 D B D2 R'
D2 R2 D B D2 L2 R'
D2 R2 D B D2 R' L2
B' R2 D B R' D L2
B' R2 D B D L2 R'
B' R2 D B D R' L2
D2 R2 D' L2 D2 B R'
D R2 D B R' D' L2
D R2 D B D' L2 R'
D R2 D B D' R' L2
L' D L2 R2 D B R'
R2 D L' B L' R' D
R2 D L' B L' R' D'
R2 D L' B L' R' D2
R2 D L' B L' D R'
R2 D L' B L' D' R'
R2 D L' B L' D2 R'
R2 D L' B R' L' D
R2 D L' B R' L' D'
R2 D L' B R' L' D2
R2 D L' B R' D L'
R2 D L' B R' D' L'
R2 D L' B R' D2 L'
R2 D L' B D L' R'
R2 D L' B D R' L'
R2 D L' B D' L' R'
R2 D L' B D' R' L'
R2 D L' B D2 L' R'
R2 D L' B D2 R' L'
L2 D L2 R2 D B R'
R2 D L2 R B R' B
R D L2 R D B R'
L D L2 R2 D B R'
R2 D L2 F' B R' F
R2 D L2 F2 B R' F2
R2 D L2 B R2 D R
R2 D L2 B R2 D' R
R2 D L2 B R2 D2 R
R2 D L2 B D R' D
R2 D L2 B D R' D'
R2 D L2 B D R' D2
R2 D L2 B D' R' D
R2 D L2 B D' R' D'
R2 D L2 B D' R' D2
R2 D L2 B D2 R' D
R2 D L2 B D2 R' D'
R2 D L2 B D2 R' D2
R2 D L2 B F' R' F
R2 D L2 B F2 R' F2
R2 D L2 B' R B2 R'
R2 D L2 B' R' B2 R'
R D L2 U' B L U
R2 D L2 B' R2 B2 R'
R2 D L2 B2 R B' R'
R2 D L2 B2 R' B' R'
R2 D L2 B2 R2 B' R'
R2 D L2 B2 D B' R'
R2 D L2 B2 D' B' R'
R2 D L2 B2 D2 B' R'
U R2 F B2 U' R B'
U R2 F B2 U' B' R
R2 D R L2 B R' B
R D R L2 D B R'
R2 D R B L2 R' B
R2 D R B R' L2 B
R2 D R B R' B L2
L' D R2 L2 D B R'
L2 D R2 L2 D B R'
L D R2 L2 D B R'
U R2 B2 F U' R B'
U R2 B2 F U' B' R
R D U' B L U L
R2 D U2 B L2 R' F
R2 D U2 B L2 F R'
R2 D U2 B R' L2 F
R2 D F L2 F' B R'
R2 D F L2 B F' R'
R2 D F B L2 F' R'
R2 D F' B R' F L2
R2 D F2 L2 F2 B R'
R2 D F2 L2 B R' F2
R2 D F2 L2 B F2 R'
R2 D F2 B L2 R' F2
R2 D F2 B L2 F2 R'
R2 D F2 B R' L2 F2
R2 D F2 B R' F2 L2
R2 D B L R' D L
R2 D B L R' D' L
R2 D B L R' D2 L
R2 D B L D L R'
R2 D B L D R' L
R2 D B L D' L R'
R2 D B L D' R' L
R2 D B L D2 L R'
R2 D B L D2 R' L
R2 D B L' R' D L'
R2 D B L' R' D' L'
R2 D B L' R' D2 L'
R2 D B L' D L' R'
R2 D B L' D R' L'
R2 D B L' D' L' R'
R2 D B L' D' R' L'
R2 D B L' D2 L' R'
R2 D B L' D2 R' L'
R2 D B L2 R2 D R
R2 D B L2 R2 D' R
R2 D B L2 R2 D2 R
R2 D B L2 D R' D
R2 D B L2 D R' D'
R2 D B L2 D R' D2
R2 D B L2 D' R' D
R2 D B L2 D' R' D'
R2 D B L2 D' R' D2
R2 D B L2 D2 R' D
R2 D B L2 D2 R' D'
R2 D B L2 D2 R' D2
R2 D B L2 F' R' F
R2 D B L2 F2 R' F2
R2 D B R' L D L
R2 D B R' L D' L
R2 D B R' L D2 L
R2 D B R' L' D L'
R2 D B R' L' D' L'
R2 D B R' L' D2 L'
R2 D B R' F L2 F'
R2 D B R' F2 L2 F2
R2 D B R' B' L2 B
R2 D B R' B2 L2 B2
R2 D B R2 L2 D R
R2 D B R2 L2 D' R
R2 D B R2 L2 D2 R
R2 D B D R' D' L2
R2 D B D' R' D L2
R2 D B F L2 F' R'
R2 D B F' R' F L2
R2 D B F2 L2 R' F2
R2 D B F2 L2 F2 R'
R2 D B F2 R' L2 F2
R2 D B F2 R' F2 L2
R2 D B' R B2 L2 R'
R2 D B' R B2 R' L2
R2 D B' R' B2 L2 R'
R2 D B' R' B2 R' L2
R2 D B' R2 B2 L2 R'
R2 D B' R2 B2 R' L2
R2 D B2 R B' L2 R'
R2 D B2 R B' R' L2
R2 D B2 R' B' L2 R'
R2 D B2 R' B' R' L2
R2 D B2 R2 B' L2 R'
R2 D B2 R2 B' R' L2
F' U D2 F2 U F' R
R2 D' L D2 L2 B R'
R2 D' L D2 B L2 R'
R2 D' L D2 B R' L2
R2 D' L' D2 L2 B R'
R2 D' L' D2 B L2 R'
R2 D' L' D2 B R' L2
B2 U F' L' U' L U'
R2 D' L2 D2 L2 B R'
R2 D' L2 D2 B L2 R'
R2 D' L2 D2 B R' L2
R2 D' R2 F' U2 R F
R2 D' U2 R2 F' U2 R
R2 D2 L B D' L2 R2
R2 D2 L B D' R2 L2
R D2 U' F2 B L U
R D2 U' B L F2 U
R D2 U' B F2 L U
