U' L U2 F' U' L2
R2 L' U' L2 B U
R2 L' U' B L2 U
B2 L' U F' R' U'
R2 L' B' D' R2 B2
R2 L' B' D' B2 R2
L' R2 U' L2 B U
L' R2 U' B L2 U
L' R2 B' D' R2 B2
L' R2 B' D' B2 R2
L' U D' F' U' B2
L' U D2 F' R2 U'
L' U F' U' D' B2
L' U F' U2 L2 U
L' U F' D' U' B2
L' U F' D2 R2 U'
L' U' L2 U2 F' U'
R2 U' L B U L2
L' D' U F' U' B2
L' D' B2 U F' U'
F' U' F L' D' B2
L' D2 U F' R2 U'
L' F D F' R2 B
B2 F' R' U' F L'
F' B' U' F L' B'
B' F' U' F L' B'
F' B2 R' U' F L'
L' R U' L2 B' U R'
L' R U' B' L2 U R'
U' L R2 B R2 U L2
U2 L R2 B U L2 F
U' L U L2 U F' U'
B2 L U F' R' U' L2
R2 L D F2 B U F2
R2 L D B F2 U F2
U2 L U' F' U' L2 B'
U' L U2 D' F' B2 U'
U' L U2 D' B2 F' U'
U' L U2 F' U' L2 D
U' L U2 F' U' L2 D'
U' L U2 F' U' L2 D2
U' L U2 F' D' B2 U'
U' L U2 F' B U' L2
U' L U2 F' B' U' L2
U' L U2 F' B2 U' L2
U2 L U2 F' U' F L2
U' L U2 B F' U' L2
U' L U2 B' F' U' L2
U' L U2 B2 F' U' L2
U' L D F2 U2 F U'
R2 L F B U L2 F'
R2 L F B U F' L2
U' L D' U2 F' B2 U'
U' L D' U2 B2 F' U'
L R F' U F L2 R
L R F' U F R L2
R L F' U F L2 R
R L F' U F R L2
R2 L F' B U F L2
R2 L F2 B U L2 F2
R2 L F2 B U F2 L2
U' L F U L2 D R2
U' L F U2 F2 U' L2
U' L F D F2 U R2
R2 L B U L2 D F2
R2 L B D F2 U F2
B2 L F' R' U' F L2
R2 L B F U L2 F'
R2 L B F U F' L2
R2 L B F' U F L2
U' L F' U L2 D2 R2
R2 L B F2 U L2 F2
R2 L B F2 U F2 L2
R2 L B' L2 D' R2 B2
R2 L B' L2 D' B2 R2
U' L F2 U2 F U' L2
U' L B U2 F' U' L2
R2 L' U D2 R2 F' U'
U' L B' U2 F' U' L2
R2 L' U' L' B L' U
R2 L' U' L2 D B U
R2 L' U' L2 D' B U
R2 L' U' L2 D2 B U
R2 L' U' L2 B U D
R2 L' U' L2 B U D'
R2 L' U' L2 B U D2
R2 L' U' L2 B D U
R2 L' U' L2 B D' U
R2 L' U' L2 B D2 U
R L' U' L2 B' U R'
R2 L' U' D' B U B
R2 L' U' B L2 U D
R2 L' U' B L2 U D'
R2 L' U' B L2 U D2
R2 L' U' B L2 D U
R2 L' U' B L2 D' U
R2 L' U' B L2 D2 U
R2 L' U' B U D' B2
R2 L' U' B D' U B2
R2 L' U' B' L2 B2 U
R L' U' B' L2 U R'
U' L B2 U2 F' U' L2
R' L' D B R' D2 B2
L' R' D B R' D2 B2
R' L' D B D2 R' B2
L' R' D B D2 R' B2
R' L' D B' D2 B2 R'
L' R' D B' D2 B2 R'
D2 L' R2 U' L2 B U
D2 L' R2 U' B L2 U
D' L' R2 U' L2 B U
D' L' R2 U' B L2 U
D L' R2 U' L2 B U
D L' R2 U' B L2 U
R' L' D' F' R F B2
R' L' D' F' R B2 F
R' L' D' F' B2 R F
L' R' D' F' R F B2
L' R' D' F' R B2 F
L' R' D' F' B2 R F
R2 L' D' U' B U B
R' L' D' B D2 B R'
L' R' D' B D2 B R'
R' L' D' B2 F' R F
D2 L' R2 B' D' R2 B2
D2 L' R2 B' D' B2 R2
L' R' D' B2 F' R F
D' L' R2 B' D' R2 B2
D' L' R2 B' D' B2 R2
R2 L' D' B' D' R2 B'
R2 L' D' B' D' B' R2
R2 L' D' B2 U' B' U
D L' R2 B' D' R2 B2
D L' R2 B' D' B2 R2
D2 L' U D' F' U' B2
D2 L' U D2 F' R2 U'
D' L' U D' F' U' B2
D' L' U D2 F' R2 U'
R2 L' D2 U R2 F' U'
D2 L' U F' U' D' B2
D2 L' U F' U2 L2 U
D2 L' U F' D' U' B2
D2 L' U F' D2 R2 U'
B2 L' U D F' R' U'
D' L' U F' U' D' B2
D' L' U F' U2 L2 U
D' L' U F' D' U' B2
D' L' U F' D2 R2 U'
B2 L' U D' F' R' U'
D L' U D' F' U' B2
B' L' U F' R U' B
D L' U D2 F' R2 U'
B2 L' U D2 F' R' U'
B2 L' U F R' F2 U'
B2 L' U F' R' U' D
B2 L' U F' R' U' D'
B2 L' U F' R' U' D2
B2 L' U F' R' D U'
B2 L' U F' R' D' U'
B2 L' U F' R' D2 U'
B L' U D2 F' R U'
D L' U F' U' D' B2
B2 L' U F' D R' U'
D L' U F' U2 L2 U
B2 L' U F' D' R' U'
B2 L' U F' D2 R' U'
D L' U F' D' U' B2
D L' U F' D2 R2 U'
B2 L' U F2 R' F U'
D2 L' U' L2 U2 F' U'
D' L' U' L2 U2 F' U'
D L' U' L2 U2 F' U'
R' L' F D' F' R B2
R' L' F D' F' B2 R
R' L' F D' B2 F' R
L' R' F D' F' R B2
L' R' F D' F' B2 R
L' R' F D' B2 F' R
B2 L' D U F' R' U'
F L' D F' L' R2 B
F L' D F' R2 L' B
F L' D F' R2 B L'
D2 L' D' U F' U' B2
D' L' D' U F' U' B2
B L' D' R' D B R'
B2 L' D' U F' R' U'
D L' D' U F' U' B2
D2 L' D' B2 U F' U'
R2 L' B D' B2 D' R2
D' L' D' B2 U F' U'
D L' D' B2 U F' U'
R2 L' B' R D' R2 B2
R2 L' B' R D' B2 R2
D2 L' D2 U F' R2 U'
D' L' D2 U F' R2 U'
R2 L' B' R' D' R2 B2
R2 L' B' R' D' B2 R2
R2 L' B' R2 D' R2 B2
R2 L' B' R2 D' B2 R2
R2 L' B' U' L2 B2 U
B2 L' D2 U F' R' U'
D L' D2 U F' R2 U'
R2 L' B' U' B2 L2 U
B L' D2 U F' R U'
R2 L' B' D' R B2 R
R2 L' B' D' R2 B2 D
R2 L' B' D' R2 B2 D'
R2 L' B' D' R2 B2 D2
R2 L' B' D' B' R2 B'
R2 L' B' D' B2 R2 D
R2 L' B' D' B2 R2 D'
R2 L' B' D' B2 R2 D2
D2 L' F D F' R2 B
D' L' F D F' R2 B
R2 L' B2 U' B' L2 U
D L' F D F' R2 B
L' R2 U D2 R2 F' U'
L' R2 U' L' B L' U
L' R2 U' L2 D B U
L' R2 U' L2 D' B U
L' R2 U' L2 D2 B U
L' R2 U' L2 B U D
L' R2 U' L2 B U D'
L' R2 U' L2 B U D2
L' R2 U' L2 B D U
L' R2 U' L2 B D' U
L' R2 U' L2 B D2 U
U' L' F2 L2 B' U L2
L2 R2 U' L' B U L2
R2 L2 U' L' B U L2
L' R2 U' D' B U B
L' R2 U' B L2 U D
L' R2 U' B L2 U D'
L' R2 U' B L2 U D2
L' R2 U' B L2 D U
L' R2 U' B L2 D' U
L' R2 U' B L2 D2 U
L' R2 U' B U D' B2
L' R2 U' B D' U B2
L' R2 U' B' L2 B2 U
B L' B U F' R' U'
B' L' B' U F' R' U'
L R2 D F2 B U F2
L R2 D B F2 U F2
L' R2 D' U' B U B
L' R2 D' B' D' R2 B'
L' R2 D' B' D' B' R2
L' R2 D' B2 U' B' U
L' R2 D2 U R2 F' U'
L R2 F B U L2 F'
L R2 F B U F' L2
L R2 F' B U F L2
B2 L2 U F' R' U' L
L R2 F2 B U L2 F2
L R2 F2 B U F2 L2
L' R2 B D' B2 D' R2
L R2 B U L2 D F2
L R2 B D F2 U F2
L' R2 B' R D' R2 B2
L' R2 B' R D' B2 R2
L' R2 B' R' D' R2 B2
L' R2 B' R' D' B2 R2
L R2 B F U L2 F'
L R2 B F U F' L2
L' R2 B' R2 D' R2 B2
L' R2 B' R2 D' B2 R2
L R2 B F' U F L2
L R2 B F2 U L2 F2
L R2 B F2 U F2 L2
L' R2 B' U' L2 B2 U
L' R2 B' U' B2 L2 U
L R2 B' L2 D' R2 B2
L R2 B' L2 D' B2 R2
L' R2 B' D' R B2 R
L' R2 B' D' R2 B2 D
L' R2 B' D' R2 B2 D'
L' R2 B' D' R2 B2 D2
L' R2 B' D' B' R2 B'
L' R2 B' D' B2 R2 D
L' R2 B' D' B2 R2 D'
L' R2 B' D' B2 R2 D2
L' R2 B2 U' B' L2 U
L U L2 U L2 F' U'
L U L2 U F' L2 U'
B2 L2 F' R' U' F L
L U L2 F D R2 F2
