F2 L' U L R F
F2 L' U R L F
R' D F2 R F' B2
R' D F2 R B2 F'
R' D F2 B2 R F'
R' D B2 F2 R F'
U L D R F2 U' F
F2 L' R' U L R2 F
F2 L' R' U L F R2
F2 L' R' U R2 L F
F2 L' R2 U L R' F
F2 L' R2 U L F R'
F2 L' R2 U R' L F
F2 L' U L R D F
F2 L' U L R D' F
F2 L' U L R D2 F
F2 L' U L R F D
F2 L' U L R F D'
F2 L' U L R F D2
F2 L' U L R' F R2
F2 L' U L R2 F R'
F2 L' U L D R F
F2 L' U L D' R F
F2 L' U L D2 R F
F2 L' U R L D F
F2 L' U R L D' F
F2 L' U R L D2 F
F2 L' U R L F D
F2 L' U R L F D'
F2 L' U R L F D2
F2 L' U R D L F
F2 L' U R D' L F
F2 L' U R D2 L F
F2 L' U R F L F
F2 L' U R F' L F
F2 L' U R F2 L F
F2 L' U R' L F R2
F2 L' U R2 L F R'
F2 L' U D L R F
F2 L' U D R L F
F2 L' U D' L R F
F2 L' U D' R L F
F2 L' U D2 L R F
F2 L' U D2 R L F
F2 L' U F' L F R
D' L' U' R U' F L
D L' U' R U' L F'
D L' U' R U' F' L
U2 L' U' D R U' F'
D' L' U2 F D' L B'
F2 L' D U L R F
F2 L' D U R L F
U2 L' D U' R U' F'
F2 L' D' U L R F
F2 L' D' U R L F
F2 L' D2 U L R F
F2 L' D2 U R L F
R' U F2 R2 U' R' F'
U R U D' L' U2 F
F2 R U' L' R' U F'
F2 R U' R' L' U F'
U R U' D F2 R F'
U R D U' F2 R F'
U R D F2 U' R F'
U R D' U L' U2 F
F2 R F U' R U B
U R F L' F U' R
F' R F' L' U L R
F' R F' L' U R L
U R F2 U' R' F' R2
L' U' D R U' L F'
L' U' D R U' F' L
F2 R' L' U L R2 F
F2 R' L' U L F R2
F2 R' L' U R2 L F
B' R' D F2 R F' B2
B' R' D F2 R B2 F'
B' R' D F2 B2 R F'
B2 R' D F2 R F' B2
B2 R' D F2 R B2 F'
B' R' D B2 F2 R F'
B2 R' D F2 B2 R F'
B2 R' D B2 F2 R F'
B R' D F2 R F' B2
B R' D F2 R B2 F'
B R' D F2 B2 R F'
B R' D B2 F2 R F'
U R' F2 R2 U' R' F'
R' U2 D' L' F2 U2 F'
F2 R2 L' U L R' F
F2 R2 L' U L F R'
F2 R2 L' U R' L F
R' D R F2 R F B2
R' D R F2 R B2 F
R' D R F2 B2 R F
R' D R B2 F2 R F
L' D U' R U' L F'
L' D U' R U' F' L
U2 D L' U' R U' F'
R' D F' R F' R B2
R' D F' R F' B2 R
R' D F' R B2 F' R
R' D F' B2 R F' R
R' D F2 R F' B2 D
R' D F2 R F' B2 D'
R' D F2 R F' B2 D2
R' D F2 R B2 D F'
R' D F2 R B2 D' F'
R' D F2 R B2 D2 F'
R' D F2 R B2 F' D
R' D F2 R B2 F' D'
R' D F2 R B2 F' D2
D' U R U L' U2 F
R' D F2 B' R F' B'
R' D F2 B' R B' F'
R' D F2 B2 R D F'
R' D F2 B2 R D' F'
R' D F2 B2 R D2 F'
R' D F2 B2 R F' D
R' D F2 B2 R F' D'
R' D F2 B2 R F' D2
R2 D F2 R D F' B2
R2 D F2 R D B2 F'
R2 D F2 R F' D B2
D U R U L' U2 F'
D U R U' F2 R F
U D R U L' U2 F'
U D R U' F2 R F
D U R F2 U' R F
U D R F2 U' R F
R' D B' F2 R F' B'
R' D B' F2 R B' F'
R' D B2 R F2 R F
R' D B2 F' R F' R
R' D B2 F2 R D F'
R' D B2 F2 R D' F'
R' D B2 F2 R D2 F'
R' D B2 F2 R F' D
R' D B2 F2 R F' D'
R' D B2 F2 R F' D2
R' D' L' F2 U2 L F'
R' D' L' F2 U2 F' L
U2 D' L' U' R U' F
R' D' U2 L' F2 U2 F'
F2 U' L' R' U F' R2
U D' R U L' U2 F
F' U' R U D2 B R'
F' U' R D2 U B R'
F2 U' R' L' U F' R2
F' U' D2 R U B R'
D' U2 L' U' R U' F
D U2 L' U' R U' F'
R' D2 F2 D' R F' B2
R' D2 F2 D' R B2 F'
R' D2 F2 D' B2 R F'
R F L' F U' L R
R F L' F U' R L
F2 D L' U L R F
F2 D L' U R L F
F2 D' L' U L R F
F2 D' L' U R L F
D' F2 L' U R F L
D F2 L' U L R F'
D F2 L' U R L F'
D F2 L' U R F' L
D' F2 R U' L' U F
D F2 R U' L' U F'
L' F2 U L' U L2 F
D' F2 U' L' U R F
D F2 U' L' U R F'
F2 D2 L' U L R F
F2 D2 L' U R L F
F' D2 U' R U B R'
F2 B L' U L R F
F2 B L' U R L F
R' B D F2 R F' B2
R' B D F2 R B2 F'
R' B D F2 B2 R F'
R' B D B2 F2 R F'
F2 B' L' U L R F
F2 B' L' U R L F
R' B' D F2 R F' B2
R' B' D F2 R B2 F'
R' B' D F2 B2 R F'
R' B' D B2 F2 R F'
B' F2 L' U L R F
B' F2 L' U R L F
B2 F2 L' U L R F
B2 F2 L' U R L F
F2 B2 L' U L R F
F2 B2 L' U R L F
B F2 L' U L R F
B F2 L' U R L F
R' B2 D F2 R F' B2
R' B2 D F2 R B2 F'
R' B2 D F2 B2 R F'
R' B2 D B2 F2 R F'
