U2 L B2 U' R
U2 L U' R D L2
U2 L U' D L2 R
U2 L U' D R L2
U2 L D U' L2 R
U2 L D U' R L2
U L B2 U' R B2
U L B2 U' B2 R
U2 L B2 U' R D
U2 L B2 U' R D'
U2 L B2 U' R D2
U2 L B2 U' D R
U2 L B2 U' D' R
U2 L B2 U' D2 R
U2 L B2 D U' R
U2 L B2 D' U' R
U2 L B2 D2 U' R
U L' R D L2 F2
U L' R D F2 L2
U L' D L2 R F2
U L' D R L2 F2
U L' D R F2 L2
U2 L' B2 L2 U' R
R U L B2 U' B2
U2 L2 B2 L' U' R
U R L' D L2 F2
U R L' D F2 L2
U R U L B2 U'
B2 R' U R2 D2 L2
R' U2 L B2 U' R2
U2 D L U' L R
U2 D L U' R L
R' D B2 R' U L2
D U2 L U' L R
D U2 L U' R L
L' B2 L2 R' U' R2
L' B2 R' L2 U' R2
D2 B2 R' F2 U R2
D B2 R' U L2 R2
D B2 R' U R2 L2
U2 B2 U' R D' F2
U2 B2 U2 R' U R2
L B2 U2 L' U R
U L R D L2 D F2
L' R U B2 L2 R' U'
L' R U B2 R' L2 U'
U2 L R' B2 R U' R
U L R' B2 U' R2 B2
U L R' B2 U' B2 R2
U L R2 B2 U' B2 R'
U2 L U D' R2 U2 R'
U2 L U' L R D L2
U2 L U' L D L2 R
U2 L U' L D R L2
U2 L U' L' R D L2
U2 L U' L' D L2 R
U2 L U' L' D R L2
D L U' L R D' B2
D L U' L D' R B2
D L U' L D' B2 R
U2 L U' L2 R D L2
U2 L U' L2 D L2 R
U2 L U' L2 D R L2
U2 L U' R L D L2
U2 L U' R L' D L2
U2 L U' R L2 D L2
U2 L U' R U B2 U'
U2 L U' R D L2 D
U2 L U' R D L2 D'
U2 L U' R D L2 D2
D L U' R L D' B2
U2 L U' R2 D L2 R'
U2 L U' R2 D R' L2
U2 L U' D L2 R D
U2 L U' D L2 R D'
U2 L U' D L2 R D2
U2 L U' D L2 D R
U2 L U' D L2 D' R
U2 L U' D L2 D2 R
U2 L U' D R L2 D
U2 L U' D R L2 D'
U2 L U' D R L2 D2
U2 L U' D2 R D' L2
B2 L U2 L' R' U R2
D L U2 L' U L2 R
D L U2 L' U R L2
B2 L U2 R' L' U R2
U L D L2 R D F2
U L D L2 D R F2
U L D R L2 D F2
U2 L D U' L2 R D
U2 L D U' L2 R D'
U2 L D U' L2 R D2
U2 L D U' L2 D R
U2 L D U' L2 D' R
U2 L D U' L2 D2 R
U2 L D U' R L2 D
U2 L D U' R L2 D'
U2 L D U' R L2 D2
F2 L D F2 R U' L2
U2 L D B U' L2 R
U2 L D B U' R L2
U2 L D B' U' L2 R
U2 L D B' U' R L2
U2 L D B2 U' L2 R
U2 L D B2 U' R L2
U2 L D' U R2 U2 R'
U2 L D2 U' R D' L2
R' L F2 R B2 U' R
R2 L F2 R B2 U' R2
R' L F2 B2 R U' R
L R F2 B2 R U' R'
R L F2 B2 R U' R'
F' L F B2 U' R B
L' R B2 L2 R' U' R
L' R B2 R' L2 U' R
R' L B2 U2 L' U R2
U2 L F2 B2 U L' U2
R' L B2 D' F2 R U'
R' L B2 F2 R U' R
L R B2 F2 R U' R'
R L B2 F2 R U' R'
U2 L B D B U' R
U2 L B D' B U' R
U2 L B D2 B U' R
R L' U B2 L2 R' U'
R L' U B2 R' L2 U'
U2 L B' D B' U' R
U2 L B' D' B' U' R
U2 L B' D2 B' U' R
U2 L B2 U L U2 R
U2 L B2 U L' U2 R
U2 L B2 U L2 U2 R
U2 L B2 U' R2 D R'
U2 L B2 U' R2 D' R'
U2 L B2 U' R2 D2 R'
U L B2 R' U' R2 B2
U2 L B2 U' D R D
U2 L B2 U' D R D'
U2 L B2 U' D R D2
U L B2 R' U' B2 R2
U2 L B2 U' D' R D
U2 L B2 U' D' R D'
U2 L B2 U' D' R D2
U2 L B2 U' D2 R D
U2 L B2 U' D2 R D'
U2 L B2 U' D2 R D2
U2 L B2 U' B R B'
U2 L B2 U' B2 R B2
U L B2 R2 U' R' B2
U2 L B2 U2 B U R
U2 L B2 U2 B' U R
U2 L B2 U2 B2 U R
F2 L B2 D F2 R U'
U2 L B2 D U' R D
U2 L B2 D U' R D'
U2 L B2 D U' R D2
U L B2 U' R B2 D
U L B2 U' R B2 D'
U L B2 U' R B2 D2
U L B2 U' R' B2 R2
F' L B2 F U' R B
U2 L B2 D' U' R D
U2 L B2 D' U' R D'
U2 L B2 D' U' R D2
U L B2 U' B' R B'
U L B2 U' B2 R D
U L B2 U' B2 R D'
U L B2 U' B2 R D2
U L B2 U' B2 D R
U L B2 U' B2 D' R
U L B2 U' B2 D2 R
U2 L B2 D2 U' R D
U2 L B2 D2 U' R D'
U2 L B2 D2 U' R D2
U L B2 D' R2 U' R'
U2 L B2 F2 U L' U2
U L' R U L2 B2 U'
U L' R U B2 L2 U'
U L' R D L F2 L
U L' R D L2 F2 D
U L' R D L2 F2 D'
U L' R D L2 F2 D2
U L' R D F' L2 F'
U L' R D F2 L2 D
U L' R D F2 L2 D'
U L' R D F2 L2 D2
U L' R F D L2 F2
U L' R F D F2 L2
U L' R F' D L2 F2
U L' R F' D F2 L2
U L' R F2 D L2 F2
U L' R F2 D F2 L2
U L' R2 D L2 R' F2
U L' R2 D L2 F2 R'
U L' R2 D R' L2 F2
U L' R2 D R' F2 L2
U L' R2 D F2 L2 R'
U L' R2 D F2 R' L2
U L' U L2 B2 U' R
U' L' U' L2 B2 U' R
U L' U B2 L2 U' R
U2 L' U' R D L2 F2
U2 L' U' R D F2 L2
U2 L' U' D L2 R F2
U2 L' U' D R L2 F2
U2 L' U' D R F2 L2
U' L' U' B2 L2 U' R
F2 L' U' B2 L2 R' U'
F2 L' U' B2 R' L2 U'
B2 L' U2 L R' U R2
U' L' U2 R D L2 F2
U' L' U2 R D F2 L2
B2 L' U2 R' L U R2
U' L' U2 D L2 R F2
U' L' U2 D R L2 F2
U' L' U2 D R F2 L2
L R' F2 R B2 U' R
U L' D L R F2 L
U L' D L2 R F2 D
U L' D L2 R F2 D'
U L' D L2 R F2 D2
U L' D L2 R' F2 R2
U L' D L2 R2 F2 R'
U2 L' D U' L2 R F2
U' L' D U2 L2 R F2
U2 L' D U' R L2 F2
U' L' D U2 R L2 F2
U2 L' D U' R F2 L2
U' L' D U2 R F2 L2
U L' D R L F2 L
U L' D R L2 F2 D
U L' D R L2 F2 D'
U L' D R L2 F2 D2
U L' D R F' L2 F'
U L' D R F2 L2 D
U L' D R F2 L2 D'
U L' D R F2 L2 D2
U L' D R' L2 F2 R2
U L' D R' F2 L2 R2
U L' D R' F2 R2 L2
U L' D R2 L2 F2 R'
U L' D R2 F2 L2 R'
U L' D R2 F2 R' L2
L R' F2 B2 R U' R
U' L' D' R2 B2 L U2
U L' D' R D2 F2 L'
U' L' D' B2 R2 U2 R'
R' L' B2 L2 R' U' R'
L' R' B2 L2 R' U' R'
R' L' B2 R' L2 U' R'
L' R' B2 R' L2 U' R'
R L' B2 L2 R' U' R
R L' B2 R' L2 U' R
L R' B2 U2 L' U R2
L R' B2 D' F2 R U'
L R' B2 F2 R U' R
U2 L' F2 L2 B2 U' R'
U L' F2 D F2 L2 R
U L' F2 D F2 R L2
U2 L' B L2 B U' R
U2 L' B2 L2 U' R D
U2 L' B2 L2 U' R D'
U2 L' B2 L2 U' R D2
U2 L' B2 L2 U' D R
U2 L' B2 L2 U' D' R
U2 L' B2 L2 U' D2 R
U2 L' B2 L2 D U' R
U2 L' B2 L2 D' U' R
U2 L' B2 L2 D2 U' R
U L' B2 L2 U' R B2
U L' B2 L2 U' B2 R
U2 L' B2 U' R D F2
U2 L' B2 U' D R F2
U2 L' B2 D U' R F2
U L2 R U L' B2 U'
U L2 R U B2 L' U'
U L2 U L' B2 U' R
L R2 F2 R B2 U' R2
U' L2 U' L' B2 U' R
B2 L2 U' R D' F2 B2
B2 L2 U' R D' B2 F2
U L2 U B2 L' U' R
U' L2 U' B2 L' U' R
B2 L2 U2 L2 R' U R2
B2 L2 U2 R' L2 U R2
U2 L2 D L' U' L' R
U2 L2 D L' U' R L'
R U L R B2 U' B2
R U L R' B2 U' B2
R U L R2 B2 U' B2
R' U L B2 U' R2 B2
R' U L B2 U' B2 R2
R' U L' R2 D L2 F2
R' U L' R2 D F2 L2
R2 U L B2 U' B2 R'
R2 U L' R' D L2 F2
R2 U L' R' D F2 L2
R U L B2 R U' B2
R U L B2 R' U' B2
R U L B2 R2 U' B2
R U L B2 U' B2 D
R U L B2 U' B2 D'
R U L B2 U' B2 D2
R U L B2 D' R2 U'
R2 U L' D L2 R' F2
R2 U L' D L2 F2 R'
R2 U L' D R' L2 F2
R2 U L' D R' F2 L2
R2 U L' D F2 L2 R'
R2 U L' D F2 R' L2
R U L' B2 L2 U' B2
R U L2 B2 L' U' B2
R U R L B2 U' B2
R2 U R' L' D L2 F2
R2 U R' L' D F2 L2
R2 U R' U L B2 U'
R U R' L B2 U' B2
U2 L2 B L' B U' R
R' U R2 L' D L2 F2
R' U R2 L' D F2 L2
R' U R2 U L B2 U'
R U R2 L B2 U' B2
U2 L2 B2 L' U' R D
U2 L2 B2 L' U' R D'
U2 L2 B2 L' U' R D2
U2 L2 B2 L' U' D R
U2 L2 B2 L' U' D' R
U2 L2 B2 L' U' D2 R
U2 L2 B2 L' D U' R
U2 L2 B2 L' D' U' R
U2 L2 B2 L' D2 U' R
U L2 B2 L' U' R B2
U L2 B2 L' U' B2 R
U2 L2 B2 D L' U' R
U2 L2 B2 D' L' U' R
U2 L2 B2 D2 L' U' R
U R L D L2 D F2
U R L' U L2 B2 U'
U R L' U B2 L2 U'
U R L' D L F2 L
U R L' D L2 F2 D
U R L' D L2 F2 D'
U R L' D L2 F2 D2
U R L' D F' L2 F'
U R L' D F2 L2 D
U R L' D F2 L2 D'
U R L' D F2 L2 D2
U R L' F D L2 F2
U R L' F D F2 L2
U R L' F' D L2 F2
U R L' F' D F2 L2
U R L' F2 D L2 F2
U R L' F2 D F2 L2
U R L2 U L' B2 U'
U R L2 U B2 L' U'
U2 R U L R' B2 U'
U2 R U R' L B2 U'
U R U L U' D L2
U R U L D U' L2
U R U L B2 U' D
U R U L B2 U' D'
U R U L B2 U' D2
U R U L B2 D U'
U R U L B2 D' U'
U R U L B2 D2 U'
U R U L' B2 L2 U'
