D L B' R' U' F' R
B' L' R' F U' L2 F2
B' L' R' F U' F2 L2
B' L' F R' U' L2 F'
B' L' F R' U' F' L2
U' L' F U' B' L F
B' R' L' F U' L2 F2
B' R' L' F U' F2 L2
B R' U L B' U F'
B' R' U' D L F' R
B' R' U' D F' L R
B' R' U' D F' R L
B' R' D U' L F' R
B' R' D U' F' L R
B' R' D U' F' R L
B' D R' U' L F' R
B' D R' U' F' L R
B' D R' U' F' R L
L' F B' R' U' L F'
L' F B' R' U' F' L
B2 D' R' F' B L R'
B2 D' R' F' B R' L
B2 D' R' B L F' R'
B2 D' R' B F' L R'
B2 D' R' B F' R' L
B2 D' B L R' F' B
B2 D' B L R' B F'
B2 D' B R' L F' B
B2 D' B R' L B F'
B2 D' B R' F' L B
R B R' U L B' U
L' B' R' F U' L F2
L' B' R' F U' F2 L
L' B' F R' U' L F'
L' B' F R' U' F' L
