D2 L U2 B' U' F' R'
D' L F U L' R F2
D' L F U R L' F2
D2 L' F L2 U R F2
D2 L' F' D' L2 B2 R'
F R U' L F' U F'
F R U' F' L U F'
F2 R F' L U R F2
F R F2 U' F L U
B2 R' F B U' R F'
B2 R' B F U' R F'
L' D' F L' R F2 B2
L' D' F L' R B2 F2
L' D' F L' B2 R F2
L' D' F R L' F2 B2
L' D' F R L' B2 F2
L' D' F R B2 L' F2
L' D' F B2 L' R F2
L' D' F B2 R L' F2
L D' F U L' R F2
L D' F U R L' F2
L' D' B2 F L' R F2
L' D' B2 F R L' F2
L2 D2 L' F U R F2
D' F L U L2 R F2
D' F L U R L2 F2
D' F L U R F2 L2
D' F L' R F2 D' B2
D' F R L' F2 D' B2
L F2 R F' U R F2
B2 F R' B U' R2 F2
B2 F R' B U' F2 R2
F B2 R' B U' R2 F2
F B2 R' B U' F2 R2
