F L' F U D R2
F L' F U2 F2 U'
F L' F D U R2
F L' F D2 B2 U
L' F L' U2 F' U'
L' R U2 R' F L' U
L' R U2 F L' R' U
L' R U2 F R' L' U
F2 L U2 F2 B' R' U'
F2 L U2 B' R' F2 U'
F2 L U2 B' F2 R' U'
F L F2 L2 F B' U
F L F2 L2 B' F U
R' L' U2 R F L' U
L' R' U2 R F L' U
R2 L' U2 R2 F L' U
R L' U2 R' F L' U
R2 L' U2 F L' R2 U
R2 L' U2 F R2 L' U
R L' U2 F L' R' U
R L' U2 F R' L' U
F L' R2 F B R2 U
F L' R2 B R2 F U
F L' R2 B F R2 U
R2 L' F L' R2 B U
R2 L' F R2 L' B U
R2 L' F R2 B L' U
F L' U2 F' U' D' L2
F L' U2 F' U2 F2 U
F L' U2 F' D' U' L2
F L' U2 F' D2 B2 U'
F L' D F U D R2
F L' D F U2 F2 U'
F L' D F D U R2
F L' D F D2 B2 U
F L' D' F U D R2
F L' D' F U2 F2 U'
F L' D' F D U R2
F L' D' F D2 B2 U
F L' D2 F U D R2
F L' D2 F U2 F2 U'
F L' D2 F D U R2
F L' D2 F D2 B2 U
B' L' F L' U2 F' U'
U2 L' F L' U D F2
U2 L' F L' U2 L2 U'
U2 L' F L' D U F2
U2 L' F L' D2 R2 U
B2 L' F L' U2 F' U'
B L' F L' U2 F' U'
F2 L' F U2 R F U'
F L' F U R D R2
F L' F U R' D R2
F L' F U R2 D R2
F L' F U D R2 D
F L' F U D R2 D'
F L' F U D R2 D2
F L' F U' D' L2 U2
F L' F U2 F2 U' D
F L' F U2 F2 U' D'
F L' F U2 F2 U' D2
F L' F U2 F2 D U'
F L' F U2 F2 D' U'
F L' F U2 F2 D2 U'
F L' F D U R2 D
F L' F D U R2 D'
F L' F D U R2 D2
F L' F D B U R2
F L' F D B' U R2
F L' F D B2 U R2
F L' F D' U' L2 U2
F L' F D2 B2 U D
F L' F D2 B2 U D'
F L' F D2 B2 U D2
F L' F D2 B2 D U
F L' F D2 B2 D' U
F L' F D2 B2 D2 U
F L' F B U D R2
F L' F B U2 F2 U'
F L' F B D U R2
F L' F B D2 B2 U
F L' F B' U D R2
F L' F B' U2 F2 U'
F L' F B' D U R2
F L' F B' D2 B2 U
F L' F B2 U D R2
F L' F B2 U2 F2 U'
F L' F B2 D U R2
F L' F B2 D2 B2 U
F' L' F2 L' F' B' U
F' L' F2 L' B' F' U
L' R2 U2 R2 F L' U
L' R2 U2 F L' R2 U
L' R2 U2 F R2 L' U
F L' B F U D R2
F L' B F U2 F2 U'
F L' B F D U R2
F L' B F D2 B2 U
F L' B' F U D R2
F L' B' F U2 F2 U'
F L' B' F D U R2
F L' B' F D2 B2 U
F L' B2 F U D R2
F L' B2 F U2 F2 U'
F L' B2 F D U R2
F L' B2 F D2 B2 U
L' R2 F L' R2 B U
L' R2 F R2 L' B U
L' R2 F R2 B L' U
F' L2 B' U2 R B U'
F' R F B2 L B' U'
R2 U' D' L F2 B' L
F' R B2 F L B' U'
R2 U' D' L B' L F2
R2 U' D' L B' F2 L
R2 U' D' F2 L B' L
R2 U' D' F2 B' L B'
R2 U' D' B' L F2 B'
R2 U' D' B' L B' F2
R2 U' D' B' F2 L B'
R' U2 L' R F L' U
R2 U2 L' R2 F L' U
R U2 L' R' F L' U
R2 U2 L' F L' R2 U
R2 U2 L' F R2 L' U
R U2 L' F L' R' U
R U2 L' F R' L' U
R' U2 R L' F L' U
R' U2 R F L' F U
D2 R' B R' U' D' F2
D2 R' B R' U2 R2 U
D2 R' B R' D' U' F2
D2 R' B R' D2 L2 U'
R U2 R' L' F L' U
R U2 R' F L' F U
R2 U2 R2 L' F L' U
R2 U2 R2 F L' F U
L' U2 F L' U2 L U'
R2 U2 F L' R2 F U
R2 U2 F L' F R2 U
R2 U2 F R2 L' F U
R U2 F L' R' F U
R U2 F L' F R' U
