L2 U' L' B' R'
F' L2 U' L' B' R'
F2 L2 U' L' B' R'
F L2 U' L' B' R'
L2 U' L' R B' R'
L2 U' L' R' B' R'
L2 U' L' R2 B' R'
L2 U' L' D B' R'
L2 U' L' D' B' R'
L2 U' L' D2 B' R'
L2 U' L' B' R' D
L2 U' L' B' R' D'
L2 U' L' B' R' D2
L2 U' L' B' D R'
L2 U' L' B' D' R'
L2 U' L' B' D2 R'
L2 U' R L' B' R'
L2 U' R' L' B' R'
L2 U' R2 L' B' R'
L2 U' D L' B' R'
L2 U' D' L' B' R'
L2 U' D2 L' B' R'
L2 U' B' L' R' B'
L2 U' B' R' L' B'
L2 D U' L' B' R'
L2 D' U' L' B' R'
L2 D2 U' L' B' R'
R' F' L2 U' L' B'
L2 R U' L' B' D' R2
U L U L F R U'
L2 R U2 B U L' B'
R' L F' L U' L' B'
U2 L F L R U' L'
U2 L F R L U' L'
L R' F' L U' L' B'
R L2 U' L' B' D' R2
R L2 U2 B U L' B'
B' L2 R' F' B U' L
B' L2 R' B F' U' L
F' L2 U' L' R B' R'
F' L2 U' L' R' B' R'
F' L2 U' L' R2 B' R'
F' L2 U' L' D B' R'
F' L2 U' L' D' B' R'
F' L2 U' L' D2 B' R'
F' L2 U' L' B' R' D
F' L2 U' L' B' R' D'
F' L2 U' L' B' R' D2
F' L2 U' L' B' D R'
F' L2 U' L' B' D' R'
F' L2 U' L' B' D2 R'
F' L2 U' R L' B' R'
F2 L2 U' L' R B' R'
F2 L2 U' L' R' B' R'
F2 L2 U' L' R2 B' R'
F2 L2 U' L' D B' R'
F2 L2 U' L' D' B' R'
F2 L2 U' L' D2 B' R'
F2 L2 U' L' B' R' D
F2 L2 U' L' B' R' D'
F2 L2 U' L' B' R' D2
F2 L2 U' L' B' D R'
F2 L2 U' L' B' D' R'
F2 L2 U' L' B' D2 R'
F' L2 U' R' L' B' R'
F' L2 U' R2 L' B' R'
F2 L2 U' R L' B' R'
F' L2 U' D L' B' R'
F2 L2 U' R' L' B' R'
D L2 U' L' F2 B' R'
D L2 U' L' B' R' F2
D L2 U' L' B' F2 R'
F' L2 U' D' L' B' R'
F2 L2 U' R2 L' B' R'
F' L2 U' D2 L' B' R'
F L2 U' L' R B' R'
F L2 U' L' R' B' R'
F L2 U' L' R2 B' R'
F2 L2 U' D L' B' R'
F L2 U' L' D B' R'
F L2 U' L' D' B' R'
F L2 U' L' D2 B' R'
F L2 U' L' B' R' D
F L2 U' L' B' R' D'
F L2 U' L' B' R' D2
F L2 U' L' B' D R'
F L2 U' L' B' D' R'
F L2 U' L' B' D2 R'
F2 L2 U' D' L' B' R'
F2 L2 U' D2 L' B' R'
F L2 U' R L' B' R'
F L2 U' R' L' B' R'
F L2 U' R2 L' B' R'
F' L2 U' B' L' R' B'
F' L2 U' B' R' L' B'
F L2 U' D L' B' R'
F L2 U' D' L' B' R'
F2 L2 U' B' L' R' B'
F L2 U' D2 L' B' R'
F2 L2 U' B' R' L' B'
F L2 U' B' L' R' B'
F L2 U' B' R' L' B'
B L2 U2 L' B' U L
F' L2 D U' L' B' R'
F2 L2 D U' L' B' R'
F L2 D U' L' B' R'
F' L2 D' U' L' B' R'
F2 L2 D' U' L' B' R'
F L2 D' U' L' B' R'
F' L2 D2 U' L' B' R'
F2 L2 D2 U' L' B' R'
F L2 D2 U' L' B' R'
L2 U' L B' L2 R' B'
L2 U' L B' R' L2 B'
L2 U' L' R D B' R'
L2 U' L' R D' B' R'
L2 U' L' R D2 B' R'
L2 U' L' R B' R' D
L2 U' L' R B' R' D'
L2 U' L' R B' R' D2
L2 U' L' R B' D R'
L2 U' L' R B' D' R'
L2 U' L' R B' D2 R'
L2 U' L' R' D B' R'
L2 U' L' R' D' B' R'
L2 U' L' R' D2 B' R'
L2 U' L' R' B' R' D
L2 U' L' R' B' R' D'
L2 U' L' R' B' R' D2
L2 U' L' R' B' D R'
L2 U' L' R' B' D' R'
L2 U' L' R' B' D2 R'
L2 U' L' R2 D B' R'
L2 U' L' R2 D' B' R'
L2 U' L' R2 D2 B' R'
L2 U' L' R2 B' R' D
L2 U' L' R2 B' R' D'
L2 U' L' R2 B' R' D2
L2 U' L' R2 B' D R'
L2 U' L' R2 B' D' R'
L2 U' L' R2 B' D2 R'
L2 U' L' D R B' R'
L2 U' L' D R' B' R'
L2 U' L' D R2 B' R'
L2 U' L' D B' R' D
L2 U' L' D B' R' D'
L2 U' L' D B' R' D2
L2 U' L' D B' D R'
L2 U' L' D B' D' R'
L2 U' L' D B' D2 R'
L2 U' L' D' R B' R'
L2 U' L' D' R' B' R'
L2 U' L' D' R2 B' R'
L2 U' L' D' B' R' D
L2 U' L' D' B' R' D'
L2 U' L' D' B' R' D2
L2 U' L' D' B' D R'
L2 U' L' D' B' D' R'
L2 U' L' D' B' D2 R'
L2 U' L' D2 R B' R'
L2 U' L' D2 R' B' R'
L2 U' L' D2 R2 B' R'
L2 U' L' D2 B' R' D
L2 U' L' D2 B' R' D'
L2 U' L' D2 B' R' D2
L2 U' L' D2 B' D R'
L2 U' L' D2 B' D' R'
L2 U' L' D2 B' D2 R'
L2 U' L' F' B' R' F
L2 U' L' F2 B' R' F2
L2 U' L' B R B2 R'
L2 U' L' B R' B2 R'
L2 U' L' B R2 B2 R'
L2 U' L' B' R2 D R
L2 U' L' B' R2 D' R
L2 U' L' B' R2 D2 R
L2 U' L' B' D R' D
L2 U' L' B' D R' D'
L2 U' L' B' D R' D2
L2 U' L' B' D' R' D
L2 U' L' B' D' R' D'
L2 U' L' B' D' R' D2
L2 U' L' B' D2 R' D
L2 U' L' B' D2 R' D'
L2 U' L' B' D2 R' D2
L2 U' L' B' F' R' F
L2 U' L' B' F2 R' F2
L2 U' R L' D B' R'
L2 U' R L' D' B' R'
L2 U' R L' D2 B' R'
L2 U' R L' B' R' D
L2 U' R L' B' R' D'
L2 U' R L' B' R' D2
L2 U' R L' B' D R'
L2 U' R L' B' D' R'
L2 U' R L' B' D2 R'
L2 U' R D L' B' R'
L2 U' R D' L' B' R'
L2 U' R D2 L' B' R'
L2 U' R B' L' R' B'
L2 U' R B' R' L' B'
L2 U' R' L' D B' R'
L2 U' R' L' D' B' R'
L2 U' R' L' D2 B' R'
L2 U' R' L' B' R' D
