B L D R F' U2 F'
B' L D F2 L' R' B
B' L D F2 R' L' B
B' L D F2 R' B L'
D' L D F2 B' L' R'
D' L D F2 B' R' L'
D' L D B' F2 L' R'
D' L D B' F2 R' L'
D' L B' D F2 L' R'
D' L B' D F2 R' L'
F2 R B' U L' R' B'
F2 R B' U R' L' B'
L D F2 L' B' R' B
L D F2 B' L' R' B
L D F2 B' R' L' B
L D F2 B' R' B L'
L D B' F2 L' R' B
L D B' F2 R' L' B
L D B' F2 R' B L'
U' F2 R U L' B' R'
U F2 R B U L' B'
F2 B' R U L' R2 B'
F2 B' R U L' B' R2
F2 B' R U R2 L' B'
L B' D F2 L' R' B
L B' D F2 R' L' B
L B' D F2 R' B L'
B' F2 R U L' R2 B'
B' F2 R U L' B' R2
B' F2 R U R2 L' B'
