L' R F' U F U'
L' R F2 D R2 F
L' R F2 D F R2
L' R' F2 D R2 F'
R L' F' U F U'
R' L' F2 D R2 F'
R L' F2 D R2 F
R L' F2 D F R2
D2 L' F U F' U'
D2 L' F2 D F' R2
U' R U L' F' R'
B2 R U' L' F' B2
B2 R U' L' B2 F'
B2 R U' B2 L' F'
B R U' B' L' F'
L' U' R U F' R'
B' U' D2 L' F B
B' U' D2 L' B F
B' U' D2 B L' F
B U' D2 B' L' F
B' U' B D2 L' F
B2 U' B2 D2 L' F
B U' B' D2 L' F
L' F' R F' D R2
R F' U F U' L'
L' F2 R D F' R2
L' F2 R' D R2 F'
B' D2 U' L' F B
B' D2 U' L' B F
B' D2 U' B L' F
B D2 U' B' L' F
D2 B U' B' L' F
R B U' B' L' F'
D B' L U' L2 B
D B' L U' B L2
D2 B' U' L' F B
D2 B' U' L' B F
D2 B' U' B L' F
R B' U' L' F' B
R B' U' L' B F'
R B' U' B L' F'
D2 B2 U' L' F B2
D2 B2 U' L' B2 F
D2 B2 U' B2 L' F
D2 B2 U' B2 L' F
R B2 U' L' F' B2
R B2 U' L' B2 F'
R B2 U' B2 L' F'
B2 L R U' L2 F' B2
B2 L R U' L2 B2 F'
B2 L R U' F' L2 B2
B2 L R U' F' B2 L2
B2 L R U' B2 L2 F'
B2 L R U' B2 F' L2
B2 L R' U' B2 L2 F
L' R U' R' U R F'
L' R U' R2 U R2 F'
L R U' L2 D' F' B2
L R U' L2 D' B2 F'
L R U' L2 F' D' B2
R L U' L2 D' F' B2
R L U' L2 D' B2 F'
R L U' L2 F' D' B2
L R U' F' L2 D' B2
R L U' F' L2 D' B2
L' R D F' U F U'
L' R D F2 D R2 F
L' R D F2 D F R2
D2 L U' L2 D' F B2
D2 L U' L2 D' B2 F
D2 L U' L2 F D' B2
U L U' F2 L2 R F'
U L U' F2 R L2 F'
U L U' F2 R F' L2
L' R D' F' U F U'
L' R D' F2 D R2 F
L' R D' F2 D F R2
L R D' B2 U' F' B2
L R D' B2 U' B2 F'
R L D' B2 U' F' B2
R L D' B2 U' B2 F'
L' R D2 F' U F U'
L' R D2 F2 D R2 F
L' R D2 F2 D F R2
L' R F U F' U' F'
L' R F' R U F U'
L' R F' R' U F U'
L R F' L2 U' B' U
L' R F' R2 U F U'
L' R F' U D F U'
L' R F' U D' F U'
L' R F' U D2 F U'
L' R F' U F U' D
L' R F' U F U' D'
L' R F' U F U' D2
L' R F' U F D U'
L' R F' U F D' U'
L' R F' U F D2 U'
R L F' L2 U' B' U
L R F' U F U' L2
L' R F' D U F U'
L2 R F' U F U' L
L' R F' D' U F U'
R L F' U F U' L2
L' R F' D2 U F U'
R' L F2 L2 D R2 F'
L' R F2 R D R2 F
L' R F2 R D F R2
L' R F2 R' D R2 F
L' R F2 R' D F R2
L' R F2 R2 D R2 F
L' R F2 R2 D F R2
L' R F2 U F2 U' F'
L' R F2 D R' F R'
L' R F2 D R2 D F
L' R F2 D R2 D' F
L' R F2 D R2 D2 F
L' R F2 D R2 F D
L' R F2 D R2 F D'
L' R F2 D R2 F D2
L' R F2 D F R2 D
L' R F2 D F R2 D'
L' R F2 D F R2 D2
L' R F2 D F' R2 F2
L' R F2 D' F D2 R2
D2 L F L2 F D R2
L' R F2 D2 F D' R2
L2 R F2 D R2 F L
L2 R F2 D F L R2
L2 R F2 D F R2 L
L R B U' F' B' L2
L R B U' B' L2 F'
L2 R B U' F' B' L
L R B U' B' F' L2
L2 R B U' B' L F'
L2 R B U' B' F' L
R L B U' F' B' L2
R L B U' B' L2 F'
R L B U' B' F' L2
L R B' U' L2 F' B
L R B' U' L2 B F'
D2 L F2 L2 D R2 F
L R B' U' F' L2 B
D2 L F2 L2 D F R2
L R B' U' F' B L2
L R B' U' B L2 F'
L R B' U' B F' L2
R L B' U' L2 F' B
R L B' U' L2 B F'
R L B' U' F' L2 B
R L B' U' F' B L2
R L B' U' B L2 F'
R L B' U' B F' L2
U L F2 U' L2 R F'
U L F2 U' R L2 F'
U L F2 U' R F' L2
R' L B2 U' L2 F B2
R' L B2 U' L2 B2 F
L R B2 U' L2 F' B2
L R B2 U' L2 B2 F'
L R B2 U' F' L2 B2
L R B2 U' F' B2 L2
L2 R B2 U' F' B2 L
L R B2 U' B2 L2 F'
L R B2 U' B2 F' L2
L2 R B2 U' B2 L F'
L2 R B2 U' B2 F' L
R L B2 U' L2 F' B2
R L B2 U' L2 B2 F'
R L B2 U' F' L2 B2
R L B2 U' F' B2 L2
R L B2 U' B2 L2 F'
R L B2 U' B2 F' L2
D2 L B U' B' L2 F
D L B' L U' L B
R' L' U' R2 U F' R2
L' R' U' R2 U F' R2
R2 L' U' R U R' F'
R L' U' R' U R F'
R L' U' R2 U R2 F'
R2 L' U' B' R' U R
D2 L B2 U' B2 L2 F
R' L' U2 B U B' U
L' R' U2 B U B' U
D2 L' R F U F' U'
D2 L' R F2 D F' R2
R' L' D F2 D R2 F'
L' R' D F2 D R2 F'
D2 L' R' F U F' U'
D2 L' R' F2 D F' R2
R L' D F' U F U'
R L' D F2 D R2 F
R L' D F2 D F R2
D2 L' R2 F U F' U'
R' L' D' F2 D R2 F'
L' R' D' F2 D R2 F'
D2 L' R2 F2 D F' R2
U L' R2 D B2 R' F'
R L' D' F' U F U'
R L' D' F2 D R2 F
R L' D' F2 D F R2
R' L' D2 F2 D R2 F'
L' R' D2 F2 D R2 F'
R L' D2 F' U F U'
R L' D2 F2 D R2 F
R L' D2 F2 D F R2
U' L' U' L R U F'
D2 L' U' R U R' F
D2 L' U' R U F R'
D2 L' U' R' U R F
U' L' U' R L U F'
D2 L' U' R2 U R2 F
D2 L' U' R2 U F R2
R2 L' F R' D' F' R
R2 L' F U F' L' U'
R L' F U F' U' F'
D L' U' B R' U R
R' L' F' R2 F' D R2
L' R' F' R2 F' D R2
R2 L' F' R' F' D R2
R L' F' R U F U'
R L' F' R' U F U'
R L' F' R2 U F U'
R L' F' U D F U'
R L' F' U D' F U'
R L' F' U D2 F U'
R L' F' U F U' D
R L' F' U F U' D'
R L' F' U F U' D2
R L' F' U F D U'
R L' F' U F D' U'
R L' F' U F D2 U'
R L' F' D U F U'
R L' F' D' U F U'
R L' F' D2 U F U'
L2 R' F2 L D R2 F'
R' L' F2 R2 D F' R2
L' R' F2 R2 D F' R2
L R' F2 L2 D R2 F'
R2 L' F2 R D R2 F'
R2 L' F2 R' D F' R2
R' L' F2 D R2 D F'
R' L' F2 D R2 D' F'
R' L' F2 D R2 D2 F'
R' L' F2 D R2 F' D
R' L' F2 D R2 F' D'
R' L' F2 D R2 F' D2
R' L' F2 D F R2 F'
R' L' F2 D F' R2 F'
R' L' F2 D F2 R2 F'
R L' F2 R D R2 F
R L' F2 R D F R2
L' R' F2 D R2 D F'
L' R' F2 D R2 D' F'
L' R' F2 D R2 D2 F'
L' R' F2 D R2 F' D
L' R' F2 D R2 F' D'
L' R' F2 D R2 F' D2
L' R' F2 D F R2 F'
L' R' F2 D F' R2 F'
L' R' F2 D F2 R2 F'
D2 L' D F U F' U'
R L' F2 R' D R2 F
R L' F2 R' D F R2
R L' F2 R2 D R2 F
R L' F2 R2 D F R2
D2 L' D F2 D F' R2
R L' F2 U F2 U' F'
L2 R' F2 D L R2 F'
L2 R' F2 D R2 L F'
L2 R' F2 D R2 F' L
R2 L' F2 D R' F' R'
R L' F2 D R' F R'
R L' F2 D R2 D F
R L' F2 D R2 D' F
R L' F2 D R2 D2 F
R L' F2 D R2 F D
R L' F2 D R2 F D'
R L' F2 D R2 F D2
R L' F2 D F R2 D
R L' F2 D F R2 D'
R L' F2 D F R2 D2
R L' F2 D F' R2 F2
R L' F2 D' F D2 R2
R L' F2 D2 F D' R2
D2 L' D' F U F' U'
D2 L' D' F2 D F' R2
D2 L' D2 F U F' U'
D2 L' D2 F2 D F' R2
D2 L' F R2 U' B U
D' L' F U L' F' U'
D2 L' F U D F' U'
D2 L' F U D' F' U'
D2 L' F U D2 F' U'
D2 L' F U F' U' D
D2 L' F U F' U' D'
D2 L' F U F' U' D2
D2 L' F U F' D U'
D2 L' F U F' D' U'
D2 L' F U F' D2 U'
D2 L' F D U F' U'
L R' B2 U' L2 F B2
L R' B2 U' L2 B2 F
D2 L' F D' U F' U'
D2 L' F D2 U F' U'
D2 L' F' U F U' F
L' R2 U' R U R' F'
D2 L' F2 R2 D R2 F'
D2 L' F2 U F2 U' F
D2 L' F2 D F R2 F2
D2 L' F2 D F' R2 D
D2 L' F2 D F' R2 D'
D2 L' F2 D F' R2 D2
D2 L' F2 D F2 R2 F
D2 L' F2 D' F' D2 R2
L' R2 U' B' R' U R
D2 L' F2 D2 F' D' R2
D L' B' L U' L' B
D L' B' L U' B L'
B2 L2 R U' L F' B2
B2 L2 R U' L B2 F'
B2 L2 R U' F' L B2
L' R2 F R' D' F' R
L' R2 F U F' L' U'
L' R2 F' R' F' D R2
R' L2 F2 L D R2 F'
R L2 F' U F U' L
L' R2 F2 R D R2 F'
L' R2 F2 R' D F' R2
R' L2 F2 D L R2 F'
R' L2 F2 D R2 L F'
R' L2 F2 D R2 F' L
L' R2 F2 D R' F' R'
R L2 F2 D R2 F L
R L2 F2 D F L R2
R L2 F2 D F R2 L
R L2 B U' F' B' L
R L2 B U' B' L F'
R L2 B U' B' F' L
R L2 B2 U' F' B2 L
