F2 U' L F U'
U' L D R2 F U'
U' L D F R2 U'
U' L D2 F U' B2
U' L F U F U2
U' D L R2 F U'
U' D L F R2 U'
U' D R2 L F U'
D2 U' L F U' B2
D U' L R2 F U'
D U' L F R2 U'
F2 U' L D F U'
F2 U' L D' F U'
F2 U' L D2 F U'
F2 U' L F U' D
F2 U' L F U' D'
F2 U' L F U' D2
F2 U' L F D U'
F2 U' L F D' U'
F2 U' L F D2 U'
D U' R2 L F U'
F2 U' D L F U'
F2 U' D' L F U'
F2 U' D2 L F U'
F2 U' F L F U'
F2 U' F' L F U'
U' D2 L F U' B2
F2 U' F2 L F U'
F2 D U' L F U'
F2 D' U' L F U'
L2 F2 U R B U
F2 D2 U' L F U'
F2 B D L B' U2
B F2 D L B' U2
U' L R D R2 F U'
U' L R D F R2 U'
U' L R D2 F U' B2
U' L R F U F U2
U' L R' D R2 F U'
U' L R' D F R2 U'
U' L R' D2 F U' B2
U' L R' F U F U2
U' L R2 D R2 F U'
U' L R2 D F R2 U'
U' L R2 D2 F U' B2
U' L R2 F U F U2
U' L U F2 U' F' U'
F2 L U' L F U' F'
F2 L U' F' U' F R
U' L U2 D' L2 B' U
U' L D R' F R' U'
U' L D R2 D F U'
U' L D R2 D' F U'
U' L D R2 D2 F U'
U' L D R2 F U' D
U' L D R2 F U' D'
U' L D R2 F U' D2
U' L D R2 F D U'
U' L D R2 F D' U'
U' L D R2 F D2 U'
U' L D F R2 U' D
U' L D F R2 U' D'
U' L D F R2 U' D2
U' L D F R2 D U'
U' L D F R2 D' U'
U' L D F R2 D2 U'
U' L D F U' D B2
U' L D F D U' B2
U' L D F' R2 F2 U'
U' L D' U2 L2 B' U
U' L D' F U' D' B2
U' L D' F U2 L2 U
U' L D' F D' U' B2
U' L D' F D2 R2 U'
U' L D2 R F U' B2
U' L D2 R' F U' B2
U' L D2 R2 F U' B2
U' L D2 F R U' B2
U' L D2 F R' U' B2
U' L D2 F R2 U' B2
U' L D2 F U' B2 D
U' L D2 F U' B2 D'
U' L D2 F U' B2 D2
U' L D2 F D' R2 U'
U' L F R U F U2
U' L F R' U F U2
U' L F R2 U F U2
U' L F U D F U2
U' L F U D' F U2
U' L F U D2 F U2
U' L F U F U2 D
U' L F U F U2 D'
U' L F U F U2 D2
U' L F U F D U2
U' L F U F D' U2
U' L F U F D2 U2
U' L F U' L2 B' L2
U' L F U2 L2 U B'
U' L F D U F U2
U' L F D' U F U2
U' L F D2 U F U2
U' L F' R2 F2 U' B
U' L F' U' D R2 B
U' L F' D U' R2 B
B L F2 B U R' U
F2 L B L U' L' U'
B L F2 B' U' L U'
B L B F2 U R' U
B L B' F2 U' L U'
F2 L' U' L F L U'
F2 L' U2 D F R F
F2 L' U2 F R D F2
F2 L' U2 F D R F2
F2 L' U2 F' D F2 R
F2 L' D U2 F R F
F2 L' D B L U2 F2
F2 L' D B' U2 R' F2
F2 L' D B' U2 F2 R'
F2 L' D' B L B U2
U' L' F L2 F U' B'
F2 L' B L U' L U'
F2 L' B D L U2 F2
F2 L' B D' L B2 U2
F2 L' B D' B2 U2 R'
F2 L' B' U' L2 U' R'
F2 L' B' U2 R' D F2
F2 L' B' U2 D R' F2
F2 L' B' U2 D F2 R'
F2 L' B' D U2 R' F2
F2 L' B' D U2 F2 R'
F2 L' B' D' B2 L U2
F2 L2 U' L F L2 U'
F2 L2 U' L' U2 B' U
B L2 F2 U2 D' R F'
B L2 F2 D' U2 R F'
F2 L2 B L U' L2 U'
F2 L2 B L U2 D F2
F2 L2 B L D U2 F2
F2 L2 B L D' B2 U2
F2 L2 B' U' L' U' R'
U' R L D R2 F U'
U' R L D F R2 U'
U' R L D2 F U' B2
U' R L F U F U2
U' R D L R2 F U'
U' R D L F R2 U'
U' R D R2 L F U'
U' R D2 L F U' B2
L2 U' L F L2 U' B'
U' R' L D R2 F U'
U' R' L D F R2 U'
U' R' L D2 F U' B2
U' R' L F U F U2
U' R' D L R2 F U'
U' R' D L F R2 U'
U' R' D R2 L F U'
U' R' D2 L F U' B2
U' R2 L D R2 F U'
U' R2 L D F R2 U'
U' R2 L D2 F U' B2
U' R2 L F U F U2
U' R2 D L R2 F U'
U' R2 D L F R2 U'
U' R2 D R2 L F U'
U' R2 D2 L F U' B2
U' D L R' F R' U'
U' D L R2 D F U'
U' D L R2 D' F U'
U' D L R2 D2 F U'
U' D L R2 F U' D
U' D L R2 F U' D'
U' D L R2 F U' D2
U' D L R2 F D U'
U' D L R2 F D' U'
U' D L R2 F D2 U'
U' D L D F U' B2
U' D L F R2 U' D
U' D L F R2 U' D'
U' D L F R2 U' D2
U' D L F R2 D U'
U' D L F R2 D' U'
U' D L F R2 D2 U'
U' D L F U' D B2
U' D L F D U' B2
U' D L F' R2 F2 U'
U' D R' L F R' U'
F2 U R B2 R' B' U
F2 U R' U2 L F' U'
F2 U R' U2 F' L U'
U' D R2 L D F U'
U' D R2 L D' F U'
U' D R2 L D2 F U'
U' D R2 L F U' D
U' D R2 L F U' D'
U' D R2 L F U' D2
U' D R2 L F D U'
U' D R2 L F D' U'
U' D R2 L F D2 U'
U' D R2 D L F U'
U' D R2 D' L F U'
U' D R2 D2 L F U'
U' D R2 F L F U'
U' D R2 F' L F U'
U' D R2 F2 L F U'
U' D F L R2 F U'
U' D F L F R2 U'
U' D F R2 L F U'
F2 U R2 B2 R' B U
U' D F' L R2 F U'
U' D F' L F R2 U'
B2 U D' L2 R' B U
U' D F' R2 L F U'
B2 U D' R' L2 B U
B2 U D' R' B L2 U
U' D F2 L R2 F U'
U' D F2 L F R2 U'
U' D F2 R2 L F U'
D2 U' L R F U' B2
D2 U' L R' F U' B2
D2 U' L R2 F U' B2
F2 U B R B R' U
D2 U' L D' R2 F U'
D2 U' L D' F R2 U'
D' U' L F U2 L U
U' D' L F U2 L U
D2 U' L F R U' B2
D2 U' L F R' U' B2
D2 U' L F R2 U' B2
D2 U' L F U' B2 D
D2 U' L F U' B2 D'
D2 U' L F U' B2 D2
D2 U' L F D' R2 U'
D U' L R' F R' U'
D U' L R2 D F U'
D U' L R2 D' F U'
D U' L R2 D2 F U'
D U' L R2 F U' D
D U' L R2 F U' D'
D U' L R2 F U' D2
D U' L R2 F D U'
D U' L R2 F D' U'
D U' L R2 F D2 U'
D U' L D F U' B2
D U' L F R2 U' D
D U' L F R2 U' D'
D U' L F R2 U' D2
D U' L F R2 D U'
D U' L F R2 D' U'
D U' L F R2 D2 U'
D U' L F U' D B2
D U' L F D U' B2
D U' L F' R2 F2 U'
F2 U B2 R B R2 U
F2 U B2 R' U2 F' U'
F' U' L R2 F U' B
F2 U' L R F R' U'
D2 U' R L F U' B2
F2 U' L R2 F R2 U'
F' U' L F U F2 U2
F' U' L F U' D2 B2
F' U' L F D R2 U'
F' U' L F D2 U' B2
F2 U' L D F U' D
F2 U' L D F U' D'
F2 U' L D F U' D2
F2 U' L D F D U'
F2 U' L D F D' U'
F2 U' L D F D2 U'
F2 U' L D' F U' D
F2 U' L D' F U' D'
F2 U' L D' F U' D2
F2 U' L D' F D U'
F2 U' L D' F D' U'
F2 U' L D' F D2 U'
F2 U' L D2 F U' D
F2 U' L D2 F U' D'
F2 U' L D2 F U' D2
F2 U' L D2 F D U'
F2 U' L D2 F D' U'
F2 U' L D2 F D2 U'
F2 U' L F' U' D R2
F2 U' L F' D U' R2
F2 U' L F2 D F' U'
F2 U' L F2 D' F' U'
F2 U' L F2 D2 F' U'
D2 U' R' L F U' B2
F2 U' L' F L2 F U'
F2 U' L' F' L2 F U'
F2 U' L' F2 L2 F U'
D2 U' R2 L F U' B2
D U' R' L F R' U'
F2 U' R L F R' U'
D2 U' F L F U' B2
D U' R2 L D F U'
D U' R2 L D' F U'
D U' R2 L D2 F U'
D U' R2 L F U' D
D U' R2 L F U' D'
D U' R2 L F U' D2
D U' R2 L F D U'
D U' R2 L F D' U'
D U' R2 L F D2 U'
D U' R2 D L F U'
D U' R2 D' L F U'
D U' R2 D2 L F U'
D U' R2 F L F U'
D U' R2 F' L F U'
D U' R2 F2 L F U'
D2 U' F' L F U' B2
D U' F L R2 F U'
D U' F L F R2 U'
D U' F R2 L F U'
F' U' R2 L F U' B
F2 U' R2 L F R2 U'
D2 U' F2 L F U' B2
D U' F' L R2 F U'
D U' F' L F R2 U'
D U' F' R2 L F U'
F2 U' D L D F U'
F2 U' D L D' F U'
F2 U' D L D2 F U'
F2 U' D L F U' D
F2 U' D L F U' D'
F2 U' D L F U' D2
F2 U' D L F D U'
F2 U' D L F D' U'
F2 U' D L F D2 U'
D U' F2 L R2 F U'
D U' F2 L F R2 U'
F2 U' D F L F U'
F2 U' D F' L F U'
D U' F2 R2 L F U'
F2 U' D F2 L F U'
F2 U' D' L D F U'
F2 U' D' L D' F U'
F2 U' D' L D2 F U'
F2 U' D' L F U' D
F2 U' D' L F U' D'
F2 U' D' L F U' D2
F2 U' D' L F D U'
F2 U' D' L F D' U'
F2 U' D' L F D2 U'
F2 U' D' F L F U'
F2 U' D' F' L F U'
F2 U' D' F2 L F U'
F2 U' D2 L D F U'
F2 U' D2 L D' F U'
F2 U' D2 L D2 F U'
F2 U' D2 L F U' D
F2 U' D2 L F U' D'
F2 U' D2 L F U' D2
F2 U' D2 L F D U'
F2 U' D2 L F D' U'
F2 U' D2 L F D2 U'
F2 U' D2 F L F U'
F2 U' D2 F' L F U'
F2 U' D2 F2 L F U'
F2 U' F L D F U'
F2 U' F L D' F U'
F2 U' F L D2 F U'
F2 U' F L F U' D
F2 U' F L F U' D'
