U2 R B' U B2 L
B' L' R F' U B' L'
F2 L2 F L U' B' L2
B' R L' F' U B' L'
U2 R D B' U B2 L
U2 R D' B' U B2 L
U2 R D2 B' U B2 L
B' R F' L U L2 B'
B' R F' L2 U L B'
U2 R F B' U B2 L
U2 R F' B' U B2 L
U2 R F2 B' U B2 L
R2 U' R' F' B' L' U
U R B L F B2 U
U R B L B2 F U
R2 U' R' B' F' L' U
U2 R B' L U B2 L
U2 R B' L' U B2 L
U2 R B' L2 U B2 L
U2 R B' U L B2 L
U2 R B' U L' B2 L
U2 R B' U L2 B2 L
U2 R B' U B2 L D
U2 R B' U B2 L D'
U2 R B' U B2 L D2
U2 R B' U B2 D L
U2 R B' U B2 D' L
U2 R B' U B2 D2 L
U2 R B' U' R' U2 B2
U2 R B' F U B2 L
U2 R B' F' U B2 L
U2 R B' F2 U B2 L
U' R' F' R2 B' L' U
U' R' F' B' L' R2 U
U' R' F' B' R2 L' U
U' R' B' F' L' R2 U
U' R' B' F' R2 L' U
U2 D R B' U B2 L
B2 U B L R F U
B2 U B R L F U
U2 D' R B' U B2 L
D' U2 R B' U B2 L
D2 U2 R B' U B2 L
U2 D2 R B' U B2 L
D U2 R B' U B2 L
B U2 R B2 U B' L
B2 U2 B R U L B
R F' L U L2 B' R'
R F' B' L U L2 B'
R F' B' L2 U L B'
U B L R F B2 U
U B L R B2 F U
U B L B2 R F U
U B R L F B2 U
U B R L B2 F U
U2 B' R U D2 L2 B
U2 B' R U D2 B L2
U2 B' R U B D2 L2
U2 B' R U' R2 F' U2
U' B' R' F' L' R2 U
U' B' R' F' R2 L' U
U2 B' R D' F2 U B
R B' L' F' U B' L'
U2 B' R D2 U L2 B
U2 B' R D2 U B L2
B' F' L2 U L F B'
B' F' L2 U L B' F
F' B' L2 U L F B'
F' B' L2 U L B' F
R B' F' L U L2 B'
R B' F' L2 U L B'
