U2 L2 R2 D' B R'
U2 L2 D' R2 B R'
F' R U B U L2
F' R' U' F' U' L2
R2 U2 L2 D B R'
U2 R2 L2 D' B R'
D2 R2 U2 D B R'
D2 R2 D U2 B R'
F' U F U L2 R
F' U F U R L2
F' U' B' U' L2 R'
F' U' B' U' R' L2
L' R U B U L' B'
F' L R' U' F' U' L
D2 L R2 U2 D B R'
D2 L R2 D U2 B R'
L' R U2 L' B' D' R2
R2 L U2 L D B R'
R2 L U2 D L B R'
F' L U F U L R
F' L U F U R L
R2 L D U2 L B R'
F' L U2 L U F U'
R L' U B U L' B'
R2 L' U2 L' D B R'
R L' U2 L' B' D' R2
R2 L' U2 D L' B R'
R2 L' U2 D B L' R'
R2 L' U2 D B R' L'
F' L' R U B U L'
R2 L' D U2 L' B R'
R2 L' D U2 B L' R'
R2 L' D U2 B R' L'
D2 L' R2 U2 D B R'
D2 L' R2 D U2 B R'
U2 L' R2 B L' D' R2
U2 L' R2 B D' L' R2
U2 L' R2 B D' R2 L'
F' L' U' B' U' L' R'
F' L' U' B' U' R' L'
F' L' U2 L' U' B' U
F L' F2 R U B U
L' R2 U2 L' D B R'
L R2 U2 L D B R'
U2 L' B L' D' R2 B
L' R2 U2 D L' B R'
L' R2 U2 D B L' R'
L' R2 U2 D B R' L'
L R2 U2 D L B R'
U2 L' B D' L' R2 B
U2 L' B D' R2 L' B
U2 L' B D' R2 B L'
L' R2 D U2 L' B R'
L' R2 D U2 B L' R'
L' R2 D U2 B R' L'
L R2 D U2 L B R'
U2 L2 R D' R B R'
F2 L2 R B' D' R2 F'
D2 L2 R2 U2 D B R'
D2 L2 R2 D U2 B R'
B' L2 R2 D F' B R'
B' L2 R2 D B F' R'
B' L2 R2 D' F' B R
B' L2 R2 D' B F' R
B' L2 R2 F' D B R'
U2 L2 R2 D' B R' D
U2 L2 R2 D' B R' D'
U2 L2 R2 D' B R' D2
U2 L2 R2 D' B D R'
U2 L2 R2 D' B D' R'
U2 L2 R2 D' B D2 R'
B L2 R2 D F B R'
B L2 R2 D B R' F
B L2 R2 D B F R'
B' L2 R2 B D' F' R
B L2 R2 F D B R'
U2 L2 U2 D F' U2 R
U2 L2 D R2 D2 B R'
U2 L2 D U2 F' U2 R
U2 L2 D' R' B R' B
U2 L2 D' R2 B R' D
U2 L2 D' R2 B R' D'
U2 L2 D' R2 B R' D2
U2 L2 D' R2 B D R'
U2 L2 D' R2 B D' R'
U2 L2 D' R2 B D2 R'
U2 L2 D' B R2 B R
R U L' B U L' B'
U2 L2 B R2 D' B R'
U2 L2 B D' R2 B R'
F2 L2 B' R2 D' F' R
U2 L2 B' R2 D' B R'
U2 L2 B' D' R2 B R'
R2 U D F2 U B R'
U2 L2 B2 R2 D' B R'
U2 L2 B2 D' R2 B R'
F' R L' U B U L'
U2 R L2 D' R B R'
F2 R L2 B' D' R2 F'
R U F' L' B U L'
F' R U D F2 B U
F' R U D B F2 U
F' R U F B U L2
F' R U F' B U L2
F' R U F2 B U L2
F' R U B U L2 D
F' R U B U L2 D'
F' R U B U L2 D2
F' R U B D F2 U
F' R U B F U L2
F' R U B F' U L2
F' R U B F2 U L2
F2 R U B U L2 B'
R U F' B L' U L'
F' R U2 L2 U' B U
R U B L' U L' B'
F2 R U2 L2 B' D' R2
R U B U L' B' L'
R U B F' L' U L'
F' R D U F2 B U
F' R D U B F2 U
F' R D2 R2 U' F' U'
F2 R F U B U L2
R2 U' L2 D F2 B R'
R2 U' L2 D B R' F2
R2 U' L2 D B F2 R'
F R F2 U B U L2
F2 R B U L2 F B'
F2 R B U L2 B' F
R' U' D' F' R B2 U'
R' U' D' F' B2 R U'
R' U' D' B2 F' R U'
F' R' L U' F' U' L
R' U' F' R' U' L2 B
R' U' F' R' U' B L2
F' R' U' D' F' B2 U'
F' R' U' D' B2 F' U'
F' R' U' F' U' L2 D
F' R' U' F' U' L2 D'
F' R' U' F' U' L2 D2
F' R' U' F' D' B2 U'
F' R' U' F' B U' L2
F' R' U' F' B' U' L2
F' R' U' F' B2 U' L2
F' R' U' B F' U' L2
F' R' U' B' F' U' L2
F' R' U' B2 F' U' L2
F' R' U2 L2 U F' U'
F' R' D' U' F' B2 U'
F' R' D' U' B2 F' U'
F' R' D2 R2 U B U
R2 U2 L D L B R'
L' U2 L' R2 B D' R2
L' U2 L' B D' R2 B
R' U2 L2 R' D B R'
R2 U2 L' D L' B R'
R2 U2 L' D B L' R'
R2 U2 L' D B R' L'
F2 R' F U' F2 U' L2
F2 R' F U2 L2 D R2
R U2 L' B' L' D' R2
R U2 L' B' D' L' R2
R U2 L' B' D' R2 L'
R2 U2 L2 D B R' D
R2 U2 L2 D B R' D'
R2 U2 L2 D B R' D2
R2 U2 L2 D B D R'
R2 U2 L2 D B D' R'
R2 U2 L2 D B D2 R'
R' U2 R' L2 D B R'
F R' F2 U' F U' L2
L' U2 R2 L' B D' R2
U' R' B' U' L2 R' B
U' R' B' U' R' L2 B
U' R' B' U' R' B L2
R2 U2 D B R' D' L2
R2 U2 D B D' L2 R'
R2 U2 D B D' R' L2
D2 R2 L U2 D B R'
D2 R2 L D U2 B R'
D2 R2 L' U2 D B R'
D2 R2 L' D U2 B R'
D2 R2 L2 U2 D B R'
D2 R2 L2 D U2 B R'
U2 R2 L' B L' D' R2
U2 R2 L' B D' L' R2
U2 R2 L' B D' R2 L'
B' R2 L2 D F' B R'
