B L U F L B
R' L U F L R B2
R' L U F L B2 R
R' L U F R L B2
D' L R2 F' B2 U' F2
D' L R2 B2 F' U' F2
B L U D F L B
B L U D' F L B
B L U D2 F L B
B L U F L D B
B L U F L D' B
B L U F L D2 B
B L U F L B D
B L U F L B D'
B L U F L B D2
B L U F L' B L2
B L U F L2 B L'
B L U F D L B
B L U F D' L B
B L U F D2 L B
B L U F' L F2 B
B L U F' L B F2
B L U F2 L F' B
B L U F2 L B F'
B L U B D2 F L'
B L D U F L B
R2 L F L B2 D R2
B L D' U F L B
R2 L F' U' L F2 B2
R2 L F' U' L B2 F2
R2 L F' U' F2 L B2
B L D2 U F L B
B2 L F L U F U'
B L F' U L F2 B
B L F' U L B F2
B L F' U F2 L B
B2 L F2 L F' D R2
D L F2 L B U F'
B L F2 U L F' B
B L F2 U L B F'
B L F2 U F' L B
L R' U F L R B2
L R' U F L B2 R
L R' U F R L B2
B L' U L2 F L B
B L' U B L' D2 F2
B L' U B D2 L' F2
B L' U' B' U2 L' B2
B L' U' B' U2 B2 L'
L R2 F L B2 D R2
B2 L2 U L' U' F R
L R2 F' U' L F2 B2
L R2 F' U' L B2 F2
L R2 F' U' F2 L B2
B2 L2 U D F L' U'
B2 L2 U F L' U' F
B2 L2 D U F L' U'
D L2 D' B R' U L2
B2 L2 D2 R F' D R2
D L2 F2 D' B R' U
U2 L2 B2 U' B' R' U
L2 U' L' B U F B
L2 U' L' B U B F
R2 U' F' L' U' L' B2
R2 U' F' L' U' B2 L'
U2 R' U F' L2 B2 R'
L2 U' B L' U F B
L2 U' B L' U B F
D' R2 L F' B2 U' F2
D' R2 L B2 F' U' F2
D' R2 F' L B2 U' F
U' R2 F' L' U' L' B2
U' R2 F' L' U' B2 L'
D' R2 F' B2 L U' F
D' R2 B2 L F' U' F2
D' R2 B2 F' L U' F
B2 U L U' L F R
B U L' B L' D F2
B U L2 B U L U'
D U B L2 F2 R U
U D B L2 F2 R U
B U B L' D L' F2
B U B L2 U L' U'
B U B U L U' L
L D' R2 F' U' L F2
L D' R2 F' U' F2 L
D' U' R2 F' L' B2 U'
U' D' R2 F' L' B2 U'
D' U' R2 F' B2 L' U'
U' D' R2 F' B2 L' U'
D' U' R2 B2 F' L' U'
U' D' R2 B2 F' L' U'
B2 U' F R B' U L2
B2 U' F B' R U L2
B2 U' B' U L F L
B2 U' B' F R U L2
L F L U' B U B
L F L B' D' R2 B'
L F L B' D' B' R2
L F L B2 U' B' U
B D L F2 U F' B
B D L F2 U B F'
R2 F' L U' F L B2
B D F2 L U F B
B D F2 L U B F
D F2 L2 D' B R' U
D2 F2 R2 U' F' L' U'
U' B L U L F B
U' B L U L B F
L2 B L' U F L B
D B L F2 L U F'
U' B U L F L B
L' B U L' D2 F2 B
L' B U L' D2 B F2
U' B U B L F L
L' B U D2 L' F2 B
L' B U D2 L' B F2
L' B U D2 B L' F2
F' B L U F L B
L' B U' B2 U2 B' L'
F2 B L U F L B
L B U D2 F L' B
L B U D2 F B L'
L B U D2 B F L'
L B U F B' L B2
L B U B' F L B2
B F L U F L B
F B L U F L B
U B U2 L U' L B
L' B D2 U L' F2 B
L' B D2 U L' B F2
L' B D2 U B L' F2
L B D2 U F L' B
L B D2 U F B L'
L B D2 U B F L'
B F' L U F L B
L' B' U B2 U L' B
L' B' U B2 U B L'
U B' R' B2 U L2 B
U B' R' B2 U B L2
L' B' U2 D' R2 B' L'
L' B' U2 D' B' L' R2
L' B' U2 D' B' R2 L'
L' B' D L2 F U2 L
L' B' D' U2 R2 B' L'
L' B' D' U2 B' L' R2
L' B' D' U2 B' R2 L'
L' B' D' B' L' R2 F'
L' B' D' B' R2 L' F'
D' B2 L R2 U' F R
L' B2 L' R2 D F' R
L' B2 L' D R2 F' R
R2 B2 L F L D R2
R2 B2 L F D L R2
R2 B2 L F D R2 L
U2 B2 L2 R' F' D R2
B F2 L U F L B
U2 B2 R' L2 F' D R2
D' B2 R2 L U' F R
L' B2 R2 L' D F' R
U2 B2 U' B' R' U L2
