B L' U L2 F
B L' R U L2 F
B L' R' U L2 F
B L' R2 U L2 F
B L' U L2 D F
B L' U L2 D' F
B L' U L2 D2 F
B L' U L2 F D
B L' U L2 F D'
B L' U L2 F D2
B L' U F L2 F
B L' U F' L2 F
B L' U F2 L2 F
B L' U' B' U2 L2
B L' F U L2 F
B L' F' U L2 F
B L' F2 U L2 F
B R L' U L2 F
B R' L' U L2 F
B R2 L' U L2 F
B D L' U L2 F
B D' L' U L2 F
B D2 L' U L2 F
D2 B L' U L2 F
D' B L' U L2 F
D B L' U L2 F
L' B U L D2 F2
L' B U D2 L F2
L' B U D2 F2 L
L' B U' B2 R' U2
L' B D' R2 U L
L' B D2 U L F2
L' B D2 U F2 L
B' L D' F B2 L R2
B' L D' F B2 R2 L
B L D' F B2 D' R2
B' L D' B2 R2 F L
B' L D' B2 F L R2
B' L D' B2 F R2 L
B L D' B2 D' R2 F
B L D' B2 D' F R2
B L D' B2 F D' R2
U' L F L2 B R U
B' L F D' B2 L R2
B' L F D' B2 R2 L
U' L F B L2 R U
U' L F B R L2 U
B L F D' B2 D' R2
B L F B2 D' R2 B2
B L F B2 D' B2 R2
B L F' L2 U L2 F2
B L F' L2 U F2 L2
B L F2 L2 U L2 F'
B L F2 L2 U F' L2
U' L B F L2 R U
U' L B F R L2 U
B L B2 D' R2 F B2
B L B2 D' R2 B2 F
B L B2 D' F R2 B2
B L B2 D' F B2 R2
B L B2 D' B2 R2 F
B L B2 D' B2 F R2
B L B2 F D' R2 B2
B L B2 F D' B2 R2
B L' R U L2 D F
B L' R U L2 D' F
B L' R U L2 D2 F
B L' R U L2 F D
B L' R U L2 F D'
B L' R U L2 F D2
B L' R U F L2 F
B L' R U F' L2 F
B L' R U F2 L2 F
B L' R U' B' U2 L2
B L' R F U L2 F
B L' R F' U L2 F
B L' R F2 U L2 F
B L' R' U L2 D F
B L' R' U L2 D' F
B L' R' U L2 D2 F
B L' R' U L2 F D
B L' R' U L2 F D'
B L' R' U L2 F D2
B L' R' U F L2 F
B L' R' U F' L2 F
B L' R' U F2 L2 F
B L' R' U' B' U2 L2
B L' R' F U L2 F
B L' R' F' U L2 F
B L' R' F2 U L2 F
B L' R2 U L2 D F
B L' R2 U L2 D' F
B L' R2 U L2 D2 F
B L' R2 U L2 F D
B L' R2 U L2 F D'
B L' R2 U L2 F D2
B L' R2 U F L2 F
B L' R2 U F' L2 F
B L' R2 U F2 L2 F
B L' R2 U' B' U2 L2
B L' R2 F U L2 F
B L' R2 F' U L2 F
B L' R2 F2 U L2 F
B L' U L D L F
B L' U L D' L F
B L' U L D2 L F
B L' U L F L F
B L' U L F' L F
B L' U L F2 L F
B L' U L2 R F R'
B L' U L2 R2 F R2
B L' U L2 D F D
B L' U L2 D F D'
B L' U L2 D F D2
B L' U L2 D' F D
B L' U L2 D' F D'
B L' U L2 D' F D2
B L' U L2 D2 F D
B L' U L2 D2 F D'
B L' U L2 D2 F D2
B L' U L2 F2 D F'
B L' U L2 F2 D' F'
B L' U L2 F2 D2 F'
B L' U R L2 F R'
B L' U R2 L2 F R2
B L' U F L2 D F
B L' U F L2 D' F
B L' U F L2 D2 F
B L' U F L2 F D
B L' U F L2 F D'
B L' U F L2 F D2
B L' U F' L2 D F
B L' U F' L2 D' F
B L' U F' L2 D2 F
B L' U F' L2 F D
B L' U F' L2 F D'
B L' U F' L2 F D2
B L' U F2 L2 D F
B L' U F2 L2 D' F
B L' U F2 L2 D2 F
B L' U F2 L2 F D
B L' U F2 L2 F D'
B L' U F2 L2 F D2
B L' U' R U2 L2 F
B L' U' R B' U2 L2
B L' U' R' U2 L2 F
B L' U' R' B' U2 L2
B L' U' R2 U2 L2 F
B L' U' R2 B' U2 L2
B L' U' D2 R2 B' U2
B L' U' D2 B' R2 U2
B L' U' B' R U2 L2
B L' U' B' R' U2 L2
B L' U' B' R2 U2 L2
B L' U' B' U2 L2 D
B L' U' B' U2 L2 D'
B L' U' B' U2 L2 D2
B L' U' B' D2 R2 U2
B L' U2 L' U' L' F
B L' D F2 U' B' U2
B L' D2 U' R2 B' U2
B L' D2 U' B' R2 U2
B L' F R U L2 F
B L' F R' U L2 F
B L' F R2 U L2 F
B L' F U L2 D F
B L' F U L2 D' F
B L' F U L2 D2 F
B L' F U L2 F D
B L' F U L2 F D'
B L' F U L2 F D2
B L' F U F L2 F
B L' F U F' L2 F
B L' F U F2 L2 F
B L' F U' B' U2 L2
B L' F' R U L2 F
B L' F' R' U L2 F
B L' F' R2 U L2 F
B L' F' U L2 D F
B L' F' U L2 D' F
B L' F' U L2 D2 F
B L' F' U L2 F D
B L' F' U L2 F D'
B L' F' U L2 F D2
B L' F' U F L2 F
B L' F' U F' L2 F
B L' F' U F2 L2 F
B L' F' U' B' U2 L2
B L' F2 R U L2 F
B L' F2 R' U L2 F
B L' F2 R2 U L2 F
B L' F2 U L2 D F
B L' F2 U L2 D' F
B L' F2 U L2 D2 F
B L' F2 U L2 F D
B L' F2 U L2 F D'
B L' F2 U L2 F D2
B L' F2 U F L2 F
B L' F2 U F' L2 F
B L' F2 U F2 L2 F
B L' F2 U' B' U2 L2
D' L' B U L D2 F2
D2 L' B U L D2 F2
D' L' B U D2 L F2
D' L' B U D2 F2 L
D2 L' B U D2 L F2
D2 L' B U D2 F2 L
D' L' B U' B2 R' U2
D2 L' B U' B2 R' U2
D' L' B D' R2 U L
D2 L' B D' R2 U L
D L' B U L D2 F2
D L' B U D2 L F2
D' L' B D2 U L F2
D L' B U D2 F2 L
D' L' B D2 U F2 L
D2 L' B D2 U L F2
D2 L' B D2 U F2 L
D L' B U' B2 R' U2
D L' B D' R2 U L
D L' B D2 U L F2
D L' B D2 U F2 L
U L' B' R' F' B2 U
U L' B' R' B2 F' U
B' L' B2 R2 U L F'
B' L' B2 R2 U F' L
B L2 U L' D' F B2
B L2 U L' D' B2 F
B L2 U L' F D' B2
B R L' U L2 D F
B R L' U L2 D' F
B R L' U L2 D2 F
B R L' U L2 F D
B R L' U L2 F D'
B R L' U L2 F D2
B R L' U F L2 F
B R L' U F' L2 F
B R L' U F2 L2 F
B R L' U' B' U2 L2
B R L' F U L2 F
B R L' F' U L2 F
B R L' F2 U L2 F
B R D L' U L2 F
B R D' L' U L2 F
B R D2 L' U L2 F
B2 R B' L' U L2 F
B R' L' U L2 D F
B R' L' U L2 D' F
B R' L' U L2 D2 F
B R' L' U L2 F D
B R' L' U L2 F D'
B R' L' U L2 F D2
B R' L' U F L2 F
B R' L' U F' L2 F
B R' L' U F2 L2 F
B R' L' U' B' U2 L2
B R' L' F U L2 F
B R' L' F' U L2 F
B R' L' F2 U L2 F
B R' D L' U L2 F
B R' D' L' U L2 F
B R' D2 L' U L2 F
B2 R' B' L' U L2 F
B R2 L' U L2 D F
B R2 L' U L2 D' F
B R2 L' U L2 D2 F
B R2 L' U L2 F D
B R2 L' U L2 F D'
B R2 L' U L2 F D2
B R2 L' U F L2 F
B R2 L' U F' L2 F
B R2 L' U F2 L2 F
B R2 L' U' B' U2 L2
B R2 L' F U L2 F
B R2 L' F' U L2 F
B R2 L' F2 U L2 F
B R2 D L' U L2 F
B R2 D' L' U L2 F
B R2 D2 L' U L2 F
B2 R2 B' L' U L2 F
L' D B U L D2 F2
L' D B U D2 L F2
L' D B U D2 F2 L
L' D B U' B2 R' U2
L' D B D' R2 U L
L' D B D2 U L F2
L' D B D2 U F2 L
L2 D' L B R' U L
B2 U B' L' R' U L2
B2 U B' R' L' U L2
B' U' L' B2 U L F
L' D' B U L D2 F2
L' D' B U D2 L F2
L' D' B U D2 F2 L
L' D' B U' B2 R' U2
L' D' B D' R2 U L
L' D' B D2 U L F2
L' D' B D2 U F2 L
L D' B U F L B
L' D2 B U L D2 F2
L' D2 B U D2 L F2
L' D2 B U D2 F2 L
L' D2 B U' B2 R' U2
L' D2 B D' R2 U L
L' D2 B D2 U L F2
L' D2 B D2 U F2 L
B D L' R U L2 F
B D L' R' U L2 F
B D L' R2 U L2 F
B D L' U L2 D F
B D L' U L2 D' F
B D L' U L2 D2 F
B D L' U L2 F D
B D L' U L2 F D'
B D L' U L2 F D2
B D L' U F L2 F
B D L' U F' L2 F
B D L' U F2 L2 F
B D L' U' B' U2 L2
B D L' F U L2 F
B D L' F' U L2 F
B D L' F2 U L2 F
B D R L' U L2 F
L' F B U L D2 F2
L' F B U D2 L F2
L' F B U D2 F2 L
L' F B U' B2 R' U2
B D R' L' U L2 F
L' F B D' R2 U L
L' F B D2 U L F2
L' F B D2 U F2 L
B D R2 L' U L2 F
L F B' D' B2 L R2
L F B' D' B2 R2 L
L F' L2 B U L F2
L F' L2 B U F2 L
B D' L' R U L2 F
B D' L' R' U L2 F
B D' L' R2 U L2 F
B D' L' U L2 D F
B D' L' U L2 D' F
B D' L' U L2 D2 F
B D' L' U L2 F D
B D' L' U L2 F D'
B D' L' U L2 F D2
B D' L' U F L2 F
B D' L' U F' L2 F
B D' L' U F2 L2 F
B D' L' U' B' U2 L2
B D' L' F U L2 F
B D' L' F' U L2 F
B D' L' F2 U L2 F
B D' R L' U L2 F
L' F' B U L D2 F2
L' F' B U D2 L F2
L' F' B U D2 F2 L
L' F' B U' B2 R' U2
L' F' B D' R2 U L
L' F' B D2 U L F2
B D' R' L' U L2 F
L' F' B D2 U F2 L
B D' R2 L' U L2 F
L F' B L2 U L' F2
L F2 L2 B U L F'
L F2 L2 B U F' L
B D2 L' R U L2 F
B D2 L' R' U L2 F
B D2 L' R2 U L2 F
B D2 L' U L2 D F
B D2 L' U L2 D' F
B D2 L' U L2 D2 F
B D2 L' U L2 F D
B D2 L' U L2 F D'
B D2 L' U L2 F D2
B D2 L' U F L2 F
B D2 L' U F' L2 F
B D2 L' U F2 L2 F
B D2 L' U' B' U2 L2
B D2 L' F U L2 F
B D2 L' F' U L2 F
B D2 L' F2 U L2 F
B D2 R L' U L2 F
L' F2 B U L D2 F2
L' F2 B U D2 L F2
L' F2 B U D2 F2 L
L' F2 B U' B2 R' U2
L' F2 B D' R2 U L
L' F2 B D2 U L F2
L' F2 B D2 U F2 L
B D2 R' L' U L2 F
B D2 R2 L' U L2 F
L F2 B L2 U L' F'
U' B L F L2 R U
U' B L F R L2 U
D2 B L' R U L2 F
D' B L' R U L2 F
D2 B L' R' U L2 F
D' B L' R' U L2 F
R' B L' U L2 F R
D2 B L' R2 U L2 F
D' B L' R2 U L2 F
D2 B L' U L2 D F
