B' L2 U' R' B' U'
F L' U' L' U2 F B'
F L' U' L' U2 B' F
B' L2 R U' R2 B' U'
B' L2 R U' B' R2 U'
B' L2 R' U' B' U' B
B' L2 R2 U' R B' U'
B' L2 R2 U' B' R U'
B' L2 U' R B' R2 U'
B' L2 U' R' D B' U'
B' L2 U' R' D' B' U'
B' L2 U' R' D2 B' U'
B' L2 U' R' B' U' D
B' L2 U' R' B' U' D'
B' L2 U' R' B' U' D2
B' L2 U' R' B' D U'
B' L2 U' R' B' D' U'
B' L2 U' R' B' D2 U'
B' L2 U' R2 B' R U'
B' L2 U' D R' B' U'
B' L2 U' D' R' B' U'
B' L2 U' D2 R' B' U'
U L2 U' B' R' U' F
B' L2 D U' R' B' U'
B' L2 D' U' R' B' U'
B' L2 D2 U' R' B' U'
B' L2 F U' R' B' U'
B' L2 F' U' R' B' U'
B' L2 F2 U' R' B' U'
B2 L2 B U' R' B2 U'
D2 L2 B' R' U' R' F
D2 L2 B' R' U' F R'
D L2 B' R' F2 U' F'
B' R L2 U' R2 B' U'
B' R L2 U' B' R2 U'
B' R' L2 U' B' U' B
B' R2 L2 U' R B' U'
B' R2 L2 U' B' R U'
L2 U2 F U R B' U'
L2 U2 F U B' R U'
F U R B D2 R2 F2
F U R B D2 F2 R2
B' U D' F B2 L U
B' U D' B2 F L U
B' U F D' B2 L U
F U' L F L U2 F
F U' B' L F L U2
B D L2 F2 R B' U'
B D L2 F2 B' R U'
B D L2 B' F2 R U'
B' D' U F B2 L U
B' D' U B2 F L U
B D' R2 F L B2 U
B D' F L R2 B2 U
B D' F L B2 R2 U
B D' F R2 L B2 U
B2 D2 F L' U R2 F'
L2 B U' B2 R' U' F
B F L U' L B2 U2
B F L U' B2 U2 R'
F B L U' L B2 U2
F B L U' B2 U2 R'
R' B' L2 U' R' B' U'
R2 B' L2 U' R' B' U'
B F D' L R2 B2 U
U B' L2 U' B' R' U'
B F D' L B2 R2 U
B F D' R2 L B2 U
R B' L2 U' R' B' U'
F B D' L R2 B2 U
F B D' L B2 R2 U
F B D' R2 L B2 U
B F D2 L U R2 F2
B F D2 L U F2 R2
F B D2 L U R2 F2
F B D2 L U F2 R2
L2 B2 U' B R' U' F
