R' B L U L' U
U' L R' B U' F U'
R' L B L U L2 U
R' L B L U2 D' B2
R' L B L D F2 U2
R' L B L D' U2 B2
L2 R' D F2 B L U2
L2 R' D B L F2 U2
L2 R' D B F2 L U2
U' L' R' B U B2 U
U' L' R' B U2 D' R2
U' L' R' B D L2 U2
U' L' R' B D' U2 R2
L2 R' D' B L U2 B
L2 R' B L U L U
L R' B L U L2 U
L R' B L U2 D' B2
L R' B L D F2 U2
L R' B L D' U2 B2
R' L' B D L U2 B'
L' R' B D L U2 B'
L2 R' B U2 D' B2 R'
L2 R' B D L F2 U2
L2 R' B D F2 L U2
L2 R' B D' L U2 B2
L2 R' B D' U2 B2 R'
R' L2 D F2 B L U2
R' L2 D B L F2 U2
R' L2 D B F2 L U2
R' L2 D' B L U2 B
U' L2 R' D' B U2 R'
R' L2 B L U L U
R' L2 B U2 D' B2 R'
R' L2 B D L F2 U2
R' L2 B D F2 L U2
R' L2 B D' L U2 B2
R' L2 B D' U2 B2 R'
B2 R U L D2 F' R
B2 R U D2 L F' R
B2 R U D2 F' L R
B2 R U D2 F' R L
B2 R D2 U L F' R
B2 R D2 U F' L R
B2 R D2 U F' R L
B' R B' U L F' R2
B' R B' U F' L R2
B' R B' U F' R2 L
U' R' L B U' F U'
U' R' L' B U B2 U
U' R' L' B U2 D' R2
U' R' L' B D L2 U2
U' R' L' B D' U2 R2
U' R' L2 D' B U2 R'
U' R' U2 R2 D' F' R
F' R' B L U L' U
U' R' B L U' F U'
U' R' B L' U B' U
F2 R' B L U L' U
U' R' B U B' U R'
U' R' B U' F U' R
F R' B L U L' U
U R' B U' F' U' B'
R U2 F U' R F2 L'
B2 U L R D2 F' R
B2 U R L D2 F' R
B2 U R D2 L F' R
R' D B L U L' U
B2 U R D2 F' L R
B2 U R D2 F' R L
B' U R' U2 B R' U2
B' U D2 L' R' F L'
B' U D2 L' F L' R'
B' U D2 L' F R' L'
B' U D2 R' L' F L'
B' U D2 R' F L' F
B' U D2 F L' R' F
B' U D2 F L' F R'
B' U D2 F R' L' F
R' D' B L U L' U
B' U' R' B R' U2 R
R D' F2 B' U R' F
R D' F2 B' U F R'
R D' B' F2 U R' F
R D' B' F2 U F R'
B' U' B R' B L U2
B2 U' B2 R' B L U2
R' D2 B L U L' U
R D2 B' U L2 F' R'
R D2 B' U F' L2 R'
R D2 B' U F' R' L2
U2 F U R' U2 R2 F'
U2 F U R' B U2 R2
U2 F U' R D2 L2 F'
U2 F U' R D2 F' L2
U2 F U' R F' D2 L2
R' F B L U L' U
U2 F B2 U' L R F'
U2 F B2 U' R L F'
U2 F B2 U' R F' L
U2 F' U L' R' B U2
U2 F' U R' L' B U2
U2 F' U R' B L' U2
B' D' R F' R U R
R' F' B L U L' U
B' D' F' R F' U R2
R' F2 B L U L' U
B' D2 U L' R' F L'
B' D2 U L' F L' R'
B' D2 U L' F R' L'
B' D2 U R' L' F L'
B' D2 U R' F L' F
B' D2 U F L' R' F
B' D2 U F L' F R'
B' D2 U F R' L' F
R' B L U L' U D
R' B L U L' U D'
R' B L U L' U D2
R' B L U L' D U
R' B L U L' D' U
R' B L U L' D2 U
R' B L U D L' U
R' B L U D' L' U
R' B L U D2 L' U
R' B L D U L' U
R' B L D' U L' U
R' B L D2 U L' U
R' B L F2 U' R U'
B' D2 F U L' R' F
B' D2 F U L' F R'
B' D2 F U R' L' F
R' B L2 D L' F2 U2
R' B L2 D F2 U2 R
R' B L2 D' L' U2 B2
R' B U B2 U R' B2
R' B U2 R2 D B2 R'
R' B D L U L' U
R B U' L R2 B U2
R B U' R2 L B U2
R' B D' L U L' U
R' B D2 L U L' U
R' B F L U L' U
R' B F' L U L' U
R' B F2 L U L' U
R B' U D2 L2 F' R'
R B' U D2 F' L2 R'
R B' U D2 F' R' L2
R B' U F' D2 L2 R'
R B' U F' D2 R' L2
R B' U' R2 B U2 R
R B' D' F2 U R' F
R B' D' F2 U F R'
R B' D2 U L2 F' R'
R B' D2 U F' L2 R'
R B' D2 U F' R' L2
R B2 U D2 L2 F' R
R B2 U D2 F' L2 R
R B2 U D2 F' R L2
R B2 U' R2 B U2 R'
U2 B2 F U' L R F'
U2 B2 F U' R L F'
U2 B2 F U' R F' L
R B2 D2 U L2 F' R
R B2 D2 U F' L2 R
R B2 D2 U F' R L2
