R' B U L U R
B2 L R D' F' R' B
B2 L R F' D' R' B
U' L U' R' F B U2
U' L U' R' B F U2
U' L U' F R' B U2
R' L B U L U R
U' L' U' R' B U2 B2
R' L' B U L U R
L' R' B U L U R
L2 R' B U L U R
L R' B U L U R
D2 L' F B2 D L B'
D2 L' B2 D F L B'
D2 L' B2 F D L B'
R' L2 B U L U R
R' U R2 U F' R' B
D2 L2 B2 D L F B'
D2 L2 B2 D L B' F
B2 R L D' F' R' B
B2 R L F' D' R' B
U R U R2 F' B U2
U R U R2 B F' U2
U R U' D2 L2 F' B
U R U' D2 L2 B F'
U R U' D2 F' L2 B
U R U' D2 F' B L2
U R U' D2 B L2 F'
U R U' D2 B F' L2
U R U' F' D2 L2 B
U R U' F' D2 B L2
U R U' F' B D2 L2
U R U' B D2 L2 F'
U R U' B D2 F' L2
U R U' B F' D2 L2
B2 R D L F' R' B'
B2 R D F' L R' B'
B2 R D F' R' L B'
B2 R D' L F' R' B
U R D B2 U' F' B'
U R D B2 U' B' F'
B2 R D' F' L R' B
B2 R D' F' R' L B
U R D2 U' L2 F' B
U R D2 U' L2 B F'
U R D2 U' F' L2 B
U R D2 U' F' B L2
U R D2 U' B L2 F'
U R D2 U' B F' L2
B2 R F' L D' R' B
B2 R F' R' D L B'
B2 R F' D L R' B'
B2 R F' D R' L B'
B2 R F' D' L R' B
B2 R F' D' R' L B
R U' R2 B U2 R B
B' R' U B R' U2 R2
U2 R' F B U' R U'
U2 R' F' B U L' U
U R' F' B U' F U'
F' R' B U L U R
F2 R' B U L U R
U2 R' B U L' U B'
U2 R' B U' R U' B
U2 R' B F U' R U'
U2 R' B F' U L' U
F R' B U L U R
U R' B F' U' F U'
R' D B U L U R
B' U R' U B R' U2
B U' L R F U F2
B U' L F R U F'
B U' R L F U F2
R' D' B U L U R
R' D2 B U L U R
U2 F R' U' R2 U' F'
U2 F R' D B U2 B
U2 F R' D' F2 B U2
U2 F R' D' B F2 U2
U2 F R' B U' R2 U'
U2 F R' B U2 D B2
U2 F R' B D U2 B2
U2 F R' B D' F2 U2
B2 D L B' U L U'
B2 D L2 D L' F B'
B2 D L2 D L' B' F
U2 F' R' B U L' U
R F' R' B2 D L B'
R' F2 L' B U L U
R' F2 B L' U L2 U
R' F2 B L' U2 D' B2
R' F2 B L' D F2 U2
R' F2 B L' D' U2 B2
R' B L' U L2 U R
R' B L' U2 R D' B2
R' B L' U2 D' R B2
R' B L' U2 D' B2 R
R' B L' D F2 L' U2
R' B L' D' U2 R B2
R' B L' D' U2 B2 R
R' B L2 U L' U R
R' B U L U R D
R' B U L U R D'
R' B U L U R D2
R' B U L U D R
R' B U L U D' R
R' B U L U D2 R
R' B U L D U R
R' B U L D' U R
R' B U L D2 U R
R' B U L B U R
R' B U L B' U R
R' B U L B2 U R
R' B U D L U R
R' B U D' L U R
R' B U D2 L U R
R' B U B' U R B
R' B U2 R U' L U
D B U' L R' F U
D B U' L F R' U
D B U' R' L F U
R' B U2 B2 R D B2
R' B D U L U R
R' B D' U L U R
R' B D2 U L U R
R' B F2 L' U L2 U
R' B F2 L' U2 D' B2
R' B F2 L' D F2 U2
R' B F2 L' D' U2 B2
U B2 R U' L F' B
U B2 R U' L B F'
U B2 R U' F' L B
