L D R2 F' U' L
F L R' U' L B' R'
D' L R' B2 R' F' U'
D L R2 D' F' U' L2
F' L R2 F' U' L B
D L R2 D2 F' B2 U'
D L R2 D2 B2 F' U'
D' L R2 F' B2 R' U'
D L R2 F' U2 F' U
F L R2 F' U' L B'
D' L R2 B2 F' R' U'
F L U' L B' D' R2
R2 L D F' R2 U' L
F2 L U2 B U B' L
R2 L D2 F' U' L B2
U' L D R2 F' U' L
U2 L D R2 F' U' L
U L D R2 F' U' L
R2 L F' R2 U' L B
R2 L F' U F' U2 L
D L F' R2 F' B U'
D L F' R2 B F' U'
D' L B2 R' U2 B' U
L R2 D F' R2 U' L
L R2 D2 F' U' L B2
L R2 F' R2 U' L B
L R2 F' U F' U2 L
D' L2 D2 F2 B R U
D' L2 D2 B F2 R U
L2 U L' D R2 F' U'
D' L2 B U2 L' B U'
D' L2 B U2 B L' U'
L2 U D L' R2 F' U'
L2 U D R2 L' F' U'
D' R' L B2 R' F' U'
F R' L U' L B' R'
B2 R' D' B' L2 F U
B2 R' F B' U L2 B'
B2 R' B' U L2 D2 B2
B2 R' B' U' F2 U2 L2
B2 R' B' F U L2 B'
L U2 D' L2 B U L'
D' R2 L F' B2 R' U'
F' R2 L F' U' L B
D' R2 L B2 F' R' U'
D R2 L D' F' U' L2
D R2 L D2 F' B2 U'
D R2 L D2 B2 F' U'
D R2 L F' U2 F' U
F R2 L F' U' L B'
D2 R2 U' L F' U' B2
F2 R2 U' L F' U' L
L2 U2 F2 U B R U
D2 R2 U' F' L U' B2
F2 R2 U' F' L U' L
D R2 D' L F' U' L
D R2 D' F' L U' L
D R2 D2 L F' B2 U'
D R2 D2 L B2 F' U'
R2 D L F' R2 B U'
L2 D L' R2 F' U' L
D R2 D2 F' L B2 U'
D' R2 F' L B2 R' U'
F' R2 F' L U' L B
F2 R2 F' L U' L B'
D R2 F' L U2 F' U
L2 D R2 L' F' U' L
L2 D U L' R2 F' U'
L D R2 D F' U' L
L D R2 D' F' U' L
L D R2 D2 F' U' L
L D R2 F' U' L D
L D R2 F' U' L D'
L D R2 F' U' L D2
L D R2 F' U' D L
L D R2 F' U' D' L
L D R2 F' U' D2 L
L2 D U R2 L' F' U'
L D R2 F' D U' L
L D R2 F' D' U' L
L D R2 F' D2 U' L
L D F R2 F' U' L
R2 D F' L R2 B U'
R2 D F' R2 L B U'
L D F' R2 F' U' L
L D F2 R2 F' U' L
R' D' L B2 R' F' U'
R2 D' L F' B2 R' U'
R2 D' L B2 F' R' U'
F2 U B2 R' B' U L2
L D' U2 L2 B U L'
R2 D' F' L B2 R' U'
L D2 R2 F' U' L B2
R' F L U' L B' R'
R2 F L F2 U' L B'
B D R F2 L' U F
R2 F' L R2 U' L B
R2 F' L U F' U2 L
D F' L R2 F' B U'
D F' L R2 B F' U'
R2 F' R2 L U' L B
D F' R2 L F' B U'
D F' R2 L B F' U'
D F' R2 F' L B U'
L F' R2 F' U' L B
B2 D' R' B' L2 F U
R2 F2 U' F L U' L
D F2 U2 L R2 F' U'
D F2 U2 R2 L F' U'
D F2 U2 R2 F' L U'
L F2 U2 B U B' L
B2 D2 R' B' U B' L
F2 D2 R2 U' L F' U'
F2 D2 R2 U' F' L U'
L' B D2 R2 U L' B2
L' B D2 R2 U B2 L'
B2 F R' B' U L2 B'
D' B2 U2 R' B' L2 U
B2 F2 U R' B' U L2
F2 B2 U R' B' U L2
F B2 R' B' U L2 B'
