R' L U' F L
L R' U' F L
R' L U' D F L
R' L U' D' F L
R' L U' D2 F L
R' L U' F L D
R' L U' F L D'
R' L U' F L D2
R' L U' F D L
R' L U' F D' L
R' L U' F D2 L
R' L U' F' L F2
R' L U' F2 L F'
D' L R' B2 U' F
R' L D U' F L
R' L D' U' F L
R' L D2 U' F L
R' L' U B' U2 L'
L' R' U B' U2 L'
R' L' U' L2 F L
L' R' U' L2 F L
L R' U' D F L
L R' U' D' F L
L R' U' D2 F L
L R' U' F L D
L R' U' F L D'
L R' U' F L D2
L R' U' F D L
L R' U' F D' L
L R' U' F D2 L
L R' U' F' L F2
L R' U' F2 L F'
L R' D U' F L
L R' D' U' F L
L R' D2 U' F L
D' R' L B2 U' F
U2 R' U F' L2 B'
R' U2 R' U L2 F'
R' U2 R' U F' L2
D' R' B2 L U' F
L D R' U' F L
R' D' L B2 U' F
L D' R' U' F L
R' D' B2 L U' F
L D2 R' U' F L
R' B L U' F L
R' B' L U' F L
R' B2 L U' F L
R' L U R U2 F L
R' L U R' U2 F L
R' L U R2 U2 F L
D' L R B2 R2 U' F
D2 L R' U R' U2 F
R' L U B2 R' U2 F
D' L R' U' D F L2
D' L R' U' F D L2
D L R' U' D' F L2
D' L R' D U' F L2
D L R' U2 F2 U F'
R' L U' R F L R'
R' L U' R F R' L
D L R' D' U' F L2
R' L U' R2 F L R2
R' L U' R2 F R2 L
D L R' D2 B2 U' F
R' L U' D F L D
R' L U' D F L D'
R' L U' D F L D2
R' L U' D F D L
R' L U' D F D' L
R' L U' D F D2 L
R' L U' D F' L F2
R' L U' D F2 L F'
R' L U' D' F L D
R' L U' D' F L D'
R' L U' D' F L D2
R' L U' D' F D L
R' L U' D' F D' L
R' L U' D' F D2 L
R' L U' D' F' L F2
R' L U' D' F2 L F'
R' L U' D2 F L D
R' L U' D2 F L D'
R' L U' D2 F L D2
F2 L R' F2 U' L F'
R' L U' D2 F D L
F2 L R' F2 U' F' L
R' L U' D2 F D' L
R' L U' D2 F D2 L
R' L U' D2 F' L F2
R' L U' D2 F2 L F'
L R U' D F L B2
R' L U' F L2 D L'
R' L U' F L2 D' L'
R' L U' F L2 D2 L'
R' L U' F D L D
R' L U' F D L D'
R' L U' F D L D2
R' L U' F D' L D
R' L U' F D' L D'
R' L U' F D' L D2
R' L U' F D2 L D
R' L U' F D2 L D'
R' L U' F D2 L D2
R' L U' F' L F2 D
R' L U' F' L F2 D'
R' L U' F' L F2 D2
R' L U' F' L' F2 L2
D' L R' B2 U' D F
D' L R' B2 U' D' F
D' L R' B2 U' D2 F
D' L R' B2 U' F D
D' L R' B2 U' F D'
D' L R' B2 U' F D2
D2 L R' B2 U' F L
D' L R' B2 D U' F
D' L R' B2 D' U' F
D' L R' B2 D2 U' F
L R U' F L D B2
R' L U' F2 L D F'
R' L U' F2 L D' F'
R' L U' F2 L D2 F'
R' L U' F2 L F' D
R' L U' F2 L F' D'
R' L U' F2 L F' D2
R' L U' F2 L' F' L2
R2 L U' F D' L B'
L R U' F D L B2
R' L U' F2 D L F'
R' L U' F2 D F' L
R' L U' F2 D' L F'
R' L U' F2 D' F' L
R' L U' F2 D2 L F'
R' L U' F2 D2 F' L
R L U' D F L B2
R L U' F L D B2
R L U' F D L B2
R' L U2 R U F L
R' L U2 R' U F L
R' L U2 R2 U F L
D' L R2 B2 R U' F
R' L U2 F' U L F2
R' L U2 F' U F2 L
R' L U2 F2 U L F'
R' L U2 F2 U F' L
B2 L U F' L F2 R
R2 L D R U' F L
R' L D U' F L D
R' L D U' F L D'
R' L D U' F L D2
R' L D U' F D L
R' L D U' F D' L
R' L D U' F D2 L
R' L D U' F' L F2
R' L D U' F2 L F'
L R D U' F L B2
R L D U' F L B2
B' L U' D F L B'
B' L U' F D L B'
B L U' F L' B' L2
R2 L D' R U' F L
R' L D' U' F L D
R' L D' U' F L D'
R' L D' U' F L D2
R' L D' U' F D L
R' L D' U' F D' L
R' L D' U' F D2 L
R' L D' U' F' L F2
R' L D' U' F2 L F'
R2 L D2 R U' F L
R' L D2 U' F L D
R' L D2 U' F L D'
R' L D2 U' F L D2
R' L D2 U' F D L
R' L D2 U' F D' L
R' L D2 U' F D2 L
R' L D2 U' F' L F2
R' L D2 U' F2 L F'
D' L D R' U' F L2
D2 L D R' B2 U' F
B' L D U' F L B'
D L D' R' U' F L2
D2 L D2 R' U' F L2
D L D2 R' B2 U' F
R' L B U' D2 F L'
R' L B D2 U' F L'
F L F' R' U' L F2
F L F' R' U' F2 L
L' R B2 R2 U' L' F'
R' L B2 U R' U2 F
R' L' U R B' U2 L'
L' R' U R B' U2 L'
L' R' U R' B' U2 L'
R' L' U R' B' U2 L'
L' R' U R2 B' U2 L'
R' L' U R2 B' U2 L'
L R' U R U2 F L
L' R' U D B' U2 L'
R' L' U D B' U2 L'
L R' U R' U2 F L
L' R' U D' B' U2 L'
R' L' U D' B' U2 L'
L' R' U D2 B' U2 L'
R' L' U D2 B' U2 L'
L R' U R2 U2 F L
L' R' U B' R U2 L'
L' R' U B' R' U2 L'
L' R' U B' R2 U2 L'
R' L' U B' R U2 L'
R' L' U B' R' U2 L'
R' L' U B' R2 U2 L'
L' R' U B' U2 L' D
L' R' U B' U2 L' D'
L' R' U B' U2 L' D2
L' R' U B' U2 D L'
L' R' U B' U2 D' L'
L' R' U B' U2 D2 L'
R' L' U B' U2 L' D
R' L' U B' U2 L' D'
R' L' U B' U2 L' D2
L' R' U B' D U2 L'
R' L' U B' U2 D L'
R' L' U B' U2 D' L'
R' L' U B' U2 D2 L'
L' R' U B' D' U2 L'
R' L' U B' D U2 L'
R' L' U B' D' U2 L'
L' R' U B' D2 U2 L'
R' L' U B' D2 U2 L'
L R' U B2 R' U2 F
R' L' U' L2 D F L
L' R' U' L2 D F L
L' R' U' L2 D' F L
R' L' U' L2 D' F L
R' L' U' L2 D2 F L
L' R' U' L2 D2 F L
R' L' U' L2 F L D
R' L' U' L2 F L D'
R' L' U' L2 F L D2
L' R' U' L2 F L D
L' R' U' L2 F L D'
L' R' U' L2 F L D2
R' L' U' L2 F D L
L' R' U' L2 F D L
R' L' U' L2 F D' L
L' R' U' L2 F D' L
R' L' U' L2 F D2 L
L' R' U' L2 F D2 L
R' L' U' L2 F' L F2
L' R' U' L2 F' L F2
R' L' U' L2 F2 L F'
L' R' U' L2 F2 L F'
R' L' U' D L2 F L
L' R' U' D L2 F L
L R' U' R F L R'
L R' U' R F R' L
R' L' U' D' L2 F L
L' R' U' D' L2 F L
R' L' U' D2 L2 F L
L' R' U' D2 L2 F L
L R' U' R2 F L R2
L R' U' R2 F R2 L
L R' U' D F L D
L R' U' D F L D'
L R' U' D F L D2
L R' U' D F D L
L R' U' D F D' L
L R' U' D F D2 L
L R' U' D F' L F2
R' L' U' F' L2 F L'
L R' U' D F2 L F'
L' R' U' F' L2 F L'
L R' U' D' F L D
L R' U' D' F L D'
L R' U' D' F L D2
L R' U' D' F D L
