L2 B' U F B
L2 B' U B F
L2 R B' U F B
L2 R B' U B F
L2 R' B' U F B
L2 R' B' U B F
R' L2 B' U F B
R' L2 B' U B F
L2 R2 B' U F B
L2 R2 B' U B F
R2 L2 B' U F B
R2 L2 B' U B F
R L2 B' U F B
R L2 B' U B F
D' L2 B' U F B
D' L2 B' U B F
D2 L2 B' U F B
D2 L2 B' U B F
D L2 B' U F B
D L2 B' U B F
L2 D B' U F B
L2 D B' U B F
L2 D' B' U F B
L2 D' B' U B F
L2 D2 B' U F B
L2 D2 B' U B F
B' U2 F U' F' B
B' U2 F U' B F'
U F L2 U' F L2
U2 F U F' B' U2
U2 F U B' F' U2
L2 F U' F' B' U
L2 F U' B' F' U
F2 D' L2 F D R2
L2 B' U D F B
L2 B' U D B F
L2 B' U D B F
L2 B' U D' F B
L2 B' U D' B F
L2 B' U D2 F B
L2 B' U D2 B F
L2 B' U F D B
L2 B' U F D' B
L2 B' U F D2 B
L2 B' U F B D
L2 B' U F B D'
L2 B' U F B D2
L2 B' U B D F
L2 B' U B D' F
L2 B' U B D' F
L2 B' U B D2 F
L2 B' U B F D
L2 B' U B F D'
L2 B' U B F D2
U2 B' U' F B U'
U2 B' U' B F U'
L2 B' D U F B
L2 B' D U B F
L2 B' D' U F B
L2 B' D' U B F
L2 B' D2 U F B
L2 B' D2 U B F
L2 R D B' U F B
L2 R D B' U B F
L2 R D' B' U F B
L2 R D' B' U B F
F' L D L R2 F L'
F' L D L F L' R2
F' L D L F R2 L'
F' L D R2 L F L'
L2 R D2 B' U F B
L2 R D2 B' U B F
L2 R F U' F' B' U
L2 R F U' B' F' U
L2 R B' U D F B
L2 R B' U D B F
L2 R B' U D' F B
L2 R B' U D' B F
L2 R B' U D2 F B
L2 R B' U D2 B F
L2 R B' U F D B
L2 R B' U F D' B
L2 R B' U F D2 B
L2 R B' U F B D
L2 R B' U F B D'
L2 R B' U F B D2
L2 R B' U B D F
L2 R B' U B D' F
L2 R B' U B D2 F
L2 R B' U B F D
L2 R B' U B F D'
L2 R B' U B F D2
L2 R B' D U F B
L2 R B' D U B F
L2 R B' D' U F B
L2 R B' D' U B F
L2 R B' D2 U F B
L2 R B' D2 U B F
L2 R' D B' U F B
L2 R' D B' U B F
L2 R' D' B' U F B
L2 R' D' B' U B F
L2 R' D2 B' U F B
L2 R' D2 B' U B F
U L' U' L' F L2 R
U L' U' L' F R L2
L2 R' F U' F' B' U
L2 R' F U' B' F' U
L2 R' B' U D F B
L2 R' B' U D B F
L2 R' B' U D' F B
L2 R' B' U D' B F
L2 R' B' U D2 F B
L2 R' B' U D2 B F
L2 R' B' U F D B
L2 R' B' U F D' B
L2 R' B' U F D2 B
