D' L' F L' R B2
D' L' F L' B2 R
D' L' F R L' B2
D' L' F R B2 L'
D' L' F B2 L' R
D' L' F B2 R L'
D' L' B2 F L' R
D' L' B2 F R L'
D' F L' R F B2
D' F L' R B2 F
D' F L' B2 R F
D' F R L' F B2
D' F R L' B2 F
D' F R B2 L' F
D' F B2 L' R F
D' F B2 R L' F
D' B2 L' F L' R
D' B2 L' F R L'
D' B2 F L' R F
D' B2 F R L' F
L2 R F' R U' L' U2
D' L' R F L' R B2
D' L' R F L' B2 R
D' L' R F R L' B2
D' L' R F R B2 L'
D' L' R F B2 L' R
D' L' R F B2 R L'
D' L' R B2 F L' R
D' L' R B2 F R L'
D' L' R' F L' R B2
D' L' R' F L' B2 R
D' L' R' F R L' B2
D' L' R' F R B2 L'
D' L' R' F B2 L' R
D' L' R' F B2 R L'
D' L' R' B2 F L' R
D' L' R' B2 F R L'
D' L' R2 F L' R B2
D' L' R2 F L' B2 R
D' L' R2 F R L' B2
D' L' R2 F R B2 L'
D' L' R2 F B2 L' R
D' L' R2 F B2 R L'
D' L' R2 B2 F L' R
D' L' R2 B2 F R L'
F' L' U L' R F' U
F' L' U R L' F' U
D' L' F L R B2 L2
D' L' F L B2 L2 R
D' L' F L B2 R L2
D' L' F L' R B2 D
D' L' F L' R B2 D'
D' L' F L' R B2 D2
D' L' F L' R' B2 R2
D' L' F L' B' R B'
D' L' F L' B2 R D
D' L' F L' B2 R D'
D' L' F L' B2 R D2
D' L' F L' B2 D R
D' L' F L' B2 D' R
D' L' F L' B2 D2 R
D' L' F R L B2 L2
D' L' F R L' B2 D
D' L' F R L' B2 D'
D' L' F R L' B2 D2
D' L' F R B L' B
D' L' F R B2 L' D
D' L' F R B2 L' D'
D' L' F R B2 L' D2
D' L' F R B2 D L'
D' L' F R B2 D' L'
D' L' F R B2 D2 L'
D' L' F R' L' B2 R2
D' L' F R' B2 L' R2
D' L' F R' B2 R2 L'
D' L' F B L' B R
D' L' F B' R B' L'
D' L' F B2 L' R D
D' L' F B2 L' R D'
D' L' F B2 L' R D2
D' L' F B2 L' D R
D' L' F B2 L' D' R
D' L' F B2 L' D2 R
D' L' F B2 R L' D
D' L' F B2 R L' D'
D' L' F B2 R L' D2
D' L' F B2 R D L'
D' L' F B2 R D' L'
D' L' F B2 R D2 L'
D' L' F B2 D L' R
D' L' F B2 D R L'
D' L' F B2 D' L' R
D' L' F B2 D' R L'
D' L' F B2 D2 L' R
D' L' F B2 D2 R L'
D' L' B F L' B R
D' L' B' F R B' L'
D' L' B2 R F L' R
D' L' B2 R F R L'
D' L' B2 R' F L' R
D' L' B2 R' F R L'
D' L' B2 R2 F L' R
D' L' B2 R2 F R L'
D' L' B2 F L' R D
D' L' B2 F L' R D'
