U L U2 F L U'
U' L2 U2 L' B' U
B2 U' L2 R' F' U'
B2 U' L2 R' F' U'
B2 U' R' L2 F' U'
B2 U' R' F' L2 U'
D' B2 U' R' F' U'
U L R U2 F L U'
U L R' U2 F L U'
U L R2 U2 F L U'
B2 L U' L R' F' U'
B2 L U' R' L F' U'
B2 L U' R' F' L U'
F L U2 L U' L' R
F L U2 L U' R L'
U L U2 D F L U'
U L U2 D' F L U'
U L U2 D2 F L U'
U L U2 F L U' D
U L U2 F L U' D'
U L U2 F L U' D2
U L U2 F L D U'
U L U2 F L D' U'
U L U2 F L D2 U'
U L U2 F D L U'
U L U2 F D' L U'
U L U2 F D2 L U'
U L U2 F' L F2 U'
U L U2 F2 L F' U'
U L D U2 F L U'
U L D' U2 F L U'
U L D2 U2 F L U'
U2 L B' U L' R' F'
U2 L B' U R' L' F'
U L B2 R' U2 F U'
F' L' U L2 U2 L U'
F' L' U' L' U2 L' U
B' L' U' L' U' B' R'
B2 L' U' L' R' F' U'
B2 L' U' R' L' F' U'
F' L' U' D' L' U' B2
F' L' U' D2 L' R2 U'
F' L' U' D2 R2 L' U'
F' L' D F2 U R U
F' L' D' U' L' U' B2
F' L' D2 U' L' R2 U'
F' L' D2 U' R2 L' U'
F' L' F2 U L2 R U
F' L' F2 U R L2 U
U L' B L2 B2 R' U
U L' B' L2 U2 L U'
U' L2 R U2 L' B U
U' L2 R U2 B L' U
U' L2 R' F2 R F U'
U' L2 R2 F2 R F' U'
D2 L2 U L' R2 B' U
D2 L2 U L' B' R2 U
D2 L2 U R2 L' B' U
D L2 U L' B' U F2
B2 L2 U' R' F' U' F
U' L2 U2 L' D B' U
U' L2 U2 L' D' B' U
U' L2 U2 L' D2 B' U
U' L2 U2 L' B' U D
U' L2 U2 L' B' U D'
U' L2 U2 L' B' U D2
U' L2 U2 L' B' D U
U' L2 U2 L' B' D' U
U' L2 U2 L' B' D2 U
U' L2 U2 D L' B' U
U' L2 U2 D' L' B' U
F L2 U2 L' U L R
F L2 U2 L' U R L
U' L2 U2 D2 L' B' U
U' L2 U2 B L' B' U
U' L2 U2 B' L' B' U
U' L2 U2 B2 L' B' U
U' L2 D U2 L' B' U
U' L2 D' U2 L' B' U
U' L2 D2 U2 L' B' U
L2 U L' B' R2 U F'
L2 U L' B' U' B U2
U' L2 F' R' F' R U'
U' L2 F2 R U2 B U
U' L2 F2 R' F' R2 U'
D' L2 B2 U L' B' U
U R L U2 F L U'
U' R L2 U2 L' B U
U' R L2 U2 B L' U
L' U' L' U2 L' B' U
U R' L U2 F L U'
U' R' L2 F2 R F U'
U' R' F L2 F2 R U'
L U2 L B' U' L' R'
L U2 L B' U' R' L'
U' R' F' L2 U2 L' U
U R2 L U2 F L U'
U' R2 L2 F2 R F' U'
L2 U2 B' L' U L R'
L2 U2 B' L' U R' L
D2 U L R2 U2 F U'
F' U L D' B2 R' U
D2 U L' R2 B' L2 U
D U L U2 F U' F
F U L U2 L U' R
U D L U2 F U' F
D' U L' B' L2 U F
D2 U L' B' L2 R2 U
D2 U L' B' R2 L2 U
F U L B2 R' U R2
D U L' B' L2 U F2
U D L' B' L2 U F2
D2 U R2 L U2 F U'
D2 U R2 L' B' L2 U
F U D L U R F2
F U D2 L R2 U R'
F U D2 R2 L U R'
B2 U' L R' F' L U'
U D' L' B' L2 U F
B2 U' L2 R' D F' U'
B2 U' L2 R' D' F' U'
B2 U' L2 R' D2 F' U'
B2 U' L2 R' F' U' D
B2 U' L2 R' F' U' D'
B2 U' L2 R' F' U' D2
B2 U' L2 R' F' D U'
B2 U' L2 R' F' D' U'
B2 U' L2 R' F' D2 U'
B2 U' L2 D R' F' U'
B2 U' L2 D' R' F' U'
B2 U' L2 D2 R' F' U'
B2 U' L2 F R' F' U'
B2 U' L2 F' R' F' U'
B2 U' L2 F2 R' F' U'
F U' L2 U2 L' U R
B2 U' R' L F' L U'
B2 U' R' L2 D F' U'
B2 U' R' L2 D' F' U'
B2 U' R' L2 D2 F' U'
B2 U' R' L2 F' U' D
B2 U' R' L2 F' U' D'
B2 U' R' L2 F' U' D2
B2 U' R' L2 F' D U'
B2 U' R' L2 F' D' U'
B2 U' R' L2 F' D2 U'
B2 U' R' D F' U' F'
B2 U' R' F L2 F2 U'
B2 U' R' F' L2 U' D
B2 U' R' F' L2 U' D'
B2 U' R' F' L2 U' D2
B2 U' R' F' L2 D U'
B2 U' R' F' L2 D' U'
B2 U' R' F' L2 D2 U'
B2 U' R' F' U' D F2
B2 U' R' F' D U' F2
B2 U' D R' F' U' F'
B2 U' F L2 R' F' U'
B2 U' F R' L2 F' U'
B2 U' F R' F' L2 U'
B2 U' F' L2 R' F' U'
B2 U' F' R' L2 F' U'
B2 U' F' R' F' L2 U'
B2 U' F2 L2 R' F' U'
B2 U' F2 R' L2 F' U'
B2 U' F2 R' F' L2 U'
U D2 L R2 U2 F U'
U D2 L' R2 B' L2 U
U D2 L' B' L2 R2 U
U D2 L' B' R2 L2 U
U D2 R2 L U2 F U'
U D2 R2 L' B' L2 U
U' F L2 U2 L' B' U
D2 F U L R2 U R'
D2 F U R2 L U R'
F U2 B2 R D F2 B2
F U2 B2 R D B2 F2
F' D L' U L2 U F2
F' D L' U2 F2 D' B2
B D L U2 F2 B' R'
B D L U2 B' R' F2
B D L U2 B' F2 R'
L F U2 L U' L' R
L F U2 L U' R L'
B D L' F U2 R F
D' F B2 U' R' U' R2
D' F B2 U2 R D B2
B2 D U' R' F' U' F'
F D U L U R F2
D2 F' L' U L2 R2 U
D2 F' L' U R2 L2 U
D2 F' L' U2 D' F2 B2
D2 F' L' U2 D' B2 F2
D2 F' L' D F2 B2 U2
D2 F' L' D B2 F2 U2
D2 F' L' D' U2 F2 B2
D2 F' L' D' U2 B2 F2
D' F' L' B2 U L2 U
D' F' L' B2 U2 D' B2
D' F' L' B2 D F2 U2
D' F' L' B2 D' U2 B2
U' F' L2 U2 L' B' U
D F' L' U L2 U F'
D F' L' U2 D' F' B2
D F' L' U2 D' B2 F'
D F' L' U2 F' D' B2
D F' L' D F2 U2 F
D F' L' D' U2 F' B2
D F' L' D' U2 B2 F'
B D F' L' F U2 F2
F' D' L' B2 U L2 U
F' D' L' B2 U2 D' B2
F' D' L' B2 D F2 U2
F' D' L' B2 D' U2 B2
L' F' D F2 U2 R F'
L' F' D' L' U2 F B2
L' F' D' L' U2 B2 F
D' F' B2 L' U' R' U'
U' F2 L2 U2 L' B' U
F' D' B2 L' U' R' U'
B D' B2 U2 B' R' B
F D' B2 U' R' U' R2
F' D2 L' U L2 R2 U
F D' B2 U2 R D B2
F' D2 L' U R2 L2 U
F' D2 L' U2 D' F2 B2
F' D2 L' U2 D' B2 F2
F' D2 L' D F2 B2 U2
F' D2 L' D B2 F2 U2
F' D2 L' D' U2 F2 B2
F' D2 L' D' U2 B2 F2
F D2 U L R2 U R'
F D2 U L R2 U R'
F D2 U R2 L U R'
B2 F R D F2 B2 L
B2 F R D B2 L F2
B2 F R D B2 F2 L
B2 F U' L2 R' U' R2
B2 F U' R' L2 U' R2
B2 F U2 R D F2 B2
B2 F U2 R D B2 F2
F' B D L' F U2 F
B' F' L' U' L' U' B'
F' B' L' U' L' U' B'
B2 F' L' U' L' R' U'
B2 F' L' U' R' L' U'
D' B2 L U' R' F' U'
B F' D L' F U2 F
D' B2 L' U' R' F' U'
U' B2 L2 R' F' B2 U'
U' B2 L2 R' B2 F' U'
D' B2 L2 U' R' F' U'
U' B2 R' L2 F' B2 U'
U' B2 R' L2 B2 F' U'
F' B2 L' U' L' R' U'
F' B2 L' U' R' L' U'
U' B2 R' F' L2 B2 U'
U' B2 R' F' B2 L2 U'
U' B2 R' B2 L2 F' U'
U' B2 R' B2 F' L2 U'
D' B2 U' R' D F' U'
D' B2 U' R' D' F' U'
D' B2 U' R' D2 F' U'
D' B2 U' R' F' U' D
D' B2 U' R' F' U' D'
D' B2 U' R' F' U' D2
D' B2 U' R' F' D U'
D' B2 U' R' F' D' U'
D' B2 U' R' F' D2 U'
D' B2 U' D R' F' U'
D' B2 U' D' R' F' U'
D' B2 U' D2 R' F' U'
D' B2 U' F R' F' U'
D' B2 U' F' R' F' U'
D' B2 U' F2 R' F' U'
F B2 R D F2 B2 L
F B2 R D B2 L F2
F B2 R D B2 F2 L
D B2 U' R' F' U' F'
D' B2 U2 B' D' R' B
D' B2 D U' R' F' U'
U B2 U2 L2 R' F' U'
D' B2 D' U' R' F' U'
U B2 U2 R' L2 F' U'
U B2 U2 R' F' L2 U'
D' B2 D2 U' R' F' U'
F B2 U' L2 R' U' R2
F B2 U' R' L2 U' R2
D' B2 F U' R' U' R2
D' B2 F U2 R D B2
F B2 U2 R D F2 B2
F B2 U2 R D B2 F2
D' B2 F' L' U' R' U'
