D2 F2 R B U B
L' R D R2 F' U' L2
U2 L F L2 B2 U' B
B2 L F L2 U' B' R'
U2 L F B2 L2 U' B'
U2 L B2 F L2 U' B'
B2 L' R D R2 F' U'
R' L' D F' R2 U' L2
L' R' D F' R2 U' L2
R L' D R2 F' U' L2
B2 L' R' D F' R2 U'
B2 L' R' D2 F' U' B2
B2 L' R' F' R2 U' B
B2 L' R' F' U F' U2
B2 L' U F' L' F' U2
B2 L' U' D2 B' R' B'
B2 L' U' B D2 B2 R'
B2 L' U' B' R' D2 B2
B2 L' U' B' D2 R' B2
R' L' F' R2 B2 U' B'
L' R' F' R2 B2 U' B'
R' L' F' B2 R2 U' B
R' L' F' B2 U F' U2
L' R' F' B2 R2 U' B
L' R' F' B2 U F' U2
B2 L' D R' F' R' U'
B2 L' D2 R' F' U' B2
B2 L' D2 U' B' R' B'
R' L' B2 D F' R2 U'
L' R' B2 D F' R2 U'
R' L' B2 D2 F' U' B2
L' R' B2 D2 F' U' B2
B2 L' F U F U2 R
R' L' B2 F' R2 U' B
R' L' B2 F' U F' U2
L' R' B2 F' R2 U' B
L' R' B2 F' U F' U2
B2 L' F' U F' L' U2
U2 L' B2 D R2 F' U'
B2 R L' D R2 F' U'
B2 R D L' R2 F' U'
B2 R D R2 L' F' U'
F2 R B U2 B U' B'
B2 R' L' D F' R2 U'
B2 R' L' D2 F' U' B2
B2 R' L' F' R2 U' B
B2 R' L' F' U F' U2
B2 R' D L' F' R2 U'
B2 R' D2 L' F' U' B2
B2 R2 D2 L' F U' B2
L' D R' F' R' U' L2
F U' D L2 B' R' F'
L' F U' D L2 B' R'
B2 D L' R' F' R' U'
L' F D U' L2 B' R'
B2 D R' L' F' R' U'
B2 D R2 D2 L' F U'
L' F B2 U F U2 R
L F B2 L2 U' B' R'
F D U' L2 B' R' F'
B2 D' L' U2 L' B' U
F2 D' R2 U R' B U
L' F' B2 U F' L' U2
D2 F2 L R B U B
D2 F2 L' R B U B
D2 F2 L2 R B U B
D2 F2 R L B U B
D2 F2 R L' B U B
D2 F2 R L2 B U B
D2 F2 R D L2 B U
D2 F2 R D B L2 U
D2 F2 R B L U B
D2 F2 R B L' U B
D2 F2 R B L2 U B
D2 F2 R B U D B
D2 F2 R B U D' B
D2 F2 R B U D2 B
D2 F2 R B U B D
D2 F2 R B U B D'
D2 F2 R B U B D2
D2 F2 R B D U B
D2 F2 R B D' U B
D2 F2 R B D2 U B
B2 D2 L' R' F' U' B2
D2 F2 D L2 R B U
D2 F2 D R L2 B U
B2 D2 L' U' B' R' B'
D2 F2 D R B L2 U
B2 D2 R' L' F' U' B2
D2 F2 B' R B U B2
D2 F2 B2 R B U B'
B2 F L2 U' B' R' F'
L' B' D2 B' U' B' R'
D2 B' F2 R B U B2
R' B2 L' D F' R2 U'
R' B2 L' D2 F' U' B2
U2 B2 L F L2 U' B'
R' B2 L' F' R2 U' B
R' B2 L' F' U F' U2
L' B2 R D R2 F' U'
L' B2 R' D F' R2 U'
L' B2 R' D2 F' U' B2
L' B2 R' F' R2 U' B
L' B2 R' F' U F' U2
L' B2 U F' L' F' U2
F B2 L2 U' B' R' F'
L' B2 U' D2 B' R' B'
L' B2 U' B D2 B2 R'
L' B2 U' B' R' D2 B2
L' B2 U' B' D2 R' B2
U' B2 D L' R2 F U'
U' B2 D L' F R2 U'
U' B2 D R2 L' F U'
R' B2 D L' F' R2 U'
L' B2 D R' F' R' U'
R' B2 D2 L' F' U' B2
L' B2 D2 R' F' U' B2
L' B2 D2 U' B' R' B'
R2 B2 D2 L' F U' B2
L' B2 F U F U2 R
L' B2 F' U F' L' U2
D2 B2 F2 R B U B'
L B2 F L2 U' B' R'
