D B U2 L R'
D B U2 R' L
D L B U2 L R'
D L B U2 R' L
D L' B U2 L R'
D L' B U2 R' L
D L2 B U2 L R'
D L2 B U2 R' L
B R U' F' U' L
B' R' B2 U B' U
D' R2 U2 F' L' R
D' R2 U2 F' R L'
L' D B U2 L R'
L' D B U2 R' L
L D B U2 L R'
L D B U2 R' L
L2 D B U2 L R'
L2 D B U2 R' L
U2 D' R2 F' L' R
U2 D' R2 F' R L'
D' U2 R2 F' L' R
D' U2 R2 F' R L'
D B L' U2 L2 R'
D B L' U2 R' L2
D B L2 U2 L' R'
D B L2 U2 R' L'
D B R U2 L R2
D B R U2 R2 L
D B R2 U2 L R
D B R2 U2 R L
D B U2 L R' D
D B U2 L R' D'
D B U2 L R' D2
D B U2 L D R'
D B U2 L D' R'
D B U2 L D2 R'
D B U2 R' L D
D B U2 R' L D'
D B U2 R' L D2
D B U2 R' D L
D B U2 R' D' L
D B U2 R' D2 L
D B U2 D L R'
D B U2 D R' L
D B U2 D' L R'
D B U2 D' R' L
D B U2 D2 L R'
D B U2 D2 R' L
D B D U2 L R'
D B D U2 R' L
D B D' U2 L R'
D B D' U2 R' L
D B D2 U2 L R'
D B D2 U2 R' L
D B' L R' B2 U2
D B' L B2 U2 L
D B' R' L B2 U2
D B' R' B2 U2 R'
B' L R' B2 U B' U
D' L R2 U2 F' L' R
D' L R2 U2 F' R L'
D' L U2 R2 F' L' R
D' L U2 R2 F' R L'
U2 L D' R2 F' L' R
U2 L D' R2 F' R L'
D' L D2 B U2 L R'
D' L D2 B U2 R' L
D L B L' U2 L2 R'
D L B L' U2 R' L2
D L B L2 U2 L' R'
D L B L2 U2 R' L'
D L B R U2 L R2
D L B R U2 R2 L
D L B R2 U2 L R
D L B R2 U2 R L
D2 L B U2 L D' R2
D2 L B U2 D' L R2
D2 L B U2 D' R2 L
D2 L B D L2 U2 L'
D2 L B D' U2 L R2
D2 L B D' U2 R2 L
D L B U2 L R' D
D L B U2 L R' D'
D L B U2 L R' D2
D L B U2 L D R'
D L B U2 L D' R'
D L B U2 L D2 R'
D L B U2 R' L D
D L B U2 R' L D'
D L B U2 R' L D2
D L B U2 R' D L
D L B U2 R' D' L
D L B U2 R' D2 L
D L B U2 D L R'
D L B U2 D R' L
D L B U2 D' L R'
D L B U2 D' R' L
D L B U2 D2 L R'
D L B U2 D2 R' L
D L B D U2 L R'
D L B D U2 R' L
D L B D' U2 L R'
D L B D' U2 R' L
D L B D2 U2 L R'
D L B D2 U2 R' L
D L B' L R' B2 U2
D L B' L B2 U2 L
D L B' R' L B2 U2
D L B' R' B2 U2 R'
B L' R U' F' U' L2
B L' R' U B U L2
B' L' R' B2 U B' U
D' L' R2 U2 F' L' R
D' L' R2 U2 F' R L'
D' L' U2 R2 F' L' R
D' L' U2 R2 F' R L'
U2 L' D' R2 F' L' R
U2 L' D' R2 F' R L'
D' L' D2 B U2 L R'
D' L' D2 B U2 R' L
D L' B L' U2 L2 R'
D L' B L' U2 R' L2
D L' B L2 U2 L' R'
D L' B L2 U2 R' L'
D2 L' B U' F U' L
D L' B R U2 L R2
D L' B R U2 R2 L
D L' B R2 U2 L R
D L' B R2 U2 R L
D L' B U2 L R' D
D L' B U2 L R' D'
D L' B U2 L R' D2
D L' B U2 L D R'
D L' B U2 L D' R'
D L' B U2 L D2 R'
D L' B U2 R' L D
D L' B U2 R' L D'
D L' B U2 R' L D2
D L' B U2 R' D L
D L' B U2 R' D' L
D L' B U2 R' D2 L
D L' B U2 D L R'
D L' B U2 D R' L
D L' B U2 D' L R'
D L' B U2 D' R' L
D L' B U2 D2 L R'
D L' B U2 D2 R' L
D L' B D U2 L R'
D L' B D U2 R' L
D L' B D' U2 L R'
D L' B D' U2 R' L
D L' B D2 U2 L R'
D L' B D2 U2 R' L
D L' B' L R' B2 U2
D L' B' L B2 U2 L
D L' B' R' L B2 U2
D L' B' R' B2 U2 R'
B L2 R' U B U L'
B' L2 R' B2 U B' U
D' L2 R2 U2 F' L' R
D' L2 R2 U2 F' R L'
D' L2 U2 R2 F' L' R
D' L2 U2 R2 F' R L'
U2 L2 D' R2 F' L' R
U2 L2 D' R2 F' R L'
D' L2 D2 B U2 L R'
D' L2 D2 B U2 R' L
D L2 B L' U2 L2 R'
D L2 B L' U2 R' L2
D L2 B L2 U2 L' R'
D L2 B L2 U2 R' L'
D L2 B R U2 L R2
D L2 B R U2 R2 L
D L2 B R2 U2 L R
D L2 B R2 U2 R L
D L2 B U2 L R' D
D L2 B U2 L R' D'
D L2 B U2 L R' D2
D L2 B U2 L D R'
D L2 B U2 L D' R'
D L2 B U2 L D2 R'
D L2 B U2 R' L D
D L2 B U2 R' L D'
D L2 B U2 R' L D2
D L2 B U2 R' D L
D L2 B U2 R' D' L
D L2 B U2 R' D2 L
D L2 B U2 D L R'
D L2 B U2 D R' L
D L2 B U2 D' L R'
D L2 B U2 D' R' L
D L2 B U2 D2 L R'
D L2 B U2 D2 R' L
D L2 B D U2 L R'
D L2 B D U2 R' L
D L2 B D' U2 L R'
D L2 B D' U2 R' L
D L2 B D2 U2 L R'
D L2 B D2 U2 R' L
D L2 B' L R' B2 U2
D L2 B' L B2 U2 L
D L2 B' R' L B2 U2
D L2 B' R' B2 U2 R'
B R L' U' F' U' L2
B R U' D F' U' L
B R U' D' F' U' L
B R U' D2 F' U' L
B R U' F' U' L D
B R U' F' U' L D'
B R U' F' U' L D2
B R U' F' U' D L
B R U' F' U' D' L
B R U' F' U' D2 L
B R U' F' D U' L
B R U' F' D' U' L
B R U' F' D2 U' L
D' R U2 R F' L' R
D' R U2 R F' R L'
B R U2 L U F' U'
D' R U2 F' L' R F'
D' R U2 F' R L' F'
B R D U' F' U' L
B R D' U' F' U' L
B R D2 U' F' U' L
R2 U' L' B' U' F' R'
D R B' L R' B U2
D R B' R' L B U2
B2 R B' U' F' U' L
B' R B2 R2 U B U
B' R' L B2 U B' U
B R' L' U B U L2
B' R' L' B2 U B' U
B R' L2 U B U L'
B' R' L2 B2 U B' U
B' R' U D' B R2 U
B' R' U D2 B U F2
B' R' U B R2 U F'
B' R' U B U' B U2
B R' U2 L U' B U
R2 U' B' U' F' L' R'
R2 U' B' U' F' R' L'
B' R' D' U B R2 U
B' R' D2 U B U F2
R2 U2 L F' L' D R2
R2 U2 L F' D L' R2
R2 U2 L F' D R2 L'
R2 U2 L2 D F' L' R
R2 U2 L2 D F' R L'
U R' F' B R' U F'
D R' B U2 L R' F
D R' B U2 L F R'
D R' B U2 R' L F
D' R' B' R' U2 F' R
D R' B' L R' U2 F'
B' R' B' D L2 U2 F
B' R' B' D B' L2 U2
B' R' B' D' B' U2 R2
B2 R' B' U2 L D' R2
B2 R' B' U2 D' L R2
B2 R' B' U2 D' R2 L
B2 R' B' D L2 U2 L'
