U' L' B2 U' F B
U' L' B2 U' B F
U' B2 L' U' F B'
U' B2 L' U' B' F
U' L U' D L2 F B'
U' L U' D L2 B' F
U' L D U' L2 F B'
U' L D U' L2 B' F
D2 L F2 U R F' B
D2 L F2 U R B F'
U' L B2 U F B U2
U' L B2 U B F U2
U' L' R B2 U' F B
U' L' R B2 U' B F
U' L' R' B2 U' F B
U' L' R' B2 U' B F
U' L' R2 B2 U' F B
U' L' R2 B2 U' B F
U' L' U' D F B' L2
U' L' U' D B' F L2
U' L' U' F D B' L2
U' L' D U' F B' L2
U' L' D U' B' F L2
U2 L' F U R B2 U'
U2 L' F U B2 R U'
U' L' B2 U' D F B
U' L' B2 U' D B F
U' L' B2 U' D' F B
U' L' B2 U' D' B F
U' L' B2 U' D2 F B
U' L' B2 U' D2 B F
U' L' B2 U' F D B
U' L' B2 U' F D' B
U' L' B2 U' F D2 B
U' L' B2 U' F B D
U' L' B2 U' F B D'
U' L' B2 U' F B D2
U' L' B2 U' B D F
U' L' B2 U' B D' F
U' L' B2 U' B D2 F
U' L' B2 U' B F D
U' L' B2 U' B F D'
U' L' B2 U' B F D2
U' L' B2 D U' F B
U' L' B2 D U' B F
U' L' B2 D' U' F B
U' L' B2 D' U' B F
U' L' B2 D2 U' F B
U' L' B2 D2 U' B F
U' L2 B2 L U' F B'
U' L2 B2 L U' B' F
U' R L' B2 U' F B
U' R L' B2 U' B F
R' U' L' B2 U' F B
R' U' L' B2 U' B F
R2 U' L' B2 U' F B
R2 U' L' B2 U' B F
R U' L' B2 U' F B
R U' L' B2 U' B F
U' R B2 L' U' F B'
U' R B2 L' U' B' F
U' R' L' B2 U' F B
U' R' L' B2 U' B F
R' U' B2 L' U' F B'
R' U' B2 L' U' B' F
R2 U' B2 L' U' F B'
R2 U' B2 L' U' B' F
R U' B2 L' U' F B'
R U' B2 L' U' B' F
D2 R' B U L F2 U
D2 R' B U F2 L U
U' R' B2 L' U' F B'
U' R' B2 L' U' B' F
U' R2 L' B2 U' F B
U' R2 L' B2 U' B F
D' R2 B U L R' U
D' R2 B U R' L U
D' R2 B' U' L R' U'
D' R2 B' U' R' L U'
U' R2 B2 L' U' F B'
U' R2 B2 L' U' B' F
D2 U R F2 U F B
D2 U R F2 U B F
D U F' R U L2 B
D U F' R U B L2
D2 U F2 R U F' B
D2 U F2 R U B F'
U D F' R U L2 B
U D F' R U B L2
F' U' L' B2 U' F B
F' U' L' B2 U' B F
F2 U' L' B2 U' F B
F2 U' L' B2 U' B F
F U' L' B2 U' F B
F U' L' B2 U' B F
B' U' R' D' B' L U'
B' U' R' B' L' U' F
B' U' D' R' B' L U'
F' U' B2 L' U' F B'
F' U' B2 L' U' B' F
F2 U' B2 L' U' F B'
F2 U' B2 L' U' B' F
U D2 R F2 U F B
U D2 R F2 U B F
F U' B2 L' U' F B'
F U' B2 L' U' B' F
U D2 F2 R U F' B
U D2 F2 R U B F'
D F U' L' U' B' L'
D F' U R U L2 B
D F' U R U B L2
B' D' U' R' B' L U'
D2 B L F2 U R F'
U' B L' B U' F B2
U' B L' B U' B2 F
D' B R2 U L R U
D' B R2 U R L U
L' B' R' B' U' R' F
L' B' R' B' U' F R'
D' B' R2 U' L R U'
D' B' R2 U' R L U'
U' B2 L U F B' U2
U' B2 L U B' F U2
U' B2 L' R U' F B'
U' B2 L' R U' B' F
U' B2 L' R' U' F B'
U' B2 L' R' U' B' F
U' B2 L' R2 U' F B'
U' B2 L' R2 U' B' F
U' B2 L' U' D F B'
U' B2 L' U' D B' F
U' B2 L' U' D' F B'
U' B2 L' U' D' B' F
U' B2 L' U' D2 F B'
U' B2 L' U' D2 B' F
U' B2 L' U' F D B'
U' B2 L' U' F D' B'
U' B2 L' U' F D2 B'
U' B2 L' U' F B' D
U' B2 L' U' F B' D'
U' B2 L' U' F B' D2
U' B2 L' U' B' D F
U' B2 L' U' B' D' F
U' B2 L' U' B' D2 F
U' B2 L' U' B' F D
U' B2 L' U' B' F D'
U' B2 L' U' B' F D2
U' B2 L' D U' F B'
U' B2 L' D U' B' F
U' B2 L' D' U' F B'
U' B2 L' D' U' B' F
U' B2 L' D2 U' F B'
U' B2 L' D2 U' B' F
U' B2 R L' U' F B'
U' B2 R L' U' B' F
U' B2 R' L' U' F B'
U' B2 R' L' U' B' F
U' B2 R2 L' U' F B'
U' B2 R2 L' U' B' F
L' B2 U' D' R' F B
L' B2 U' D' R' B F
L' B2 U' D' F R' B
L' B2 U' F D' R' B
L' B2 D' U' R' F B
L' B2 D' U' R' B F
L' B2 D' U' F R' B
