U' L B U F L'
U' L R' U F L' R
U' L R' U F R L'
U2 L F B R U L'
U' L F' B U F2 L'
U' L B R U F L'
U' L B R' U F L'
U' L B R2 U F L'
U2 L B U L F L'
D' L B U2 L B2 U'
U' L B U F L' D
U' L B U F L' D'
U' L B U F L' D2
U' L B U F D L'
U' L B U F D' L'
U' L B U F D2 L'
F L B U2 L U' L
U2 L B F R U L'
U' L B F' U F2 L'
F L B' R' B2 U L2
U' L2 B L' U F L'
U' R' L U F L' R
U' R' L U F R L'
F U' L B U F L2
L D' B U2 L B' U'
R D2 L B' R' U L
F2 U2 L B U L F
U' F L B U F L2
U2 F L B R U L2
L F B U L' D F2
L F B U2 L U' L2
L F B' R' B2 U L'
L B U F L' D F2
L B U2 D' L B' U'
L B D' U2 L B' U'
L B F U L' D F2
L B F U2 L U' L2
L B' R' F B2 U L'
L B' R' B2 F U L'
L B' F R' B2 U L'
