D L2 R' F' R' B'
D L2 B' R' F' R'
D R' L2 F' R' B'
R' D L2 F' R2 B'
R' D L2 F' B' R2
R' D L2 B' F' R2
R D L2 R2 F' B'
R D L2 R2 B' F'
R D R2 L2 F' B'
R D R2 L2 B' F'
D L R' F' L R' B'
D L R' F' R' L B'
L2 R D R2 F' B' L2
L2 R D R2 B' L2 F'
L2 R D R2 B' F' L2
D L U2 L R2 F B'
D L U2 L R2 B' F
D L U2 L F R2 B'
D L U2 L F B' R2
D L U2 L B' R2 F
D L U2 L B' F R2
D L U2 R2 L F B'
D L U2 R2 L B' F
L2 R' D F' R2 B' L2
L2 R' D F' B' L2 R2
L2 R' D F' B' R2 L2
L2 R' D B' L2 F' R2
L2 R' D B' F' L2 R2
L2 R' D B' F' R2 L2
D L' R2 D2 L' F B'
D L' R2 D2 L' B' F
L2 R' F2 B2 U' F B
L2 R' F2 B2 U' B F
L2 R' B2 F2 U' F B
L2 R' B2 F2 U' B F
R' L2 D F' R2 B' L2
R' L2 D F' B' L2 R2
R' L2 D F' B' R2 L2
R' L2 D B' L2 F' R2
R' L2 D B' F' L2 R2
R' L2 D B' F' R2 L2
R L2 D R2 F' B' L2
R L2 D R2 B' L2 F'
R L2 D R2 B' F' L2
D' L2 R B R U2 B2
D L2 R B' R D2 F2
D L2 R B' D2 R F2
D L2 R' D F' R' B'
D L2 R' D' F' R' B'
D L2 R' D2 F' R' B'
D L2 R' F R' F2 B'
D L2 R' F R' B' F2
B2 L2 R' F2 U' F B'
B2 L2 R' F2 U' B' F
D L2 R' F' R B' R2
D L2 R' F' R' D B'
D L2 R' F' R' D' B'
D L2 R' F' R' D2 B'
D L2 R' F' R' B' D
D L2 R' F' R' B' D'
D L2 R' F' R' B' D2
D L2 R' F' R2 B' R
D L2 R' F' D R' B'
D L2 R' F' D' R' B'
D L2 R' F' D2 R' B'
D L2 R' F2 R' F B'
D L2 R' F2 R' B' F
D L2 R' B' D2 F' R
D L2 R2 B' R F' R'
R' L2 F2 B2 U' F B
R' L2 F2 B2 U' B F
R' L2 B2 F2 U' F B
R' L2 B2 F2 U' B F
D L2 F R' F' R' B'
D L2 F B' R' F' R'
D L2 F' R' F' R' B'
D L2 F' B' R' F' R'
B2 L2 F2 R' U' F' B'
B2 L2 F2 R' U' B' F'
D L2 F2 R' F' R' B'
D L2 F2 B' R' F' R'
D L2 B R' F' R' B2
R' U D L2 F' R2 B'
R' U D L2 F' B' R2
R' U D L2 B' F' R2
D L2 B' R' D F' R'
D L2 B' R' D' F' R'
D L2 B' R' D2 F' R'
D L2 B' R' F R' F2
D L2 B' R' F' R' D
D L2 B' R' F' R' D'
D L2 B' R' F' R' D2
D L2 B' R' F' D R'
D L2 B' R' F' D' R'
D L2 B' R' F' D2 R'
D L2 B' R' F2 R' F
D L2 B' F R' F' R'
D L2 B' F' R' F' R'
R U D L2 R2 F' B'
R U D L2 R2 B' F'
D L2 B' F2 R' F' R'
R U D R2 L2 F' B'
R U D R2 L2 B' F'
D' R L2 B R U2 B2
D R L2 B' R D2 F2
D R L2 B' D2 R F2
D2 R D' L2 R2 F' B'
D2 R D' L2 R2 B' F'
D2 R D' R2 L2 F' B'
D2 R D' R2 L2 B' F'
B2 R F2 R2 U' F' B
B2 R F2 R2 U' B F'
B2 R F2 U F' B U2
B2 R F2 U B F' U2
D' R B L2 R U2 B'
D' R B R L2 U2 B'
D' R B R F L2 U2
D R B U2 L2 R B'
D R B U2 L2 B' R
D R B U2 R L2 B'
F R B U' F B U'
F R B U' B F U'
R' U' D L2 F' R2 B'
R' U' D L2 F' B' R2
R' U' D L2 B' F' R2
R U' D L2 R2 F' B'
R U' D L2 R2 B' F'
D R B2 L2 R F B'
D R B2 L2 R B' F
D R B2 L2 B' R F
R U' D R2 L2 F' B'
R U' D R2 L2 B' F'
D R B2 R L2 F B'
D R B2 R L2 B' F
D R' L F' L R' B'
D R' L F' R' L B'
D R' L2 D F' R' B'
B2 R' L2 F2 U' F B'
B2 R' L2 F2 U' B' F
D R' L2 D' F' R' B'
D R' L2 D2 F' R' B'
D R' L2 F R' F2 B'
D R' L2 F R' B' F2
D R' L2 F' R B' R2
D R' L2 F' R' D B'
D R' L2 F' R' D' B'
D R' L2 F' R' D2 B'
D R' L2 F' R' B' D
D R' L2 F' R' B' D'
D R' L2 F' R' B' D2
D R' L2 F' R2 B' R
D R' L2 F' D R' B'
D R' L2 F' D' R' B'
D R' L2 F' D2 R' B'
D R' L2 F2 R' F B'
D R' L2 F2 R' B' F
D R' L2 B' D2 F' R
D R' U L2 F' R' B'
D R' U' L2 F' R' B'
F R' U' F B2 U' F2
D R' U2 L2 F' R' B'
F R' U' B2 F U' F2
F R' U2 F' D L2 R2
F R' U2 F' D R2 L2
D2 R' D' L2 F' R2 B'
D2 R' D' L2 F' B' R2
D2 R' D' L2 B' F' R2
D' R' F L2 R' U2 F2
D' R' F R' L2 U2 F2
D R' F U2 L2 R' F2
D R' F U2 L2 F2 R'
D R' F U2 R' L2 F2
D R' F U2 R' F2 L2
D R' F U2 F2 L2 R'
D R' F U2 F2 R' L2
D' R' F' D2 B2 L R2
D R' F' L2 R' D2 B2
D' R' F' D2 B2 R2 L
D R' F' L2 D2 R' B2
D R' F' R' L2 D2 B2
D R' F' D2 R' B2 L
F R' F' D L2 R2 B'
F R' F' D L2 B' R2
F R' F' D R2 L2 B'
B2 R' F2 R2 U' F B
B2 R' F2 R2 U' B F
B2 R' F2 U F' U2 F2
B2 R' F2 U' F D2 B2
D R' B L2 F' B' R'
D R' B L2 B' F' R'
R' U2 D L2 F' R2 B'
R' U2 D L2 F' B' R2
R' U2 D L2 B' F' R2
R U2 D L2 R2 F' B'
R U2 D L2 R2 B' F'
R U2 D R2 L2 F' B'
R U2 D R2 L2 B' F'
D R2 L' D2 L' F B'
D R2 L' D2 L' B' F
D R2 L2 B' R F' R'
R' D L F' L R2 B'
R' D L F' L B' R2
R' D L F' R2 L B'
R D L R2 F' L B'
R' D L2 R2 B' D2 F2
R' D L2 F R2 F2 B'
R' D L2 F R2 B' F2
R' D L2 F B' R2 F2
R' D L2 F' R B' R
R' D L2 F' R2 D B'
R' D L2 F' R2 D' B'
R' D L2 F' R2 D2 B'
R' D L2 F' R2 B' D
R' D L2 F' R2 B' D'
R' D L2 F' R2 B' D2
R' D L2 F' B R2 B2
R' D L2 F' B' R2 D
R' D L2 F' B' R2 D'
R' D L2 F' B' R2 D2
R' D L2 F2 R2 F B'
R' D L2 F2 R2 B' F
R' D L2 F2 B' R2 F
R' D L2 B F' R2 B2
R' D L2 B' F R2 F2
R' D L2 B' F' R2 D
R' D L2 B' F' R2 D'
R' D L2 B' F' R2 D2
R' D L2 B' F2 R2 F
R D L2 R B' R F'
R D L2 R2 D F' B'
R D L2 R2 D B' F'
R D L2 R2 D' F' B'
R D L2 R2 D' B' F'
R D L2 R2 D2 F' B'
R D L2 R2 D2 B' F'
R D L2 R2 F' D B'
R D L2 R2 F' D' B'
R D L2 R2 F' D2 B'
R D L2 R2 F' B' D
R D L2 R2 F' B' D'
R D L2 R2 F' B' D2
R D L2 R2 B' D F'
R D L2 R2 B' D' F'
R D L2 R2 B' D2 F'
R D L2 R2 B' F' D
R D L2 R2 B' F' D'
R D L2 R2 B' F' D2
R D L2 F R2 F' B'
R D L2 F R2 B' F'
R D L2 F' R2 F' B'
R D L2 F' R2 B' F'
R D L2 F2 R2 F' B'
R D L2 F2 R2 B' F'
R D L2 B' R2 D2 F2
R D R L2 B' R F'
R' D R2 L2 B' D2 F2
L2 D R' F' R' B' L2
R' D R2 B2 L2 F B'
R' D R2 B2 L2 B' F
R' D U L2 F' R2 B'
R' D U L2 F' B' R2
R' D U L2 B' F' R2
R D R2 L F' L B'
R D R2 L2 D F' B'
R D R2 L2 D B' F'
R D R2 L2 D' F' B'
R D R2 L2 D' B' F'
R D R2 L2 D2 F' B'
R D R2 L2 D2 B' F'
R D R2 L2 F' D B'
R D R2 L2 F' D' B'
R D R2 L2 F' D2 B'
R D R2 L2 F' B' D
R D R2 L2 F' B' D'
R D R2 L2 F' B' D2
R D R2 L2 B' D F'
R D R2 L2 B' D' F'
R D R2 L2 B' D2 F'
R D R2 L2 B' F' D
R D R2 L2 B' F' D'
R D R2 L2 B' F' D2
R' D U' L2 F' R2 B'
R' D U' L2 F' B' R2
R' D U' L2 B' F' R2
R D R2 F' L2 D2 B2
F2 R2 B2 R U' F' B'
F2 R2 B2 R U' B' F'
R D R2 B L2 F' B'
R D R2 B L2 B' F'
R D R2 B' L2 F' B'
R D R2 B' L2 B' F'
R D R2 B2 L2 F' B'
R D R2 B2 L2 B' F'
R D U L2 R2 F' B'
R D U L2 R2 B' F'
R' D U2 L2 F' R2 B'
R' D U2 L2 F' B' R2
R' D U2 L2 B' F' R2
R D U R2 L2 F' B'
R D U R2 L2 B' F'
U2 D L R2 F L B'
R D U' L2 R2 F' B'
R D U' L2 R2 B' F'
U2 D L F L R2 B'
R D U' R2 L2 F' B'
R D U' R2 L2 B' F'
U2 D L F L B' R2
U2 D L F R2 L B'
R' D F U2 L2 R2 F2
R' D F U2 L2 F2 R2
R' D F U2 R2 L2 F2
R' D F U2 R2 F2 L2
R' D F U2 F2 L2 R2
R' D F U2 F2 R2 L2
R D U2 L2 R2 F' B'
R D U2 L2 R2 B' F'
R D U2 R2 L2 F' B'
R D U2 R2 L2 B' F'
R' D F' L2 R2 D2 B2
R' D F' R2 L2 D2 B2
R D F R2 F' L2 B'
R D F U2 L2 R2 F'
R D F U2 R2 L2 F'
R D F U2 R2 F' L2
R' D F2 R2 F L2 B
R' D F2 R2 F B L2
R' D F2 R2 B F L2
R D F B U2 L2 R2
R D F B U2 R2 L2
R' D B L2 F' R2 B'
R' D B L2 F' B' R2
R' D B L2 B' F' R2
R D F2 L2 R2 F' B
R D F2 L2 R2 B F'
R D F2 R2 L2 F' B
R D F2 R2 L2 B F'
R D F2 R2 F' L2 B
R D F2 R2 F' B L2
R D F2 R2 B L2 F'
R D F2 R2 B F' L2
R' D B' L2 F' R2 B'
R' D B' L2 F' B' R2
R' D B' L2 B' F' R2
U2 D R2 L F L B'
R D B L2 B' R2 F'
L2 D B' L2 R' F' R'
L2 D B' R' L2 F' R'
L2 D B' R' F' L2 R'
L2 D B' R' F' R' L2
R' D B2 L2 F' R2 B'
R' D B2 L2 F' B' R2
R' D B2 L2 B' F' R2
R D B U2 L2 R2 B'
R D B U2 L2 B' R2
R D B U2 R2 L2 B'
R D B F U2 L2 R2
R D B F U2 R2 L2
R D B2 L2 R2 F B'
R D B2 L2 R2 B' F
R D B2 L2 F R2 B'
R D B2 L2 F B' R2
R D B2 L2 B' R2 F
R D B2 L2 B' F R2
R D B2 R2 L2 F B'
R D B2 R2 L2 B' F
R' D' L2 R2 B U2 B2
F2 U F' U' L' B2 U'
F2 U F' U' B2 L' U'
R D' L2 R2 U2 F' B'
R D' L2 R2 U2 B' F'
R D' L2 B R2 U2 B2
R' D' R2 L2 B U2 B2
R' D' R2 F L2 B U2
R' D' R2 F B L2 U2
R' D' R2 B L2 U2 B'
R' D' R2 B F L2 U2
R D' R2 L2 U2 F' B'
R D' R2 L2 U2 B' F'
R D' R2 F L2 U2 F2
R' D' F L2 R2 U2 F2
R' D' F R2 L2 U2 F2
R' D' F' D2 L2 R2 B2
R' D' F' D2 L2 B2 R2
R' D' F' D2 R2 L2 B2
R' D' F' D2 R2 B2 L2
R' D' F' D2 B2 L2 R2
R' D' F' D2 B2 R2 L2
R D' F L2 R2 U2 F'
R D' F L2 B R2 U2
R D' F R2 L2 U2 F'
R D' F B L2 R2 U2
R D' F B R2 L2 U2
R D' B L2 R2 U2 B'
R D' B R2 L2 U2 B'
R D' B R2 F L2 U2
R D' B F L2 R2 U2
R D' B F R2 L2 U2
D U2 L R2 F L B'
F U' F B L B U'
D U2 L F L R2 B'
D U2 L F L B' R2
D U2 L F R2 L B'
F U' B F L B U'
D U2 R2 L F L B'
F U' B2 D2 F L' U'
D F L U2 L R2 F
D F L U2 L F R2
D F L U2 R2 L F
D' F L2 R B R U2
D' F R L2 B R U2
D' F R B L2 R U2
D' F R B R L2 U2
D F R B U2 L2 R
D F R B U2 R L2
D F R' U2 L2 F' R'
D F R' U2 F' L2 R'
D F R' U2 F' R' L2
D F R' F' L2 R' B'
D F R' F' R' L2 B'
D2 F U F R B2 U
D2 F U F B2 R U
D2 F U B2 F R U
R' F U' F B2 U' F
R' F U' B2 F U' F
D F U2 L R2 F L
D F U2 L F L R2
D F U2 L F R2 L
D F U2 R2 L F L
R F B U' F B U'
R F B U' B F U'
D F2 L2 R' F' R' B
D F2 R' L2 F' R' B
L2 F2 R' B2 U' F' B
L2 F2 R' B2 U' B F'
R' F2 R2 B2 U' F B'
R' F2 R2 B2 U' B' F
D F2 R' F' L2 R' B
D F2 R' F' R' L2 B
D F2 R' F' R' B L2
R F2 R2 B2 U' F' B'
R F2 R2 B2 U' B' F'
R' F2 B2 R2 U' F B
R' F2 B2 R2 U' B F
R' F2 B2 U F' U2 F2
R' F2 B2 U' F D2 B2
R F2 B2 U F' B' U2
R F2 B2 U B' F' U2
D B L2 R' F' R' B'
D B L2 B' R' F' R'
D B R' L2 F' R' B'
R B F U' F B U'
R B F U' B F U'
B F U' F B L U'
B F U' B F L U'
F B U' F B L U'
F B U' B F L U'
D B' L2 R' F' R' B'
D B' L2 B' R' F' R'
D B' R' L2 F' R' B'
R' B2 L2 F2 U' F B'
R' B2 L2 F2 U' B' F
D B2 L2 R' F' R' B'
D B2 L2 B' R' F' R'
R B2 L2 F2 U' F' B'
R B2 L2 F2 U' B' F'
D B2 R' L2 F' R' B'
B2 F2 U F' U' L' U'
F2 B2 U F' U' L' U'
R' B2 F2 R2 U' F B
R' B2 F2 R2 U' B F
