R2 B U L B R
B L D' F2 B' R' B2
B L D' B' R' F2 B2
B L D' B' R' B2 F2
B L D' B' F2 R' B2
U' L F R2 U R B2
U' L F R2 U B2 R
R2 L B U L B R
R2 L' B U L B R
B L' B L2 D' F2 R
L' R2 B U L B R
L2 R2 B U L B R
R2 L2 B U L B R
L R2 B U L B R
R2 U R U B U' B
R2 U R B' D B' L2
R2 U R B2 U B' U'
R' U B U' B L F
R2 U B' R B' D L2
R2 U B2 R U B U'
R' U' L R' F U B2
R' U' L F R' U B2
R' U' R' L F U B2
R' U' R' U B L B
U2 R' U' R' F' U B2
U R' U' F' R' U B2
U R' F' R' U R B2
U R' F' R' U B2 R
U2 R' F' B2 L' D F2
U2 R' B2 F' L' D F2
U' R2 U R B L B
U' R2 U B L B R
R2 D L2 B U L R
R2 D L2 B U R L
D' R2 B U' L R F2
D' R2 B U' R L F2
D' R2 B U' R F2 L
F' R2 B U L B R
U' R2 B U B L R
U' R2 B U B R L
F2 R2 B U L B R
F R2 B U L B R
R2 D B L2 U L' R
R2 D B L2 U R L'
U2 F R2 U B2 L R
U2 F R2 U B2 R L
U2 F' R' B2 L' D F2
U2 F' R2 U L' R B2
U2 F' R2 U L' B2 R
U2 F' R2 U R L' B2
U2 F' R2 U R B2 L'
U2 F' R2 U B2 L' R
U2 F' R2 U B2 R L'
B D' L F2 B' R' B2
B D' L B' R' F2 B2
B D' L B' R' B2 F2
B D' L B' F2 R' B2
B D' L' B L2 F2 R
B D' F2 L B' R' B2
D' F2 D R' B L B
R' B L B U L U'
R2 B L' U L2 B R
R2 B L' U B L2 R
R2 B L' U B R L2
R' B L2 B L' D F2
R2 B L2 U L' B R
R2 B L2 U B L' R
R2 B L2 U B R L'
R2 B U L D B R
R2 B U L D' B R
R2 B U L D2 B R
R2 B U L B R D
R2 B U L B R D'
R2 B U L B R D2
R2 B U L B D R
R2 B U L B D' R
R2 B U L B D2 R
R2 B U L B' R B2
R2 B U L B2 R B'
R2 B U L' B L2 R
R2 B U L' B R L2
R2 B U L2 B L' R
R2 B U L2 B R L'
R2 B U R D2 L B'
R2 B U D L B R
R2 B U D' L B R
R2 B U D2 L B R
R2 B D U L B R
R2 B D' U L B R
R2 B D2 U L B R
R2 B' U R D2 B' L2
R2 B' U R B' D2 L2
R2 B' U B2 L B R
R2 B' U' R' U2 R2 B'
R2 B' U' R' U2 B' R2
R' B2 U L B' U' L
R' B2 U D L B' U'
R' B2 U B' U' L F
R' B2 D U L B' U'
R' B2 D2 F L' D F2
