B2 L F U D R2
B2 L F U2 F2 U'
B2 L F D U R2
B2 L F D2 B2 U
F R' F2 L' B' U'
L' U2 F' R' B' U'
L F U2 R' F2 U'
L F U2 F2 R' U'
L F D2 B2 L U
U2 F' R B R2 U'
U2 F' R' U2 F' U
F D2 B2 L F U
F' L R' U2 R F U
B2 L R2 F B R2 U
B2 L R2 B R2 F U
B2 L R2 B F R2 U
B2 L U2 F' U' D' L2
B2 L U2 F' U2 F2 U
B2 L U2 F' D' U' L2
B2 L U2 F' D2 B2 U'
B2 L D F U D R2
B2 L D F U2 F2 U'
B2 L D F D U R2
B2 L D F D2 B2 U
B2 L D' F U D R2
B2 L D' F U2 F2 U'
B2 L D' F D U R2
B2 L D' F D2 B2 U
B2 L D2 F U D R2
B2 L D2 F U2 F2 U'
B2 L D2 F D U R2
B2 L D2 F D2 B2 U
F L D2 F B2 L U
F L D2 B2 F L U
B2 L F U R D R2
B2 L F U R' D R2
B2 L F U R2 D R2
D2 L F U2 R' F2 U'
B2 L F U D R2 D
B2 L F U D R2 D'
B2 L F U D R2 D2
D' L F U2 R' F2 U'
D2 L F U2 F2 R' U'
D' L F U2 F2 R' U'
F' L F U2 F' R' U'
B2 L F U' D' L2 U2
D L F U2 R' F2 U'
D L F U2 F2 R' U'
B2 L F U2 F2 U' D
B2 L F U2 F2 U' D'
B2 L F U2 F2 U' D2
B2 L F U2 F2 D U'
B2 L F U2 F2 D' U'
B2 L F U2 F2 D2 U'
F L F U2 R' F U'
B2 L F D U R2 D
B2 L F D U R2 D'
B2 L F D U R2 D2
F L F U2 F R' U'
B2 L F D B U R2
D2 L F D2 B2 L U
B2 L F D B' U R2
B2 L F D B2 U R2
D' L F D2 B2 L U
B2 L F D' U' L2 U2
D L F D2 B2 L U
B2 L F D2 B2 U D
B2 L F D2 B2 U D'
B2 L F D2 B2 U D2
B2 L F D2 B2 D U
B2 L F D2 B2 D' U
B2 L F D2 B2 D2 U
B2 L F B U D R2
B2 L F B U2 F2 U'
B2 L F B D U R2
B2 L F B D2 B2 U
B2 L F B' U D R2
B2 L F B' U2 F2 U'
F2 L F B2 L B' U
B2 L F B' D U R2
B2 L F B' D2 B2 U
B2 L F B2 U D R2
B2 L F B2 U2 F2 U'
B2 L F B2 D U R2
B2 L F B2 D2 B2 U
B2 L B F U D R2
B2 L B F U2 F2 U'
B2 L B F D U R2
B2 L B F D2 B2 U
B2 L B' F U D R2
B2 L B' F U2 F2 U'
B2 L B' F D U R2
B2 L B' F D2 B2 U
F2 L B2 F L B' U
B2 L B2 F U D R2
B2 L B2 F U2 F2 U'
B2 L B2 F D U R2
B2 L B2 F D2 B2 U
F' L' R' B' U2 R U
F L' R' F2 B' L' U'
F L' R' B' F2 L' U'
F2 L' U2 R' F' B' U'
F2 L' U2 R' B' F' U'
D2 L' U2 F' R' B' U'
F L' U2 R' F2 B' U'
F L' U2 R' B' F2 U'
D' L' U2 F' R' B' U'
D L' U2 F' R' B' U'
F L' U2 F2 R' B' U'
B2 L' F2 L2 F B' U
B2 L' F2 L2 B' F U
L' U F' R' B' U' F
U2 R B R' F' R' U'
F' R' L U2 R F U
F' R' L' B' U2 R U
F R' L' F2 B' L' U'
F R' L' B' F2 L' U'
F' R' U2 R U2 B U'
F' R' U2 R' F' R2 U
U2 R' U2 D' F' U R
U2 R' D' U2 F' U R
R' U2 R U2 F' B U'
R' U2 R U2 B F' U'
