U' L' U2 F' L'
U F2 R F L'
U L D2 F' L' R2
U L D2 F' R2 L'
U L F' D2 L' R2
U L F' D2 R2 L'
U' L' R2 B U2 L
U' L' U2 L F' L'
U' L' U2 L' F' L'
U' L' U2 L2 F' L'
U' L' U2 D F' L'
U' L' U2 D' F' L'
U' L' U2 D2 F' L'
U' L' U2 F' L' D
U' L' U2 F' L' D'
U' L' U2 F' L' D2
U' L' U2 F' D L'
U' L' U2 F' D' L'
U' L' U2 F' D2 L'
U' L' D U2 F' L'
U' L' D' U2 F' L'
U' L' D2 U2 F' L'
U' L' B U2 L F'
U' L' B U2 F' L
U L2 F' L' D2 R2
F' R' F' U R F
F2 R' F' U R2 F2
F2 R' F' U F2 R2
U' R2 L' B U2 L
U' R2 B L' U2 L2
U' D L' U2 F' L'
F2 U R F' L' F2
D2 U F2 R F L'
D' U F2 R F L'
D U F2 R F L'
U D F2 R F L'
B2 U F2 R F L'
B' U F2 R F L'
B U F2 R F L'
U' D' L' U2 F' L'
D2 U' L' U2 F' L'
D' U' L' U2 F' L'
D U' L' U2 F' L'
B2 U' L' U2 F' L'
B' U' L' U2 F' L'
B U' L' U2 F' L'
U D' F2 R F L'
U' D2 L' U2 F' L'
U D2 F2 R F L'
R' F' R U F' R
U F' L' F' R F
R' F' U R F' R
R' F' U F' R F'
U F2 R F L' D
U F2 R F L' D'
U F2 R F L' D2
U F2 R F D L'
U F2 R F D' L'
U F2 R F D2 L'
U F2 R' F L' R2
U F2 R' F R2 L'
U F2 R2 F L' R'
U F2 R2 F R' L'
U' B L' U2 L2 F'
U' B L' U2 F' L2
U L R2 D2 R2 F' L'
U' L R2 B L2 U2 L'
U L U2 L2 U2 F' L'
U' L U2 D2 F' L' R2
U' L U2 D2 F' R2 L'
U' L U2 F' D2 L' R2
U' L U2 F' D2 R2 L'
U L D' F' L' D' R2
U L D' F' D' L' R2
U L D' F' D' R2 L'
U L D2 L F' L' R2
U L D2 L F' R2 L'
U L D2 L' F' L' R2
U L D2 L' F' R2 L'
U L D2 L2 F' L' R2
U L D2 L2 F' R2 L'
U' L D2 U2 F' L' R2
U' L D2 U2 F' R2 L'
U L D2 F' L' R2 D
U L D2 F' L' R2 D'
U L D2 F' L' R2 D2
U L D2 F' R2 L' D
U L D2 F' R2 L' D'
U L D2 F' R2 L' D2
U L D2 F' R2 D L'
U L D2 F' R2 D' L'
U L D2 F' R2 D2 L'
U L D2 F2 R2 F L'
U L F L' F2 L' R
U L F L' F2 R L'
U L F' L' U2 L' U2
U L F' L' F2 R F2
U L F' R D2 L' R2
U L F' R D2 R2 L'
U L F' R' D2 L' R2
U L F' R' D2 R2 L'
U L F' R2 D2 L' R2
U L F' R2 D2 R2 L'
U L F' U2 L2 U2 L
U L F' D L' D R2
U L F' D' L' D' R2
U L F' D2 L' R2 D
U L F' D2 L' R2 D'
U L F' D2 L' R2 D2
U L F' D2 R2 L' D
U L F' D2 R2 L' D'
U L F' D2 R2 L' D2
U L F' D2 R2 D L'
U L F' D2 R2 D' L'
U L F' D2 R2 D2 L'
U' L B L2 U2 L' F'
U' L' R B U2 L F
U' L' R B' R' U2 F'
U' L' R' B' R' B U2
U' L' R2 D B U2 L
U' L' R2 D' B U2 L
U' L' R2 D2 B U2 L
U' L' R2 B R U2 L
U' L' R2 B R' U2 L
U' L' R2 B R2 U2 L
U' L' R2 B U2 L D
U' L' R2 B U2 L D'
U' L' R2 B U2 L D2
U' L' R2 B U2 D L
U' L' R2 B U2 D' L
U' L' R2 B U2 D2 L
U' L' R2 B D U2 L
U' L' R2 B D' U2 L
U' L' R2 B D2 U2 L
U' L' R2 B' R' B2 U2
U' L' U' L' B' U' F'
U' L' U' B U' F' L'
U' L' U' B' U' F' L'
U2 L' U' B' U' F' B
U2 L' U' B' U' B F'
U' L' U' B2 U' F' L'
U' L' U2 L D F' L'
U' L' U2 L D' F' L'
U' L' U2 L D2 F' L'
U' L' U2 L F' L' D
U' L' U2 L F' L' D'
U' L' U2 L F' L' D2
U' L' U2 L F' D L'
U' L' U2 L F' D' L'
U' L' U2 L F' D2 L'
U' L' U2 L' D F' L'
U' L' U2 L' D' F' L'
U' L' U2 L' D2 F' L'
U' L' U2 L' F' L' D
U' L' U2 L' F' L' D'
U' L' U2 L' F' L' D2
U' L' U2 L' F' D L'
U' L' U2 L' F' D' L'
U' L' U2 L' F' D2 L'
U' L' U2 L2 D F' L'
U' L' U2 L2 D' F' L'
U' L' U2 L2 D2 F' L'
U' L' U2 L2 F' L' D
U' L' U2 L2 F' L' D'
U' L' U2 L2 F' L' D2
U' L' U2 L2 F' D L'
U' L' U2 L2 F' D' L'
U' L' U2 L2 F' D2 L'
U' L' U2 D L F' L'
U' L' U2 D L' F' L'
U' L' U2 D L2 F' L'
U' L' U2 D F' L' D
U' L' U2 D F' L' D'
U' L' U2 D F' L' D2
U' L' U2 D F' D L'
U' L' U2 D F' D' L'
U' L' U2 D F' D2 L'
U' L' U2 D' L F' L'
U' L' U2 D' L' F' L'
U' L' U2 D' L2 F' L'
U' L' U2 D' F' L' D
U' L' U2 D' F' L' D'
U' L' U2 D' F' L' D2
U' L' U2 D' F' D L'
U' L' U2 D' F' D' L'
U' L' U2 D' F' D2 L'
U' L' U2 D2 L F' L'
U' L' U2 D2 L' F' L'
U' L' U2 D2 L2 F' L'
U' L' U2 D2 F' L' D
U' L' U2 D2 F' L' D'
U' L' U2 D2 F' L' D2
U' L' U2 D2 F' D L'
U' L' U2 D2 F' D' L'
U' L' U2 D2 F' D2 L'
U' L' U2 F L F2 L'
U' L' U2 F L' F2 L'
U' L' U2 F L2 F2 L'
U' L' U2 F' L2 D L
U' L' U2 F' L2 D' L
U' L' U2 F' L2 D2 L
U' L' U2 F' D L' D
U' L' U2 F' D L' D'
U' L' U2 F' D L' D2
U' L' U2 F' D' L' D
U' L' U2 F' D' L' D'
U' L' U2 F' D' L' D2
U' L' U2 F' D2 L' D
U' L' U2 F' D2 L' D'
U' L' U2 F' D2 L' D2
U' L' U2 F' B' L' B
U' L' U2 F' B2 L' B2
U' L' U2 B' F' L' B
U' L' U2 B2 F' L' B2
U' L' D R2 B U2 L
U' L' D U2 L F' L'
U' L' D U2 L' F' L'
U' L' D U2 L2 F' L'
U' L' D U2 F' L' D
U' L' D U2 F' L' D'
U' L' D U2 F' L' D2
U' L' D U2 F' D L'
U' L' D U2 F' D' L'
U' L' D U2 F' D2 L'
U' L' D B U2 L F'
U' L' D B U2 F' L
