D L2 F' R' U' L'
F' R' U B2 U2 L'
F' R' U' L' D2 F2
F' R' U' D2 L' F2
F' R' D L2 U' L
F' R' D2 U' L' F2
F' D L2 R' U' L
F' D R' L2 U' L
D F' L2 R' U' L
D F' R' L2 U' L
F' D2 R' U' L' F2
F' L R' U B2 U2 L2
F' L R' U' L2 D2 F2
F' L R' B' U' L2 F
F' L D' R' B2 L U'
D L F' L R' U' L2
D L F' R' L U' L2
F' L' R' D L2 U' L2
F' L' D L2 R' U' L2
F' L' D R' L2 U' L2
F' L2 R' U B2 R' U2
F' L2 R' U' L D2 F2
F' L2 R' U' D2 L F2
F' L2 R' U' D2 F2 L
F' L2 R' D L2 U' L'
F' L2 R' D2 U' L F2
F' L2 R' D2 U' F2 L
F' L2 D L2 R' U' L'
F' L2 D R' L2 U' L'
D L2 D F' R' U' L'
D L2 D' F' R' U' L'
F' L2 D2 R' U' L F2
F' L2 D2 R' U' F2 L
D L2 D2 F' R' U' L'
D L2 F' R' U' L' D
D L2 F' R' U' L' D'
D L2 F' R' U' L' D2
D L2 F' R' U' D L'
D L2 F' R' U' D' L'
D L2 F' R' U' D2 L'
D L2 F' R' D U' L'
D L2 F' R' D' U' L'
D L2 F' R' D2 U' L'
D L2 F' R' B U' L'
D L2 F' R' B' U' L'
D L2 F' R' B2 U' L'
D L2 F' D R' U' L'
D L2 F' D' R' U' L'
D L2 F' D2 R' U' L'
D L2 F' B U' L' B'
D L2 F2 R' F U' L'
D L2 B F' U' L' B'
B2 R U L F U R
F' R D L2 U' L B2
F' R B R2 U' L' F'
F' R' L U B2 U2 L2
F' R' L U' L2 D2 F2
F R B2 U' R2 F2 U'
F R B2 U' F2 R2 U'
F R B2 U2 D R2 B2
F R B2 U2 D B2 R2
F R B2 D U2 R2 B2
F R B2 D U2 B2 R2
F R B2 D' L2 F2 U2
F R B2 D' F2 L2 U2
F' R' L B' U' L2 F
F' R' L' D L2 U' L2
F' R' L2 U B2 R' U2
F' R' L2 U' L D2 F2
F' R' L2 U' D2 L F2
F' R' L2 U' D2 F2 L
F' R' L2 D L2 U' L'
F' R' L2 D2 U' L F2
F' R' L2 D2 U' F2 L
F' R' U R B2 U2 L'
F' R' U R' B2 U2 L'
F' R' U R2 B2 U2 L'
F' R' U B2 R U2 L'
F' R' U B2 R' U2 L'
F' R' U B2 R2 U2 L'
F' R' U B2 U2 L' D
F' R' U B2 U2 L' D'
F' R' U B2 U2 L' D2
F' R' U B2 U2 D L'
F' R' U B2 U2 D' L'
F' R' U B2 U2 D2 L'
F' R' U B2 D U2 L'
F' R' U B2 D' U2 L'
F' R' U B2 D2 U2 L'
F' R' U' L' U2 B2 U2
F' R' U' L' D2 F2 D
F' R' U' L' D2 F2 D'
F' R' U' L' D2 F2 D2
F' R' U' L' F D2 F2
F' R' U' L' F' D2 F2
F' R' U' L' F2 D2 F2
F' R' U' L2 D2 L F2
F' R' U' L2 D2 F2 L
F' R' U' D' L' D' F2
F' R' U' D2 L F2 L2
F' R' U' D2 L' F2 D
F' R' U' D2 L' F2 D'
F' R' U' D2 L' F2 D2
F' R' U' D2 L2 F2 L
F' R' U' F2 D2 F2 L'
D' R' U2 R' B U L
F' R' U2 D' R2 U L'
F' R' D L2 U' L D
F' R' D L2 U' L D'
F' R' D L2 U' L D2
F' R' D L2 U' D L
F' R' D L2 U' D' L
F' R' D L2 U' D2 L
F' R' D L2 D U' L
F' R' D L2 D' U' L
F' R' D L2 D2 U' L
F' R' D B L2 U' L
F' R' D B' L2 U' L
F' R' D B2 L2 U' L
F R' D L2 B2 U' R2
F' R' D' U' L' D' F2
F' R' D' U2 R2 U L'
F R' D B2 L2 U' R2
F' R' D2 L U' L2 F2
F' R' D2 L U' F2 L2
F' R' D2 L2 U' L F2
F' R' D2 L2 U' F2 L
F' R' D2 U' L F2 L2
F' R' D2 U' L' F2 D
F' R' D2 U' L' F2 D'
F' R' D2 U' L' F2 D2
F' R' D2 U' L2 F2 L
F' R' D2 B U' L' F2
F' R' D2 B' U' L' F2
F' R' D2 B2 U' L' F2
F2 R' F U B2 U2 L'
F2 R' F U' L' D2 F2
F2 R' F U' D2 L' F2
F2 R' F D L2 U' L
F2 R' F D2 U' L' F2
F R' F2 U R2 B2 U2
F R' F2 U B2 R2 U2
F R' F2 U' D2 L2 F2
F R' F2 U' D2 F2 L2
F' R' B U B U2 L'
F R' F2 D L2 B2 U'
F R' F2 D B2 L2 U'
F R' F2 D2 U' L2 F2
F R' F2 D2 U' F2 L2
F' R' B' L2 U' F L
F' R' B' U B' U2 L'
F' R' B' U' L2 F L
B2 R2 U L F B U
B2 R2 U L B F U
F' R2 D L2 R U' L
F' R2 D R L2 U' L
F' R2 D2 R U' L' F2
L' D L2 F' R' U' L'
L2 D L2 F' R' U' L'
D' R2 F' B U L' B'
L D L2 F' R' U' L'
D' R2 B F' U L' B'
B2 U L F U D R2
B2 U L F U2 F2 U'
B2 U L F D U R2
B2 U L F D2 B2 U
L' D F' L2 R' U' L
L' D F' R' L2 U' L
L2 D F' L2 R' U' L
L2 D F' R' L2 U' L
L D F' L2 R' U' L
L D F' R' L2 U' L
F' U B2 U L U L2
F' U B2 U2 L' D' B2
B2 U' F' U2 L F U
D F L2 F2 R' U' L'
F' D L2 R' U' L D
F' D L2 R' U' L D'
F' D L2 R' U' L D2
F' D L2 R' U' D L
F' D L2 R' U' D' L
F' D L2 R' U' D2 L
F' D L2 R' D U' L
F' D L2 R' D' U' L
F' D L2 R' D2 U' L
F' D L2 D R' U' L
F' D L2 D' R' U' L
F' D L2 D2 R' U' L
F' D R' L2 U' L D
F' D R' L2 U' L D'
F' D R' L2 U' L D2
F' D R' L2 U' D L
F' D R' L2 U' D' L
F' D R' L2 U' D2 L
F' D R' L2 D U' L
F' D R' L2 D' U' L
F' D R' L2 D2 U' L
F' D R' U' D L' F2
F' D R' D U' L' F2
F' D R' B L2 U' L
F2 D R' F L2 B U'
F' D R' B' L2 U' L
F2 D R' F B L2 U'
F' D R' B2 L2 U' L
F2 D R' B F L2 U'
F2 D F L2 R' B U'
F2 D F R' L2 B U'
F2 D F R' B L2 U'
D F' L2 R' U' L D
D F' L2 R' U' L D'
D F' L2 R' U' L D2
D F' L2 R' U' D L
D F' L2 R' U' D' L
D F' L2 R' U' D2 L
D F' L2 R' D U' L
D F' L2 R' D' U' L
D F' L2 R' D2 U' L
U' F' R B R2 U' F'
D F' L2 D R' U' L
D F' L2 D' R' U' L
D F' L2 D2 R' U' L
D2 F' R' U' D2 L' F
D' F' R' U2 R' U L'
L' F' R' U B2 U2 L'
L' F' R' U' L' D2 F2
L' F' R' U' D2 L' F2
D2 F' R' D2 U' L' F
L' F' R' D L2 U' L
L' F' R' D2 U' L' F2
D' F' R' B2 L U' L2
L2 F' R' U B2 U2 L'
L2 F' R' U' L' D2 F2
L2 F' R' U' D2 L' F2
L2 F' R' D L2 U' L
L2 F' R' D2 U' L' F2
D F' R' L2 U' L D
D F' R' L2 U' L D'
D F' R' L2 U' L D2
D F' R' L2 U' D L
D F' R' L2 U' D' L
D F' R' L2 U' D2 L
D F' R' L2 D U' L
D F' R' L2 D' U' L
D F' R' L2 D2 U' L
D F' R' U' D L' F2
D F' R' D U' L' F2
D F' R' B L2 U' L
L F' R' U B2 U2 L'
L F' R' U' L' D2 F2
L F' R' U' D2 L' F2
D F' R' B' L2 U' L
D F' R' B2 L2 U' L
L F' R' D L2 U' L
L F' R' D2 U' L' F2
L' F' D L2 R' U' L
L' F' D R' L2 U' L
L2 F' D L2 R' U' L
L2 F' D R' L2 U' L
D' F' D' R' U' L' F2
D F' D R' U' L' F2
L F' D L2 R' U' L
D' F' D2 L2 R' U' L
L F' D R' L2 U' L
D' F' D2 R' L2 U' L
L' F' D2 R' U' L' F2
F' D' R' U2 R' U L'
L2 F' D2 R' U' L' F2
D2 F' B U' L' F' B'
D2 F' B U' L' B' F'
F' D' R' B2 L U' L2
L F' D2 R' U' L' F2
