L D F U2 L' F'
U2 L R' D F' R U2
B2 L R' D' L2 B' L
U2 L U F' L' F U
R' L D F U2 L' F'
R2 L D F U2 L' F'
L R D F U2 L' F'
R L D F U2 L' F'
U2 L U2 D' L' B' L
U2 L D R' F' R U2
D2 L D F U2 L' F'
D' L D F U2 L' F'
U2 L D F U2 L' B'
U2 L D F' R U2 B
D L D F U2 L' F'
B' L D' L2 B' L R'
B' L D' L2 B' R' L
B2 L D' L2 R' B' L
B2 L D' R' L2 B' L
U2 L D' U2 L' B' L
F2 L F U F2 U F'
F L F U F' U F'
F2 L F U2 D' F L2
F2 L F D R2 U2 F
F2 L F D' U2 F L2
L R' D F U2 L' F'
F L' U D2 F' R2 B'
F L' U D2 F' B' R2
F L' U D2 B' F' R2
F L' U F' D2 R2 B'
F L' U F' D2 B' R2
F L' U F' B' D2 R2
F L' U B' D2 F' R2
F L' U B' F' D2 R2
F L' U' L2 F U2 F2
F L' D' B2 U F' B
F L' D' B2 U B F'
F L' D2 U F' R2 B'
F L' D2 U F' B' R2
F L' D2 U B' F' R2
L R2 D F U2 L' F'
F L2 U' L' F U2 F2
B2 L2 D2 R' B D L2
L' U B U' L B2 R'
L2 U B' U L' F U2
B2 R' L D' L2 B' L
U2 R' L D F' R U2
B2 R' U' F U2 R U'
B2 R' U' F' L' F2 U
L2 U2 L' D F U2 L'
U2 R' F' L U F2 U
U2 R' F' L U2 D' L2
U2 R' F' L D R2 U2
U2 R' F' L D' U2 L2
U2 R' F' D L R2 U2
U2 R' F' D R2 L U2
U2 R' F' D' L U2 L
L D L2 D2 R2 B' L
L D L2 D2 B' L R2
L D L2 D2 B' R2 L
L D R F U2 L' F'
L D R' F U2 L' F'
L D R2 F U2 L' F'
L D F R2 B U2 L'
L D F U2 L F' L2
L D F U2 L' D F'
L D F U2 L' D' F'
L D F U2 L' D2 F'
L D F U2 L' F' D
L D F U2 L' F' D'
L D F U2 L' F' D2
L D F U2 L2 F' L
L D F U2 D L' F'
L D F U2 D' L' F'
L D F U2 D2 L' F'
L D F D U2 L' F'
L D F D' U2 L' F'
L D F D2 U2 L' F'
L D F B U2 L' F'
L D F B' U2 L' F'
L D F B2 U2 L' F'
L D F' R F2 U2 F'
L D B F U2 L' F'
L D B' F U2 L' F'
L D B2 F U2 L' F'
L D' L2 B' D2 L R2
L D' L2 B' D2 R2 L
F U F' B2 D' R' B
F U B2 D' F' R' B
F U B2 F' D' R' B
L D' F R2 B R' U2
L D' F B' U2 L F'
L D' F B' U2 F' L
L D' F B2 U2 F' L'
L D' B R' F U2 F'
L D' B' F U2 L F'
L D' B' F U2 F' L
L D' B2 F U2 F' L'
B2 U' F U R' D B2
B2 U' F U2 R U' R2
B' U' F' L' F2 B' U
B' U' F' L' B' F2 U
B2 U' F' L' F2 U R'
U' F L U2 R U' R'
U' F U R' D B2 R'
U' F U B2 R' D B2
U' F U' L U' R U'
L F R2 D' B R' U2
U F U L U2 L' B'
U' F U2 R U L U2
U F U' L F U2 F'
L F U' L B' U' F'
L F U' L2 U' F' L'
L F U2 L' F' D' L2
L F U2 D F L' F2
L F U2 F2 D F L'
L F D U2 F L' F2
L F D' R2 B R' U2
L F D' B' U2 L F'
L F D' B' U2 F' L
L F D' B2 U2 F' L'
U' F B2 U R' D B2
U' F B2 U2 R U' R2
U' F' L' D' B2 U L2
U' F' L' F2 U D2 R2
U' F' L' F2 U' L2 U2
U' F' L' F2 D' B2 U
U' F' L' F2 D2 U R2
U' F' L2 F2 L U R
U' F' B2 L' F2 U R'
U2 F2 L U F' L' U
B2 F L' U F' R' B'
L B D F U2 L' F'
U B' R' U2 F U R
L B' D F U2 L' F'
F B2 L' U F' R' B'
L B2 D F U2 L' F'
U' B2 F U R' D B2
U' B2 F U2 R U' R2
U' B2 F' L' F2 U R'
