D L R F L' U2
L' R U' F U' B'
L R F U B' U
R L F U B' U
R L' U' F U' B'
D R L F L' U2
D' R U2 R B R'
R U B L B' U
D R F L' U2 B'
D R F' U2 R B
R U2 R D' B R'
R U2 D' R B R'
R D L F L' U2
R D F L' U2 B'
R D F' U2 R B
R D' U2 R B R'
D F' U2 R B L
D' L R D2 F L' U2
D2 L R F U' F2 U'
D2 L R F U2 D R2
D2 L R F D U2 R2
D2 L R F D' L2 U2
D L R F L' U2 D
D L R F L' U2 D'
D L R F L' U2 D2
D L R F L' D U2
D L R F L' D' U2
D L R F L' D2 U2
D L R F D L' U2
D L R F D' L' U2
D L R F D2 L' U2
L R U B' L2 U B'
L R U B' U' F U2
L' R U' R F U' B'
R L U B' L2 U B'
L' R U' R' F U' B'
R L U B' U' F U2
L' R U' R2 F U' B'
L' R U' D F U' B'
L' R U' D' F U' B'
D L R' F L' R2 U2
D L R' F R2 L' U2
L' R U' D2 F U' B'
L' R U' F R U' B'
L' R U' F R' U' B'
L' R U' F R2 U' B'
L' R U' F U' D B'
L' R U' F U' D' B'
L' R U' F U' D2 B'
L' R U' F U' B' D
L' R U' F U' B' D'
L' R U' F U' B' D2
L' R U' F D U' B'
L' R U' F D' U' B'
L' R U' F D2 U' B'
D L R2 F L' R' U2
D L R2 F R' L' U2
L' R U2 B' U F U'
L' R D U' F U' B'
F2 L U B' U L2 B'
L R D F U B' U
R L D F U B' U
L' R D' U' F U' B'
L R D' F U B' U
R L D' F U B' U
L' R D2 U' F U' B'
L R D2 F U B' U
R L D2 F U B' U
L R F L2 U' F U'
R' L F R2 U B' U
R2 L F R' U B' U
R L F L2 U' F U'
L R F U D B' U
L R F U D' B' U
L R F U D2 B' U
L R F U B' U D
L R F U B' U D'
L R F U B' U D2
L R F U B' D U
L R F U B' D' U
L R F U B' D2 U
R L F U D B' U
R L F U D' B' U
R L F U D2 B' U
R L F U B' U D
R L F U B' U D'
R L F U B' U D2
R L F U B' D U
R L F U B' D' U
R L F U B' D2 U
D2 L D' R F L' U2
L R F D U B' U
L R F D' U B' U
R L F D U B' U
L R F D2 U B' U
R L F D' U B' U
R L F D2 U B' U
L' R F' U' F2 U' B'
L' R F' U2 D R2 B'
L' R F' U2 D B' R2
L' R F' U2 B' D R2
L' R F' D U2 R2 B'
L' R F' D U2 B' R2
L' R F' D' L2 F U2
D' L D2 R F L' U2
L' R F2 U' F' U' B'
F' L F R U B' U
F2 L F U B' U L2
F L F U B' U L'
R L' U' R F U' B'
R L' U' R' F U' B'
R L' U' R2 F U' B'
R L' U' D F U' B'
R L' U' D' F U' B'
R L' U' D2 F U' B'
R L' U' F R U' B'
R L' U' F R' U' B'
R L' U' F R2 U' B'
R L' U' F U' D B'
R L' U' F U' D' B'
R L' U' F U' D2 B'
R L' U' F U' B' D
R L' U' F U' B' D'
R L' U' F U' B' D2
R L' U' F D U' B'
R L' U' F D' U' B'
R L' U' F D2 U' B'
D2 L' R U' F' U' B'
D' L' R U2 B R' B2
R L' U2 B' U F U'
D L' R F' U2 R B'
D L' R F' U2 B' R
D L' R F2 U2 B' R'
R L' D U' F U' B'
R L' D' U' F U' B'
R L' D2 U' F U' B'
L R' F R2 U B' U
F L' U' F U' B' L'
R L' F' U' F2 U' B'
R L' F' U2 D R2 B'
R L' F' U2 D B' R2
R L' F' U2 B' D R2
R L' F' D U2 R2 B'
R L' F' D U2 B' R2
R L' F' D' L2 F U2
R L' F2 U' F' U' B'
F2 L' F' D B' R2 F'
F2 L' F' B' D R2 F'
D L' F2 U2 B' L' R'
D L' F2 U2 B' R' L'
