U2 R F U B
U2 L' R U B L
U2 R L' U B L
U2 R D F U B
U2 R D' F U B
U2 R D2 F U B
U2 R F L U B
U2 R F L' U B
U2 R F L2 U B
U2 R F U D B
U2 R F U D' B
U2 R F U D2 B
U2 R F U B D
U2 R F U B D'
U2 R F U B D2
U2 R F D U B
U2 R F D' U B
U2 R F D2 U B
U2 R2 F R' U B
U2 D R F U B
U2 D' R F U B
D2 U2 R F U B
U2 D2 R F U B
D' U2 R F U B
D U2 R F U B
B2 U2 R F U B
B' U2 R F U B
B U2 R F U B
U2 L D2 R F' U B
R2 L' U2 R' F' U B'
U2 L' R U L B L
U2 L' R U L' B L
U2 L' R U L2 B L
U2 L' R U D B L
U2 L' R U D' B L
U2 L' R U D2 B L
U2 L' R U B L D
U2 L' R U B L D'
U2 L' R U B L D2
U2 L' R U B D L
U2 L' R U B D' L
U2 L' R U B D2 L
U2 L' R D U B L
U2 L' R D' U B L
U2 L' R D2 U B L
U2 L' R F U B L
U2 L' R F' U B L
U2 L' R F2 U B L
F2 L' R2 F2 B U' B2
F2 L' R2 B F2 U' B2
U2 L' D R U B L
U2 L' D' R U B L
U2 L' D2 R U B L
F2 L' F2 U2 F U B'
L' R2 U2 R' F' U B'
U2 L2 R U B D L2
U2 L2 R U2 B' U' B2
L2 R2 B2 L B U' B2
R2 L2 B2 L B U' B2
U2 R L' U L B L
U2 R L' U L' B L
U2 R L' U L2 B L
U2 R L' U D B L
U2 R L' U D' B L
U2 R L' U D2 B L
U2 R L' U B L D
U2 R L' U B L D'
U2 R L' U B L D2
U2 R L' U B D L
U2 R L' U B D' L
U2 R L' U B D2 L
U2 R L' D U B L
U2 R L' D' U B L
U2 R L' D2 U B L
U2 R L' F U B L
U2 R L' F' U B L
U2 R L' F2 U B L
U2 R L2 U B D L2
U2 R L2 U2 B' U' B2
U2 R U L2 B D L2
U2 R U B U' F U
U2 R D L' U B L
U2 R D F L U B
U2 R D F L' U B
U2 R D F L2 U B
U2 R D F U D B
U2 R D F U D' B
U2 R D F U D2 B
U2 R D F U B D
U2 R D F U B D'
U2 R D F U B D2
U2 R D F D U B
U2 R D F D' U B
U2 R D F D2 U B
U2 R D' L' U B L
U2 R D' F L U B
U2 R D' F L' U B
U2 R D' F L2 U B
U2 R D' F U D B
U2 R D' F U D' B
U2 R D' F U D2 B
U2 R D' F U B D
U2 R D' F U B D'
U2 R D' F U B D2
U2 R D' F D U B
U2 R D' F D' U B
U2 R D' F D2 U B
U2 R D2 L' U B L
U2 R D2 F L U B
U2 R D2 F L' U B
U2 R D2 F L2 U B
U2 R D2 F U D B
U2 R D2 F U D' B
U2 R D2 F U D2 B
U2 R D2 F U B D
U2 R D2 F U B D'
U2 R D2 F U B D2
U2 R D2 F D U B
U2 R D2 F D' U B
U2 R D2 F D2 U B
U2 R F L U D B
U2 R F L U D' B
U2 R F L U D2 B
U2 R F L U B D
U2 R F L U B D'
U2 R F L U B D2
U2 R F L D U B
U2 R F L D' U B
U2 R F L D2 U B
U2 R F L' U D B
U2 R F L' U D' B
U2 R F L' U D2 B
U2 R F L' U B D
U2 R F L' U B D'
U2 R F L' U B D2
U2 R F L' D U B
U2 R F L' D' U B
U2 R F L' D2 U B
U2 R F L2 U D B
U2 R F L2 U D' B
U2 R F L2 U D2 B
U2 R F L2 U B D
U2 R F L2 U B D'
U2 R F L2 U B D2
U2 R F L2 D U B
U2 R F L2 D' U B
U2 R F L2 D2 U B
U' R F U R' D B2
U' R F U2 R U' R2
U2 R F U L B L'
U2 R F U L2 B L2
U2 R F U D B D
U2 R F U D B D'
U2 R F U D B D2
U2 R F U D' B D
U2 R F U D' B D'
U2 R F U D' B D2
U2 R F U D2 B D
U2 R F U D2 B D'
U2 R F U D2 B D2
U2 R F U B2 D B'
U2 R F U B2 D' B'
U2 R F U B2 D2 B'
U2 R F U' F U2 B
U2 R F U' F' U2 B
U2 R F U' F2 U2 B
U2 R F D L U B
U2 R F D L' U B
U2 R F D L2 U B
U2 R F D U B D
U2 R F D U B D'
U2 R F D U B D2
U2 R F D' L U B
U2 R F D' L' U B
U2 R F D' L2 U B
U2 R F D' U B D
U2 R F D' U B D'
U2 R F D' U B D2
U2 R F D2 L U B
U2 R F D2 L' U B
U2 R F D2 L2 U B
U2 R F D2 U B D
U2 R F D2 U B D'
U2 R F D2 U B D2
U' R F' L' F2 U R'
U2 R F' L F2 U B
U2 R F' L' F2 U B
U2 R F' L2 F2 U B
U2 R F' U D' L2 B
U2 R F' U D' B L2
U2 R F' U B D' L2
U2 R F' D' U L2 B
U2 R F' D' U B L2
U2 R F2 L F' U B
U2 R F2 L' F' U B
U2 R F2 L2 F' U B
U2 R F2 D F' U B
U2 R F2 D' F' U B
U2 R F2 D2 F' U B
U2 R' F R2 U D2 B2
U2 R' F R2 U' F2 U2
U2 R' F R2 D' L2 U
U2 R' F R2 D2 U B2
U2 R' F D' L2 U F2
L' U2 R U B' D L2
L' U2 R U2 B U' B2
L' U2 R' F' R2 U B'
R2 U2 R' F U D2 B2
R2 U2 R' F U' F2 U2
R2 U2 R' F D' L2 U
R2 U2 R' F D2 U B2
R' U2 R2 D' F L' U
F2 R2 L' F2 B U' B2
F2 R2 L' B F2 U' B2
R2 U2 F R' U' F' U2
U2 R2 D' R' F L' U
U2 R2 D' F L' R' U
U2 R2 D' F R' L' U
U2 R2 F L R' U B
U2 R2 F L' R' U B
U2 R2 F L2 R' U B
U2 R2 F R' L U B
U2 R2 F R' L' U B
U2 R2 F R' L2 U B
U2 R2 F R' U D B
U2 R2 F R' U D' B
U2 R2 F R' U D2 B
U2 R2 F R' U B D
U2 R2 F R' U B D'
U2 R2 F R' U B D2
U2 R2 F R' D U B
U2 R2 F R' D' U B
U2 R2 F R' D2 U B
U2 R2 F' R' F2 U B
F2 R2 B L' F2 U' B'
U2 D L' R U B L
U2 D R L' U B L
U2 D R D F U B
U2 D R D' F U B
U2 D R D2 F U B
U2 D R F L U B
U2 D R F L' U B
U2 D R F L2 U B
U2 D R F U D B
U2 D R F U D' B
U2 D R F U D2 B
U2 D R F U B D
U2 D R F U B D'
U2 D R F U B D2
U2 D R F D U B
U2 D R F D' U B
U2 D R F D2 U B
U2 D R2 F R' U B
U2 D' L' R U B L
U2 D' R L' U B L
U2 D' R D F U B
U2 D' R D' F U B
U2 D' R D2 F U B
U2 D' R F L U B
U2 D' R F L' U B
U2 D' R F L2 U B
U2 D' R F U D B
U2 D' R F U D' B
U2 D' R F U D2 B
U2 D' R F U B D
U2 D' R F U B D'
U2 D' R F U B D2
U2 D' R F D U B
U2 D' R F D' U B
U2 D' R F D2 U B
U2 D' R2 F R' U B
L2 D' B' U2 L R U
L2 D' B' U2 R L U
D' U2 L' R U B L
D2 U2 L' R U B L
U2 D2 L' R U B L
D U2 L' R U B L
D' U2 R L' U B L
D2 U2 R L' U B L
D' U2 R D F U B
D' U2 R D' F U B
D' U2 R D2 F U B
D' U2 R F L U B
D' U2 R F L' U B
D' U2 R F L2 U B
