B R' U F' L'
B R' U L F' L'
B R' U L' F' L'
B R' U L2 F' L'
B R' U D F' L'
B R' U D' F' L'
B R' U D2 F' L'
B R' U F' L' D
B R' U F' L' D'
B R' U F' L' D2
B R' U F' D L'
B R' U F' D' L'
B R' U F' D2 L'
B R' D U F' L'
B R' D' U F' L'
B R' D2 U F' L'
D2 R' F2 U F R
B R2 D' F' R U
B R2 F' R U F'
R' D2 F2 U F R
B U2 L B U' F
B U2 B L U' F
B D R' U F' L'
B D' R' U F' L'
D2 F2 B R' U F'
B D2 R' U F' L'
D2 B R' F2 U F
D B R' U L2 F'
D B R' U F' L2
F' B R' U F' L'
F2 B R' U F' L'
B F R' U F' L'
F B R' U F' L'
D2 B F2 R' U F'
B F' R' U F' L'
U2 B2 L U' F R
B F2 R' U F' L'
U2 L B2 U2 B' U F
B2 L' U2 L B' U F
R' U D L2 F R F2
R' U D F L2 R F2
R' U D F R L2 F2
R' U D F R F2 L2
R' U D' F R F2 L'
R' U F R F2 D L2
B R U' D B R' U2
B R D U' B R' U2
B R F R2 U F' L'
B R F' R2 U F' L'
B R F2 R2 U F' L'
R' U' D F' L2 B' R'
B2 R B' D' R2 F' U
R' U' D' R2 B L U2
R U' D B U2 L2 R'
R U' D B U2 R' L2
R U' D' R2 U2 F' R
R' U' F' D L2 B' R'
B R' U L D F' L'
B R' U L D' F' L'
B R' U L D2 F' L'
B R' U L F' L' D
B R' U L F' L' D'
B R' U L F' L' D2
B R' U L F' D L'
B R' U L F' D' L'
B R' U L F' D2 L'
B R' U L' D F' L'
B R' U L' D' F' L'
B R' U L' D2 F' L'
B R' U L' F' L' D
B R' U L' F' L' D'
B R' U L' F' L' D2
B R' U L' F' D L'
B R' U L' F' D' L'
B R' U L' F' D2 L'
D R' U L2 F R F2
B R' U L2 D F' L'
B R' U L2 D' F' L'
B R' U L2 D2 F' L'
B R' U L2 F' L' D
B R' U L2 F' L' D'
B R' U L2 F' L' D2
B R' U L2 F' D L'
B R' U L2 F' D' L'
B R' U L2 F' D2 L'
B R' U D L F' L'
B R' U D L' F' L'
B R' U D L2 F' L'
B R' U D F' L' D
B R' U D F' L' D'
B R' U D F' L' D2
B R' U D F' D L'
B R' U D F' D' L'
B R' U D F' D2 L'
B R' U D' L F' L'
B R' U D' L' F' L'
B R' U D' L2 F' L'
B R' U D' F' L' D
B R' U D' F' L' D'
B R' U D' F' L' D2
B R' U D' F' D L'
B R' U D' F' D' L'
B R' U D' F' D2 L'
B R' U D2 L F' L'
B R' U D2 L' F' L'
D R' U F L2 R F2
B R' U D2 L2 F' L'
D R' U F R L2 F2
D R' U F R F2 L2
B R' U D2 F' L' D
B R' U D2 F' L' D'
B R' U D2 F' L' D2
B R' U D2 F' D L'
B R' U D2 F' D' L'
B R' U D2 F' D2 L'
B R' U F L F2 L'
B R' U F L' F2 L'
B R' U F L2 F2 L'
B R' U F' L2 D L
B R' U F' L2 D' L
B R' U F' L2 D2 L
B R' U F' D L' D
B R' U F' D L' D'
B R' U F' D L' D2
B R' U F' D' L' D
B R' U F' D' L' D'
B R' U F' D' L' D2
B R' U F' D2 L' D
B R' U F' D2 L' D'
B R' U F' D2 L' D2
B R' U F' B' L' B
B R' U F' B2 L' B2
B R' U B' F' L' B
B R' U B2 F' L' B2
B R' U' R2 B U2 L
D R' U' F' L2 B' R'
B R' U' B U2 L F'
B R' U' B U2 F' L
B R' U2 L' B' U' F'
B R' U2 B U' F' L'
B R' U2 B' U' F' L'
B R' U2 B2 U' F' L'
B R' D U L F' L'
B R' D U L' F' L'
B R' D U L2 F' L'
B R' D U F' L' D
B R' D U F' L' D'
B R' D U F' L' D2
B R' D U F' D L'
B R' D U F' D' L'
B R' D U F' D2 L'
D R' D F2 U F R
R' U2 L F B2 U' F2
B R' D' U L F' L'
B R' D' U L' F' L'
B R' D' U L2 F' L'
B R' D' U F' L' D
B R' D' U F' L' D'
B R' D' U F' L' D2
B R' D' U F' D L'
B R' D' U F' D' L'
B R' D' U F' D2 L'
R' U2 L B2 F U' F2
F' R' D2 F2 U F R
B R' D2 U L F' L'
B R' D2 U L' F' L'
B R' D2 U L2 F' L'
B R' D2 U F' L' D
B R' D2 U F' L' D'
B R' D2 U F' L' D2
B R' D2 U F' D L'
B R' D2 U F' D' L'
B R' D2 U F' D2 L'
F2 R' D2 F2 U F R
F R' D2 F2 U F R
B R' F R' F' U F'
B R' F U F' L' F'
B R' F' R' F' U F
D2 R' F2 R B U F
D2 R' F2 U R F R
D2 R' F2 U R' F R
D2 R' F2 U R2 F R
D2 R' F2 U D F R
D2 R' F2 U D' F R
D2 R' F2 U D2 F R
D2 R' F2 U F R D
D2 R' F2 U F R D'
D2 R' F2 U F R D2
D2 R' F2 U F D R
D2 R' F2 U F D' R
D2 R' F2 U F D2 R
D2 R' F2 D U F R
D2 R' F2 D' U F R
D2 R' F2 D2 U F R
D2 R' F2 B U F R
D2 R' F2 B' U F R
D2 R' F2 B2 U F R
B R' F2 R' F' U F2
D R' F2 U F L2 R
D R' F2 U F R L2
B R' F2 U F' L' F2
D2 R' B F2 U F R
D2 R' B' F2 U F R
B2 R' B' U2 B U' F'
B' R' B2 U2 B U' F'
D2 R' B2 F2 U F R
R' U2 F2 B2 U' F R
R' U2 B2 L F U' F2
R' U2 B2 U' F R F2
R' U2 B2 F2 U' F R
B R2 D' F' R U D
B R2 D' F' R U D'
B R2 D' F' R U D2
B R2 D' F' R D U
B R2 D' F' R D' U
B R2 D' F' R D2 U
B R2 D' F' D R U
B R2 D' F' D' R U
B R2 D' F' D2 R U
B R2 F R F2 U F
B R2 F' R U D F'
B R2 F' R U D' F'
B R2 F' R U D2 F'
B R2 F' R U F' D
B R2 F' R U F' D'
B R2 F' R U F' D2
B R2 F' R D U F'
B R2 F' R D' U F'
B R2 F' R D2 U F'
B R2 F' R' U' B U2
B R2 F' U R F' R'
U R2 F' L' B2 U' B2
B R2 F2 R F U F2
U R2 F' B2 L' U' B2
R' D U L2 F R F2
R' D U F L2 R F2
R' D U F R L2 F2
R' D U F R F2 L2
R2 D R2 B R' U L2
R' D U' F' L2 B' R'
U R2 B2 F' L' U' B2
R D U' B U2 L2 R'
R D U' B U2 R' L2
R' D F2 U F L2 R
R' D F2 U F R L2
B U F' U L' B U'
B U F' U B L' U'
R' D' U F R F2 L'
R' D' U' R2 B L U2
R D' U' R2 U2 F' R
B U' B U' L U' L'
B U' B' U' B2 L U'
B U' B2 U' B' L U'
B U2 L D B U' F
B U2 L D' B U' F
B U2 L D2 B U' F
B U2 L B U' D F
B U2 L B U' D' F
B U2 L B U' D2 F
B U2 L B U' F D
B U2 L B U' F D'
B U2 L B U' F D2
B U2 L B D U' F
B U2 L B D' U' F
B U2 L B D2 U' F
B U2 L' B U B2 U2
B U2 L' B U' D2 F2
B U2 L' B D L2 U'
B U2 L' B D2 U' F2
R' D2 F2 R B U F
R' D2 F2 U R F R
R' D2 F2 U R' F R
R' D2 F2 U R2 F R
R' D2 F2 U D F R
R' D2 F2 U D' F R
R' D2 F2 U D2 F R
R' D2 F2 U F R D
R' D2 F2 U F R D'
R' D2 F2 U F R D2
R' D2 F2 U F D R
R' D2 F2 U F D' R
R' D2 F2 U F D2 R
R' D2 F2 D U F R
R' D2 F2 D' U F R
R' D2 F2 D2 U F R
R' D2 F2 B U F R
R' D2 F2 B' U F R
R' D2 F2 B2 U F R
B U2 L2 B L' U' F
R' D2 B F2 U F R
R' D2 B' F2 U F R
R' D2 B2 F2 U F R
B U2 D L B U' F
B U2 D B L U' F
B U2 D' L B U' F
B U2 D' B L U' F
B U2 D2 L B U' F
B U2 D2 B L U' F
B' U2 B' L U' F R
B U2 B L U' D F
B U2 B L U' D' F
B U2 B L U' D2 F
B U2 B L U' F D
B U2 B L U' F D'
B U2 B L U' F D2
B U2 B L D U' F
B U2 B L D' U' F
B U2 B L D2 U' F
B U2 B L' U B' U2
B U2 B U2 R' U F'
B U2 B D L U' F
B U2 B D' L U' F
B U2 B D2 L U' F
F' U2 B2 L U' F R
B U2 B' L B2 U' F
F2 U2 B2 L U' F R
F U2 B2 L U' F R
D2 F B R' F U F2
B D R' U L F' L'
B D R' U L' F' L'
B D R' U L2 F' L'
B D R' U D F' L'
B D R' U D' F' L'
B D R' U D2 F' L'
B D R' U F' L' D
B D R' U F' L' D'
B D R' U F' L' D2
B D R' U F' D L'
B D R' U F' D' L'
B D R' U F' D2 L'
B D R' D U F' L'
B D R' D' U F' L'
B D R' D2 U F' L'
D F B R' U L2 F'
D F B R' U F' L2
B D R2 D' F' R U
U2 F B2 L U' F R
B D R2 F' R U F'
B D U2 L B U' F
B D U2 B L U' F
B D F R' U F' L'
B D F' R' U F' L'
F' D B R' U L2 F'
F' D B R' U F' L2
B D F2 R' U F' L'
F2 D B R' U L2 F'
F2 D B R' U F' L2
B2 D B' R' U F' L'
F D B R' U L2 F'
F D B R' U F' L2
B D' R' U L F' L'
B D' R' U L' F' L'
B D' R' U L2 F' L'
B D' R' U D F' L'
B D' R' U D' F' L'
B D' R' U D2 F' L'
B D' R' U F' L' D
B D' R' U F' L' D'
B D' R' U F' L' D2
B D' R' U F' D L'
B D' R' U F' D' L'
B D' R' U F' D2 L'
B D' R' D U F' L'
B D' R' D' U F' L'
B D' R' D2 U F' L'
D F' B R' U L2 F'
D F' B R' U F' L2
B D' R2 D' F' R U
U2 F' B2 L U' F R
B D' R2 F' R U F'
B D' U2 L B U' F
B D' U2 B L U' F
B D' F R' U F' L'
D2 F2 R' U F R F2
B D' F' R' U F' L'
B D' F2 R' U F' L'
B2 D' B' R' U F' L'
R' F2 U D F L2 R
R' F2 U D F R L2
R' F2 U F R D L2
R' F2 U F D L2 R
R' F2 U F D R L2
R' F2 U2 B2 U' F R
R' F2 D U F L2 R
R' F2 D U F R L2
D2 F2 D B R' U F'
D2 F2 D' B R' U F'
D2 F2 D2 B R' U F'
D2 F2 B R U' B U2
D2 F2 B R' U D F'
D2 F2 B R' U D' F'
D2 F2 B R' U D2 F'
D2 F2 B R' U F' D
D2 F2 B R' U F' D'
D2 F2 B R' U F' D2
D2 F2 B R' D U F'
D2 F2 B R' D' U F'
D2 F2 B R' D2 U F'
F' D2 R' F2 U F R
D2 F2 B U2 L U' F
D2 F2 B D R' U F'
D2 F2 B D' R' U F'
D2 F2 B D2 R' U F'
F2 D2 R' F2 U F R
B D2 R' U L F' L'
B D2 R' U L' F' L'
B D2 R' U L2 F' L'
B D2 R' U D F' L'
B D2 R' U D' F' L'
B D2 R' U D2 F' L'
B D2 R' U F' L' D
B D2 R' U F' L' D'
B D2 R' U F' L' D2
B D2 R' U F' D L'
B D2 R' U F' D' L'
B D2 R' U F' D2 L'
D2 F2 B' R' B2 U F'
B D2 R' D U F' L'
B D2 R' D' U F' L'
B D2 R' D2 U F' L'
D F2 B R' U L2 F'
D F2 B R' U F' L2
D2 F2 B2 R' B' U F'
F D2 R' F2 U F R
B D2 R2 D' F' R U
U2 F2 B2 L U' F R
B D2 R2 F' R U F'
B D2 U2 L B U' F
B D2 U2 B L U' F
L2 B L2 R' U F' L'
L B L' R' U F' L'
B D2 F R' U F' L'
D' B R U' B R U2
D2 B R F2 R2 U F'
D2 B R F2 U' B U2
D2 B R' U D' L2 F'
D2 B R' U D' F' L2
B D2 F' R' U F' L'
D2 B R' D' U L2 F'
D2 B R' D' U F' L2
F' D2 F2 B R' U F'
D2 B R' F2 R U F
D2 B R' F2 R' U F
D2 B R' F2 R2 U F
D2 B R' F2 U D F
D2 B R' F2 U D' F
D2 B R' F2 U D2 F
D2 B R' F2 U F D
D2 B R' F2 U F D'
D2 B R' F2 U F D2
D2 B R' F2 D U F
D2 B R' F2 D' U F
D2 B R' F2 D2 U F
D B R U' B U2 L2
F2 D2 F2 B R' U F'
L2 B R' L2 U F' L'
F' D2 B R' F2 U F
B D2 F2 R' U F' L'
F2 D2 B R' F2 U F
F' D2 B F2 R' U F'
D B R' U L F' L
D B R' U L2 D F'
D B R' U L2 D' F'
D B R' U L2 D2 F'
D B R' U L2 F' D
D B R' U L2 F' D'
D B R' U L2 F' D2
D B R' U F L2 F2
D B R' U F' L2 D
D B R' U F' L2 D'
D B R' U F' L2 D2
D2 B R2 F2 R U F'
D B R' D F2 U F
F2 D2 B F2 R' U F'
D B R' F U L2 F2
D B R' F U F2 L2
L B R' L' U F' L'
B2 D2 B' R' U F' L'
D B R' F2 U F L2
F D2 F2 B R' U F'
F D2 B R' F2 U F
F D2 B F2 R' U F'
U' B U2 L B U' B'
D B U2 L U' F L
D2 B D' R' U L2 F'
D2 B D' R' U F' L2
D' B D' R' F2 U F
D' B D' F2 R' U F'
D B D R' F2 U F
U B U2 B L U' B2
D B D F2 R' U F'
D' B D2 R' U L2 F'
D' B D2 R' U F' L2
F' B R' U L F' L'
F' B R' U L' F' L'
F' B R' U L2 F' L'
F' B R' U D F' L'
F' B R' U D' F' L'
F' B R' U D2 F' L'
F' B R' U F' L' D
F' B R' U F' L' D'
F' B R' U F' L' D2
F' B R' U F' D L'
F' B R' U F' D' L'
F' B R' U F' D2 L'
F' B R' D U F' L'
F' B R' D' U F' L'
F2 B R' U L F' L'
F2 B R' U L' F' L'
F2 B R' U L2 F' L'
F2 B R' U D F' L'
F2 B R' U D' F' L'
F2 B R' U D2 F' L'
F2 B R' U F' L' D
F2 B R' U F' L' D'
F2 B R' U F' L' D2
F2 B R' U F' D L'
D2 B F R' F U F2
F2 B R' U F' D' L'
F2 B R' U F' D2 L'
F' B R' D2 U F' L'
F2 B R' D U F' L'
F2 B R' D' U F' L'
F2 B R' D2 U F' L'
B F R' U L F' L'
B F R' U L' F' L'
B F R' U L2 F' L'
B F R' U D F' L'
B F R' U D' F' L'
B F R' U D2 F' L'
B F R' U F' L' D
B F R' U F' L' D'
B F R' U F' L' D2
B F R' U F' D L'
B F R' U F' D' L'
B F R' U F' D2 L'
F' B R2 D' F' R U
B F R' D U F' L'
B F R' D' U F' L'
F' B R2 F' R U F'
B F R' D2 U F' L'
F2 B R2 D' F' R U
F B R' U L F' L'
F B R' U L' F' L'
F B R' U L2 F' L'
F B R' U D F' L'
F B R' U D' F' L'
F B R' U D2 F' L'
F B R' U F' L' D
F B R' U F' L' D'
F B R' U F' L' D2
F B R' U F' D L'
F B R' U F' D' L'
F B R' U F' D2 L'
F2 B R2 F' R U F'
D B F R' U L2 F'
D B F R' U F' L2
F B R' D U F' L'
D2 B F2 R U' B U2
F B R' D' U F' L'
D2 B F2 R' U D F'
D2 B F2 R' U D' F'
D2 B F2 R' U D2 F'
D2 B F2 R' U F' D
D2 B F2 R' U F' D'
D2 B F2 R' U F' D2
D2 B F2 R' D U F'
D2 B F2 R' D' U F'
D2 B F2 R' D2 U F'
F B R' D2 U F' L'
D2 B F2 U2 L U' F
D2 B F2 D R' U F'
D2 B F2 D' R' U F'
B F R2 D' F' R U
D2 B F2 D2 R' U F'
B F R2 F' R U F'
D B F' R' U L2 F'
D B F' R' U F' L2
F B R2 D' F' R U
F B R2 F' R U F'
D B F2 R' U L2 F'
D B F2 R' U F' L2
F' B U2 L B U' F
F2 B U2 L B U' F
F' B U2 B L U' F
F2 B U2 B L U' F
B F U2 L B U' F
F' B D R' U F' L'
F2 B D R' U F' L'
F B U2 L B U' F
B F U2 B L U' F
F' B D' R' U F' L'
B F D R' U F' L'
F B U2 B L U' F
F2 B D' R' U F' L'
F B D R' U F' L'
F' B D2 R' U F' L'
D2 B' R' F2 B2 U F
B F D' R' U F' L'
F2 B D2 R' U F' L'
D2 B' R' B2 F2 U F
D' B' R' B2 U L F'
D' B' R' B2 U F' L
F B D' R' U F' L'
D B' R B2 U L2 F
B F D2 R' U F' L'
F B D2 R' U F' L'
D B' R' B2 U L2 F'
D B' R' B2 U F' L2
B F' R' U L F' L'
B F' R' U L' F' L'
B F' R' U L2 F' L'
B F' R' U D F' L'
B F' R' U D' F' L'
B F' R' U D2 F' L'
B F' R' U F' L' D
B F' R' U F' L' D'
B F' R' U F' L' D2
B F' R' U F' D L'
B F' R' U F' D' L'
B F' R' U F' D2 L'
B F' R' D U F' L'
B F' R' D' U F' L'
B F' R' D2 U F' L'
B F' R2 D' F' R U
B F' R2 F' R U F'
D2 B' F2 R' B2 U F'
B F' U2 L B U' F
B F' U2 B L U' F
U2 B2 L U' R F R
U2 B2 L U' R' F R
U2 B2 L U' R2 F R
U2 B2 L U' D F R
U2 B2 L U' D' F R
U2 B2 L U' D2 F R
U2 B2 L U' F R D
U2 B2 L U' F R D'
U2 B2 L U' F R D2
U2 B2 L U' F D R
U2 B2 L U' F D' R
U2 B2 L U' F D2 R
B F' D R' U F' L'
U2 B2 L D U' F R
U2 B2 L D' U' F R
U2 B2 L D2 U' F R
L' B2 L2 R' F U' F2
B F' D' R' U F' L'
L' B2 L2 F R' U' F'
B F' D2 R' U F' L'
U2 B2 L2 D F L' U'
U2 B2 L2 F L' U' F
L' B2 R' L2 F U' F2
L' B2 R' U2 B' U F'
D2 B2 R' F2 B' U F
D2 B2 R' B' F2 U F
D B2 R' B' U L2 F'
D B2 R' B' U F' L2
B F2 R' U L F' L'
B F2 R' U L' F' L'
B F2 R' U L2 F' L'
B F2 R' U D F' L'
B F2 R' U D' F' L'
B F2 R' U D2 F' L'
B F2 R' U F' L' D
B F2 R' U F' L' D'
B F2 R' U F' L' D2
B F2 R' U F' D L'
B F2 R' U F' D' L'
B F2 R' U F' D2 L'
