L' F U F2 R
U' L' F U F2 R
B2 L' F U F2 R
B' L' F U F2 R
U2 L' F U F2 R
U L' F U F2 R
B L' F U F2 R
L' U F' R D' L2
L' U F' D' L2 R
L' U F' D' R L2
F' R D' L B' L
F' R D' B' L B'
L' F R U F2 R
L' F R' U F2 R
L' F R2 U F2 R
L' F U R F2 R
L' F U R' F2 R
L' F U R2 F2 R
L' F U F2 R D
L' F U F2 R D'
L' F U F2 R D2
L' F U F2 D R
L' F U F2 D' R
L' F U F2 D2 R
L' F U' L' U2 F2
L' F B U F2 R
L' F B' U F2 R
L' F B2 U F2 R
F' D' L R B' L
F' D' L B' L R
F' D' L B' R L
F' D' R L B' L
F' D' R B' L B'
F' D' B' L R B'
F' D' B' L B' R
F' D' B' R L B'
L' B F U F2 R
L' B' F U F2 R
L' B2 F U F2 R
D' L B' L2 U L' F'
F' L' R U' F L' U
B' L' U F' R D' L2
U' L' U F' R D' L2
B' L' U F' D' L2 R
B' L' U F' D' R L2
U' L' U F' D' L2 R
U' L' U F' D' R L2
U2 L' U F' R D' L2
U2 L' U F' D' L2 R
U2 L' U F' D' R L2
B2 L' U F' R D' L2
B2 L' U F' D' L2 R
B2 L' U F' D' R L2
B L' U F' R D' L2
B L' U F' D' L2 R
B L' U F' D' R L2
U L' U F' R D' L2
U L' U F' D' L2 R
U L' U F' D' R L2
R' L' F U F2 R F'
L' R' F U F2 R F'
R2 L' F U' L' B U2
R2 L' F U' B L' U2
F' L' F L' U F' R
B' L' F R U F2 R
U' L' F R U F2 R
B' L' F R' U F2 R
U' L' F R' U F2 R
U2 L' F R U F2 R
B' L' F R2 U F2 R
U' L' F R2 U F2 R
B2 L' F R U F2 R
U2 L' F R' U F2 R
B' L' F U R F2 R
U' L' F U R F2 R
B' L' F U R' F2 R
U' L' F U R' F2 R
B' L' F U R2 F2 R
U' L' F U R2 F2 R
B2 L' F R' U F2 R
B' L' F U F2 R D
B' L' F U F2 R D'
B' L' F U F2 R D2
U' L' F U F2 R D
U' L' F U F2 R D'
U' L' F U F2 R D2
B' L' F U F2 D R
B' L' F U F2 D' R
B' L' F U F2 D2 R
U' L' F U F2 D R
U' L' F U F2 D' R
U' L' F U F2 D2 R
B L' F R U F2 R
U2 L' F R2 U F2 R
B' L' F U' L' U2 F2
U' L' F U' L' U2 F2
B2 L' F R2 U F2 R
U2 L' F U R F2 R
B L' F R' U F2 R
U2 L' F U R' F2 R
U2 L' F U R2 F2 R
U2 L' F U F2 R D
U2 L' F U F2 R D'
U2 L' F U F2 R D2
U2 L' F U F2 D R
U2 L' F U F2 D' R
U2 L' F U F2 D2 R
B2 L' F U R F2 R
B2 L' F U R' F2 R
B2 L' F U R2 F2 R
U2 L' F U' L' U2 F2
B L' F R2 U F2 R
B2 L' F U F2 R D
B2 L' F U F2 R D'
B2 L' F U F2 R D2
B2 L' F U F2 D R
B2 L' F U F2 D' R
B2 L' F U F2 D2 R
U L' F R U F2 R
B2 L' F U' L' U2 F2
B L' F U R F2 R
B L' F U R' F2 R
B L' F U R2 F2 R
U L' F R' U F2 R
B L' F U F2 R D
B L' F U F2 R D'
B L' F U F2 R D2
B L' F U F2 D R
B L' F U F2 D' R
B L' F U F2 D2 R
B L' F U' L' U2 F2
U L' F R2 U F2 R
U L' F U R F2 R
U L' F U R' F2 R
U L' F U R2 F2 R
U' L' F B U F2 R
B' L' F B U F2 R
U L' F U F2 R D
U L' F U F2 R D'
U L' F U F2 R D2
U L' F U F2 D R
U L' F U F2 D' R
U L' F U F2 D2 R
U L' F U' L' U2 F2
U' L' F B' U F2 R
B' L' F B' U F2 R
U2 L' F B U F2 R
U' L' F B2 U F2 R
B' L' F B2 U F2 R
B2 L' F B U F2 R
U2 L' F B' U F2 R
B2 L' F B' U F2 R
U2 L' F B2 U F2 R
B L' F B U F2 R
B2 L' F B2 U F2 R
B L' F B' U F2 R
B L' F B2 U F2 R
U L' F B U F2 R
U L' F B' U F2 R
U L' F B2 U F2 R
B' L' B F U F2 R
U' L' B F U F2 R
U2 L' B F U F2 R
B2 L' B F U F2 R
B L' B F U F2 R
U L' B F U F2 R
B' L' B' F U F2 R
U' L' B' F U F2 R
B2 L' B' F U F2 R
U2 L' B' F U F2 R
B L' B' F U F2 R
U L' B' F U F2 R
B' L' B2 F U F2 R
U' L' B2 F U F2 R
B2 L' B2 F U F2 R
U2 L' B2 F U F2 R
B L' B2 F U F2 R
U L' B2 F U F2 R
L' R2 F U' L' B U2
L' R2 F U' B L' U2
L U L2 F U F2 R
F' R L' U' F L' U
L' U F' L R D' L2
L' U F' L D' L2 R
L' U F' L D' R L2
L' U F' L' R D' L2
L' U F' L' D' L2 R
L' U F' L' D' R L2
L' U F' L2 R D' L2
L' U F' L2 D' L2 R
L' U F' L2 D' R L2
L' U F' R L D' L2
L' U F' R L' D' L2
L' U F' R L2 D' L2
L' U F' R U' F2 U
L' U F' R D' L2 D
L' U F' R D' L2 D'
L' U F' R D' L2 D2
L' U F' R2 D' L2 R'
L' U F' R2 D' R' L2
L' U F' D' L2 R D
L' U F' D' L2 R D'
L' U F' D' L2 R D2
L' U F' D' L2 D R
L' U F' D' L2 D' R
L' U F' D' L2 D2 R
L' U F' D' R L2 D
L' U F' D' R L2 D'
L' U F' D' R L2 D2
L' U F' D2 R D L2
F' R U' L' F L' U
F' R U' F L' F U
F' R D' L B' L D
F' R D' L B' L D'
F' R D' L B' L D2
F' R D' L B' D L
F' R D' L B' D' L
F' R D' L B' D2 L
F' R D' B' L D B'
F' R D' B' L D' B'
F' R D' B' L D2 B'
F' R D' B' L B' D
F' R D' B' L B' D'
F' R D' B' L B' D2
L U' L2 F U F2 R
F' R B D' L B' L
F' R B D' B' L B'
F' R B' D' L B' L
F' R B' D' B' L B'
F' R B2 D' L B' L
F' R B2 D' B' L B'
L' U' F' R D' L2 B'
L2 U' F' L' R D' B2
L2 U' F' L' D' R B2
L2 U' F' L' D' B2 R
L2 U' F' R L' D' B2
L' U' F' D' L2 R B'
L' U' F' D' L2 B' R
L' U' F' D' R L2 B'
F2 R' D F L' R B2
F2 R' D F L' B2 R
F2 R' D F R L' B2
F2 R' D F R B2 L'
F2 R' D F B2 L' R
F2 R' D F B2 R L'
F2 R' D B2 F L' R
F2 R' D B2 F R L'
L2 U2 L U F' L' R
L2 U2 L U F' R L'
L' U2 L' U' F' L' R
L' U2 L' U' F' R L'
L' U2 L2 B' U' F' R
L U2 L2 F U F2 R
F' R2 D' L R' B' L
F' R2 D' R' L B' L
F' R2 D' R' B' L B'
L' D F R' B U F2
B' U L' F U F2 R
B2 U L' F U F2 R
B U L' F U F2 R
L2 D' L F B' U F2
L2 D' L B' F U F2
B' U' L' F U F2 R
B2 U' L' F U F2 R
B U' L' F U F2 R
B' U2 L' F U F2 R
B2 U2 L' F U F2 R
L' D2 F B U R' F2
L' D2 F B U F2 R'
B U2 L' F U F2 R
L' D2 B F U R' F2
L' D2 B F U F2 R'
L' F R U R F2 R
L' F R U R' F2 R
L' F R U R2 F2 R
L' F R U F2 R D
L' F R U F2 R D'
L' F R U F2 R D2
L' F R U F2 D R
L' F R U F2 D' R
L' F R U F2 D2 R
L' F R U' L' U2 F2
L' F R B U F2 R
L' F R B' U F2 R
L' F R B2 U F2 R
L' F R' U R F2 R
L' F R' U R' F2 R
L' F R' U R2 F2 R
L' F R' U F2 R D
L' F R' U F2 R D'
L' F R' U F2 R D2
L' F R' U F2 D R
L' F R' U F2 D' R
L' F R' U F2 D2 R
L' F R' U' L' U2 F2
L' F R' B U F2 R
L' F R' B' U F2 R
L' F R' B2 U F2 R
L' F R2 U R F2 R
L' F R2 U R' F2 R
L' F R2 U R2 F2 R
L' F R2 U F2 R D
L' F R2 U F2 R D'
L' F R2 U F2 R D2
L' F R2 U F2 D R
L' F R2 U F2 D' R
L' F R2 U F2 D2 R
L' F R2 U' L' U2 F2
L' F R2 B U F2 R
L' F R2 B' U F2 R
L' F R2 B2 U F2 R
L' F U R F2 R D
L' F U R F2 R D'
L' F U R F2 R D2
L' F U R F2 D R
L' F U R F2 D' R
L' F U R F2 D2 R
L' F U R' F2 R D
L' F U R' F2 R D'
L' F U R' F2 R D2
L' F U R' F2 D R
L' F U R' F2 D' R
L' F U R' F2 D2 R
L' F U R2 F2 R D
L' F U R2 F2 R D'
L' F U R2 F2 R D2
L' F U R2 F2 D R
L' F U R2 F2 D' R
L' F U R2 F2 D2 R
L' F U F R F R
L' F U F R' F R
L' F U F R2 F R
L' F U F D F R
L' F U F D' F R
L' F U F D2 F R
L' F U F2 R2 D R'
L' F U F2 R2 D' R'
L' F U F2 R2 D2 R'
L' F U F2 D R D
L' F U F2 D R D'
L' F U F2 D R D2
L' F U F2 D' R D
L' F U F2 D' R D'
L' F U F2 D' R D2
L' F U F2 D2 R D
L' F U F2 D2 R D'
L' F U F2 D2 R D2
L' F U F2 B R B'
L' F U F2 B2 R B2
L' F U B F2 R B'
L' F U B2 F2 R B2
L' F U' L' U2 F2 D
L' F U' L' U2 F2 D'
L' F U' L' U2 F2 D2
L' F U' L' D2 B2 U2
L' F U' L' B U2 F2
L' F U' L' B' U2 F2
L' F U' L' B2 U2 F2
L' F U' D2 L' B2 U2
L' F U' D2 B2 L' U2
L' F U' B L' U2 F2
L' F U' B U2 F2 R
L' F U' B' L' U2 F2
L' F U' B' U2 F2 R
L' F U' B2 L' U2 F2
L' F U' B2 U2 F2 R
L' F U2 F' U' F' R
L' F D R2 U' L' U2
F' D R U2 F' R U2
L' F D2 U' L' B2 U2
L' F D2 U' B2 L' U2
L' F B R U F2 R
L' F B R' U F2 R
L' F B R2 U F2 R
L' F B U R F2 R
L' F B U R' F2 R
L' F B U R2 F2 R
L' F B U F2 R D
L' F B U F2 R D'
L' F B U F2 R D2
L' F B U F2 D R
L' F B U F2 D' R
L' F B U F2 D2 R
L' F B U' L' U2 F2
L' F B' R U F2 R
L' F B' R' U F2 R
L' F B' R2 U F2 R
L' F B' U R F2 R
L' F B' U R' F2 R
L' F B' U R2 F2 R
L' F B' U F2 R D
L' F B' U F2 R D'
L' F B' U F2 R D2
L' F B' U F2 D R
L' F B' U F2 D' R
L' F B' U F2 D2 R
L' F B' U' L' U2 F2
L' F B2 R U F2 R
L' F B2 R' U F2 R
L' F B2 R2 U F2 R
L' F B2 U R F2 R
L' F B2 U R' F2 R
L' F B2 U R2 F2 R
L' F B2 U F2 R D
L' F B2 U F2 R D'
L' F B2 U F2 R D2
L' F B2 U F2 D R
L' F B2 U F2 D' R
L' F B2 U F2 D2 R
L' F B2 U' L' U2 F2
L2 F' L F U F' R
L' F' L2 R D' L2 B2
L' F' L2 R D' B2 L2
L' F' L2 D' L2 R B2
L' F' L2 D' L2 B2 R
L' F' L2 D' R L2 B2
L' F' L2 D' R B2 L2
L' F' L2 D' B2 L2 R
L' F' L2 D' B2 R L2
U' F' R D' L B' L
U' F' R D' B' L B'
L' F' R L2 D' L2 B2
L' F' R L2 D' B2 L2
L' F' R D' L2 D' B2
U2 F' R D' L B' L
U2 F' R D' B' L B'
L F' L2 F U F' R
L' F' R' F2 U R2 F2
L' F' R' F2 U F2 R2
L F' R U' L2 F U
U F' R D' L B' L
U F' R D' B' L B'
L' F' R2 F2 U R' F2
L' F' R2 F2 U F2 R'
F' D' L R B' L D
F' D' L R B' L D'
F' D' L R B' L D2
F' D' L R B' D L
F' D' L R B' D' L
F' D' L R B' D2 L
F' D' L R' B' L R2
F' D' L R' B' R2 L
F' D' L B' L R D
F' D' L B' L R D'
F' D' L B' L R D2
F' D' L B' L D R
F' D' L B' L D' R
F' D' L B' L D2 R
F' D' L B' R L D
F' D' L B' R L D'
F' D' L B' R L D2
F' D' L B' R D L
F' D' L B' R D' L
F' D' L B' R D2 L
F' D' L B' D L R
F' D' L B' D R L
F' D' L B' D' L R
F' D' L B' D' R L
F' D' L B' D2 L R
F' D' L B' D2 R L
U' F' D' L R B' L
U' F' D' L B' L R
U' F' D' L B' R L
U' F' D' R L B' L
U' F' D' R B' L B'
L' F' D' L2 R D' B2
L' F' D' L2 D' R B2
L' F' D' L2 D' B2 R
L' F' D' R L2 D' B2
U' F' D' B' L R B'
U' F' D' B' L B' R
U' F' D' B' R L B'
U2 F' D' L R B' L
F' D' R L B' L D
F' D' R L B' L D'
F' D' R L B' L D2
F' D' R L B' D L
F' D' R L B' D' L
F' D' R L B' D2 L
U2 F' D' L B' L R
U2 F' D' L B' R L
U2 F' D' R L B' L
U2 F' D' R B' L B'
F' D' R B' L D B'
F' D' R B' L D' B'
F' D' R B' L D2 B'
F' D' R B' L B' D
F' D' R B' L B' D'
F' D' R B' L B' D2
U2 F' D' B' L R B'
U2 F' D' B' L B' R
U2 F' D' B' R L B'
F' D' R' L B' L R2
F' D' R' L B' R2 L
U F' D' L R B' L
U F' D' L B' L R
U F' D' L B' R L
U F' D' R L B' L
U F' D' R B' L B'
F' D' R' B' L R2 B'
F' D' R' B' L B' R2
F' D' R' B' R2 L B'
U F' D' B' L R B'
U F' D' B' L B' R
U F' D' B' R L B'
D F2 R F' U' L' F2
F' D' B' L R D B'
F' D' B' L R D' B'
F' D' B' L R D2 B'
F' D' B' L R B' D
F' D' B' L R B' D'
F' D' B' L R B' D2
F' D' B' L R' B' R2
F' D' B' L D R B'
F' D' B' L D B' R
F' D' B' L D' R B'
F' D' B' L D' B' R
F' D' B' L D2 R B'
F' D' B' L D2 B' R
F' D' B' L B R B2
F' D' B' L B' R D
F' D' B' L B' R D'
F' D' B' L B' R D2
F' D' B' L B' D R
F' D' B' L B' D' R
F' D' B' L B' D2 R
F' D' B' R L D B'
F' D' B' R L D' B'
F' D' B' R L D2 B'
F' D' B' R L B' D
F' D' B' R L B' D'
F' D' B' R L B' D2
F' D' B' R' L B' R2
F' D' B2 R B L B'
L' F2 D F' U F2 R
L' F2 D' F' U F2 R
L' F2 D2 F' U F2 R
U' B L' F U F2 R
U2 B L' F U F2 R
U B L' F U F2 R
L' B U F' R D' L2
L' B U F' D' L2 R
L' B U F' D' R L2
F' B R D' L B' L
F' B R D' B' L B'
L' B F R U F2 R
L' B F R' U F2 R
L' B F R2 U F2 R
L' B F U R F2 R
L' B F U R' F2 R
L' B F U R2 F2 R
L' B F U F2 R D
L' B F U F2 R D'
L' B F U F2 R D2
L' B F U F2 D R
L' B F U F2 D' R
L' B F U F2 D2 R
L' B F U' L' U2 F2
U' B' L' F U F2 R
U2 B' L' F U F2 R
F' B D' L R B' L
F' B D' L B' L R
F' B D' L B' R L
F' B D' R L B' L
F' B D' R B' L B'
U B' L' F U F2 R
F' B D' B' L R B'
F' B D' B' L B' R
F' B D' B' R L B'
L' B' U F' R D' L2
L' B' U F' D' L2 R
L' B' U F' D' R L2
L2 B' U F' R B L
B' F' R D' L B' L
B' F' R D' B' L B'
L2 B' U' F' L' R B'
L2 B' U' F' L' B' R
L2 B' U' F' R L' B'
F' B' R D' L B' L
F' B' R D' B' L B'
B2 F' R D' L B' L
B2 F' R D' B' L B'
L B' U' F' R D' B2
B F' R D' L B' L
L B' U' F' D' R B2
L B' U' F' D' B2 R
B F' R D' B' L B'
L B' U2 L2 U F' R
L' B' F R U F2 R
L' B' F R' U F2 R
L' B' F R2 U F2 R
L' B' F U R F2 R
L' B' F U R' F2 R
L' B' F U R2 F2 R
L' B' F U F2 R D
L' B' F U F2 R D'
L' B' F U F2 R D2
L' B' F U F2 D R
L' B' F U F2 D' R
L' B' F U F2 D2 R
L' B' F U' L' U2 F2
B' F' D' L R B' L
B' F' D' L B' L R
B' F' D' L B' R L
B' F' D' R L B' L
B' F' D' R B' L B'
F' B' D' L R B' L
F' B' D' L B' L R
F' B' D' L B' R L
F' B' D' R L B' L
B2 F' D' L R B' L
F' B' D' R B' L B'
B2 F' D' L B' L R
B2 F' D' L B' R L
B' F' D' B' L R B'
B' F' D' B' L B' R
B' F' D' B' R L B'
B2 F' D' R L B' L
U' B2 L' F U F2 R
B2 F' D' R B' L B'
F' B' D' B' L R B'
F' B' D' B' L B' R
F' B' D' B' R L B'
B2 F' D' B' L R B'
B2 F' D' B' L B' R
B2 F' D' B' R L B'
B F' D' L R B' L
B F' D' L B' L R
B F' D' L B' R L
B F' D' R L B' L
B F' D' R B' L B'
U2 B2 L' F U F2 R
B F' D' B' L R B'
B F' D' B' L B' R
B F' D' B' R L B'
U B2 L' F U F2 R
