F2 U B2 U2 L' B'
F2 U' L' D2 F2 B'
F2 U' L' D2 B' F2
F2 U' D2 L' F2 B'
F2 U' D2 L' B' F2
B2 D' L2 R F' U2
B2 D' R L2 F' U2
B2 D' R F' L2 U2
F2 D2 U' L' F2 B'
F2 D2 U' L' B' F2
B2 L D' L2 R F' U2
B2 L D' R L2 F' U2
B2 L D' R F' L2 U2
F2 L B' R' U' L2 F
B2 L' D' L2 R F' U2
B2 L' D' R L2 F' U2
B2 L' D' R F' L2 U2
B' L' F2 R' U' L' F
D' L2 R U R U B
D L2 U R U2 B R
F2 L2 U B2 R' F' U2
F2 L2 U' L' B' L2 F
F2 L2 D L2 U' L' B'
B2 L2 D' L2 R F' U2
B2 L2 D' R L2 F' U2
B2 L2 D' R F' L2 U2
D L2 D' F2 U' L' B'
D L2 F2 U' L' R2 B'
D L2 F2 U' L' B' R2
D L2 F2 U' R2 L' B'
D' R L2 U R U B
F2 R U B2 U2 L' B'
F2 R U' L' D2 F2 B'
F2 R U' L' D2 B' F2
F2 R U' D2 L' F2 B'
F2 R U' D2 L' B' F2
B' R U2 D B2 R2 F'
B2 R D L U2 R2 B'
B2 R D L U2 B' R2
B2 R D L' F U2 R2
B' R D U2 B2 R2 F'
U R U2 B D R2 F'
B' R D B' U2 R2 B'
B' R D B' U2 B' R2
B' R D' L2 F2 U2 F'
B' R D' F2 L2 U2 F
B' R D' F2 B' L2 U2
B' R D' B' L2 F2 U2
B' R D' B' F2 L2 U2
F2 R D2 U' L' F2 B'
F2 R D2 U' L' B' F2
B' R B' U' R2 F2 U'
B' R B' U' F2 R2 U'
B' R B' U2 D R2 B2
B' R B' U2 D B2 R2
B' R B' D U2 R2 B2
B' R B' D U2 B2 R2
B' R B' D' L2 F2 U2
B' R B' D' F2 L2 U2
U R B2 U' F2 U' B'
U R B2 U2 D R2 B'
U R B2 U2 D B' R2
U R B2 U2 B' D R2
U R B2 D U2 R2 B'
U R B2 D U2 B' R2
U R B2 D' L2 F U2
F2 R' U B2 U2 L' B'
F2 R' U' L' D2 F2 B'
F2 R' U' L' D2 B' F2
F2 R' U' D2 L' F2 B'
F2 R' U' D2 L' B' F2
B' R' D B2 U' R2 F'
F2 R' D2 U' L' F2 B'
F2 R' D2 U' L' B' F2
B' R' F2 U R2 B' U2
B' R' F2 U B' R2 U2
B' R' F2 U' D2 L2 F
B' R' F2 D2 U' L2 F
F2 R2 U B2 U2 L' B'
F2 R2 U' L' D2 F2 B'
F2 R2 U' L' D2 B' F2
F2 R2 U' D2 L' F2 B'
F2 R2 U' D2 L' B' F2
B2 R2 D' L2 R' U2 B
B2 R2 D' R' L2 U2 B
F2 R2 D2 U' L' F2 B'
F2 R2 D2 U' L' B' F2
D R2 B2 D L F2 B'
D R2 B2 D L B' F2
D R2 B2 D F2 L B'
F2 U R B2 U2 B' L'
F2 U F2 R B2 U2 B'
F2 U F2 B2 R U2 B
F2 U B2 R U2 L' B
F2 U B2 R U2 B L'
F2 U B2 U2 L' D B'
F2 U B2 U2 L' D' B'
F2 U B2 U2 L' D2 B'
F2 U B2 U2 L' B' D
F2 U B2 U2 L' B' D'
F2 U B2 U2 L' B' D2
F2 U B2 U2 D L' B'
F2 U B2 U2 D' L' B'
F2 U B2 U2 D2 L' B'
F2 U B2 U2 B L' B'
F2 U B2 U2 B' L' B'
F2 U B2 U2 B2 L' B'
F2 U B2 D U2 L' B'
F2 U B2 D' U2 L' B'
F2 U B2 D2 U2 L' B'
F2 U B2 F2 R U2 B
F2 U' L B' L2 F B'
F2 U' L B' L2 B' F
F2 U' L' U2 B2 U2 B
F2 U' L' D B' D F2
F2 U' L' D' B' D' F2
F2 U' L' D2 F2 D B'
F2 U' L' D2 F2 D' B'
F2 U' L' D2 F2 D2 B'
F2 U' L' D2 F2 B' D
