F' R' U R2 B U2
F' R' U' D2 L2 F'
F' R' U' D2 F' L2
F' R' U' F' D2 L2
F' R' D B2 U' F'
F' R' D2 U' L2 F'
F' R' D2 U' F' L2
F2 R' F U' F2 L'
D F' R' B U' F'
F' L R' U R2 B U2
F' L R' U' D2 L2 F'
F' L R' U' D2 F' L2
F' L R' U' F' D2 L2
F' L R' D B2 U' F'
F' L R' D2 U' L2 F'
F' L R' D2 U' F' L2
F L R' F2 U' F L2
D' L F' R' B' U' F'
D L F' R' B U' F'
F L F2 R' U' L2 F'
F L F2 R' U' F' L2
F L' R D R2 F' B2
F L' R D R2 B2 F'
F' L' R' U R2 B U2
F' L' R' U' D2 L2 F'
F' L' R' U' D2 F' L2
F' L' R' U' F' D2 L2
F' L' R' D B2 U' F'
F' L' R' D2 U' L2 F'
F' L' R' D2 U' F' L2
D L' F' R' B U' F'
F' L2 R' U R2 B U2
F' L2 R' U' D2 L2 F'
F' L2 R' U' D2 F' L2
F' L2 R' U' F' D2 L2
F' L2 R' D B2 U' F'
F' L2 R' D2 U' L2 F'
F' L2 R' D2 U' F' L2
F L2 R' F2 U' F L
D' L2 F' R' U' F' L'
D L2 F' R' B U' F'
F L2 F2 R' U' L F'
F L2 F2 R' U' F' L
F R L' D R2 F' B2
F R L' D R2 B2 F'
F' R U' R2 U' F' R2
F R D L' R2 F' B2
F R D L' R2 B2 F'
F R D R2 L' F' B2
F R D R2 L' B2 F'
F R D R2 B2 L' F'
F' R B U' R2 U' R2
F' R' L U R2 B U2
F' R' L U' D2 L2 F'
F' R' L U' D2 F' L2
F' R' L U' F' D2 L2
F' R' L D B2 U' F'
F' R' L D2 U' L2 F'
F' R' L D2 U' F' L2
F' R' L' U R2 B U2
F' R' L' U' D2 L2 F'
F' R' L' U' D2 F' L2
F' R' L' U' F' D2 L2
F' R' L' D B2 U' F'
F' R' L' D2 U' L2 F'
F' R' L' D2 U' F' L2
F R' L F2 U' F L2
F' R' L2 U R2 B U2
F' R' L2 U' D2 L2 F'
F' R' L2 U' D2 F' L2
F' R' L2 U' F' D2 L2
F' R' L2 D B2 U' F'
F' R' L2 D2 U' L2 F'
F' R' L2 D2 U' F' L2
F' R' U R2 D B U2
F' R' U R2 D' B U2
F' R' U R2 D2 B U2
F' R' U R2 B U2 D
F' R' U R2 B U2 D'
F' R' U R2 B U2 D2
F' R' U R2 B D U2
F' R' U R2 B D' U2
F' R' U R2 B D2 U2
F R' L2 F2 U' F L
F' R' U B R2 B U2
F' R' U B' R2 B U2
F' R' U B2 R2 B U2
F' R' U' L D2 L2 F'
F' R' U' L D2 F' L2
F' R' U' L F' D2 L2
F' R' U' L' D2 L2 F'
F' R' U' L' D2 F' L2
F' R' U' L' F' D2 L2
F' R' U' L2 D2 L2 F'
F' R' U' L2 D2 F' L2
F' R' U' L2 F' D2 L2
F' R' U' D F' D L2
