B' L R2 F2 U' L
B' L F2 R2 U' L
B' R2 L F2 U' L
L' D L' R2 F B2
L' D L' R2 B2 F
L' D L' F R2 B2
L' D L' F B2 R2
L' D L' B2 R2 F
L' D L' B2 F R2
L D L B2 R2 F'
L' D R2 L' F B2
L' D R2 L' B2 F
B' R2 F2 L U' L
L' D R2 B2 L' F
B R2 F2 L' U' L'
F2 R2 B' L U' L
L' D B2 L' R2 F
L' D B2 L' F R2
L' D B2 R2 L' F
R2 F2 B' L U' L
R2 B' L F2 U' L
F2 B' L R2 U' L
F2 B' R2 L U' L
R2 B' F2 L U' L
B' F2 L R2 U' L
B' F2 R2 L U' L
B' L R' F2 R' U' L
B' L R2 U' L D R2
B' L R2 U' D L R2
B' L R2 U' D R2 L
B' L R2 D U' L R2
B' L R2 D U' R2 L
B' L R2 F2 U' L D
B' L R2 F2 U' L D'
B' L R2 F2 U' L D2
B' L R2 F2 U' D L
B' L R2 F2 U' D' L
B' L R2 F2 U' D2 L
B' L R2 F2 D U' L
B' L R2 F2 D' U' L
B' L R2 F2 D2 U' L
B2 L R2 F2 U' L F
B L R2 F2 L' U' L2
B' L U' L D R2 B2
B' L U' L D B2 R2
B' L U' D L R2 B2
B' L U' D L B2 R2
B' L U' D R2 L B2
U' L D L B2 R2 F'
U2 L D L B2 R2 F'
U L D L B2 R2 F'
B' L D U' L R2 B2
B' L D U' L B2 R2
B' L D U' R2 L B2
B' L F R2 F U' L
B' L F2 R2 U' L D
B' L F2 R2 U' L D'
B' L F2 R2 U' L D2
B' L F2 R2 U' D L
B' L F2 R2 U' D' L
B' L F2 R2 U' D2 L
B' L F2 R2 D U' L
B' L F2 R2 D' U' L
B2 L F2 R2 U' L F
B' L F2 R2 D2 U' L
B' L F2 U' L D B2
D L F2 U B2 R2 F'
B' L F2 U' D L B2
B' L F2 D U' L B2
R2 L' U' D L' R2 F
R2 L' U' D L' F R2
R2 L' U' D R2 L' F
B' L B2 R2 F2 U' L'
D L B2 R2 D' L2 F'
D L B2 R2 D' F' L2
R2 L' D U' L' R2 F
R2 L' D U' L' F R2
R2 L' D U' R2 L' F
F2 L' R2 U' D L' F
F2 L' R2 D U' L' F
F2 L' R2 B' L U' L2
D L' R2 B2 D' F L2
F2 L' U' D L' F B2
F2 L' U' D L' B2 F
F2 L' U' D B2 L' F
B' L' D L' R2 F2 B2
B' L' D L' R2 B2 F2
U' L' D L' R2 F B2
U' L' D L' R2 B2 F
B' L' D L' F2 R2 B2
U' L' D L' F R2 B2
B' L' D L' F2 B2 R2
U' L' D L' F B2 R2
B' L' D L' B2 R2 F2
B' L' D L' B2 F2 R2
U2 L' D L' R2 F B2
U2 L' D L' R2 B2 F
U' L' D L' B2 R2 F
U' L' D L' B2 F R2
U2 L' D L' F R2 B2
U2 L' D L' F B2 R2
U2 L' D L' B2 R2 F
U2 L' D L' B2 F R2
B' L' D R2 L' F2 B2
B' L' D R2 L' B2 F2
U' L' D R2 L' F B2
U' L' D R2 L' B2 F
B' L' D R2 B2 L' F2
U2 L' D R2 L' F B2
U2 L' D R2 L' B2 F
U' L' D R2 B2 L' F
U L' D L' R2 F B2
U L' D L' R2 B2 F
U L' D L' F R2 B2
U2 L' D R2 B2 L' F
U L' D L' F B2 R2
U L' D L' B2 R2 F
U L' D L' B2 F R2
F2 L' D U' L' F B2
F2 L' D U' L' B2 F
F2 L' D U' B2 L' F
U L' D R2 L' F B2
U L' D R2 L' B2 F
B' L' D F2 R2 B2 L
U L' D R2 B2 L' F
U' L' D B2 L' R2 F
U' L' D B2 L' F R2
B' L' D B2 L' R2 F2
B' L' D B2 L' F2 R2
U' L' D B2 R2 L' F
B' L' D B2 R2 L' F2
U2 L' D B2 L' R2 F
U2 L' D B2 L' F R2
U2 L' D B2 R2 L' F
U L' D B2 L' R2 F
U L' D B2 L' F R2
U L' D B2 R2 L' F
R2 L' B' L F2 U' L2
L' R2 U' D L' R2 F
L' R2 U' D L' F R2
L' R2 U' D R2 L' F
D L' F2 U F' R2 B2
D L' F2 U F' B2 R2
D L' F2 U B2 F' R2
F2 L' B' L R2 U' L2
L' R2 D U' L' R2 F
L' R2 D U' L' F R2
L' R2 D U' R2 L' F
F2 L' B' R2 L U' L2
D L' B2 R2 D' F L2
F2 L2 R2 B' L U' L'
B' L2 U L' R2 F2 U'
B L2 R2 F2 L' U' L
B' L2 U L' F2 R2 U'
B' L2 U R2 L' F2 U'
B L2 U R2 F2 L' U'
L2 R2 F2 B' L U' L'
R2 L2 F2 B' L U' L'
L' R2 B' L F2 U' L2
L2 R2 B' F2 L U' L'
R2 L2 B' F2 L U' L'
F2 L2 B' L R2 U' L'
L' U D L' R2 F B2
L' U D L' R2 B2 F
L' U D L' F R2 B2
L' U D L' F B2 R2
L' U D L' B2 R2 F
L' U D L' B2 F R2
F2 L2 B' R2 L U' L'
L' U D R2 L' F B2
L' U D R2 L' B2 F
L' U D R2 B2 L' F
L U D L B2 R2 F'
L' U D B2 L' R2 F
L' U D B2 L' F R2
L' U D B2 R2 L' F
F2 R D' R B2 U' F'
F2 R D' B2 R U' F'
R2 U' L' D L' R2 F
R2 U' L' D L' F R2
R2 U' L' D R2 L' F
F2 R B' L R U' L
F2 R B' R L U' L
L' U' D L' R2 F B2
L' U' D L' R2 B2 F
L' U' D L' F R2 B2
L' U' D L' F B2 R2
L' U' D L' B2 R2 F
L' U' D L' B2 F R2
L' U' D R2 L' F B2
L' U' D R2 L' B2 F
L' U' D R2 B2 L' F
L' U' D B2 L' R2 F
L' U' D B2 L' F R2
L' U' D B2 R2 L' F
L U' D L B2 R2 F'
B' R' L F2 R' U' L
B R' U2 R' F2 U' L2
B R' U2 F2 R' U' L2
B' R' F2 L R' U' L
B' R' F2 R' L U' L
L' U2 D L' R2 F B2
L' U2 D L' R2 B2 F
L' U2 D L' F R2 B2
L' U2 D L' F B2 R2
L' U2 D L' B2 R2 F
L' U2 D L' B2 F R2
L' U2 D R2 L' F B2
L' U2 D R2 L' B2 F
L' U2 D R2 B2 L' F
L' U2 D B2 L' R2 F
L' U2 D B2 L' F R2
L' U2 D B2 R2 L' F
L U2 D L B2 R2 F'
B' R2 L U' L D R2
B' R2 L U' D L R2
B' R2 L U' D R2 L
B' R2 L D U' L R2
B' R2 L D U' R2 L
B' R2 L F2 U' L D
B' R2 L F2 U' L D'
B' R2 L F2 U' L D2
B' R2 L F2 U' D L
B' R2 L F2 U' D' L
B' R2 L F2 U' D2 L
B' R2 L F2 D U' L
B' R2 L F2 D' U' L
B' R2 L F2 D2 U' L
B2 R2 L F2 U' L F
B R2 L F2 L' U' L2
F2 R2 L' U' D L' F
F2 R2 L' D U' L' F
F2 R2 L' B' L U' L2
D R2 L' B2 D' F L2
F2 R2 L2 B' L U' L'
B R2 L2 F2 L' U' L
F2 R2 U' L' D L' F
F' R2 U2 B R' U L2
B' R2 D' L B2 U' R'
L' D L B2 L2 R2 F'
L' D L B2 R2 L2 F'
L' D L B2 R2 F' L2
L' D L' R B2 R F
L' D L' R' F R' B2
L' D L' R2 F B2 D
L' D L' R2 F B2 D'
L' D L' R2 F B2 D2
L' D L' R2 B2 D F
L' D L' R2 B2 D' F
L' D L' R2 B2 D2 F
L' D L' R2 B2 F D
L' D L' R2 B2 F D'
L' D L' R2 B2 F D2
L2 D L B2 L' R2 F'
L2 D L B2 R2 L' F'
L2 D L' R2 F L B2
L' D L' F R B2 R
L' D L' F R2 B2 D
L' D L' F R2 B2 D'
L' D L' F R2 B2 D2
L' D L' F B' R2 B'
L' D L' F B2 R2 D
L' D L' F B2 R2 D'
L' D L' F B2 R2 D2
L' D L' F' R2 F2 B2
L' D L' F' R2 B2 F2
L' D L' F' B2 R2 F2
L D L F B2 R2 F'
L D L F' B2 R2 F'
L' D L' B' R2 F B'
L' D L' B' R2 B' F
L D L F2 B2 R2 F'
L' D L' B' F R2 B'
L' D L' B2 R' F R'
L' D L' B2 R2 D F
L' D L' B2 R2 D' F
L' D L' B2 R2 D2 F
L' D L' B2 R2 F D
L' D L' B2 R2 F D'
L' D L' B2 R2 F D2
L' D L' B2 F R2 D
L' D L' B2 F R2 D'
L' D L' B2 F R2 D2
L' D L' B2 F' R2 F2
L2 D L' F L R2 B2
L2 D L' F L B2 R2
L2 D L' F R2 L B2
L D L B2 R2 D F'
L D L B2 R2 D' F'
L D L B2 R2 D2 F'
L D L B2 R2 F' D
L D L B2 R2 F' D'
L D L B2 R2 F' D2
L D L B2 F R2 F'
L D L B2 F' R2 F'
L D L B2 F2 R2 F'
L D L' R2 F L2 B2
L D L' R2 F B2 L2
L D L' R2 B2 F L2
B' R2 F' L F' U' L
L D L' F L2 R2 B2
L D L' F L2 B2 R2
L D L' F R2 L2 B2
L D L' F R2 B2 L2
L D L' F B2 L2 R2
L D L' F B2 R2 L2
L D L' B2 R2 F L2
L' D R L' B2 R F
L D L' B2 F L2 R2
L D L' B2 F R2 L2
F R2 F B' L U' L
B' R2 F2 L U' L D
B' R2 F2 L U' L D'
B' R2 F2 L U' L D2
B' R2 F2 L U' D L
B' R2 F2 L U' D' L
B' R2 F2 L U' D2 L
B' R2 F2 L D U' L
B' R2 F2 L D' U' L
B' R2 F2 L D2 U' L
B2 R2 F2 L U' L F
L' D R B2 L' R F
L' D R B2 R L' F
L' D R' L' F R' B2
B' R2 F2 D' L B2 U'
B2 R2 F2 U' L F L
B R2 F2 L' U' L' D
B R2 F2 L' U' L' D'
B R2 F2 L' U' L' D2
B R2 F2 L' U' D L'
B R2 F2 L' U' D' L'
B R2 F2 L' U' D2 L'
B R2 F2 L' D U' L'
B R2 F2 L' D' U' L'
B R2 F2 L' D2 U' L'
U' R2 F2 B' L U' L
B R2 F2 L' B U' L'
B R2 F2 L' B' U' L'
B R2 F2 L' B2 U' L'
L2 D R B2 D2 R F'
B2 R2 F2 B L U' L
B2 R2 B L F2 U' L
U2 R2 F2 B' L U' L
B R2 F2 D' L' B2 U'
B R2 F2 D' B2 L' U'
B R2 F2 B L' U' L'
L' D R2 L' F B2 D
L' D R2 L' F B2 D'
L' D R2 L' F B2 D2
L' D R2 L' B2 D F
L' D R2 L' B2 D' F
L' D R2 L' B2 D2 F
L' D R2 L' B2 F D
L' D R2 L' B2 F D'
L' D R2 L' B2 F D2
B R2 F2 B' L' U' L'
B R2 F2 B2 L' U' L'
F2 R2 B U2 R' U L2
U' R2 B' L F2 U' L
F2 R2 B D' B2 L U'
U R2 F2 B' L U' L
L2 D R2 L' F L B2
B2 R2 B F2 L U' L
L' D R2 B L' F B
L' D R2 B L' B F
F2 R2 B' L U' L D
F2 R2 B' L U' L D'
F2 R2 B' L U' L D2
F2 R2 B' L U' D L
F2 R2 B' L U' D' L
F2 R2 B' L U' D2 L
F2 R2 B' L D U' L
F2 R2 B' L D' U' L
F2 R2 B' L D2 U' L
L' D R2 B2 L' D F
L' D R2 B2 L' D' F
L' D R2 B2 L' D2 F
L' D R2 B2 L' F D
L' D R2 B2 L' F D'
L' D R2 B2 L' F D2
U2 R2 B' L F2 U' L
L' D U L' R2 F B2
L' D U L' R2 B2 F
L' D U L' F R2 B2
L' D U L' F B2 R2
L' D U L' B2 R2 F
L' D U L' B2 F R2
B R2 B F2 L' U' L'
L D R2 L' F L2 B2
L D R2 L' F B2 L2
L D R2 L' B2 F L2
L' D U R2 L' F B2
L' D U R2 L' B2 F
