L' F' D R F' B'
L' F' D R B' F'
L' F' D B' R F'
L2 F' U' L R B'
L2 F' U' L B' R
L2 F' U' R L B'
L' F' B' D R F'
L' B' F' D R F'
L' R F' D R F' B'
L' R F' D R B' F'
L' R F' D B' R F'
L2 R F' U' L R B'
L2 R F' U' L B' R
L2 R F' U' R L B'
L' R F' B' D R F'
L' R B' F' D R F'
D' L B' U L2 F B'
D' L B' U L2 B' F
D L' R' F2 B' D' R2
D L' R' B' F2 D' R2
R' L' F' D R F' B'
R' L' F' D R B' F'
R' L' F' D B' R F'
L' R' F' D R F' B'
L' R' F' D R B' F'
L' R' F' D B' R F'
L2 R' F' U' L R B'
L2 R' F' U' L B' R
L2 R' F' U' R L B'
R' L' F' B' D R F'
R2 L' F' D R F' B'
R2 L' F' D R B' F'
L' R' F' B' D R F'
R2 L' F' D B' R F'
R L' F' D R F' B'
R L' F' D R B' F'
R L' F' D B' R F'
R2 L' F' B' D R F'
R L' F' B' D R F'
R' L' B' F' D R F'
L' R' B' F' D R F'
R2 L' B' F' D R F'
R L' B' F' D R F'
B' L' F' D R F' B'
B' L' F' D R B' F'
B' L' F' D B' R F'
U2 L' F' D R F' B
U2 L' F' D R B F'
B2 L' F' D R F' B'
B2 L' F' D R B' F'
B2 L' F' D B' R F'
B L' F' D R F' B'
B L' F' D R B' F'
B' L' F' B' D R F'
B L' F' D B' R F'
D L' F' D' F' R B'
D L' F' D' F' B' R
D L' F' D' B' F' R
B2 L' F' B' D R F'
D L' F' B' D' F' R
B L' F' B' D R F'
D L' F2 R' B' D' R2
D L' F2 D B R' B2
D L' F2 B2 D B R'
B' L' B' F' D R F'
B2 L' B' F' D R F'
D L' B' F' D' F' R
B L' B' F' D R F'
D L' B2 F2 D B R'
R' L2 F' U' L R B'
R' L2 F' U' L B' R
R' L2 F' U' R L B'
L' R2 F' D R F' B'
L' R2 F' D R B' F'
L' R2 F' D B' R F'
L2 R2 F' U' L R B'
L2 R2 F' U' L B' R
L2 R2 F' U' R L B'
R2 L2 F' U' L R B'
R2 L2 F' U' L B' R
R2 L2 F' U' R L B'
L' R2 F' B' D R F'
R L2 F' U' L R B'
R L2 F' U' L B' R
R L2 F' U' R L B'
L' R2 B' F' D R F'
L2 U L B' R2 F' R
L2 U L' F L' U2 L'
B' L2 F' U' L R B'
B' L2 F' U' L B' R
B' L2 F' U' R L B'
B2 L2 F' U' L R B'
B2 L2 F' U' L B' R
B2 L2 F' U' R L B'
B L2 F' U' L R B'
B L2 F' U' L B' R
B L2 F' U' R L B'
L2 U F L' U2 L2 B'
L2 U F L' F U2 L2
L2 U F' U2 L R B'
L2 U F' U2 L B' R
L2 U F' U2 R L B'
L2 U F2 U2 L B' R'
L2 U' L D2 B R' B2
L2 U' L F' R F B'
L2 U' L F' R B' F
L2 U' L F' B' R F
L2 U' L B' F' R F
L2 U' L B2 D2 B R'
F' R F D L' F2 B'
F' R F D L' B' F2
F' R F' D F2 L' B'
L2 U' D2 L R' B R'
L2 U' D2 L B R' B
L2 U' D2 R' L B R'
D R' L' F2 B' D' R2
D R' L' B' F2 D' R2
L2 U' F' R F L B'
L2 U2 F' U L R B'
L2 U2 F' U L B' R
L2 U2 F' U R L B'
L2 D R F' R U' L
L2 D F' R F' U' L
L' D' L' F U' L B'
L' D' B' U L' F U'
L2 D2 R' U' L B R'
L2 D2 U' L R' B R'
L2 D2 U' L B R' B
L2 D2 U' R' L B R'
F U2 D F2 R B L
L F L' U' L2 U' L
L F L' U2 D L' F2
L F L' D U2 L' F2
L F L' D' B2 U2 L'
L2 F U L' U2 L2 B'
L2 F U L' F U2 L2
L2 F U' L D2 R2 B'
L2 F U' L D2 B' R2
L2 F U' L B' D2 R2
F2 D F R F L' B'
F D U2 F2 R B L
F D F' L' F' R B'
F D F' L' F' B' R
F D F' L' B' F' R
L2 F' R' U' L R2 B'
L2 F' R' U' L B' R2
L2 F' R' U' R2 L B'
L2 F' R2 U' L R' B'
L2 F' R2 U' R' L B'
L2 F' U' L R D B'
L2 F' U' L R D' B'
L2 F' U' L R D2 B'
L2 F' U' L R B' D
L2 F' U' L R B' D'
L2 F' U' L R B' D2
L2 F' U' L R' B' R2
L2 F' U' L D R B'
L2 F' U' L D B' R
L2 F' U' L D' R B'
L2 F' U' L D' B' R
L2 F' U' L D2 R B'
L2 F' U' L D2 B' R
L2 F' U' L B R B2
L2 F' U' L B' R D
L2 F' U' L B' R D'
L2 F' U' L B' R D2
L2 F' U' L B' D R
L2 F' U' L B' D' R
L2 F' U' L B' D2 R
L2 F' U' R L D B'
L2 F' U' R L D' B'
L2 F' U' R L D2 B'
L2 F' U' R L B' D
L2 F' U' R L B' D'
L2 F' U' R L B' D2
L2 F' U' R' L B' R2
L' F' D R D F' B'
L' F' D R D B' F'
L' F' D R D' F' B'
L' F' D R D' B' F'
L' F' D R D2 F' B'
L' F' D R D2 B' F'
L' F' D R F' D B'
L' F' D R F' D' B'
L' F' D R F' D2 B'
L' F' D R F' B' D
L' F' D R F' B' D'
L' F' D R F' B' D2
L' F' D R B' D F'
L' F' D R B' D' F'
L' F' D R B' D2 F'
L' F' D R B' F' D
L' F' D R B' F' D'
L' F' D R B' F' D2
L' F' D B R F' B2
L' F' D B R B2 F'
L' F' D B' R D F'
L' F' D B' R D' F'
L' F' D B' R D2 F'
L' F' D B' R F' D
L' F' D B' R F' D'
L' F' D B' R F' D2
L' F' D' B' D2 R F'
F D' L' B2 U2 B L
L' F' B' D R D F'
L' F' B' D R D' F'
L' F' B' D R D2 F'
L' F' B' D R F' D
L' F' B' D R F' D'
L' F' B' D R F' D2
L' F' B2 D B R F'
L' F2 U' R B U B2
L' F2 B' U' R B U
D2 B L' D' R' F2 B'
D2 B L' D' R' B' F2
D2 B L' D' F2 R' B'
D2 B D' L' R' F2 B'
D2 B D' L' R' B' F2
D2 B D' L' F2 R' B'
D2 B D' R' L' F2 B'
D2 B D' R' L' B' F2
L' B' R F' D R F'
L' B' R' F' D R F'
L' B' R2 F' D R F'
L' B' U L' F' U' R
L' B' U D' L' F U'
L' B' D' U L' F U'
L' B' F' D R D F'
L' B' F' D R D' F'
L' B' F' D R D2 F'
L' B' F' D R F' D
L' B' F' D R F' D'
L' B' F' D R F' D2
L' B' F2 U' R B U
D2 B2 L' D' F2 B' R'
D2 B2 L' D' B' R' F2
D2 B2 L' D' B' F2 R'
D2 B2 L' B' D' R' F2
D2 B2 L' B' D' F2 R'
D2 B2 D' L' F2 B' R'
D2 B2 D' L' B' R' F2
D2 B2 D' L' B' F2 R'
L' B2 F' D B R F'
